frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.269893,10.929595,1.469556
0,2,chest,1.215434,28.603351,3.006345
0,3,neck,2.548772,56.783729,10.366740
0,4,head,4.495894,69.204334,15.817697
0,5,hair,6.138271,84.246118,18.797889
0,7,zero_joint_hand_l,1.215434,28.603351,3.006345
0,8,clavicle_l,0.256897,52.458587,10.320977
0,9,arm_l,-17.895404,55.288651,12.212912
0,10,forearm_l,-37.795401,34.258711,12.336315
0,11,forearm_twist_l,-42.022936,34.390882,23.499396
0,12,hand_l,-46.506384,34.531297,35.334076
0,13,weapon_l,861.116042,91.821896,-39.070503
0,14,f_big1_l,-46.568598,39.293232,39.303910
0,15,f_big2_l,-45.886228,40.847444,43.011996
0,16,f_big3_l,-45.859918,41.440581,47.527821
0,17,f_main1_l,-56.292243,38.270233,39.799469
0,18,f_main2_l,-55.129933,37.329693,44.394351
0,19,f_main3_l,-51.524615,35.912986,46.827065
0,20,f_pointer1_l,-53.554458,42.738648,40.656511
0,21,f_pointer2_l,-55.045178,42.685127,44.955871
0,22,f_pointer3_l,-53.754358,41.602264,47.999103
0,23,scapular_l,-12.786561,61.458750,12.342226
0,24,chest_l,-7.132324,33.180401,22.216927
0,25,zero_joint_hand_r,1.215426,28.603191,3.006291
0,26,clavicle_r,4.455684,52.274652,10.262843
0,27,arm_r,22.808080,50.559580,9.104041
0,28,forearm_r,40.440046,28.962505,1.296125
0,29,forearm_twist_r,46.085708,28.970184,11.814222
0,30,hand_r,52.078810,28.979710,22.979304
0,31,weapon_r,861.062380,91.898933,-39.547853
0,32,f_big1_r,52.307355,34.808922,25.078720
0,33,f_big2_r,51.642329,37.341992,28.204804
0,34,f_big3_r,52.036015,40.116305,31.795539
0,35,f_main1_r,60.771274,32.516241,29.430169
0,36,f_main2_r,57.422904,34.087410,32.539570
0,37,f_main3_r,53.314087,35.895469,33.418219
0,38,f_pointer1_r,59.265173,37.352283,27.839494
0,39,f_pointer2_r,58.449202,39.602085,31.710178
0,40,f_pointer3_r,57.109044,41.596581,34.225339
0,41,scapular_r,19.457563,57.765061,10.124245
0,42,chest_r,10.475559,32.410564,21.965055
0,43,zero_joint_pelvis_l,0.000000,0.000000,0.000000
0,44,thigh_l,-9.095153,0.347350,1.404987
0,45,calf_l,-26.450800,-44.250016,23.521112
0,46,foot_l,-23.860406,-34.521577,-13.023807
0,47,toe_l,-18.830861,-42.424542,-31.446959
0,48,back_l,-9.592179,-4.047281,-8.895244
0,51,zero_joint_pelvis_r,-0.000007,-0.000297,0.000027
0,52,thigh_r,9.118160,-0.087847,1.291581
0,53,calf_r,20.221051,-40.008084,27.563799
0,54,foot_r,12.368897,-33.146556,-12.217211
0,55,toe_r,7.679499,-43.303635,-29.595617
0,56,back_r,9.276359,-4.497731,-9.013179
0,57,biceps_twist_l,-27.458544,45.182019,12.272085
0,58,biceps_twist_r,32.601428,41.070322,5.639625
0,59,thigh_twist_l,-15.098122,-15.078000,9.054521
0,60,thigh_twist_r,13.244586,-14.924480,11.055769
1,0,pelvis,0.171875,-0.062500,-0.062500
1,1,stomach,0.476525,10.865662,1.410913
1,2,chest,1.366730,28.530652,3.076167
1,3,neck,2.560774,56.681231,10.573241
1,4,head,4.349569,69.083695,16.118936
1,5,hair,5.858543,84.128014,19.156316
1,7,zero_joint_hand_l,1.366730,28.530652,3.076167
1,8,clavicle_l,0.285430,52.347802,10.497022
1,9,arm_l,-17.874585,54.748324,12.852032
1,10,forearm_l,-37.333743,33.327458,13.730188
1,11,forearm_twist_l,-40.552057,33.485986,25.224588
1,12,hand_l,-43.965560,33.654331,37.410659
1,13,weapon_l,861.219918,91.406346,-39.413935
1,14,f_big1_l,-43.430540,38.055214,41.744880
1,15,f_big2_l,-42.152607,39.307754,45.409458
1,16,f_big3_l,-41.367271,39.513381,49.891215
1,17,f_main1_l,-52.908434,36.686001,43.775688
1,18,f_main2_l,-50.964625,35.393650,48.006523
1,19,f_main3_l,-46.974248,33.889480,49.661163
1,20,f_pointer1_l,-50.140727,41.148773,44.556632
1,21,f_pointer2_l,-50.876031,40.680714,49.023158
1,22,f_pointer3_l,-49.067569,39.383313,51.696412
1,23,scapular_l,-12.891613,61.019509,13.024313
1,24,chest_l,-7.084793,32.986894,22.269775
1,25,zero_joint_hand_r,1.366723,28.530492,3.076112
1,26,clavicle_r,4.485099,52.179855,10.457054
1,27,arm_r,22.881408,50.724284,9.714183
1,28,forearm_r,41.219401,29.479039,2.597932
1,29,forearm_twist_r,45.493686,29.471930,13.743978
1,30,hand_r,50.031066,29.465594,25.575654
1,31,weapon_r,861.130180,91.917550,-39.387653
1,32,f_big1_r,49.748333,35.120155,28.102608
1,33,f_big2_r,48.627964,37.336810,31.337158
1,34,f_big3_r,48.430463,39.711017,35.219079
1,35,f_main1_r,57.856507,32.881888,33.110311
1,36,f_main2_r,54.334595,34.074170,36.196268
