frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-0.538039,10.899353,1.613408
0,2,chest,-0.871468,28.636808,2.191565
0,3,neck,-9.150143,56.412404,5.364380
0,4,head,-15.860596,68.038705,8.116572
0,5,hair,-16.540464,83.442597,8.420081
0,7,zero_joint_hand_l,-0.872161,28.637307,2.192155
0,8,clavicle_l,-10.080811,51.764598,4.147155
0,9,arm_l,-19.119505,45.758938,-10.797034
0,10,forearm_l,-25.707188,18.919376,-19.429752
0,11,forearm_twist_l,-34.875643,13.131678,-14.435164
0,12,hand_l,-44.615496,6.994116,-9.139690
0,13,weapon_l,-51.582740,3.734024,-3.891110
0,14,f_big1_l,-48.610757,9.486756,-5.334072
0,15,f_big2_l,-50.583757,9.618045,-1.951311
0,16,f_big3_l,-51.692087,6.220437,0.412796
0,17,f_main1_l,-54.226618,1.495902,-6.342272
0,18,f_main2_l,-51.866174,1.659866,-1.981015
0,19,f_main3_l,-48.034357,4.412998,-2.561886
0,20,f_pointer1_l,-55.825029,6.399351,-5.093762
0,21,f_pointer2_l,-55.294986,4.968357,-0.905929
0,22,f_pointer3_l,-52.210211,6.459976,-0.711268
0,23,scapular_l,-19.244077,53.519366,-8.810353
0,24,chest_l,-20.988526,31.180791,9.159468
0,25,zero_joint_hand_r,-0.870904,28.636760,2.192060
0,26,clavicle_r,-7.148563,52.298241,7.112421
0,27,arm_r,7.266428,53.305945,18.614043
0,28,forearm_r,20.388338,29.426345,28.405039
0,29,forearm_twist_r,12.070838,21.175262,30.694744
0,30,hand_r,3.242672,12.418704,33.136598
0,31,weapon_r,-4.619341,7.689177,31.062304
0,32,f_big1_r,-1.411281,13.262654,29.060433
0,33,f_big2_r,-4.506974,12.352440,26.509038
0,34,f_big3_r,-7.093040,8.982028,24.648887
0,35,f_main1_r,-6.617167,7.047814,34.723797
0,36,f_main2_r,-6.590633,4.265640,30.854687
0,37,f_main3_r,-4.035026,4.597912,27.179715
0,38,f_pointer1_r,-8.645339,10.869480,31.659186
0,39,f_pointer2_r,-10.144214,7.138160,29.495167
0,40,f_pointer3_r,-8.231136,6.197801,26.751270
0,41,scapular_r,3.470180,59.954026,16.266495
0,42,chest_r,-8.677985,33.424151,21.577912
0,43,zero_joint_pelvis_l,0.000286,0.000584,0.001082
0,44,thigh_l,-8.707374,0.323815,-2.980197
0,45,calf_l,-46.037439,-28.594193,10.336858
0,46,foot_l,-56.679949,-65.423348,-4.549915
0,47,toe_l,-69.378655,-79.403502,3.844361
0,48,back_l,-4.323126,-3.872758,-12.396151
0,51,zero_joint_pelvis_r,0.000642,-0.000327,0.000353
0,52,thigh_r,7.472486,-0.117467,5.383396
0,53,calf_r,17.277587,-43.560583,25.966996
0,54,foot_r,21.178746,-71.139470,-4.289435
0,55,toe_r,22.781807,-81.172298,13.708850
0,56,back_r,12.442271,-4.327304,-3.741157
0,57,biceps_twist_l,-22.283658,32.867879,-14.943421
0,58,biceps_twist_r,13.568620,41.836511,23.317047
0,59,thigh_twist_l,-22.410652,-10.808134,1.497639
0,60,thigh_twist_r,11.176062,-16.492575,12.446767
1,0,pelvis,1.250000,2.125000,1.167969
1,1,stomach,0.683914,13.032453,2.715705
1,2,chest,0.368095,30.766720,3.393034
1,3,neck,-7.905565,58.598097,6.047829
1,4,head,-14.734710,70.186726,8.663567
1,5,hair,-15.574751,85.585141,8.795406
1,7,zero_joint_hand_l,0.367105,30.767419,3.393805
1,8,clavicle_l,-8.804384,53.948389,4.814828
1,9,arm_l,-15.796591,47.748090,-11.115020
1,10,forearm_l,-20.820398,20.272878,-18.741132
1,11,forearm_twist_l,-29.797188,13.810639,-14.251073
1,12,hand_l,-39.333200,6.955603,-9.491933
1,13,weapon_l,-45.778800,3.232099,-3.896576
1,14,f_big1_l,-43.276113,9.182139,-5.470041
1,15,f_big2_l,-45.112365,9.235016,-2.002446
1,16,f_big3_l,-45.898593,5.808103,0.460415
1,17,f_main1_l,-48.392193,0.821847,-6.215506
1,18,f_main2_l,-45.951843,1.059551,-1.906406
