frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-1.536480,9.778839,4.868471
0,2,chest,-4.437287,21.405233,17.984481
0,3,neck,-15.091991,34.440059,41.789050
0,4,head,-23.861147,40.066550,50.689620
0,5,hair,-24.531971,53.100805,58.890323
0,7,zero_joint_hand_l,-4.437919,21.404347,17.987048
0,8,clavicle_l,-15.371953,31.077508,38.244633
0,9,arm_l,-32.467246,25.273787,42.138539
0,10,forearm_l,-56.839878,14.733250,53.677833
0,11,forearm_twist_l,-46.027104,12.755101,58.333451
0,12,hand_l,-34.564099,10.667383,63.275277
0,13,weapon_l,-30.282884,6.778358,67.910226
0,14,f_big1_l,-28.907249,8.672373,64.103171
0,15,f_big2_l,-26.383584,5.795238,64.915874
0,16,f_big3_l,-27.193661,2.447337,67.431914
0,17,f_main1_l,-31.091163,6.924305,73.500010
0,18,f_main2_l,-30.952943,2.949066,70.520832
0,19,f_main3_l,-31.899510,4.773583,66.225107
0,20,f_pointer1_l,-26.306672,7.978773,71.458322
0,21,f_pointer2_l,-26.282420,3.564584,70.900274
0,22,f_pointer3_l,-27.193946,4.103838,67.637812
0,23,scapular_l,-29.782264,32.253107,45.023721
0,24,chest_l,-14.245185,8.198875,31.719137
0,25,zero_joint_hand_r,-4.437329,21.405127,17.984294
0,26,clavicle_r,-11.479649,32.175454,39.382669
0,27,arm_r,1.118233,45.313062,36.253555
0,28,forearm_r,9.211398,54.163480,9.901056
0,29,forearm_twist_r,18.506854,59.164794,4.342386
0,30,hand_r,28.380734,64.491493,-1.565854
0,31,weapon_r,36.602458,66.539361,-6.339517
0,32,f_big1_r,34.470680,63.043144,-1.133361
0,33,f_big2_r,38.046759,62.156714,-3.015948
0,34,f_big3_r,39.139420,63.669525,-7.314123
0,35,f_main1_r,36.268646,71.239906,-6.068462
0,36,f_main2_r,36.585064,67.221081,-8.543608
0,37,f_main3_r,33.940138,64.313984,-6.473703
0,38,f_pointer1_r,39.602520,68.859094,-2.703251
0,39,f_pointer2_r,40.793167,66.567770,-6.479012
0,40,f_pointer3_r,38.669952,64.012301,-5.441857
0,41,scapular_r,-4.534081,46.350490,41.830961
0,42,chest_r,2.078456,12.803855,36.488980
0,43,zero_joint_pelvis_l,0.001620,0.001085,0.002865
0,44,thigh_l,-9.115436,-1.254516,0.342393
0,45,calf_l,-48.630620,-13.965156,26.498057
0,46,foot_l,-80.490109,-27.180422,4.101732
0,47,toe_l,-92.594596,-33.245923,19.717647
0,48,back_l,-8.159486,-2.029315,-10.797236
0,51,zero_joint_pelvis_r,0.002205,-0.000025,0.000176
0,52,thigh_r,8.903889,0.611672,2.281193
0,53,calf_r,38.334469,9.300908,40.562612
0,54,foot_r,26.142344,-26.101903,23.555006
0,55,toe_r,37.581269,-36.335005,37.396983
0,56,back_r,10.492230,-0.099353,-8.792882
0,57,biceps_twist_l,-44.180541,20.208428,47.683084
0,58,biceps_twist_r,5.005825,49.565171,23.596937
0,59,thigh_twist_l,-24.109558,-6.075055,9.521661
0,60,thigh_twist_r,19.941947,3.218387,16.533121
1,0,pelvis,0.500000,2.468750,1.343750
1,1,stomach,-0.957509,12.318864,6.091317
1,2,chest,-3.915716,24.418615,18.758696
1,3,neck,-14.797914,38.397267,41.916026
1,4,head,-23.466616,44.485411,50.608767
1,5,hair,-24.087242,57.714143,58.496024
1,7,zero_joint_hand_l,-3.916389,24.417773,18.761202
1,8,clavicle_l,-15.078370,34.937565,38.465142
1,9,arm_l,-32.468646,29.577015,41.617525
1,10,forearm_l,-57.340251,18.411621,51.365382
1,11,forearm_twist_l,-47.401655,15.916803,57.489444
1,12,hand_l,-36.865812,13.281336,63.987983
1,13,weapon_l,-32.797560,8.961676,68.609626
1,14,f_big1_l,-31.197874,11.503638,65.156759
1,15,f_big2_l,-28.579925,8.685498,65.872074
1,16,f_big3_l,-29.408080,5.002130,67.857512
1,17,f_main1_l,-34.172284,8.441308,73.984632
1,18,f_main2_l,-33.477105,4.897648,70.570495
1,19,f_main3_l,-34.116850,7.208542,66.456054
1,20,f_pointer1_l,-29.291362,10.005573,72.606165
1,21,f_pointer2_l,-28.917926,5.708268,71.514930
1,22,f_pointer3_l,-29.538344,6.614875,68.265549
1,23,scapular_l,-29.759379,36.530640,44.541755
1,24,chest_l,-14.343434,11.855576,32.639428
1,25,zero_joint_hand_r,-3.915745,24.418494,18.758517
1,26,clavicle_r,-11.186295,35.979632,39.662198
1,27,arm_r,2.101337,48.445660,36.640328
1,28,forearm_r,12.167017,56.106418,10.596551
1,29,forearm_twist_r,22.424818,59.986490,5.901869
1,30,hand_r,33.322970,64.121972,0.911619
1,31,weapon_r,42.133311,65.110365,-3.032339
1,32,f_big1_r,39.129525,62.005330,1.977023
1,33,f_big2_r,42.740617,60.661450,0.480392
1,34,f_big3_r,44.416272,61.909684,-3.718122
1,35,f_main1_r,42.343183,69.787883,-2.904663
1,36,f_main2_r,42.428387,65.686018,-5.259417
1,37,f_main3_r,39.274002,63.163660,-3.410384
1,38,f_pointer1_r,45.033893,67.145592,0.821729
1,39,f_pointer2_r,46.311831,64.617919,-2.775170
1,40,f_pointer3_r,43.816280,62.354994,-1.908019
1,41,scapular_r,-3.679252,49.885825,41.992174
1,42,chest_r,1.971831,16.223970,37.654202
1,43,zero_joint_pelvis_l,0.501605,2.469756,1.346600
1,44,thigh_l,-8.639935,1.369977,1.533909
1,45,calf_l,-47.388303,-12.924991,28.016861
1,46,foot_l,-76.992120,-27.192331,6.270376
1,47,toe_l,-89.159348,-33.690919,21.661614
1,48,back_l,-7.498939,0.471049,-9.578820
1,51,zero_joint_pelvis_r,0.502205,2.468691,1.343963
1,52,thigh_r,9.370904,2.953596,3.778761
1,53,calf_r,38.467179,9.072471,42.805611
1,54,foot_r,27.113999,-26.330681,26.277006
1,55,toe_r,37.455295,-36.526684,40.829736
1,56,back_r,11.144043,2.108273,-7.257765
1,57,biceps_twist_l,-44.421674,24.211386,46.301143
1,58,biceps_twist_r,6.936295,52.126320,24.131942
1,59,thigh_twist_l,-23.348299,-4.054918,10.837390
1,60,thigh_twist_r,20.274704,4.603064,18.274883
2,0,pelvis,2.000000,8.437500,4.687500
2,1,stomach,0.738565,18.453887,9.133764
2,2,chest,-2.265603,31.662903,20.627862
2,3,neck,-13.551728,47.901244,42.052767
2,4,head,-21.915750,55.085218,50.189675
2,5,hair,-22.376066,68.757532,57.292440
2,7,zero_joint_hand_l,-2.266367,31.662154,20.630220
2,8,clavicle_l,-13.847323,44.215407,38.845554
2,9,arm_l,-31.744271,39.830427,40.096929
2,10,forearm_l,-57.209639,27.132505,45.441202
2,11,forearm_twist_l,-50.124630,23.501034,54.336087
2,12,hand_l,-42.614804,19.660769,63.771954
2,13,weapon_l,-39.028348,14.516433,68.389893
2,14,f_big1_l,-37.207452,18.424125,66.197449
2,15,f_big2_l,-34.321052,15.910643,67.008835
2,16,f_big3_l,-34.819223,11.732792,67.710544
2,17,f_main1_l,-41.656954,12.557566,72.673695
2,18,f_main2_l,-39.334543,10.285106,68.913448
2,19,f_main3_l,-39.357958,13.575423,65.470861
2,20,f_pointer1_l,-37.047535,15.114188,73.296138
2,21,f_pointer2_l,-35.473509,11.411473,71.396295
2,22,f_pointer3_l,-35.399959,13.124168,68.425337
2,23,scapular_l,-29.027293,46.742085,43.102924
2,24,chest_l,-14.163680,20.759193,34.726908
2,25,zero_joint_hand_r,-2.265609,31.662748,20.627706
2,26,clavicle_r,-9.971793,45.127485,40.192988
2,27,arm_r,4.838460,55.865154,37.652591
2,28,forearm_r,19.394701,60.165617,12.996855
2,29,forearm_twist_r,31.103331,60.978008,10.860159
2,30,hand_r,43.547096,61.853548,8.588447
2,31,weapon_r,52.883525,60.109796,6.959982
2,32,f_big1_r,48.097564,58.374206,11.141630
2,33,f_big2_r,51.415975,55.954510,10.640192
2,34,f_big3_r,54.289466,56.255130,6.951087
2,35,f_main1_r,54.436829,64.442333,6.932337
2,36,f_main2_r,53.875660,60.244925,4.824192
2,37,f_main3_r,49.794727,58.875694,5.920794
2,38,f_pointer1_r,55.329971,61.581730,11.303410
2,39,f_pointer2_r,56.613058,58.441229,8.235002
2,40,f_pointer3_r,53.443604,57.039586,8.535868
2,41,scapular_r,-1.164151,58.274073,42.374580
2,42,chest_r,2.082645,24.582092,40.371508
2,43,zero_joint_pelvis_l,2.001561,8.438313,4.690316
2,44,thigh_l,-7.176666,7.708471,4.490676
2,45,calf_l,-43.933371,-10.025460,31.722664
2,46,foot_l,-69.545795,-27.152269,10.677502
2,47,toe_l,-81.811722,-34.514205,25.594346
2,48,back_l,-5.584127,6.486154,-6.535314
2,51,zero_joint_pelvis_r,2.002196,8.437360,4.687808
2,52,thigh_r,10.767275,8.629250,7.507996
2,53,calf_r,38.447703,8.465534,48.015970
2,54,foot_r,29.270278,-26.721084,31.352335
2,55,toe_r,37.568765,-36.840067,47.208619
2,56,back_r,12.989585,7.437661,-3.414429
2,57,biceps_twist_l,-43.982436,33.728253,42.664403
2,58,biceps_twist_r,11.830551,57.931752,25.810985
2,59,thigh_twist_l,-21.138252,0.965638,14.078612
2,60,thigh_twist_r,21.124783,7.947355,22.474899
3,0,pelvis,3.500000,15.531250,8.859375
3,1,stomach,2.486719,25.739893,12.914661
3,2,chest,-0.384341,40.221001,22.797573
3,3,neck,-11.857462,59.154556,41.770578
3,4,head,-19.718881,67.630510,49.128018
3,5,hair,-19.900154,81.792037,55.211734
3,7,zero_joint_hand_l,-0.385201,40.220341,22.799751
3,8,clavicle_l,-12.208828,55.209352,38.894238
3,9,arm_l,-30.313049,51.774448,37.655959
3,10,forearm_l,-55.248752,37.061186,37.774671
3,11,forearm_twist_l,-52.377314,32.338134,48.355387
3,12,hand_l,-49.335432,27.341229,59.578515
3,13,weapon_l,-46.257312,21.617598,64.466191
3,14,f_big1_l,-45.119059,26.629803,63.864288
3,15,f_big2_l,-42.129065,24.644617,65.417010
3,16,f_big3_l,-41.562744,20.426279,65.134081
3,17,f_main1_l,-49.657841,18.416617,66.710225
3,18,f_main2_l,-45.533035,17.800729,64.007672
3,19,f_main3_l,-45.268277,21.833914,61.489446
3,20,f_pointer1_l,-46.618648,21.598179,69.678635
3,21,f_pointer2_l,-43.410083,18.971728,68.064965
3,22,f_pointer3_l,-42.758214,21.413971,65.746380
3,23,scapular_l,-27.683410,58.694552,40.719471
3,24,chest_l,-14.001338,31.544652,36.887705
3,25,zero_joint_hand_r,-0.384325,40.220805,22.797455
3,26,clavicle_r,-8.376982,55.978482,40.441085
3,27,arm_r,7.963961,64.450856,38.928750
3,28,forearm_r,27.199298,63.867434,17.296716
3,29,forearm_twist_r,38.606435,60.769442,18.908280
3,30,hand_r,50.733847,57.488128,20.620988
3,31,weapon_r,58.837316,52.619462,22.071239
3,32,f_big1_r,52.804785,53.119387,24.615565
3,33,f_big2_r,55.001540,49.681254,25.278465
3,34,f_big3_r,58.674212,48.424660,22.653724
3,35,f_main1_r,61.819234,55.974862,22.310670
3,36,f_main2_r,60.354412,51.938794,20.325257
3,37,f_main3_r,55.923632,52.208946,20.162240
3,38,f_pointer1_r,60.369188,53.691627,26.868217
3,39,f_pointer2_r,61.194576,49.868901,24.495522
3,40,f_pointer3_r,57.779584,49.679258,23.861150
3,41,scapular_r,1.876304,68.013489,42.720432
3,42,chest_r,2.062382,34.767422,43.367699
3,43,zero_joint_pelvis_l,3.501485,15.531826,8.862162
3,44,thigh_l,-5.675512,15.234906,8.150163
3,45,calf_l,-39.960830,-6.005267,36.087609
3,46,foot_l,-63.678930,-27.145577,14.013604
3,47,toe_l,-76.008533,-35.158478,28.537377
3,48,back_l,-3.530073,13.568767,-2.723145
3,51,zero_joint_pelvis_r,3.502175,15.531016,8.859808
3,52,thigh_r,12.091823,15.398292,12.179006
3,53,calf_r,37.024903,7.532676,53.695298
3,54,foot_r,30.463672,-26.950074,34.062721
3,55,toe_r,37.659356,-37.023216,50.613239
3,56,back_r,14.868484,13.736518,1.446636
3,57,biceps_twist_l,-42.289746,44.707671,37.712262
3,58,biceps_twist_r,17.203575,64.171495,28.539559
3,59,thigh_twist_l,-18.698595,7.137380,18.006612
3,60,thigh_twist_r,21.413331,11.873700,27.424919
4,0,pelvis,4.000000,21.468750,12.781250
4,1,stomach,3.220320,31.838873,16.461076
4,2,chest,0.665114,47.356377,24.725182
4,3,neck,-10.654064,68.609015,41.165635
4,4,head,-17.930920,78.186219,47.730705
4,5,hair,-17.780311,92.726581,52.844269
4,7,zero_joint_hand_l,0.664178,47.355771,24.727205
4,8,clavicle_l,-11.092532,64.452548,38.618672
4,9,arm_l,-28.979346,61.567302,35.036501
4,10,forearm_l,-52.347861,44.987883,30.874915
4,11,forearm_twist_l,-53.019425,39.709055,41.560742
4,12,hand_l,-53.735246,34.122985,52.894945
4,13,weapon_l,-51.397602,28.334562,58.598656
4,14,f_big1_l,-51.288673,33.827271,58.424737
4,15,f_big2_l,-48.716673,32.300499,60.943823
4,16,f_big3_l,-47.235643,28.301942,60.829300
4,17,f_main1_l,-54.760623,24.695984,59.274145
4,18,f_main2_l,-49.908300,25.096995,58.278512
4,19,f_main3_l,-49.589608,29.316736,56.094385
4,20,f_pointer1_l,-53.710607,28.109169,63.200738
4,21,f_pointer2_l,-49.671589,26.276127,62.849523
4,22,f_pointer3_l,-48.745891,28.992785,60.971184
4,23,scapular_l,-26.513860,68.555602,38.081678
4,24,chest_l,-14.399310,40.860473,38.507654
4,25,zero_joint_hand_r,0.665141,47.356143,24.725108
4,26,clavicle_r,-7.323847,65.110827,40.359690
4,27,arm_r,10.013876,71.472762,40.205067
4,28,forearm_r,32.364449,66.018238,22.627141
4,29,forearm_twist_r,41.320851,59.942587,27.645787
4,30,hand_r,50.846368,53.494919,32.981198
4,31,weapon_r,56.110549,46.623951,36.868555
4,32,f_big1_r,50.170135,49.270204,37.566590
4,33,f_big2_r,50.775619,45.425684,38.959064
4,34,f_big3_r,54.311291,42.694227,37.533710
4,35,f_main1_r,59.882453,48.685904,37.803371
4,36,f_main2_r,57.645691,45.121045,35.643257
4,37,f_main3_r,53.787066,46.799227,34.219855
4,38,f_pointer1_r,56.622095,47.638221,41.848054
4,39,f_pointer2_r,56.622729,43.472645,39.958038
4,40,f_pointer3_r,53.637452,44.325266,38.389050
4,41,scapular_r,4.045347,76.013456,43.013143
4,42,chest_r,1.397076,43.623273,45.805684
4,43,zero_joint_pelvis_l,4.001392,21.469110,12.784025
4,44,thigh_l,-5.127282,21.539558,11.569651
