frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-0.154858,10.790904,2.284925
0,2,chest,0.915082,28.522237,2.554186
0,3,neck,2.343380,57.247867,-2.229645
0,4,head,0.134332,70.623182,-0.230470
0,5,hair,4.164239,85.481642,-1.136149
0,7,zero_joint_hand_l,0.915077,28.522251,2.554179
0,8,clavicle_l,-0.168830,53.052615,-1.983617
0,9,arm_l,-12.946893,44.060820,-11.830620
0,10,forearm_l,-24.327505,18.282822,-18.483434
0,11,forearm_twist_l,-28.961642,7.946825,-14.715692
0,12,hand_l,-33.886273,-3.005998,-10.720146
0,13,weapon_l,-33.815205,-7.967168,-2.869609
0,14,f_big1_l,-39.278258,-5.320887,-9.225753
0,15,f_big2_l,-41.863704,-6.295185,-6.461108
0,16,f_big3_l,-43.566974,-7.917282,-2.897889
0,17,f_main1_l,-34.685009,-11.962708,-3.666739
0,18,f_main2_l,-37.010493,-10.923460,0.605026
0,19,f_main3_l,-37.416874,-6.279534,-0.386943
0,20,f_pointer1_l,-39.436854,-12.456003,-5.981441
0,21,f_pointer2_l,-40.930128,-11.529793,-1.885226
0,22,f_pointer3_l,-40.767862,-8.108177,-2.062906
0,23,scapular_l,-11.737432,51.902386,-12.941017
0,24,chest_l,-16.195923,39.525436,9.323559
0,25,zero_joint_hand_r,0.915075,28.522085,2.554198
0,26,clavicle_r,3.167647,53.309840,0.559761
0,27,arm_r,18.999908,53.985290,10.045435
0,28,forearm_r,36.936386,34.742009,22.139332
0,29,forearm_twist_r,28.539004,29.181514,28.547826
0,30,hand_r,19.640396,23.291860,35.352785
0,31,weapon_r,-33.807935,-7.966724,-2.848755
0,32,f_big1_r,15.092163,20.382370,32.164027
0,33,f_big2_r,11.185789,19.921636,30.893770
0,34,f_big3_r,7.892175,17.119743,29.088780
0,35,f_main1_r,15.523507,13.362373,38.886918
0,36,f_main2_r,16.401795,9.974613,35.704294
0,37,f_main3_r,16.598738,13.015929,32.478087
0,38,f_pointer1_r,11.281927,14.569217,35.942355
0,39,f_pointer2_r,10.411511,10.227806,37.106178
0,40,f_pointer3_r,11.849970,8.131571,34.731902
0,41,scapular_r,16.406847,60.399491,6.007754
0,42,chest_r,-2.204170,40.603546,19.989493
0,43,zero_joint_pelvis_l,0.000008,0.000000,0.000000
0,44,thigh_l,-8.785068,0.752313,-2.659920
0,45,calf_l,-10.744152,-48.268669,-3.143879
0,46,foot_l,-6.120091,-88.824105,-8.157887
0,47,toe_l,-19.925492,-99.179029,3.215422
0,48,back_l,-4.829529,-2.981105,-12.462116
0,51,zero_joint_pelvis_r,-0.000024,-0.000294,-0.000003
0,52,thigh_r,7.632965,-0.657225,5.111060
0,53,calf_r,17.592434,-48.419060,10.282614
0,54,foot_r,25.828337,-88.310106,4.613397
0,55,toe_r,30.742633,-99.185071,21.487949
0,56,back_r,12.178926,-4.442106,-4.411265
0,57,biceps_twist_l,-18.414051,31.672359,-15.030209
0,58,biceps_twist_r,27.619357,44.737891,15.858511
0,59,thigh_twist_l,-9.037711,-17.465898,-3.254704
0,60,thigh_twist_r,11.387684,-18.448994,6.405624
1,0,pelvis,0.000000,0.000000,-0.078125
1,1,stomach,-0.127761,10.787900,2.222608
1,2,chest,0.933661,28.519723,2.493264
1,3,neck,2.295355,57.254523,-2.254786
1,4,head,0.083794,70.630665,-0.263940
1,5,hair,4.123010,85.485666,-1.184741
1,7,zero_joint_hand_l,0.933656,28.519738,2.493257
1,8,clavicle_l,-0.207165,53.053195,-2.013758
1,9,arm_l,-12.960862,44.007200,-11.842691
1,10,forearm_l,-24.336331,18.258792,-18.617766
1,11,forearm_twist_l,-28.969965,7.926173,-14.840154
1,12,hand_l,-33.894079,-3.023061,-10.834146
1,13,weapon_l,-33.818399,-7.979206,-2.981519
1,14,f_big1_l,-39.286299,-5.337558,-9.339997
1,15,f_big2_l,-41.871997,-6.311552,-6.575481
1,16,f_big3_l,-43.575614,-7.933300,-3.012269
1,17,f_main1_l,-34.693820,-11.979279,-3.780227
1,18,f_main2_l,-37.017721,-10.940375,0.487937
1,19,f_main3_l,-37.423774,-6.296490,-0.504357
1,20,f_pointer1_l,-39.445524,-12.472459,-6.095243
1,21,f_pointer2_l,-40.939047,-11.545936,-1.999189
1,22,f_pointer3_l,-40.776593,-8.124338,-2.177048
1,23,scapular_l,-11.787807,51.854263,-12.953203
1,24,chest_l,-16.201975,39.475024,9.278002
1,25,zero_joint_hand_r,0.933655,28.519571,2.493276
1,26,clavicle_r,3.128959,53.314921,0.529625
1,27,arm_r,18.958370,53.998422,10.019477
1,28,forearm_r,36.926862,34.749393,22.056571
1,29,forearm_twist_r,28.532026,29.172286,28.453956
1,30,hand_r,19.636103,23.265000,35.247133
