frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.724892,10.934169,1.267656
0,2,chest,1.263561,28.691040,1.123366
0,3,neck,-2.106462,57.648715,0.695720
0,4,head,-2.053677,71.172952,2.902044
0,5,hair,1.478192,86.139425,1.733782
0,7,zero_joint_hand_l,1.263561,28.691040,1.123365
0,8,clavicle_l,-3.897702,53.121551,1.203388
0,9,arm_l,-21.112115,46.588423,-0.237781
0,10,forearm_l,-42.460211,27.153655,-2.435963
0,11,forearm_twist_l,-52.574262,28.232781,3.782768
0,12,hand_l,-63.341604,29.394643,10.392396
0,13,weapon_l,-71.304758,33.199985,13.279961
0,14,f_big1_l,-66.670499,34.508678,7.929566
0,15,f_big2_l,-69.271305,35.381522,6.760039
0,16,f_big3_l,-72.393606,36.340058,6.651555
0,17,f_main1_l,-75.013975,29.179805,13.798687
0,18,f_main2_l,-78.776059,30.301690,15.129903
0,19,f_main3_l,-82.350197,29.696143,15.133189
0,20,f_pointer1_l,-76.069624,32.301858,10.436181
0,21,f_pointer2_l,-78.311885,33.286000,10.672231
0,22,f_pointer3_l,-81.006092,33.154486,10.717224
0,23,scapular_l,-19.326510,53.944373,-2.851320
0,24,chest_l,-12.836885,36.213877,15.415504
0,25,zero_joint_hand_r,1.263577,28.690826,1.123358
0,26,clavicle_r,0.123642,53.605639,2.326499
0,27,arm_r,17.278179,59.224965,6.230312
0,28,forearm_r,33.418793,78.100038,21.113043
0,29,forearm_twist_r,24.460152,85.422863,24.017599
0,30,hand_r,14.951768,93.201972,27.092436
0,31,weapon_r,6.090220,95.892911,27.772343
0,32,f_big1_r,9.488801,95.112901,23.621670
0,33,f_big2_r,8.869880,94.284042,21.439580
0,34,f_big3_r,5.601013,94.427427,19.011782
0,35,f_main1_r,4.342380,99.830835,29.710705
0,36,f_main2_r,-0.268201,100.127356,31.383964
0,37,f_main3_r,-3.177450,100.269810,31.336580
0,38,f_pointer1_r,3.895729,100.602858,23.884320
0,39,f_pointer2_r,-0.062598,102.477332,24.156325
0,40,f_pointer3_r,-2.595406,103.602809,24.092457
0,41,scapular_r,11.775141,64.271344,3.151476
0,42,chest_r,4.029203,38.243642,20.117460
0,43,zero_joint_pelvis_l,0.000031,-0.000012,0.000015
0,44,thigh_l,-8.290857,1.300965,-3.792750
0,45,calf_l,-45.854021,-29.354366,3.716468
0,46,foot_l,-51.540951,-63.383663,-18.665029
0,47,toe_l,-67.733128,-73.136516,-10.306742
0,48,back_l,-3.651105,-3.769429,-12.648164
0,51,zero_joint_pelvis_r,-0.000042,-0.000278,0.000032
0,52,thigh_r,6.881438,-0.848170,6.061638
0,53,calf_r,30.627607,-35.087260,31.964013
0,54,foot_r,37.200221,-63.310080,2.782875
0,55,toe_r,45.672272,-73.263623,18.792780
0,56,back_r,12.067306,-5.995512,-2.439644
0,57,biceps_twist_l,-31.360049,37.259182,-1.292133
0,58,biceps_twist_r,25.030174,68.291720,13.377642
0,59,thigh_twist_l,-22.050307,-10.412498,-1.507259
0,60,thigh_twist_r,15.773892,-13.876600,15.137287
1,0,pelvis,3.335938,-0.937500,-0.066406
1,1,stomach,3.979300,9.998172,1.231912
1,2,chest,4.371335,27.759463,1.249271
1,3,neck,1.061324,56.725237,0.910616
1,4,head,1.263108,70.260722,3.037954
1,5,hair,5.072146,85.141466,1.663581
1,7,zero_joint_hand_l,4.371330,27.759439,1.249270
1,8,clavicle_l,-0.724901,52.202694,1.474365
1,9,arm_l,-17.981689,45.722941,0.329473
1,10,forearm_l,-39.521249,26.496164,-1.829662
1,11,forearm_twist_l,-49.497382,27.751087,4.576043
1,12,hand_l,-60.117874,29.100157,11.384709
1,13,weapon_l,-68.028472,32.934226,14.376838
1,14,f_big1_l,-63.466131,34.218190,8.958447
1,15,f_big2_l,-66.081794,35.089508,7.821304
1,16,f_big3_l,-69.204236,36.044788,7.754992
1,17,f_main1_l,-71.741882,28.926010,14.954769
1,18,f_main2_l,-75.440252,30.156085,16.366509
1,19,f_main3_l,-79.032722,29.689263,16.498420
1,20,f_pointer1_l,-72.835399,32.045277,11.601793
1,21,f_pointer2_l,-75.045610,33.086014,11.891316
1,22,f_pointer3_l,-77.739999,33.054713,12.022892
1,23,scapular_l,-16.224186,53.082795,-2.281955
1,24,chest_l,-9.271302,35.322657,15.958358
1,25,zero_joint_hand_r,4.371350,27.759234,1.249262
1,26,clavicle_r,3.329793,52.677253,2.474979
1,27,arm_r,20.645734,58.279571,5.616149
1,28,forearm_r,36.704367,77.283566,20.423306
1,29,forearm_twist_r,27.802821,84.557197,23.613014
1,30,hand_r,18.354837,92.284172,26.990583
1,31,weapon_r,9.520924,94.975521,27.964798
1,32,f_big1_r,12.794671,94.232015,23.705529
1,33,f_big2_r,12.105310,93.434924,21.532749
1,34,f_big3_r,8.758469,93.621694,19.216712
1,35,f_main1_r,7.842883,98.890047,29.995080
1,36,f_main2_r,3.278415,99.089291,31.803703
1,37,f_main3_r,0.366104,99.139786,31.850245
1,38,f_pointer1_r,7.221226,99.721090,24.191980
1,39,f_pointer2_r,3.247751,101.535523,24.610759
1,40,f_pointer3_r,0.687146,102.601711,24.667937
1,41,scapular_r,15.052148,63.343020,2.752253
1,42,chest_r,7.734383,37.312426,20.146548
