frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.766010,10.931860,1.263390
0,2,chest,1.359267,28.686400,1.058975
0,3,neck,-2.069002,57.636667,0.594300
0,4,head,-2.142661,71.150958,2.860163
0,5,hair,1.147660,86.186786,1.894819
0,7,zero_joint_hand_l,1.359271,28.686400,1.058975
0,8,clavicle_l,-3.864879,53.103652,1.027984
0,9,arm_l,-21.015020,46.493353,-0.780691
0,10,forearm_l,-42.112983,26.797797,-3.070786
0,11,forearm_twist_l,-52.342927,27.736601,2.978844
0,12,hand_l,-63.233688,28.748996,9.408397
0,13,weapon_l,-71.256487,32.487089,12.217637
0,14,f_big1_l,-66.572060,33.846310,6.923828
0,15,f_big2_l,-69.165370,34.706607,5.728639
0,16,f_big3_l,-72.289963,35.646671,5.587918
0,17,f_main1_l,-74.941744,28.438357,12.682257
0,18,f_main2_l,-78.741358,29.491496,13.962050
0,19,f_main3_l,-82.301449,28.811607,13.893774
0,20,f_pointer1_l,-75.982358,31.563152,9.317612
0,21,f_pointer2_l,-78.243336,32.510909,9.521878
0,22,f_pointer3_l,-80.934701,32.324999,9.517346
0,23,scapular_l,-19.199849,53.844618,-3.376790
0,24,chest_l,-13.242433,36.134142,14.879333
0,25,zero_joint_hand_r,1.359287,28.686194,1.058966
0,26,clavicle_r,0.114317,53.594633,2.289676
0,27,arm_r,17.060980,59.189531,7.043882
0,28,forearm_r,33.420631,77.877148,21.924010
0,29,forearm_twist_r,24.450327,85.328047,24.440995
0,30,hand_r,14.929800,93.242881,27.104357
0,31,weapon_r,6.050931,95.937301,27.473475
0,32,f_big1_r,9.584145,95.116585,23.441799
0,33,f_big2_r,9.037283,94.263920,21.249666
0,34,f_big3_r,5.851061,94.377350,18.712862
0,35,f_main1_r,4.246301,99.886353,29.318808
0,36,f_main2_r,-0.409170,100.269864,30.843500
0,37,f_main3_r,-3.309705,100.495753,30.694685
0,38,f_pointer1_r,3.988332,100.604371,23.472559
0,39,f_pointer2_r,0.050330,102.536712,23.591751
0,40,f_pointer3_r,-2.450003,103.719490,23.403969
0,41,scapular_r,11.715101,64.252714,3.751419
0,42,chest_r,3.447175,38.192811,20.162522
0,43,zero_joint_pelvis_l,0.000026,-0.000027,0.000016
0,44,thigh_l,-8.243087,1.338001,-3.882921
0,45,calf_l,-45.216009,-29.983170,3.805788
0,46,foot_l,-48.197356,-64.278636,-18.693061
0,47,toe_l,-64.382120,-74.041853,-10.332515
0,48,back_l,-3.534078,-3.765679,-12.682481
0,51,zero_joint_pelvis_r,-0.000047,-0.000285,0.000031
0,52,thigh_r,6.811691,-0.875586,6.136057
0,53,calf_r,27.741992,-36.342130,32.803933
0,54,foot_r,30.778520,-63.896809,2.426560
0,55,toe_r,36.832139,-73.792383,19.532028
0,56,back_r,12.062596,-6.058534,-2.303447
0,57,biceps_twist_l,-31.142898,37.038936,-1.879169
0,58,biceps_twist_r,24.918255,68.166203,14.189956
0,59,thigh_twist_l,-21.766991,-10.631318,-1.518480
0,60,thigh_twist_r,14.631789,-14.376932,15.503174
1,0,pelvis,3.335938,-0.875000,-0.023438
1,1,stomach,4.060830,10.059169,1.244218
1,2,chest,4.599498,27.816040,1.099928
1,3,neck,1.229476,56.773715,0.672283
1,4,head,1.282260,70.297952,2.878607
1,5,hair,4.814129,85.264425,1.710345
1,7,zero_joint_hand_l,4.599499,27.816040,1.099927
1,8,clavicle_l,-0.561764,52.246551,1.179950
1,9,arm_l,-17.776177,45.713423,-0.261219
1,10,forearm_l,-39.124274,26.278655,-2.459400
1,11,forearm_twist_l,-49.238324,27.357781,3.759330
1,12,hand_l,-60.005667,28.519643,10.368959
1,13,weapon_l,-67.968820,32.324985,13.256523
1,14,f_big1_l,-63.334561,33.633678,7.906129
1,15,f_big2_l,-65.935367,34.506522,6.736601
1,16,f_big3_l,-69.055787,35.464538,6.628039
1,17,f_main1_l,-71.678037,28.304805,13.775250
1,18,f_main2_l,-75.440122,29.426690,15.106465
1,19,f_main3_l,-79.014257,28.821123,15.109775
1,20,f_pointer1_l,-72.733686,31.426858,10.412744
1,21,f_pointer2_l,-74.975947,32.411000,10.648794
1,22,f_pointer3_l,-77.670154,32.279486,10.693786
1,23,scapular_l,-15.990573,53.069373,-2.874757
1,24,chest_l,-9.500947,35.338877,15.392067
1,25,zero_joint_hand_r,4.599514,27.815826,1.099920
1,26,clavicle_r,3.459579,52.730640,2.303062
1,27,arm_r,20.614118,58.349965,6.206870
1,28,forearm_r,36.754733,77.225037,21.089600
1,29,forearm_twist_r,27.796083,84.547857,23.994143
1,30,hand_r,18.287692,92.326965,27.068959
1,31,weapon_r,9.426143,95.017904,27.748867
1,32,f_big1_r,12.824724,94.237894,23.598194
1,33,f_big2_r,12.205803,93.409035,21.416104
1,34,f_big3_r,8.933840,93.552472,18.985912
1,35,f_main1_r,7.678516,98.956019,29.688162
1,36,f_main2_r,3.067934,99.252480,31.361426
1,37,f_main3_r,0.158686,99.394964,31.314035
1,38,f_pointer1_r,7.231652,99.727851,23.860844
1,39,f_pointer2_r,3.273325,101.602325,24.132848
1,40,f_pointer3_r,0.740522,102.727809,24.068938
1,41,scapular_r,15.111078,63.396344,3.128039
1,42,chest_r,7.365140,37.368642,20.094023
1,43,zero_joint_pelvis_l,3.335969,-0.875011,-0.023422
1,44,thigh_l,-4.954920,0.425965,-3.816187
1,45,calf_l,-42.518083,-30.229366,3.693030
1,46,foot_l,-48.205013,-64.258663,-18.688467
1,47,toe_l,-64.397190,-74.011516,-10.330179
1,48,back_l,-0.315167,-4.644429,-12.671602
1,51,zero_joint_pelvis_r,3.335896,-0.875278,-0.023405
1,52,thigh_r,10.217375,-1.723169,6.038200
1,53,calf_r,33.963545,-35.962260,31.940575
1,54,foot_r,40.536160,-64.185082,2.759440
1,55,toe_r,49.008211,-74.138625,18.769345
1,56,back_r,15.403244,-6.870512,-2.463082
1,57,biceps_twist_l,-28.024111,36.384182,-1.315571
1,58,biceps_twist_r,28.366110,67.416721,13.354201
1,59,thigh_twist_l,-18.714369,-11.287498,-1.530697
1,60,thigh_twist_r,19.109830,-14.751600,15.113849
2,0,pelvis,6.671875,-1.812500,-0.089844
2,1,stomach,7.315237,9.123172,1.208475
2,2,chest,7.707272,26.884463,1.225833
2,3,neck,4.397262,55.850237,0.887178
2,4,head,4.599045,69.385722,3.014517
2,5,hair,8.408084,84.266466,1.640144
2,7,zero_joint_hand_l,7.707267,26.884439,1.225833
2,8,clavicle_l,2.611037,51.327694,1.450927
2,9,arm_l,-14.645752,44.847941,0.306036
2,10,forearm_l,-36.185311,25.621164,-1.853100
2,11,forearm_twist_l,-46.161445,26.876087,4.552606
2,12,hand_l,-56.781937,28.225157,11.361272
2,13,weapon_l,-64.692534,32.059226,14.353400
2,14,f_big1_l,-60.130193,33.343190,8.935009
2,15,f_big2_l,-62.745945,34.214372,7.798048
2,16,f_big3_l,-65.868388,35.169652,7.731736
2,17,f_main1_l,-68.405945,28.051010,14.931332
2,18,f_main2_l,-72.104315,29.281085,16.343072
2,19,f_main3_l,-75.696787,28.814309,16.475022
2,20,f_pointer1_l,-69.499462,31.170277,11.578355
2,21,f_pointer2_l,-71.709673,32.211014,11.867878
2,22,f_pointer3_l,-74.402156,32.179592,11.999027
2,23,scapular_l,-12.888249,52.207795,-2.305393
2,24,chest_l,-5.935364,34.447657,15.934920
2,25,zero_joint_hand_r,7.707287,26.884234,1.225824
2,26,clavicle_r,6.665730,51.802254,2.451542
2,27,arm_r,23.981672,57.404571,5.592710
2,28,forearm_r,40.040307,76.408570,20.399860
2,29,forearm_twist_r,31.138768,83.682202,23.589587
2,30,hand_r,21.690786,91.409181,26.967150
2,31,weapon_r,12.856873,94.100530,27.941365
2,32,f_big1_r,16.130620,93.357024,23.682096
2,33,f_big2_r,15.441258,92.559933,21.509317
2,34,f_big3_r,12.094417,92.746703,19.193280
2,35,f_main1_r,11.177362,98.013476,29.971310
2,36,f_main2_r,6.612895,98.212720,31.779933
2,37,f_main3_r,3.700583,98.263244,31.826468
2,38,f_pointer1_r,10.557175,98.846099,24.168548
2,39,f_pointer2_r,6.583678,100.660491,24.587286
2,40,f_pointer3_r,4.023071,101.726672,24.644507
2,41,scapular_r,18.388085,62.468020,2.728816
2,42,chest_r,11.070320,36.437427,20.123111
2,43,zero_joint_pelvis_l,6.671907,-1.812519,-0.089827
2,44,thigh_l,-1.660749,-0.569100,-3.809664
2,45,calf_l,-39.789427,-30.534752,3.632951
2,46,foot_l,-48.210866,-64.200663,-18.434026
2,47,toe_l,-64.414228,-74.037126,-10.196262
2,48,back_l,2.948012,-5.571033,-12.720026
2,51,zero_joint_pelvis_r,6.671838,-1.812794,-0.089812
2,52,thigh_r,13.610157,-2.622496,5.911926
2,53,calf_r,39.173495,-36.000899,31.200794
2,54,foot_r,47.519515,-64.448989,2.699641
2,55,toe_r,56.722645,-74.393527,18.306507
2,56,back_r,18.768576,-7.697929,-2.649082
2,57,biceps_twist_l,-24.985596,35.618548,-0.729572
2,58,biceps_twist_r,31.694271,66.533236,12.703763
2,59,thigh_twist_l,-15.647125,-12.017829,-1.560434
2,60,thigh_twist_r,23.186317,-15.321702,14.755594
3,0,pelvis,10.000000,-2.625000,-0.175781
3,1,stomach,10.533738,8.310539,1.172401
3,2,chest,10.716613,26.073412,1.425979
3,3,neck,7.458605,55.046272,1.212180
3,4,head,7.816886,68.593435,3.242362
3,5,hair,11.897137,83.382652,1.672379
3,7,zero_joint_hand_l,10.716610,26.073374,1.425978
3,8,clavicle_l,5.678549,50.526593,1.817022
3,9,arm_l,-11.597258,44.060100,0.908347
3,10,forearm_l,-33.274335,24.986126,-1.229707
3,11,forearm_twist_l,-43.103740,26.413208,5.364030
3,12,hand_l,-53.567990,27.945648,12.372873
3,13,weapon_l,-61.431538,31.776270,15.490793
3,14,f_big1_l,-56.960688,33.058874,9.996962
3,15,f_big2_l,-59.597970,33.914692,8.898710
3,16,f_big3_l,-62.727594,34.848448,8.883975
3,17,f_main1_l,-65.131012,27.765349,16.135485
3,18,f_main2_l,-68.745764,29.122126,17.644377
3,19,f_main3_l,-72.346808,28.832697,17.944139
3,20,f_pointer1_l,-66.282980,30.879150,12.797032
3,21,f_pointer2_l,-68.451466,31.985196,13.152443
3,22,f_pointer3_l,-71.136706,32.080689,13.394189
3,23,scapular_l,-9.877199,51.432876,-1.691499
3,24,chest_l,-2.517539,33.644468,16.499688
3,25,zero_joint_hand_r,10.716629,26.073169,1.425972
3,26,clavicle_r,9.759202,50.991579,2.710910
3,27,arm_r,27.185061,56.552804,5.261780
3,28,forearm_r,43.316011,75.622421,19.905058
3,29,forearm_twist_r,34.486099,82.912456,23.252523
3,30,hand_r,25.114036,90.656844,26.797576
3,31,weapon_r,16.311012,93.349765,28.016351
3,32,f_big1_r,19.474253,92.646010,23.670607
3,33,f_big2_r,18.723656,91.884227,21.505456
3,34,f_big3_r,15.307366,92.121892,19.290813
3,35,f_main1_r,14.689386,97.246402,30.124323
3,36,f_main2_r,10.165558,97.343492,32.040238
3,37,f_main3_r,7.255364,97.297401,32.162408
3,38,f_pointer1_r,13.925672,98.134507,24.347621
3,39,f_pointer2_r,9.939474,99.886955,24.890902
3,40,f_pointer3_r,7.358250,100.890560,25.054563
3,41,scapular_r,21.559874,61.654776,2.585659
3,42,chest_r,14.596800,35.594095,20.240252
3,43,zero_joint_pelvis_l,10.000030,-2.624996,-0.175762
3,44,thigh_l,1.632324,-1.453299,-3.839784
3,45,calf_l,-36.999831,-30.763249,3.617585
3,46,foot_l,-48.217131,-64.032621,-17.797053
3,47,toe_l,-64.484225,-74.051161,-9.911864
3,48,back_l,6.240919,-6.362081,-12.801887
3,51,zero_joint_pelvis_r,9.999968,-2.625295,-0.175747
3,52,thigh_r,16.982488,-3.389375,5.780537
3,53,calf_r,42.981399,-36.164470,31.412132
3,54,foot_r,50.289537,-64.607997,2.622854
3,55,toe_r,59.610992,-74.528635,18.174610
3,56,back_r,22.143586,-8.367430,-2.835854
3,57,biceps_twist_l,-22.003093,34.904037,-0.117161
3,58,biceps_twist_r,34.932375,65.712988,12.294130
