frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.328399,10.870805,1.845596
0,2,chest,0.557644,28.619192,1.915954
0,3,neck,-4.465912,57.217022,4.564529
0,4,head,-8.243824,70.082492,7.389892
0,5,hair,-7.061667,85.428631,8.355688
0,7,zero_joint_hand_l,0.557642,28.619193,1.915953
0,8,clavicle_l,-6.003702,52.640309,3.764568
0,9,arm_l,-19.495644,47.221733,-7.624079
0,10,forearm_l,-28.046316,21.539362,-17.899549
0,11,forearm_twist_l,-36.863676,17.319788,-11.060919
0,12,hand_l,-46.234052,12.848163,-3.809771
0,13,weapon_l,-54.184541,11.204641,0.654156
0,14,f_big1_l,-50.017840,16.167526,-0.435088
0,15,f_big2_l,-52.226014,16.643429,2.759382
0,16,f_big3_l,-54.195522,13.510164,4.880378
0,17,f_main1_l,-57.035680,9.502216,-2.047975
0,18,f_main2_l,-54.854949,9.334008,2.418810
0,19,f_main3_l,-50.569668,11.247986,1.611776
0,20,f_pointer1_l,-57.679460,14.659045,-0.960204
0,21,f_pointer2_l,-57.536658,13.134423,3.221540
0,22,f_pointer3_l,-54.242521,14.092434,3.319292
0,23,scapular_l,-18.196992,55.010879,-6.267667
0,24,chest_l,-18.012283,33.540442,11.435412
0,25,zero_joint_hand_r,0.557679,28.619033,1.915928
0,26,clavicle_r,-2.637956,53.000324,6.256390
0,27,arm_r,12.988064,52.306939,16.076851
0,28,forearm_r,30.088357,30.920575,25.483596
0,29,forearm_twist_r,19.420519,26.798825,28.878572
0,30,hand_r,8.096982,22.427402,32.490588
0,31,weapon_r,-0.645567,19.374430,31.719760
0,32,f_big1_r,2.614569,24.972036,30.823207
0,33,f_big2_r,-0.969484,24.654312,28.788765
0,34,f_big3_r,-3.090332,20.559681,27.934515
0,35,f_main1_r,-1.685453,17.551905,35.418045
0,36,f_main2_r,-1.586940,17.287582,30.699901
0,37,f_main3_r,1.921387,19.688874,29.426255
0,38,f_pointer1_r,-3.809283,22.344558,34.619459
0,39,f_pointer2_r,-5.141305,20.415889,30.691338
0,40,f_pointer3_r,-2.388454,21.903985,29.176621
0,41,scapular_r,9.897670,59.354465,13.852593
0,42,chest_r,-3.892972,35.051039,21.878441
0,43,zero_joint_pelvis_l,-0.000004,-0.000003,-0.000003
