frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.313528,10.876388,1.815039
0,2,chest,1.376127,28.608415,2.067065
0,3,neck,-5.283095,56.843060,4.990507
0,4,head,-8.779092,69.832785,7.602153
0,5,hair,-6.368549,85.050532,8.268242
0,7,zero_joint_hand_l,1.376128,28.608408,2.067059
0,8,clavicle_l,-6.542915,52.206428,4.048816
0,9,arm_l,-21.419549,49.015295,-6.420049
0,10,forearm_l,-29.814635,21.311268,-5.878839
0,11,forearm_twist_l,-29.167210,16.712285,5.109684
0,12,hand_l,-28.477472,11.827423,16.773340
0,13,weapon_l,7.039762,-7.384901,37.555048
0,14,f_big1_l,-24.554372,7.841437,19.099821
0,15,f_big2_l,-23.736259,4.300750,20.544235
0,16,f_big3_l,-26.465160,1.832467,22.709677
0,17,f_main1_l,-29.576891,8.098412,27.520712
0,18,f_main2_l,-30.334159,4.110145,24.654093
0,19,f_main3_l,-29.319872,5.703293,20.278209
0,20,f_pointer1_l,-24.434574,6.940846,26.881221
0,21,f_pointer2_l,-26.089138,2.846440,26.306657
0,22,f_pointer3_l,-25.834902,3.360335,22.922877
0,23,scapular_l,-18.645773,56.473455,-5.454259
0,24,chest_l,-17.803332,32.353531,10.887674
0,25,zero_joint_hand_r,1.376170,28.608256,2.067034
0,26,clavicle_r,-3.304345,52.697093,6.682808
0,27,arm_r,11.892640,48.640987,16.362393
0,28,forearm_r,15.095719,20.195704,20.708614
0,29,forearm_twist_r,13.431387,9.640753,26.030918
0,30,hand_r,11.666150,-1.546362,31.680087
0,31,weapon_r,7.045294,-7.375344,37.568865
0,32,f_big1_r,14.323792,-5.042045,36.162202
0,33,f_big2_r,14.156809,-6.650311,39.970583
0,34,f_big3_r,10.141448,-7.597902,42.192262
0,35,f_main1_r,6.515271,-10.829346,35.595591
0,36,f_main2_r,6.648949,-7.891327,39.295680
0,37,f_main3_r,9.168089,-4.455881,38.023769
0,38,f_pointer1_r,11.346241,-12.299533,37.207298
0,39,f_pointer2_r,9.748879,-10.883728,41.253053
0,40,f_pointer3_r,11.374117,-7.857820,40.690339
0,41,scapular_r,9.882991,56.264698,14.961226
0,42,chest_r,-4.221988,34.410578,21.933452
0,43,zero_joint_pelvis_l,0.000000,-0.000000,0.000002
0,44,thigh_l,-8.348917,1.171958,-3.706856
0,45,calf_l,-42.350683,-31.423770,10.023670
0,46,foot_l,-47.490795,-68.875397,-6.169553
0,47,toe_l,-59.928906,-78.961256,6.896991
0,48,back_l,-3.552136,-3.265974,-12.815281
0,51,zero_joint_pelvis_r,-0.000046,-0.000309,0.000010
0,52,thigh_r,6.931159,-0.887925,5.998974
0,53,calf_r,25.482709,-38.696870,31.167458
0,54,foot_r,27.229204,-68.884853,3.294513
0,55,toe_r,34.411362,-78.951548,19.854827
0,56,back_r,12.277339,-5.400686,-2.759971
0,57,biceps_twist_l,-25.453691,35.701410,-6.160596
0,58,biceps_twist_r,13.431132,34.978874,18.451296
0,59,thigh_twist_l,-20.792332,-11.318007,0.928057
0,60,thigh_twist_r,13.817990,-15.263522,14.811709
1,0,pelvis,-5.115234,-7.875000,-3.179688
1,1,stomach,-5.001321,2.994403,-1.300436
1,2,chest,-5.383201,20.709834,-0.021734
1,3,neck,-12.970102,47.985141,6.948451
1,4,head,-17.453121,59.923531,11.963731
