frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,2.025408,10.841147,-0.236074
0,2,chest,3.937762,28.495840,-0.757744
0,3,neck,-1.493256,56.060837,7.037247
0,4,head,-8.739323,66.030670,13.026620
0,5,hair,-10.599676,81.172655,15.283522
0,7,zero_joint_hand_l,3.937365,28.497191,-0.755287
0,8,clavicle_l,-2.770440,51.343980,6.763402
0,9,arm_l,-19.090938,47.519977,-0.989860
0,10,forearm_l,-43.586371,33.204406,4.782631
0,11,forearm_twist_l,-42.893965,40.510764,14.197601
0,12,hand_l,-42.163628,48.266812,24.172120
0,13,weapon_l,-39.880677,50.437170,31.078231
0,14,f_big1_l,-36.787828,49.511765,26.652630
0,15,f_big2_l,-33.958241,51.441469,28.539874
0,16,f_big3_l,-30.227562,53.270131,29.505777
0,17,f_main1_l,-41.402066,54.504011,33.709059
0,18,f_main2_l,-39.624275,49.919938,34.432188
0,19,f_main3_l,-39.288122,48.674988,29.847943
0,20,f_pointer1_l,-36.447802,55.250273,31.966077
0,21,f_pointer2_l,-33.631721,54.627350,35.359233
0,22,f_pointer3_l,-33.043338,51.269987,34.993462
0,23,scapular_l,-16.835180,55.114718,0.230370
0,24,chest_l,-6.560982,30.573933,17.815558
0,25,zero_joint_hand_r,3.939753,28.496051,-0.757675
0,26,clavicle_r,1.359532,52.082159,7.021429
0,27,arm_r,19.802996,52.949016,7.447932
0,28,forearm_r,46.086562,41.508276,3.377661
0,29,forearm_twist_r,43.077503,38.538790,14.541515
0,30,hand_r,39.894038,35.398718,26.381541
0,31,weapon_r,34.796764,30.194169,32.664705
0,32,f_big1_r,34.293435,33.238758,28.188713
0,33,f_big2_r,31.953426,30.070619,29.455713
0,34,f_big3_r,33.660871,26.377710,31.780404
0,35,f_main1_r,38.469109,30.869089,36.652025
0,36,f_main2_r,37.690921,27.294191,33.653371
0,37,f_main3_r,37.649073,29.102838,29.596459
0,38,f_pointer1_r,33.328213,31.948845,35.935829
0,39,f_pointer2_r,33.156538,27.470323,35.001320
0,40,f_pointer3_r,33.315832,28.299502,31.628773
0,41,scapular_r,15.408867,59.617153,7.997346
0,42,chest_r,10.744850,33.673267,18.896626
0,43,zero_joint_pelvis_l,0.002387,0.001627,0.001902
0,44,thigh_l,-8.853748,2.001510,1.545180
0,45,calf_l,-48.164346,-24.475688,14.224445
0,46,foot_l,-71.132266,-51.466984,-6.637248
0,47,toe_l,-75.753086,-60.941150,11.140658
0,48,back_l,-10.508330,-3.732370,-7.933345
0,51,zero_joint_pelvis_r,0.001911,-0.000650,0.000022
0,52,thigh_r,9.047687,-1.352850,1.078231
0,53,calf_r,27.426684,-25.426502,39.676167
0,54,foot_r,32.573237,-52.180274,8.870091
0,55,toe_r,39.780584,-62.254604,25.414811
0,56,back_r,8.035534,-7.209979,-8.426260
0,57,biceps_twist_l,-30.849399,40.647638,1.780722
0,58,biceps_twist_r,32.427568,47.454734,5.494254
0,59,thigh_twist_l,-23.499403,-8.042565,5.661266
0,60,thigh_twist_r,16.046566,-10.755507,15.019447
1,0,pelvis,3.812500,1.437500,1.367188
1,1,stomach,5.929791,12.263643,1.354087
1,2,chest,8.180667,29.880529,0.910982
1,3,neck,1.797400,57.387989,8.169111
1,4,head,-4.935950,67.859718,13.894541
1,5,hair,-6.639397,83.023063,16.131828
1,7,zero_joint_hand_l,8.180101,29.881888,0.913401
1,8,clavicle_l,0.624827,52.646514,7.855356
1,9,arm_l,-15.533480,48.914838,-0.273508
1,10,forearm_l,-39.349008,32.744749,2.830091
1,11,forearm_twist_l,-39.445840,39.739452,12.503183
1,12,hand_l,-39.552278,47.165132,22.751532
1,13,weapon_l,-38.131211,49.362253,29.904697
1,14,f_big1_l,-34.530766,48.920711,25.633273
1,15,f_big2_l,-32.038378,50.858848,27.940582
1,16,f_big3_l,-28.794554,52.768795,29.946748
1,17,f_main1_l,-40.143937,53.076879,32.505353
1,18,f_main2_l,-37.904012,48.699224,33.223720
1,19,f_main3_l,-37.137867,47.641376,28.644176
1,20,f_pointer1_l,-35.208206,54.451696,31.131281
1,21,f_pointer2_l,-32.700533,53.683310,34.730311
1,22,f_pointer3_l,-31.886860,50.422669,34.053534
1,23,scapular_l,-13.281143,56.494624,1.017459
1,24,chest_l,-3.431750,31.879354,18.818134
1,25,zero_joint_hand_r,8.182646,29.880777,0.911167
1,26,clavicle_r,4.718231,53.463159,8.350626
1,27,arm_r,23.109626,54.374506,9.772152
1,28,forearm_r,49.092752,42.361525,5.430617
1,29,forearm_twist_r,44.853938,38.474183,15.891256
1,30,hand_r,40.366682,34.360036,26.987157
1,31,weapon_r,34.450552,29.026798,32.274934
1,32,f_big1_r,34.485760,32.602439,28.255838
1,33,f_big2_r,31.779076,29.573711,29.021606
1,34,f_big3_r,32.977729,25.477272,30.964839
1,35,f_main1_r,37.904069,28.854619,36.561061
1,36,f_main2_r,36.957299,25.748150,33.121457
1,37,f_main3_r,37.330944,28.005042,29.313791
1,38,f_pointer1_r,32.947018,30.541190,35.732709
1,39,f_pointer2_r,32.392985,26.241792,34.260240
1,40,f_pointer3_r,32.830380,27.431537,31.020832
1,41,scapular_r,18.681654,61.038427,10.009092
1,42,chest_r,13.720745,35.307486,20.893276
1,43,zero_joint_pelvis_l,3.814783,1.439091,1.369242
1,44,thigh_l,-5.101351,3.496262,2.409894
1,45,calf_l,-44.947896,-23.050528,13.117356
1,46,foot_l,-69.190020,-51.451204,-4.115944
1,47,toe_l,-77.764544,-59.755941,12.756359
1,48,back_l,-6.239959,-2.137375,-7.203803
1,51,zero_joint_pelvis_r,3.814402,1.436834,1.367315
1,52,thigh_r,12.770882,0.001855,2.960843
1,53,calf_r,29.920819,-26.274986,40.677368
1,54,foot_r,32.605379,-52.208413,8.873026
1,55,toe_r,39.805419,-62.282203,25.421255
1,56,back_r,12.274174,-5.759972,-6.642303
1,57,biceps_twist_l,-26.971933,41.147937,1.216736
1,58,biceps_twist_r,35.589855,48.605181,7.688269
1,59,thigh_twist_l,-19.886876,-6.586716,5.797066
1,60,thigh_twist_r,19.269841,-10.211405,16.548926
2,0,pelvis,8.312500,4.187500,3.351562
