frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.671095,10.876755,1.712983
0,2,chest,3.888196,27.780993,-2.641295
0,3,neck,7.174270,56.297533,-7.749680
0,4,head,5.153556,69.544317,-10.578286
0,5,hair,4.861476,84.232479,-15.269429
0,7,zero_joint_hand_l,3.888195,27.780993,-2.641296
0,8,clavicle_l,4.544858,52.174514,-7.933122
0,9,arm_l,-3.325428,47.348899,-23.928958
0,10,forearm_l,-16.454839,22.543741,-16.815157
0,11,forearm_twist_l,-25.436377,30.044535,-14.454223
0,12,hand_l,-34.962021,37.996663,-11.962944
0,13,weapon_l,-41.267298,43.939065,-8.622013
0,14,f_big1_l,-34.900789,44.013373,-10.318614
0,15,f_big2_l,-35.893917,46.636954,-7.775873
0,16,f_big3_l,-39.334971,46.532660,-5.390259
0,17,f_main1_l,-44.669626,44.206640,-11.226188
0,18,f_main2_l,-42.674718,43.711776,-6.677363
0,19,f_main3_l,-38.529071,41.634169,-7.640551
0,20,f_pointer1_l,-41.317268,48.292813,-11.695671
0,21,f_pointer2_l,-41.739078,48.341354,-7.357889
0,22,f_pointer3_l,-38.787505,46.614628,-7.380463
0,23,scapular_l,2.437354,52.912320,-23.743110
0,24,chest_l,-13.928375,39.404042,0.033673
0,25,zero_joint_hand_r,3.888187,27.780818,-2.641275
0,26,clavicle_r,7.267665,52.431600,-4.743948
0,27,arm_r,23.007280,49.149020,4.343622
0,28,forearm_r,22.170121,23.357621,17.473221
0,29,forearm_twist_r,13.816077,26.548498,25.369151
0,30,hand_r,4.956330,29.936021,33.760105
0,31,weapon_r,-1.143491,35.090836,38.522705
0,32,f_big1_r,3.941341,36.130304,34.617212
0,33,f_big2_r,1.202510,39.102969,34.947297
0,34,f_big3_r,-3.134094,38.454453,36.522226
0,35,f_main1_r,-1.050444,33.638341,42.598044
0,36,f_main2_r,-3.509920,34.688663,38.753893
0,37,f_main3_r,-0.865251,33.757320,35.383026
0,38,f_pointer1_r,1.361584,38.292302,41.783430
0,39,f_pointer2_r,-2.548104,39.249231,39.755809
0,40,f_pointer3_r,-0.964008,38.418505,36.806926
0,41,scapular_r,21.163993,56.568802,1.959892
0,42,chest_r,-2.498661,40.480467,13.408897
0,43,zero_joint_pelvis_l,0.000007,-0.000016,-0.000001
0,44,thigh_l,-8.169606,1.449258,-3.997517
0,45,calf_l,-38.552460,-35.777537,5.910905
0,46,foot_l,-38.323502,-71.117431,-15.120146
0,47,toe_l,-50.699055,-81.125088,-1.934615
0,48,back_l,-3.245114,-3.275129,-12.894130
0,51,zero_joint_pelvis_r,-0.000044,-0.000317,0.000013
0,52,thigh_r,6.687668,-1.082870,6.238548
0,53,calf_r,24.117104,-43.894645,22.685299
0,54,foot_r,36.287562,-71.080231,-5.625832
0,55,toe_r,43.488599,-81.105439,10.951369
0,56,back_r,12.145943,-5.895662,-2.288141
0,57,biceps_twist_l,-9.627733,35.441490,-20.514118
0,58,biceps_twist_r,22.605642,36.769041,10.647698
0,59,thigh_twist_l,-19.186268,-12.696712,-0.791925
0,60,thigh_twist_r,13.259801,-17.168293,11.750940
1,0,pelvis,-4.033203,2.750000,3.038086
1,1,stomach,-3.199245,13.634288,4.627192
1,2,chest,0.739203,30.078718,-0.770226
1,3,neck,8.156893,57.059997,-8.960181
1,4,head,6.990465,69.849612,-13.739389
1,5,hair,6.195811,83.601613,-20.673739
1,7,zero_joint_hand_l,0.739139,30.077927,-0.770834
1,8,clavicle_l,5.004687,53.317924,-8.844629
1,9,arm_l,-1.014097,48.380381,-25.592454
1,10,forearm_l,-9.579755,21.097316,-21.059538
1,11,forearm_twist_l,-19.204981,27.907907,-19.195454
1,12,hand_l,-29.412118,35.128481,-17.231177
1,13,weapon_l,-33.513105,41.803253,-12.251438
1,14,f_big1_l,-27.398656,40.095618,-13.965921
1,15,f_big2_l,-27.668471,42.070054,-10.786237
1,16,f_big3_l,-31.127701,42.538391,-8.508129
1,17,f_main1_l,-36.384828,43.985235,-14.596882
1,18,f_main2_l,-35.020716,41.542088,-10.451771
1,19,f_main3_l,-31.816008,38.498463,-12.148023
1,20,f_pointer1_l,-31.796352,46.575394,-13.971882
1,21,f_pointer2_l,-32.483315,45.549179,-9.813992
1,22,f_pointer3_l,-30.321923,42.978880,-10.491056
1,23,scapular_l,5.609288,52.817242,-24.792212
1,24,chest_l,-15.454015,44.134966,-0.780206
1,25,zero_joint_hand_r,0.738819,30.078506,-0.770641
1,26,clavicle_r,7.556702,53.625911,-5.519063
1,27,arm_r,23.441921,49.840153,3.107789
1,28,forearm_r,19.485361,27.191751,20.705486
1,29,forearm_twist_r,13.595075,33.615822,28.851240
1,30,hand_r,7.352022,40.434804,37.505968
1,31,weapon_r,2.941575,48.154176,40.113718
1,32,f_big1_r,7.728102,46.608795,36.086065
1,33,f_big2_r,5.685046,50.011403,35.364456
1,34,f_big3_r,1.481048,50.923157,37.127855
1,35,f_main1_r,3.065738,48.246708,44.480765
1,36,f_main2_r,0.567223,48.372872,40.533280
1,37,f_main3_r,2.672745,45.744894,37.746608
1,38,f_pointer1_r,6.306360,51.654786,42.024148
1,39,f_pointer2_r,2.537730,52.664757,39.811806
1,40,f_pointer3_r,3.682758,50.507190,37.384325
1,41,scapular_r,21.982253,57.208730,0.331811
1,42,chest_r,-4.735518,45.421723,13.173389
1,43,zero_joint_pelvis_l,-4.033367,2.749538,3.037208
1,44,thigh_l,-12.144217,4.283742,-1.047402
1,45,calf_l,-40.116590,-35.365156,6.207949
1,46,foot_l,-38.589904,-70.653139,-14.856075
1,47,toe_l,-50.728313,-81.223438,-1.890987
1,48,back_l,-7.222691,-0.627492,-9.844547
1,51,zero_joint_pelvis_r,-4.033714,2.749760,3.037775
1,52,thigh_r,2.582599,1.633420,9.346062
1,53,calf_r,19.883319,-42.891089,20.543479
1,54,foot_r,36.169859,-70.483761,-5.187617
1,55,toe_r,43.386228,-80.935636,11.117156
1,56,back_r,8.033389,-3.368712,0.924700
1,57,biceps_twist_l,-5.127952,35.276185,-23.415294
1,58,biceps_twist_r,21.543273,38.969045,11.556499
1,59,thigh_twist_l,-22.228963,-10.720800,1.169066
1,60,thigh_twist_r,9.152393,-14.979813,12.894222
2,0,pelvis,-12.306641,9.000000,6.999023
2,1,stomach,-12.983558,19.736327,9.440653
2,2,chest,-7.796392,35.763500,3.847286
2,3,neck,11.515949,54.015471,-8.152129
2,4,head,19.188618,61.592694,-16.607393
2,5,hair,27.912928,67.829092,-27.690171
2,7,zero_joint_hand_l,-7.796978,35.761614,3.846471
2,8,clavicle_l,7.130508,51.844586,-8.069002
2,9,arm_l,5.335977,44.658645,-24.987532
2,10,forearm_l,2.251041,16.882072,-17.422570
2,11,forearm_twist_l,-9.031289,19.366466,-20.429355
2,12,hand_l,-20.990294,21.998118,-23.628932
2,13,weapon_l,-28.322863,25.954830,-19.536701
2,14,f_big1_l,-21.801833,26.435228,-19.236738
2,15,f_big2_l,-23.636710,27.398683,-16.151927
2,16,f_big3_l,-27.543781,26.347840,-15.232464
2,17,f_main1_l,-30.992332,27.792429,-22.416570
2,18,f_main2_l,-30.056989,24.855682,-18.461233
2,19,f_main3_l,-25.676632,23.334992,-19.455072
2,20,f_pointer1_l,-27.911236,31.304572,-19.903837
2,21,f_pointer2_l,-29.302192,29.143939,-16.437355
2,22,f_pointer3_l,-26.280498,27.540847,-16.778961
2,23,scapular_l,12.554576,46.712165,-22.182095
2,24,chest_l,-16.378378,53.521601,-4.573747
2,25,zero_joint_hand_r,-7.797027,35.763209,3.846256
2,26,clavicle_r,8.929502,52.411767,-4.312811
2,27,arm_r,23.342265,47.897988,6.316996
2,28,forearm_r,19.832220,43.849922,34.770048
2,29,forearm_twist_r,23.112496,54.221481,39.667805
2,30,hand_r,26.605145,65.226229,44.871211
2,31,weapon_r,26.331574,73.880345,41.664037
2,32,f_big1_r,27.101861,68.048889,39.205532
2,33,f_big2_r,25.707718,70.953850,36.820011
2,34,f_big3_r,23.842635,74.906125,38.378160
2,35,f_main1_r,29.200683,76.221643,44.078423
2,36,f_main2_r,24.854311,75.642019,42.497542
2,37,f_main3_r,24.254098,71.327456,42.353885
2,38,f_pointer1_r,30.704351,75.104955,39.112024
2,39,f_pointer2_r,26.650000,76.732035,38.193625
