frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.330263,10.946016,1.328211
0,2,chest,0.624538,28.692039,2.108908
0,3,neck,-12.311497,54.804461,1.166925
0,4,head,-22.325466,64.132622,0.473049
0,5,hair,-19.401633,79.151305,-1.456865
0,7,zero_joint_hand_l,0.624527,28.692059,2.108900
0,8,clavicle_l,-11.600388,50.295407,-0.600664
0,9,arm_l,-8.390323,48.236891,-18.671434
0,10,forearm_l,1.921495,25.395429,-33.170313
0,11,forearm_twist_l,-6.302653,18.573827,-27.864976
0,12,hand_l,-15.054207,11.328526,-22.235548
0,13,weapon_l,-24.065773,11.830330,-20.252760
0,14,f_big1_l,-18.358461,14.122030,-17.970497
0,15,f_big2_l,-21.214282,14.094741,-15.299547
0,16,f_big3_l,-24.770289,11.708411,-15.477531
0,17,f_main1_l,-26.238264,13.133793,-23.743849
0,18,f_main2_l,-25.920478,9.974046,-19.926498
0,19,f_main3_l,-21.231943,9.756196,-19.096432
0,20,f_pointer1_l,-25.403709,16.853235,-20.049626
0,21,f_pointer2_l,-27.227217,13.760898,-17.434281
0,22,f_pointer3_l,-24.101646,12.882036,-16.497641
0,23,scapular_l,-11.822287,54.909404,-15.897672
0,24,chest_l,-19.891819,28.232539,-4.099910
0,25,zero_joint_hand_r,0.624603,28.691944,2.108917
0,26,clavicle_r,-11.061021,50.711778,3.546970
0,27,arm_r,-8.774163,52.596609,21.776409
0,28,forearm_r,-5.151996,38.345475,46.717711
0,29,forearm_twist_r,-15.452203,39.881376,40.914447
0,30,hand_r,-26.418380,41.528315,34.749761
0,31,weapon_r,-24.054772,11.814869,-20.244605
0,32,f_big1_r,-29.231622,38.878735,29.814593
0,33,f_big2_r,-29.495588,39.180435,25.684766
0,34,f_big3_r,-31.038756,40.954849,21.635617
0,35,f_main1_r,-30.860677,47.886037,26.511775
0,36,f_main2_r,-34.498492,49.661160,24.070800
0,37,f_main3_r,-35.903978,51.959371,20.554158
0,38,f_pointer1_r,-30.466650,43.524072,23.538422
0,39,f_pointer2_r,-32.602542,46.260324,20.553424
0,40,f_pointer3_r,-34.224480,48.244148,18.203778
0,41,scapular_r,-12.035815,58.500489,17.451287
0,42,chest_r,-17.622381,29.981556,13.292180
0,43,zero_joint_pelvis_l,0.000004,-0.000016,0.000004
0,44,thigh_l,-4.627708,1.401882,-7.838070
0,45,calf_l,-47.286890,-21.567911,-0.110734
0,46,foot_l,-62.827050,-59.194850,-5.940181
0,47,toe_l,-76.791620,-67.883194,6.576575
0,48,back_l,3.994890,-4.082340,-12.445527
0,51,zero_joint_pelvis_r,-0.000064,-0.000297,0.000001
0,52,thigh_r,2.201896,-0.836026,8.903361
0,53,calf_r,4.766870,-44.607990,30.916198
0,54,foot_r,30.926789,-58.044683,2.169379
0,55,toe_r,25.449754,-68.842615,18.919677
0,56,back_r,11.070652,-6.400661,4.897994
0,57,biceps_twist_l,-3.434147,37.260213,-25.639218
0,58,biceps_twist_r,-7.034373,45.748584,33.763019
0,59,thigh_twist_l,-20.218059,-7.639565,-5.305192
0,60,thigh_twist_r,3.595903,-17.232720,16.638232
1,0,pelvis,9.718750,-0.375000,0.339844
1,1,stomach,11.210480,10.546526,0.768185
1,2,chest,14.806126,27.941955,1.064551
1,3,neck,-1.208677,52.270224,-0.257695
1,4,head,-12.079143,60.554513,-1.247222
1,5,hair,-10.133995,75.790672,-2.629278
1,7,zero_joint_hand_l,14.806113,27.941965,1.064542
1,8,clavicle_l,0.111197,47.894395,-2.010334
1,9,arm_l,5.720519,46.308074,-19.534997
1,10,forearm_l,15.340958,23.858286,-35.082911
1,11,forearm_twist_l,6.623829,18.213079,-29.196720
1,12,hand_l,-2.639732,12.225983,-22.958321
1,13,weapon_l,-11.385136,13.129325,-20.988317
1,14,f_big1_l,-5.793899,14.829441,-18.470708
1,15,f_big2_l,-8.587459,14.698446,-15.734804
1,16,f_big3_l,-12.178793,12.385633,-15.966756
1,17,f_main1_l,-13.821413,14.300749,-24.090939
1,18,f_main2_l,-13.470488,10.919212,-20.466228
1,19,f_main3_l,-8.769531,10.573326,-19.759943
1,20,f_pointer1_l,-12.833590,17.791220,-20.216133
1,21,f_pointer2_l,-14.655709,14.580818,-17.732107
1,22,f_pointer3_l,-11.504763,13.594881,-16.917082
1,23,scapular_l,1.195597,52.507174,-17.263517
1,24,chest_l,-5.277824,25.002168,-5.840095
1,25,zero_joint_hand_r,14.806205,27.941859,1.064561
1,26,clavicle_r,0.455922,48.347177,2.154196
1,27,arm_r,4.107611,50.439668,20.137003
