frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.315406,10.876842,1.811991
0,2,chest,1.374900,28.593552,2.053336
0,3,neck,-5.270592,56.830805,4.982826
0,4,head,-8.766836,69.819507,7.599228
0,5,hair,-6.367245,85.030594,8.276069
0,7,zero_joint_hand_l,1.374569,28.595225,2.056349
0,8,clavicle_l,-6.490943,52.226240,3.858826
0,9,arm_l,-18.490077,47.234187,-9.263480
0,10,forearm_l,-21.461314,22.897306,-24.663851
0,11,forearm_twist_l,-31.857789,22.676563,-18.817309
0,12,hand_l,-42.899625,22.447746,-12.620210
0,13,weapon_l,-49.985004,26.286889,-8.063650
0,14,f_big1_l,-47.300763,26.472463,-14.329896
0,15,f_big2_l,-50.161127,29.335988,-13.898612
0,16,f_big3_l,-51.280077,31.539020,-10.072412
0,17,f_main1_l,-52.155414,23.165329,-6.038626
0,18,f_main2_l,-50.408981,27.662681,-5.852625
0,19,f_main3_l,-46.960824,28.053929,-8.832663
0,20,f_pointer1_l,-54.470608,25.007124,-10.444578
0,21,f_pointer2_l,-55.606161,28.483829,-7.743261
0,22,f_pointer3_l,-52.770587,29.845450,-9.237537
0,23,scapular_l,-17.513678,54.948460,-7.382207
0,24,chest_l,-18.399191,32.357659,9.393981
0,25,zero_joint_hand_r,1.374569,28.595225,2.056349
0,26,clavicle_r,-3.469668,52.636878,6.747917
0,27,arm_r,11.448716,51.374389,17.561920
0,28,forearm_r,24.136870,26.801880,26.134321
0,29,forearm_twist_r,16.341973,18.383908,29.404610
0,30,hand_r,8.068142,9.452152,32.889725
0,31,weapon_r,-49.960098,26.294465,-8.045530
0,32,f_big1_r,3.638095,9.125177,28.558541
0,33,f_big2_r,1.008600,7.388041,25.976409
0,34,f_big3_r,-0.643064,3.660894,23.954034
0,35,f_main1_r,0.001913,1.543468,34.264609
0,36,f_main2_r,1.448269,-0.371270,30.075023
0,37,f_main3_r,3.873434,2.394901,27.356501
0,38,f_pointer1_r,-2.890185,4.746549,31.177802
0,39,f_pointer2_r,-2.944131,1.143696,28.404604
0,40,f_pointer3_r,-0.847189,1.819682,25.722876
0,41,scapular_r,8.731290,58.532853,15.206045
0,42,chest_r,-5.732669,34.078120,21.505919
0,43,zero_joint_pelvis_l,0.000645,0.001499,0.003053
0,44,thigh_l,-8.346391,1.173813,-3.707747
0,45,calf_l,-42.436719,-31.191624,10.344188
0,46,foot_l,-47.098431,-68.581435,-6.134166
0,47,toe_l,-59.590753,-78.641646,6.907105
0,48,back_l,-3.544624,-3.261572,-12.802402
0,51,zero_joint_pelvis_r,0.000645,0.001499,0.003053
0,52,thigh_r,6.927990,-0.886053,6.006523
0,53,calf_r,25.800070,-38.485804,31.249986
0,54,foot_r,27.457871,-68.620558,3.314095
0,55,toe_r,34.813346,-78.624428,19.836800
0,56,back_r,12.274542,-5.398686,-2.741595
0,57,biceps_twist_l,-19.919089,35.545123,-16.659931
0,58,biceps_twist_r,17.546922,39.573113,21.675990
0,59,thigh_twist_l,-20.826545,-11.215989,1.034650
0,60,thigh_twist_r,13.993145,-15.166384,14.833115
1,0,pelvis,0.003906,0.312500,-0.089844
1,1,stomach,0.207671,11.191646,1.724311
1,2,chest,0.993256,28.922744,1.955831
1,3,neck,-5.657727,57.165200,4.822012
1,4,head,-9.081431,70.169544,7.456582
1,5,hair,-6.139681,85.287772,8.071905
1,7,zero_joint_hand_l,0.992949,28.924430,1.958839
1,8,clavicle_l,-6.881919,52.554871,3.727088
1,9,arm_l,-18.720678,47.172584,-9.386626
1,10,forearm_l,-23.386905,21.841342,-22.609258
1,11,forearm_twist_l,-33.938728,22.421491,-17.073921
1,12,hand_l,-45.144884,23.042443,-11.207493
1,13,weapon_l,-50.497698,25.579408,-5.705811
1,14,f_big1_l,-49.359596,27.210497,-13.269318
1,15,f_big2_l,-52.396068,29.755780,-12.407929
1,16,f_big3_l,-53.728905,31.479304,-8.443651
1,17,f_main1_l,-55.098249,23.497994,-5.701490
