frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-2.669076,10.689829,0.540437
0,2,chest,-3.759219,28.199430,-2.159227
0,3,neck,-5.099157,55.721201,-11.690420
0,4,head,-12.835336,67.015028,-12.304123
0,5,hair,-10.383056,82.119913,-14.218023
0,7,zero_joint_hand_l,-3.759219,28.199430,-2.159227
0,8,clavicle_l,-6.471405,51.027633,-11.906540
0,9,arm_l,-18.596224,50.698294,-25.834031
0,10,forearm_l,-46.261516,50.997034,-17.300226
0,11,forearm_twist_l,-40.861921,59.003974,-10.256065
0,12,hand_l,-35.091690,67.321254,-2.684914
0,13,weapon_l,-38.283941,71.852459,5.524336
0,14,f_big1_l,-33.193618,71.796954,0.934902
0,15,f_big2_l,-31.255969,73.328089,3.956798
0,16,f_big3_l,-32.658360,73.428172,7.983898
0,17,f_main1_l,-42.568621,74.015957,2.797069
0,18,f_main2_l,-41.036187,72.039424,7.087212
0,19,f_main3_l,-37.438434,68.965012,6.625815
0,20,f_pointer1_l,-38.394719,77.286169,3.004929
0,21,f_pointer2_l,-38.739243,76.193616,7.296314
0,22,f_pointer3_l,-36.639646,73.886730,8.699642
0,23,scapular_l,-14.586930,57.409222,-24.095854
0,24,chest_l,-23.288373,34.526079,-8.345225
0,25,zero_joint_hand_r,-3.759199,28.199269,-2.159175
0,26,clavicle_r,-5.338383,52.400914,-8.098996
0,27,arm_r,-7.119781,64.233851,5.968803
0,28,forearm_r,-3.993823,79.796452,30.182792
0,29,forearm_twist_r,-10.036467,85.175315,21.425621
0,30,hand_r,-16.484208,90.971935,12.184141
0,31,weapon_r,-38.226153,71.826508,5.546434
0,32,f_big1_r,-20.939453,88.745480,9.763117
0,33,f_big2_r,-23.818679,86.985148,10.714333
0,34,f_big3_r,-28.664298,88.099685,11.095050
0,35,f_main1_r,-22.049053,96.599973,3.640321
0,36,f_main2_r,-25.781029,97.223436,6.663331
0,37,f_main3_r,-25.480659,95.640315,10.592721
0,38,f_pointer1_r,-23.541330,91.608067,2.401377
0,39,f_pointer2_r,-26.894997,92.718907,5.074653
0,40,f_pointer3_r,-28.280494,92.550722,8.193512
0,41,scapular_r,-6.795715,66.905073,-1.570821
0,42,chest_r,-18.525109,40.283915,7.618869
0,43,zero_joint_pelvis_l,0.000000,0.000000,0.000000
0,44,thigh_l,-5.570511,-0.703270,-7.300076
0,45,calf_l,-47.754038,-25.635355,-9.763816
0,46,foot_l,-55.401792,-64.696449,-20.108304
0,47,toe_l,-72.039900,-74.491866,-12.733421
0,48,back_l,3.768072,-4.027519,-12.533813
0,51,zero_joint_pelvis_r,0.000015,-0.000297,0.000018
0,52,thigh_r,3.198085,0.680797,8.609767
0,53,calf_r,18.790660,-45.832522,9.325078
0,54,foot_r,50.765465,-62.421898,-10.516042
0,55,toe_r,48.865403,-73.786107,6.642344
0,56,back_r,12.853367,-2.593221,3.947653
0,57,biceps_twist_l,-31.884081,50.841570,-21.735724
0,58,biceps_twist_r,-5.618513,71.709977,17.597970
0,59,thigh_twist_l,-20.926174,-10.460962,-8.444924
0,60,thigh_twist_r,9.483585,-16.430718,8.519378
