frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-2.486595,10.158882,3.507483
0,2,chest,-7.288343,27.097911,5.760319
0,3,neck,-20.364787,53.038649,8.244595
0,4,head,-24.991505,63.130264,16.277553
0,5,hair,-23.473629,78.458174,16.864536
0,7,zero_joint_hand_l,-7.288361,27.097885,5.760320
0,8,clavicle_l,-20.335383,48.173158,8.779804
0,9,arm_l,-37.260072,41.724736,5.164905
0,10,forearm_l,-43.933934,13.836773,1.164339
0,11,forearm_twist_l,-49.388708,4.384804,6.042118
0,12,hand_l,-54.997584,-5.663653,11.310787
0,13,weapon_l,51.373618,31.213763,-7.728388
0,14,f_big1_l,-54.665285,-7.666317,17.031360
0,15,f_big2_l,-54.314850,-9.466171,20.491837
0,16,f_big3_l,-56.000501,-12.217674,23.300984
0,17,f_main1_l,-63.682855,-11.308174,16.131267
0,18,f_main2_l,-64.665932,-13.676521,17.269744
0,19,f_main3_l,-62.012094,-17.523296,16.485687
0,20,f_pointer1_l,-61.298056,-9.772980,20.600652
0,21,f_pointer2_l,-63.646371,-13.212330,22.155758
0,22,f_pointer3_l,-62.616545,-16.462696,22.233211
0,23,scapular_l,-36.399810,48.648454,8.902505
0,24,chest_l,-19.464096,29.297300,23.270124
0,25,zero_joint_hand_r,-7.288272,27.097733,5.760310
0,26,clavicle_r,-16.580743,50.038318,9.054229
0,27,arm_r,-0.292749,58.696877,8.145743
0,28,forearm_r,25.938941,51.430158,-1.722219
0,29,forearm_twist_r,35.084041,43.857026,-2.793967
0,30,hand_r,44.847899,35.870748,-4.004457
0,31,weapon_r,51.323525,31.227235,-7.715918
0,32,f_big1_r,48.604472,30.573836,-3.111143
0,33,f_big2_r,49.562320,26.858481,-4.774948
0,34,f_big3_r,50.985975,26.308445,-8.977519
0,35,f_main1_r,54.790743,34.817847,-9.225863
0,36,f_main2_r,52.529947,31.125310,-11.084752
0,37,f_main3_r,48.837294,30.583060,-8.634992
0,38,f_pointer1_r,55.601933,31.427661,-5.872074
