frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-1.214769,10.951350,0.329308
0,2,chest,-2.525773,28.653571,-0.398909
0,3,neck,2.036545,57.356457,1.928427
0,4,head,6.952324,69.596811,5.612235
0,5,hair,14.580113,83.000176,5.641906
0,7,zero_joint_hand_l,-2.525812,28.653332,-0.398933
0,8,clavicle_l,0.824960,53.027099,3.865657
0,9,arm_l,-9.432124,62.023129,16.313886
0,10,forearm_l,11.419699,65.967073,36.009829
0,11,forearm_twist_l,20.214656,73.272670,32.632240
0,12,hand_l,29.569589,81.030495,29.043672
0,13,weapon_l,6.688079,91.605608,20.904068
0,14,f_big1_l,27.801562,86.420054,24.602003
0,15,f_big2_l,27.826112,88.562314,21.354412
0,16,f_big3_l,30.176034,91.849562,19.520190
0,17,f_main1_l,35.880403,90.281438,26.925571
0,18,f_main2_l,37.659058,94.135309,24.325062
0,19,f_main3_l,37.925196,92.213958,20.066131
0,20,f_pointer1_l,31.093139,92.664213,26.611721
0,21,f_pointer2_l,32.462032,94.795086,23.010658
0,22,f_pointer3_l,33.280430,93.064379,20.120310
0,23,scapular_l,-10.034875,65.123415,8.024335
0,24,chest_l,6.480353,34.755803,18.076179
0,25,zero_joint_hand_r,-2.525863,28.652861,-0.398951
0,26,clavicle_r,3.485058,52.866701,0.617523
0,27,arm_r,18.746855,57.585729,-8.619692
0,28,forearm_r,26.723824,65.694984,18.005323
0,29,forearm_twist_r,17.789712,73.569670,18.704193
0,30,hand_r,8.314429,81.939181,19.445042
0,31,weapon_r,6.687557,91.598845,20.911385
0,32,f_big1_r,3.297942,84.948672,21.698850
0,33,f_big2_r,-0.557315,87.346164,20.134841
0,34,f_big3_r,-3.818289,90.135497,22.007327
0,35,f_main1_r,6.945188,93.085147,17.955595
0,36,f_main2_r,5.900666,93.290600,22.454230
0,37,f_main3_r,5.190957,90.644228,25.955540
0,38,f_pointer1_r,1.936929,92.188705,18.830706
0,39,f_pointer2_r,0.747882,94.842378,22.366823
0,40,f_pointer3_r,-0.149187,92.416741,24.690295
0,41,scapular_r,13.276568,63.116733,-6.715838
0,42,chest_r,17.635841,34.083552,4.454560
0,43,zero_joint_pelvis_l,0.000103,-0.000900,-0.000056
0,44,thigh_l,-8.918252,-0.744269,2.174691
0,45,calf_l,-30.438373,-42.775767,15.492594
0,46,foot_l,-39.646097,-73.814894,-9.865956
0,47,toe_l,-45.390522,-84.143099,7.073090
0,48,back_l,-9.536350,-6.297088,-7.536642
0,51,zero_joint_pelvis_r,0.000141,-0.000876,0.000047
0,52,thigh_r,9.104337,1.306291,0.468926
0,53,calf_r,33.194743,-37.425160,18.542552
0,54,foot_r,43.112924,-74.146529,2.908091
0,55,toe_r,49.019999,-84.207176,19.951898
0,56,back_r,9.127090,-4.174346,-9.301545
0,57,biceps_twist_l,0.582200,63.915270,25.775223
0,58,biceps_twist_r,22.580135,61.484118,4.175216
0,59,thigh_twist_l,-16.933205,-16.531426,6.515870
0,60,thigh_twist_r,18.005434,-13.349082,6.612350
1,0,pelvis,5.523438,-5.625000,-0.687500
1,1,stomach,4.061630,5.283128,-0.061373
1,2,chest,1.968692,22.924305,0.100395
1,3,neck,5.581508,51.430087,4.952607
1,4,head,10.503873,63.233351,9.874894
1,5,hair,17.974007,76.654243,11.257281
