frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.324235,10.875322,-1.819541
0,2,chest,1.409528,28.590287,-2.074235
0,3,neck,-5.234135,56.827264,-5.010527
0,4,head,-8.757842,69.812534,-7.607043
0,5,hair,-6.308595,85.004177,-8.631434
0,7,zero_joint_hand_l,1.407882,28.591796,-2.075981
0,8,clavicle_l,-3.255652,52.682762,-6.699384
0,9,arm_l,12.724528,52.086348,-15.939128
0,10,forearm_l,30.078161,30.877560,-25.283763
0,11,forearm_twist_l,19.403544,26.773480,-28.706335
0,12,hand_l,8.115972,22.381845,-32.378664
0,13,weapon_l,-0.647968,19.277901,-31.626027
0,14,f_big1_l,2.535026,24.888026,-30.716606
0,15,f_big2_l,-1.156636,24.427768,-28.726790
0,16,f_big3_l,-3.234669,20.042836,-28.033695
0,17,f_main1_l,-1.465247,17.471163,-35.338503
0,18,f_main2_l,-1.413587,17.228770,-30.829594
0,19,f_main3_l,1.796819,19.555557,-29.468200
0,20,f_pointer1_l,-3.814234,22.153361,-34.573695
0,21,f_pointer2_l,-5.105353,20.191139,-30.620895
0,22,f_pointer3_l,-2.394451,21.763691,-29.128343
0,23,scapular_l,9.541425,59.093974,-13.744916
0,24,chest_l,-4.160621,34.390463,-21.931156
0,25,zero_joint_hand_r,1.408023,28.589925,-2.072963
0,26,clavicle_r,-6.495125,52.191672,-4.066527
0,27,arm_r,-19.727684,47.065518,7.778063
0,28,forearm_r,-27.928529,21.291655,18.109474
0,29,forearm_twist_r,-36.772824,17.158532,11.252753
0,30,hand_r,-46.122876,12.793392,3.965039
0,31,weapon_r,-54.190362,11.081220,-0.586302
0,32,f_big1_r,-49.849279,16.094984,0.655528
0,33,f_big2_r,-51.921338,16.683849,-2.509477
0,34,f_big3_r,-53.777891,13.854755,-4.769329
0,35,f_main1_r,-57.026311,9.377647,2.052652
0,36,f_main2_r,-54.715215,9.267824,-2.596146
0,37,f_main3_r,-50.199350,11.244412,-1.555223
0,38,f_pointer1_r,-57.513727,14.579080,1.082179
0,39,f_pointer2_r,-57.382236,13.122978,-3.111725
0,40,f_pointer3_r,-54.090974,14.042558,-3.189486
0,41,scapular_r,-18.369694,54.827398,6.297863
0,42,chest_r,-17.745714,32.325535,-10.922128
0,43,zero_joint_pelvis_l,-0.002706,0.001937,-0.000919
0,44,thigh_l,6.923489,-0.898079,-6.003432
0,45,calf_l,25.842860,-38.455653,-31.274264
0,46,foot_l,27.556108,-68.552001,-3.300343
0,47,toe_l,34.750220,-78.620515,-19.854360
0,48,back_l,12.260182,-5.407217,2.748424
0,51,zero_joint_pelvis_r,-0.001722,-0.000049,0.001056
0,52,thigh_r,-8.345743,1.183300,3.715088
0,53,calf_r,-42.463244,-31.148980,-10.347229
0,54,foot_r,-47.124174,-68.517702,6.179113
0,55,toe_r,-59.561105,-78.618933,-6.876674
0,56,back_r,-3.543676,-3.258219,12.810331
0,57,biceps_twist_l,21.046639,41.892702,-20.435362
0,58,biceps_twist_r,-23.671379,34.692278,12.729504
0,59,thigh_twist_l,13.953707,-15.167194,-14.843803
0,60,thigh_twist_r,-20.827294,-11.218200,-1.052920
1,0,pelvis,-0.988281,1.500000,-1.136719
1,1,stomach,-0.534163,12.378326,-2.909931
1,2,chest,0.361206,30.105559,-2.830731
1,3,neck,-5.769001,58.579410,-4.152583
1,4,head,-9.331572,71.533636,-6.849200
1,5,hair,-6.915099,86.763106,-7.090318
1,7,zero_joint_hand_l,0.359563,30.107189,-2.832368
1,8,clavicle_l,-3.898988,54.494496,-6.091670
1,9,arm_l,10.641699,55.394236,-17.443040
1,10,forearm_l,27.020707,34.014825,-28.070003
1,11,forearm_twist_l,15.802155,30.482298,-30.112124
1,12,hand_l,3.930117,26.694713,-32.323608
1,13,weapon_l,-4.964477,24.209579,-31.012929
1,14,f_big1_l,-1.266488,29.465657,-29.959457
1,15,f_big2_l,-4.799929,29.157096,-27.660005
1,16,f_big3_l,-7.102652,24.851297,-27.104648
1,17,f_main1_l,-6.235352,22.797096,-34.765837
1,18,f_main2_l,-5.708648,22.219050,-30.326268
1,19,f_main3_l,-2.187852,24.249221,-29.346102
1,20,f_pointer1_l,-8.122212,27.557102,-33.419973
1,21,f_pointer2_l,-9.127987,25.404472,-29.478842
1,22,f_pointer3_l,-6.145706,26.740428,-28.307999
1,23,scapular_l,7.457023,62.057647,-14.358959
1,24,chest_l,-5.400019,37.062661,-22.256820
1,25,zero_joint_hand_r,0.359713,30.105157,-2.829456
1,26,clavicle_r,-7.108185,53.924121,-3.437801
1,27,arm_r,-18.663747,48.188124,9.800018
1,28,forearm_r,-22.483102,22.130033,21.827999
1,29,forearm_twist_r,-31.462556,16.352818,16.507101
1,30,hand_r,-40.976326,10.234308,10.847088
1,31,weapon_r,-48.675918,8.398679,5.740493
1,32,f_big1_r,-44.536164,13.488712,7.314970
1,33,f_big2_r,-46.398822,14.063563,4.019899
1,34,f_big3_r,-48.036661,11.217570,1.616715
1,35,f_main1_r,-51.649310,6.613861,8.165820
1,36,f_main2_r,-49.023899,6.593103,3.685716
1,37,f_main3_r,-44.632298,8.652093,5.048747
1,38,f_pointer1_r,-52.178234,11.812620,7.203174
1,39,f_pointer2_r,-51.729684,10.397291,3.017246
1,40,f_pointer3_r,-48.460853,11.384601,3.172287
1,41,scapular_r,-17.104233,55.997310,8.856666
1,42,chest_r,-18.851247,34.669025,-11.150410
1,43,zero_joint_pelvis_l,-0.990910,1.501937,-1.137840
1,44,thigh_l,6.376167,0.615964,-6.592525
1,45,calf_l,24.680198,-38.451665,-29.955139
1,46,foot_l,27.929875,-68.874605,-2.475147
1,47,toe_l,33.662738,-78.531938,-19.825533
1,48,back_l,11.029237,-3.902951,2.536327
1,51,zero_joint_pelvis_r,-0.990079,1.499948,-1.135798
1,52,thigh_r,-9.595435,2.671796,1.928784
1,53,calf_r,-43.449454,-30.603014,-10.473689
1,54,foot_r,-46.340275,-68.462026,5.325171
1,55,toe_r,-59.440617,-78.545055,-7.079637
1,56,back_r,-5.501817,-1.780400,11.359088
1,57,biceps_twist_l,18.495022,45.118578,-22.553837
1,58,biceps_twist_r,-20.504532,35.677395,15.567145
1,59,thigh_twist_l,13.191957,-14.194124,-14.714020
1,60,thigh_twist_r,-21.937753,-10.079372,-2.241963
2,0,pelvis,-3.293945,4.187500,-2.765625
2,1,stomach,-3.008018,15.075578,-4.513903
2,2,chest,-2.557676,32.819774,-4.455316
2,3,neck,-8.840817,61.290063,-4.227943
2,4,head,-12.728124,74.142595,-6.962337
2,5,hair,-10.733880,89.429618,-6.557173
2,7,zero_joint_hand_l,-2.559464,32.821452,-4.456740
2,8,clavicle_l,-7.145855,57.283980,-6.468903
2,9,arm_l,4.574656,59.026803,-20.635305
2,10,forearm_l,18.908484,37.058963,-32.892499
2,11,forearm_twist_l,7.532953,33.439539,-32.848178
2,12,hand_l,-4.513325,29.557667,-32.848592
2,13,weapon_l,-13.200586,27.039940,-30.568212
2,14,f_big1_l,-9.216007,32.061939,-29.412936
2,15,f_big2_l,-12.391941,31.464250,-26.700781
2,16,f_big3_l,-14.793927,27.204198,-26.371156
2,17,f_main1_l,-15.053852,26.146421,-34.239964
2,18,f_main2_l,-14.018042,24.931321,-30.015947
2,19,f_main3_l,-10.317342,26.657606,-29.067898
2,20,f_pointer1_l,-16.563047,30.717087,-32.036104
2,21,f_pointer2_l,-17.165851,28.050347,-28.339207
2,22,f_pointer3_l,-14.012861,29.052071,-27.288100
2,23,scapular_l,1.717968,65.495039,-16.886172
2,24,chest_l,-10.069877,40.410632,-23.027112
2,25,zero_joint_hand_r,-2.559046,32.819321,-4.453926
2,26,clavicle_r,-10.102158,56.605648,-3.559016
2,27,arm_r,-18.595322,50.722111,11.768176
2,28,forearm_r,-18.358230,25.093246,25.236241
2,29,forearm_twist_r,-27.103935,17.268650,23.089823
2,30,hand_r,-36.389395,8.966698,20.801335
2,31,weapon_r,-43.945254,6.636059,15.681989
2,32,f_big1_r,-40.156960,11.986848,17.276622
2,33,f_big2_r,-42.051747,12.446312,13.981769
2,34,f_big3_r,-43.493577,9.504889,11.567924
