frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.321059,10.876623,1.812310
0,2,chest,1.370423,28.593707,2.070205
0,3,neck,-5.272223,56.832886,4.987557
0,4,head,-8.776832,69.821287,7.594236
0,5,hair,-6.371932,85.039676,8.266050
0,7,zero_joint_hand_l,1.370417,28.593706,2.070200
0,8,clavicle_l,-6.472731,52.235818,3.810447
0,9,arm_l,-19.601699,46.450803,-7.819624
0,10,forearm_l,-27.724177,20.997451,3.335449
0,11,forearm_twist_l,-30.003602,19.558403,14.964606
0,12,hand_l,-32.435376,18.038486,27.307734
0,13,weapon_l,-38.286450,13.794070,33.083170
0,14,f_big1_l,-37.337557,19.738672,30.434954
0,15,f_big2_l,-39.425973,19.805684,33.742733
0,16,f_big3_l,-39.462851,16.725550,36.693407
0,17,f_main1_l,-39.925925,10.300733,31.155886
0,18,f_main2_l,-37.904141,12.323370,35.224959
0,19,f_main3_l,-35.233039,15.860296,33.472621
0,20,f_pointer1_l,-43.135247,14.528790,31.277830
0,21,f_pointer2_l,-42.163167,14.338045,35.619550
0,22,f_pointer3_l,-39.836874,16.798746,35.073107
0,23,scapular_l,-18.886492,54.230117,-6.045546
0,24,chest_l,-18.570018,32.369235,8.984339
0,25,zero_joint_hand_r,1.370470,28.593562,2.070188
0,26,clavicle_r,-3.516686,52.624636,6.773179
0,27,arm_r,9.155092,50.983411,20.108363
0,28,forearm_r,3.088189,22.950596,24.062781
0,29,forearm_twist_r,-5.969253,15.469410,26.183756
0,30,hand_r,-15.569548,7.537719,28.442806
0,31,weapon_r,-38.308890,13.762968,33.059581
0,32,f_big1_r,-21.637893,9.073516,28.053406
0,33,f_big2_r,-25.281577,8.671616,26.135010
0,34,f_big3_r,-26.530663,4.832190,23.756884
0,35,f_main1_r,-23.613713,-0.365250,29.374520
0,36,f_main2_r,-24.023263,1.235686,24.942061
0,37,f_main3_r,-21.305500,4.738225,24.663898
0,38,f_pointer1_r,-26.821725,3.669084,30.611507
0,39,f_pointer2_r,-28.153898,3.129344,26.264790
0,40,f_pointer3_r,-25.997839,5.721563,25.416972
0,41,scapular_r,4.860501,57.708494,19.390519
0,42,chest_r,-6.165230,34.001990,21.400036
0,43,zero_joint_pelvis_l,0.000008,-0.000015,-0.000001
0,44,thigh_l,-8.346767,1.177755,-3.709534
0,45,calf_l,-42.472407,-31.180843,10.272267
0,46,foot_l,-47.194837,-68.557298,-6.219093
0,47,toe_l,-59.568991,-78.658401,6.896308
0,48,back_l,-3.551716,-3.265615,-12.815494
0,51,zero_joint_pelvis_r,-0.000032,-0.000317,0.000011
0,52,thigh_r,6.928742,-0.892621,6.001265
0,53,calf_r,25.889943,-38.465200,31.218384
0,54,foot_r,27.619942,-68.590737,3.276932
0,55,toe_r,34.784485,-78.652745,19.847720
0,56,back_r,12.274164,-5.409702,-2.756508
0,57,biceps_twist_l,-23.504866,34.218425,-2.459090
0,58,biceps_twist_r,6.240437,37.519509,22.008869
0,59,thigh_twist_l,-20.827744,-11.217979,1.015162
0,60,thigh_twist_r,13.986188,-15.190672,14.837464
1,0,pelvis,-5.375000,-0.062500,-1.746094
1,1,stomach,-5.102800,10.821139,0.031764
1,2,chest,-4.006195,28.529680,0.549241
1,3,neck,-10.160904,56.639299,5.245601
1,4,head,-13.361170,69.508134,8.699152
1,5,hair,-10.922439,84.716157,9.475605
1,7,zero_joint_hand_l,-4.006202,28.529679,0.549237
1,8,clavicle_l,-11.502096,52.093007,4.024007
1,9,arm_l,-25.430899,45.655571,-6.254251
1,10,forearm_l,-31.622831,19.037434,3.307036
1,11,forearm_twist_l,-32.294726,19.266277,15.223416
1,12,hand_l,-33.020452,19.516199,27.872027
1,13,weapon_l,-37.966425,15.962166,33.560427
1,14,f_big1_l,-37.731308,21.267687,31.252557
1,15,f_big2_l,-39.564246,21.494482,34.701655
1,16,f_big3_l,-39.260143,18.623114,37.846668
1,17,f_main1_l,-39.897261,11.820284,32.798949
1,18,f_main2_l,-37.653022,14.182613,36.551280
1,19,f_main3_l,-35.259235,17.676019,34.364678
1,20,f_pointer1_l,-43.240276,15.942918,32.888375
1,21,f_pointer2_l,-41.936565,16.084599,37.140121
1,22,f_pointer3_l,-39.753751,18.576733,36.251367
1,23,scapular_l,-24.965085,53.451060,-4.468515
1,24,chest_l,-23.087760,32.050645,9.669427
1,25,zero_joint_hand_r,-4.006151,28.529536,0.549214
1,26,clavicle_r,-8.248421,52.362672,6.671277
1,27,arm_r,5.682359,51.174596,18.738446
1,28,forearm_r,4.884633,22.505910,22.707516
1,29,forearm_twist_r,-4.812518,16.250839,25.733541
1,30,hand_r,-15.103415,9.610704,28.956046
1,31,weapon_r,-37.996957,15.934128,33.532735
1,32,f_big1_r,-21.155680,11.204435,28.537041
1,33,f_big2_r,-24.829504,10.726047,26.695206
1,34,f_big3_r,-26.163124,6.751626,24.601805
1,35,f_main1_r,-23.249530,1.904860,30.527118
1,36,f_main2_r,-23.694441,3.205079,26.000651
1,37,f_main3_r,-20.929357,6.642764,25.450430
1,38,f_pointer1_r,-26.384857,6.061194,31.523078
1,39,f_pointer2_r,-27.781058,5.244970,27.240047
1,40,f_pointer3_r,-25.600378,7.741094,26.190772
1,41,scapular_r,1.161789,57.779641,18.389833
1,42,chest_r,-9.435795,33.184058,20.761470
1,43,zero_joint_pelvis_l,-5.374992,-0.062515,-1.746096
1,44,thigh_l,-14.129275,0.908909,-4.435948
1,45,calf_l,-47.557040,-31.966069,10.019129
1,46,foot_l,-50.223694,-68.603463,-8.470217
1,47,toe_l,-59.596631,-78.690239,6.943113
1,48,back_l,-10.344457,-3.430008,-14.053823
1,51,zero_joint_pelvis_r,-5.375023,-0.062817,-1.746080
1,52,thigh_r,2.237110,-0.779907,3.388157
1,53,calf_r,23.732346,-36.712788,28.959856
1,54,foot_r,27.595491,-68.603611,3.282685
1,55,toe_r,34.752164,-78.667531,19.855713
1,56,back_r,6.611380,-5.178790,-5.949495
1,57,biceps_twist_l,-28.406342,32.863450,-1.659741
1,58,biceps_twist_r,5.298397,37.397418,20.647127
1,59,thigh_twist_l,-26.369378,-11.681642,0.460798
1,60,thigh_twist_r,10.244214,-14.478826,12.362905
2,0,pelvis,-13.062500,-0.937500,-4.878906
2,1,stomach,-12.748946,9.970419,-3.264144
2,2,chest,-11.395256,27.633505,-2.148052
2,3,neck,-15.995081,55.081333,6.543628
2,4,head,-18.280194,67.510413,11.841915
2,5,hair,-15.791839,82.685171,13.011983
2,7,zero_joint_hand_l,-11.395263,27.633505,-2.148054
2,8,clavicle_l,-17.622430,50.618946,5.360924
2,9,arm_l,-33.176148,43.126958,-1.200075
2,10,forearm_l,-38.206010,15.576664,6.146030
2,11,forearm_twist_l,-36.201987,19.017033,17.399994
2,12,hand_l,-34.087346,22.675560,29.346540
2,13,weapon_l,-37.076430,20.585728,34.923128
2,14,f_big1_l,-38.325247,24.621778,33.207584
2,15,f_big2_l,-39.543412,25.375535,36.848367
2,16,f_big3_l,-38.319157,23.256149,40.341874
2,17,f_main1_l,-38.913680,15.537916,36.855228
2,18,f_main2_l,-36.382553,18.827297,39.595557
2,19,f_main3_l,-34.890467,22.010169,36.377121
2,20,f_pointer1_l,-42.712317,19.246241,36.844977
2,21,f_pointer2_l,-40.719222,20.382711,40.657206
2,22,f_pointer3_l,-39.073621,22.837904,38.912868
2,23,scapular_l,-33.013980,50.803582,1.084778
2,24,chest_l,-27.084708,29.876900,12.291108
2,25,zero_joint_hand_r,-11.395221,27.633365,-2.148103
2,26,clavicle_r,-13.748865,50.752654,6.987198
2,27,arm_r,3.072263,50.997757,14.608505
2,28,forearm_r,6.669992,22.617130,19.067181
2,29,forearm_twist_r,-3.245838,18.620158,24.360383
2,30,hand_r,-13.767183,14.377763,29.989051
2,31,weapon_r,-37.097720,20.553806,34.890776
2,32,f_big1_r,-19.815857,15.980286,29.552110
2,33,f_big2_r,-23.569348,15.261769,27.966791
2,34,f_big3_r,-25.029904,11.015638,26.627373
2,35,f_main1_r,-21.908907,7.187746,33.158719
2,36,f_main2_r,-22.533578,7.717661,28.499707
2,37,f_main3_r,-19.760999,10.967471,27.267781
2,38,f_pointer1_r,-24.964523,11.501298,33.569573
2,39,f_pointer2_r,-26.549732,10.001686,29.544871
2,40,f_pointer3_r,-24.391326,12.249355,28.003363
2,41,scapular_r,-2.000089,57.090631,15.763102
2,42,chest_r,-10.836204,30.441144,19.100068
2,43,zero_joint_pelvis_l,-13.062492,-0.937514,-4.878911
2,44,thigh_l,-22.254193,-0.364310,-4.856156
