frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.322815,10.877453,1.807007
0,2,chest,1.380000,28.594089,2.063773
0,3,neck,-5.266522,56.832578,4.978974
0,4,head,-8.760054,69.822678,7.592053
0,5,hair,-6.358636,85.033454,8.269406
0,7,zero_joint_hand_l,1.379891,28.595828,2.066768
0,8,clavicle_l,-6.521006,52.200163,4.037472
0,9,arm_l,-19.729449,47.046311,-7.797628
0,10,forearm_l,-27.959317,21.247994,-18.088623
0,11,forearm_twist_l,-36.791652,17.121495,-11.226189
0,12,hand_l,-46.198377,12.738193,-3.927362
0,13,weapon_l,-54.160021,11.200938,0.628553
0,14,f_big1_l,-49.970978,16.150603,-0.644875
0,15,f_big2_l,-52.164160,16.718334,2.542554
0,16,f_big3_l,-54.113804,13.642652,4.771307
0,17,f_main1_l,-56.964355,9.415295,-2.013399
0,18,f_main2_l,-54.764145,9.394402,2.438232
0,19,f_main3_l,-50.486652,11.299313,1.549578
0,20,f_pointer1_l,-57.644495,14.595333,-1.083209
0,21,f_pointer2_l,-57.476263,13.202558,3.143341
0,22,f_pointer3_l,-54.185167,14.174495,3.195303
0,23,scapular_l,-18.392243,54.803535,-6.328875
0,24,chest_l,-17.790565,32.347536,10.865443
0,25,zero_joint_hand_r,1.381583,28.594170,2.064997
0,26,clavicle_r,-3.285201,52.686920,6.675590
0,27,arm_r,12.684623,52.103587,15.934055
0,28,forearm_r,30.109877,30.952055,25.275185
0,29,forearm_twist_r,19.475009,26.786842,28.747146
0,30,hand_r,8.201533,22.374744,32.438057
0,31,weapon_r,-0.601032,19.145863,31.705783
0,32,f_big1_r,2.687332,24.810638,30.711496
0,33,f_big2_r,-0.885459,24.400080,28.673766
0,34,f_big3_r,-2.938560,20.262467,27.885119
0,35,f_main1_r,-1.506809,17.403487,35.419981
0,36,f_main2_r,-1.391436,17.060279,30.711218
0,37,f_main3_r,2.083506,19.492108,29.404390
0,38,f_pointer1_r,-3.700959,22.146945,34.535313
0,39,f_pointer2_r,-4.992900,20.130058,30.633647
0,40,f_pointer3_r,-2.257085,21.635343,29.100674
0,41,scapular_r,9.507854,59.117746,13.721546
0,42,chest_r,-4.226775,34.394059,21.922289
0,43,zero_joint_pelvis_l,-0.001029,0.001726,0.001984
0,44,thigh_l,-8.346169,1.178729,-3.710390
0,45,calf_l,-42.459111,-31.175019,10.313558
0,46,foot_l,-47.200848,-68.549377,-6.177014
0,47,toe_l,-59.558456,-78.686815,6.925947
