frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.320196,10.877706,1.805950
0,2,chest,1.364796,28.594987,2.069561
0,3,neck,-5.330789,56.819083,5.011750
0,4,head,-8.776019,69.829238,7.588934
0,5,hair,-6.384725,85.050368,8.247068
0,7,zero_joint_hand_l,1.364338,28.596923,2.069758
0,8,clavicle_l,-6.581296,52.184355,4.066413
0,9,arm_l,-19.772048,47.075433,-7.807833
0,10,forearm_l,-28.004573,21.261492,-18.013196
0,11,forearm_twist_l,-36.856001,17.116197,-11.159534
0,12,hand_l,-46.248779,12.728537,-3.899723
0,13,weapon_l,-54.184206,11.177506,0.664951
0,14,f_big1_l,-50.024181,16.139198,-0.610544
0,15,f_big2_l,-52.218005,16.702921,2.579550
0,16,f_big3_l,-54.166075,13.624090,4.805374
0,17,f_main1_l,-57.021032,9.397252,-1.987541
0,18,f_main2_l,-54.817533,9.372108,2.471158
0,19,f_main3_l,-50.540529,11.279114,1.584620
0,20,f_pointer1_l,-57.695286,14.581052,-1.051472
0,21,f_pointer2_l,-57.525810,13.184242,3.173697
0,22,f_pointer3_l,-54.234980,14.157053,3.226295
0,23,scapular_l,-18.426998,54.828501,-6.321466
0,24,chest_l,-17.834511,32.310260,10.861587
0,25,zero_joint_hand_r,1.364840,28.594827,2.069529
0,26,clavicle_r,-3.348865,52.673516,6.705104
0,27,arm_r,12.647394,52.133936,15.920487
0,28,forearm_r,30.067923,30.992331,25.292850
0,29,forearm_twist_r,19.440439,26.807425,28.763740
0,30,hand_r,8.175914,22.373323,32.455613
0,31,weapon_r,-0.610982,19.141669,31.727088
0,32,f_big1_r,2.651640,24.807470,30.739907
0,33,f_big2_r,-0.926819,24.393706,28.704808
0,34,f_big3_r,-2.978741,20.251501,27.914080
0,35,f_main1_r,-1.535976,17.382740,35.452889
0,36,f_main2_r,-1.428143,17.044123,30.735779
0,37,f_main3_r,2.048756,19.485446,29.425351
0,38,f_pointer1_r,-3.737154,22.126490,34.575636
0,39,f_pointer2_r,-5.032635,20.112147,30.673829
0,40,f_pointer3_r,-2.300962,21.621832,29.137802
0,41,scapular_r,9.460376,59.148362,13.720795
0,42,chest_r,-4.274077,34.368165,21.932865
0,43,zero_joint_pelvis_l,0.000588,-0.000478,0.002725
0,44,thigh_l,-8.347576,1.174074,-3.705051
0,45,calf_l,-42.443749,-31.191239,10.332984
0,46,foot_l,-47.143210,-68.569166,-6.161600
0,47,toe_l,-59.580205,-78.660176,6.902029
0,48,back_l,-3.553229,-3.273792,-12.810220
0,51,zero_joint_pelvis_r,0.001630,-0.000528,0.001074
0,52,thigh_r,6.931670,-0.888597,6.001494
0,53,calf_r,25.862350,-38.464606,31.236427
0,54,foot_r,27.589989,-68.599821,3.305266
0,55,toe_r,34.799575,-78.659415,19.857974
0,56,back_r,12.275933,-5.410030,-2.754742
0,57,biceps_twist_l,-23.730848,34.670676,-12.712019
0,58,biceps_twist_r,21.018763,41.974085,20.425901
0,59,thigh_twist_l,-20.829501,-11.234296,1.044132
0,60,thigh_twist_r,13.978921,-15.188269,14.843240
1,0,pelvis,-0.304688,-1.187500,-1.101562
1,1,stomach,0.239935,9.636927,0.911231
1,2,chest,1.971724,27.274654,1.559122
1,3,neck,-4.330590,55.326085,6.310340
1,4,head,-7.080589,68.330374,9.544691
1,5,hair,-5.066609,83.590861,10.491075
1,7,zero_joint_hand_l,1.971292,27.276579,1.559444
1,8,clavicle_l,-5.665245,50.749150,5.221312
1,9,arm_l,-19.772048,45.361640,-5.384852
1,10,forearm_l,-26.920669,19.513599,-16.296288
1,11,forearm_twist_l,-34.769910,15.244951,-8.379723
1,12,hand_l,-43.100811,10.728018,0.009205
1,13,weapon_l,-50.382140,9.477501,5.675414
1,14,f_big1_l,-46.496982,14.360324,3.470034
1,15,f_big2_l,-48.279996,15.162647,6.858911
1,16,f_big3_l,-49.868235,12.258124,9.555150
1,17,f_main1_l,-53.475122,7.461472,3.544162
1,18,f_main2_l,-50.724617,7.823736,7.672056
1,19,f_main3_l,-46.633511,9.692965,6.095915
1,20,f_pointer1_l,-54.129299,12.696875,4.139935
1,21,f_pointer2_l,-53.398039,11.653237,8.407011
1,22,f_pointer3_l,-50.147261,12.658988,7.960240
1,23,scapular_l,-18.450844,53.137199,-4.054778
1,24,chest_l,-16.612084,30.616930,11.717253
1,25,zero_joint_hand_r,1.971764,27.274496,1.559080
1,26,clavicle_r,-2.279758,51.093231,7.665150
1,27,arm_r,14.461804,50.724173,15.417678
1,28,forearm_r,31.861936,29.453900,24.533290
1,29,forearm_twist_r,21.569217,25.307579,28.934643
1,30,hand_r,10.660534,20.914684,33.612656
1,31,weapon_r,1.988957,17.369482,33.713716
1,32,f_big1_r,4.919018,23.069662,32.279467
1,33,f_big2_r,1.200483,22.436783,30.579417
1,34,f_big3_r,-0.745477,18.192333,30.141947
1,35,f_main1_r,1.441912,15.718861,37.641408
1,36,f_main2_r,1.163801,15.172706,32.950802
1,37,f_main3_r,4.418124,17.675775,31.244888
1,38,f_pointer1_r,-1.011488,20.336434,36.760060
1,39,f_pointer2_r,-2.551566,18.103651,33.071864
1,40,f_pointer3_r,-0.021409,19.639758,31.244504
1,41,scapular_r,10.947033,57.709176,13.706792
1,42,chest_r,-2.369706,32.070177,22.000068
1,43,zero_joint_pelvis_l,-0.304051,-1.188043,-1.098861
1,44,thigh_l,-8.704630,0.204780,-4.606507
1,45,calf_l,-42.651837,-31.836590,10.495370
1,46,foot_l,-49.482083,-68.748365,-6.301483
1,47,toe_l,-61.753094,-78.692808,7.028785
1,48,back_l,-4.180703,-4.142493,-13.895678
1,51,zero_joint_pelvis_r,-0.303045,-1.188077,-1.100534
1,52,thigh_r,6.735698,-2.309204,4.731757
1,53,calf_r,26.233676,-38.606958,31.366899
1,54,foot_r,27.525286,-68.638306,3.300628
1,55,toe_r,34.792172,-78.651394,19.856477
1,56,back_r,11.815838,-6.746893,-4.222711
1,57,biceps_twist_l,-23.208191,32.939604,-10.627663
1,58,biceps_twist_r,22.823456,40.502547,19.799720
1,59,thigh_twist_l,-21.165974,-12.074122,0.518367
1,60,thigh_twist_r,13.996826,-16.154531,14.107457
2,0,pelvis,-1.201172,-4.125000,-3.804688
2,1,stomach,-0.125618,6.539423,-1.263574
2,2,chest,3.101342,23.891725,0.298042
2,3,neck,-1.611195,51.060782,9.624887
2,4,head,-2.498349,63.849942,14.308553
2,5,hair,-1.044275,79.075493,16.284028
2,7,zero_joint_hand_l,3.101018,23.893592,0.298678
2,8,clavicle_l,-3.215494,46.685425,8.253089
2,9,arm_l,-19.347102,40.865030,1.482883
2,10,forearm_l,-25.288153,15.410799,-10.969809
2,11,forearm_twist_l,-30.037797,10.887781,-0.995485
2,12,hand_l,-35.090460,6.093069,9.590250
2,13,weapon_l,-40.162661,5.656760,17.585394
2,14,f_big1_l,-37.562184,10.183793,13.313357
2,15,f_big2_l,-38.267004,11.539637,16.915060
2,16,f_big3_l,-38.657851,9.133764,20.420411
2,17,f_main1_l,-43.494333,3.175651,16.777664
2,18,f_main2_l,-39.640839,4.397735,19.674752
2,19,f_main3_l,-36.437674,6.084436,16.574726
2,20,f_pointer1_l,-44.415580,8.404838,16.680013
2,21,f_pointer2_l,-42.297054,8.200903,20.591805
2,22,f_pointer3_l,-39.456065,9.220384,18.958364
2,23,scapular_l,-18.037750,48.660809,2.630032
2,24,chest_l,-13.193688,25.857194,14.093885
2,25,zero_joint_hand_r,3.101370,23.891574,0.297973
2,26,clavicle_r,0.555751,46.724558,10.036754
2,27,arm_r,18.685846,47.001380,13.378077
2,28,forearm_r,36.011946,25.592360,22.308002
2,29,forearm_twist_r,26.843785,21.692135,28.883485
2,30,hand_r,17.129476,17.560968,35.865346
2,31,weapon_r,9.128198,13.255534,38.068739
2,32,f_big1_r,11.023362,18.984191,35.589437
2,33,f_big2_r,7.140089,17.803434,34.786810
2,34,f_big3_r,5.661859,13.369532,35.172611
2,35,f_main1_r,9.592101,12.005603,42.232158
2,36,f_main2_r,8.441340,10.894262,37.780407
2,37,f_main3_r,10.965897,13.483657,35.194337
2,38,f_pointer1_r,6.482874,16.232030,41.465383
2,39,f_pointer2_r,4.506503,13.448355,38.414964
2,40,f_pointer3_r,6.416812,14.998075,35.955360
2,41,scapular_r,14.481278,53.803188,13.382326
2,42,chest_r,2.740473,26.029488,21.628233
2,43,zero_joint_pelvis_l,-1.200402,-4.125712,-3.802061
2,44,thigh_l,-9.727325,-2.240457,-6.725526
2,45,calf_l,-43.141351,-33.760828,10.511004
2,46,foot_l,-55.583301,-69.048075,-6.555738
2,47,toe_l,-67.462362,-78.745890,7.300886
2,48,back_l,-5.919742,-6.237324,-16.482150
2,51,zero_joint_pelvis_r,-1.199496,-4.125690,-3.803791
2,52,thigh_r,6.109879,-5.807565,1.526814
2,53,calf_r,26.939791,-38.643679,31.443921
2,54,foot_r,27.385640,-68.632527,3.306119
2,55,toe_r,34.772698,-78.579491,19.848639
2,56,back_r,10.495682,-9.931426,-7.930775
2,57,biceps_twist_l,-22.202733,28.631962,-4.500307
2,58,biceps_twist_r,27.012107,36.713219,17.670891
2,59,thigh_twist_l,-22.081415,-14.290082,-0.851529
2,60,thigh_twist_r,13.877917,-18.414568,12.158930
3,0,pelvis,-2.599609,-8.125000,-7.085938
3,1,stomach,-0.894090,2.263730,-3.844104
3,2,chest,3.713485,19.070079,-0.726779
3,3,neck,2.473696,44.242955,13.838418
3,4,head,3.690653,56.261359,20.191760
3,5,hair,5.716525,71.149369,23.666993
3,7,zero_joint_hand_l,3.713398,19.071810,-0.725783
3,8,clavicle_l,0.458462,40.091227,12.321367
3,9,arm_l,-17.091639,34.490395,11.568980
3,10,forearm_l,-23.989813,9.094120,-0.540228
3,11,forearm_twist_l,-24.301787,4.885634,10.626475
3,12,hand_l,-24.644631,0.423820,22.481901
3,13,weapon_l,-26.608463,1.049987,31.833276
3,14,f_big1_l,-26.035030,4.912353,26.306144
3,15,f_big2_l,-25.563938,6.757836,29.723689
3,16,f_big3_l,-24.481549,4.886476,33.405389
3,17,f_main1_l,-29.704095,-1.752389,32.504938
3,18,f_main2_l,-25.214922,0.054007,33.653978
3,19,f_main3_l,-23.465933,1.397507,29.428883
3,20,f_pointer1_l,-31.086708,3.358842,32.097106
3,21,f_pointer2_l,-27.728475,3.832340,34.983268
3,22,f_pointer3_l,-25.743659,4.719515,32.327686
3,23,scapular_l,-15.367064,42.148239,13.057300
3,24,chest_l,-7.655324,18.284997,17.434999
3,25,zero_joint_hand_r,3.713489,19.069942,-0.726877
3,26,clavicle_r,4.595244,39.969820,12.878309
3,27,arm_r,22.726011,41.264511,9.789544
3,28,forearm_r,40.850752,20.692364,19.093520
3,29,forearm_twist_r,33.753127,17.199266,28.033649
3,30,hand_r,26.236164,13.500918,37.520387
3,31,weapon_r,19.692026,8.411024,41.629564
3,32,f_big1_r,20.101056,13.931941,38.769785
3,33,f_big2_r,16.424032,12.076740,39.164671
3,34,f_big3_r,15.925780,7.569716,40.361324
3,35,f_main1_r,21.676818,7.825206,46.192703
3,36,f_main2_r,19.673104,5.935828,42.346562
3,37,f_main3_r,20.953561,8.485792,38.937130
3,38,f_pointer1_r,17.755902,11.382388,45.891385
3,39,f_pointer2_r,15.623284,7.929822,43.772028
3,40,f_pointer3_r,16.541440,9.387596,40.750034
3,41,scapular_r,18.606741,47.625438,12.340956
3,42,chest_r,9.805940,17.777601,19.788795
3,43,zero_joint_pelvis_l,-2.598648,-8.125942,-7.083450
3,44,thigh_l,-11.254325,-5.737150,-9.092621
3,45,calf_l,-44.146954,-37.142637,9.316595
3,46,foot_l,-64.042424,-69.361456,-6.726586
3,47,toe_l,-75.509451,-78.969910,7.533519
3,48,back_l,-8.458312,-9.071134,-19.423900
3,51,zero_joint_pelvis_r,-2.597892,-8.125813,-7.085247
3,52,thigh_r,5.066329,-10.463192,-2.561258
3,53,calf_r,27.421972,-38.316362,31.077337
3,54,foot_r,27.280980,-68.662593,3.322121
3,55,toe_r,34.759585,-78.578703,19.842016
3,56,back_r,8.466994,-13.963461,-12.653544
3,57,biceps_twist_l,-20.404977,22.291583,5.754178
3,58,biceps_twist_r,31.436288,31.378721,14.262057
3,59,thigh_twist_l,-23.530936,-17.667199,-2.825280
3,60,thigh_twist_r,13.424427,-21.272284,9.506326
4,0,pelvis,-4.354980,-12.500000,-9.914062
4,1,stomach,-2.062965,-2.508639,-5.881277
4,2,chest,3.808402,13.275438,-0.372716
4,3,neck,7.104823,35.970592,17.580814
4,4,head,10.108433,46.561585,25.675254
4,5,hair,13.972655,60.893386,29.858731
4,7,zero_joint_hand_l,3.808625,13.276998,-0.371486
4,8,clavicle_l,4.744612,31.952244,16.151958
4,9,arm_l,-12.218216,27.400392,21.814194
4,10,forearm_l,-20.371259,1.053787,12.950063
4,11,forearm_twist_l,-16.714918,-1.780897,23.954593
4,12,hand_l,-12.845032,-4.785234,35.641098
4,13,weapon_l,-12.099340,-3.396932,45.016740
4,14,f_big1_l,-13.148263,0.005941,39.336726
4,15,f_big2_l,-11.750722,2.109533,42.324890
4,16,f_big3_l,-9.649091,0.522029,45.685165
4,17,f_main1_l,-14.835927,-6.107204,46.825073
4,18,f_main2_l,-10.226323,-4.266337,46.510765
4,19,f_main3_l,-9.760175,-3.279524,41.871337
4,20,f_pointer1_l,-16.336351,-1.029771,46.424143
4,21,f_pointer2_l,-12.304362,-0.368055,48.195315
4,22,f_pointer3_l,-11.162573,0.284823,45.025337
4,23,scapular_l,-9.237542,34.659094,23.390224
4,24,chest_l,-1.006010,9.179327,20.115321
4,25,zero_joint_hand_r,3.808375,13.275317,-0.372830
4,26,clavicle_r,8.848950,32.008624,15.323023
4,27,arm_r,24.995057,34.225101,6.668067
4,28,forearm_r,46.481277,16.620386,14.835061
4,29,forearm_twist_r,41.802596,13.560514,25.382623
4,30,hand_r,36.851169,10.323099,36.571154
4,31,weapon_r,33.043920,4.640891,42.834170
4,32,f_big1_r,31.329335,9.777579,39.503403
4,33,f_big2_r,28.363159,7.345463,41.054151
4,34,f_big3_r,29.152677,2.996565,42.621711
4,35,f_main1_r,36.079508,4.979877,46.524290
4,36,f_main2_r,33.550729,2.316727,43.542625
4,37,f_main3_r,33.306516,4.635425,39.757112
4,38,f_pointer1_r,31.572917,7.704922,47.142901
