frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.323628,10.878260,1.801999
0,2,chest,1.395414,28.593785,2.074399
0,3,neck,-5.264018,56.834328,4.939817
0,4,head,-8.686563,69.846494,7.536997
0,5,hair,-6.294235,85.064339,8.263756
0,7,zero_joint_hand_l,1.394959,28.595720,2.074591
0,8,clavicle_l,-6.518557,52.201549,3.984109
0,9,arm_l,-19.752376,47.052972,-7.824908
0,10,forearm_l,-27.987518,21.277416,-18.124742
0,11,forearm_twist_l,-36.838216,17.149808,-11.259472
0,12,hand_l,-46.241524,12.777548,-3.976778
0,13,weapon_l,-54.232018,11.240590,0.523178
0,14,f_big1_l,-50.019048,16.182460,-0.691643
0,15,f_big2_l,-52.227954,16.739017,2.489294
0,16,f_big3_l,-54.200003,13.656809,4.689179
0,17,f_main1_l,-57.028118,9.477991,-2.137718
0,18,f_main2_l,-54.847480,9.422294,2.331927
0,19,f_main3_l,-50.558814,11.317307,1.476560
0,20,f_pointer1_l,-57.687823,14.657572,-1.179521
0,21,f_pointer2_l,-57.546483,13.238232,3.039170
0,22,f_pointer3_l,-54.252260,14.198018,3.114010
0,23,scapular_l,-18.279758,54.816219,-6.506735
0,24,chest_l,-17.863705,32.359283,10.712899
0,25,zero_joint_hand_r,1.395458,28.593625,2.074368
0,26,clavicle_r,-3.305093,52.685598,6.653268
0,27,arm_r,12.655762,52.085571,15.926122
0,28,forearm_r,30.084635,30.926720,25.243894
0,29,forearm_twist_r,19.453640,26.767605,28.708164
0,30,hand_r,8.170033,22.356059,32.395574
0,31,weapon_r,-0.626084,19.120381,31.636391
0,32,f_big1_r,2.673122,24.759552,30.564554
0,33,f_big2_r,-0.881211,24.309279,28.495215
0,34,f_big3_r,-2.931187,20.154814,27.766165
0,35,f_main1_r,-1.586302,17.444258,35.378126
0,36,f_main2_r,-1.421288,17.007586,30.670737
0,37,f_main3_r,2.075593,19.416065,29.352720
0,38,f_pointer1_r,-3.767361,22.170451,34.376426
0,39,f_pointer2_r,-5.018980,20.077555,30.501741
0,40,f_pointer3_r,-2.267448,21.550278,28.969701
0,41,scapular_r,9.466923,59.113366,13.763441
0,42,chest_r,-4.384964,34.395278,21.888718
0,43,zero_joint_pelvis_l,0.000575,-0.000477,0.002725
0,44,thigh_l,-8.329874,1.180542,-3.741922
0,45,calf_l,-42.439406,-31.178699,10.277643
0,46,foot_l,-47.168636,-68.554034,-6.214304
0,47,toe_l,-59.604624,-78.642037,6.852605
0,48,back_l,-3.503668,-3.277327,-12.822963
0,51,zero_joint_pelvis_r,0.001624,-0.000529,0.001080
0,52,thigh_r,6.905813,-0.893034,6.030596
0,53,calf_r,25.830798,-38.496958,31.228190
0,54,foot_r,27.528847,-68.577168,3.235990
0,55,toe_r,34.732536,-78.642864,19.787556
0,56,back_r,12.281625,-5.423793,-2.701794
0,57,biceps_twist_l,-23.707290,34.672830,-12.772083
0,58,biceps_twist_r,21.026624,41.923303,20.402814
0,59,thigh_twist_l,-20.805411,-11.215405,0.996560
0,60,thigh_twist_r,13.949739,-15.202630,14.858925
1,0,pelvis,-0.875000,0.250000,0.078125
1,1,stomach,-0.620458,11.125628,1.906895
1,2,chest,0.245656,28.852498,2.172762
1,3,neck,-6.681178,57.025186,5.071992
1,4,head,-10.220009,69.998735,7.706253
1,5,hair,-7.814047,85.214238,8.437036
1,7,zero_joint_hand_l,0.245182,28.854428,2.172956
1,8,clavicle_l,-7.891816,52.381815,4.111115
1,9,arm_l,-21.053624,47.201368,-7.764260
1,10,forearm_l,-28.969559,21.376547,-18.190189
1,11,forearm_twist_l,-37.835530,17.284336,-11.323435
1,12,hand_l,-47.255019,12.949522,-4.039269
1,13,weapon_l,-55.226719,11.412655,0.494090
1,14,f_big1_l,-51.019263,16.352918,-0.735296
1,15,f_big2_l,-53.213872,16.907396,2.455878
1,16,f_big3_l,-55.175127,13.826765,4.660023
1,17,f_main1_l,-58.034666,9.651982,-2.156379
1,18,f_main2_l,-55.834933,9.592402,2.303851
1,19,f_main3_l,-51.553116,11.485721,1.432340
1,20,f_pointer1_l,-58.688821,14.832909,-1.190938
1,21,f_pointer2_l,-58.528807,13.410874,3.026178
1,22,f_pointer3_l,-55.235979,14.369468,3.086797
1,23,scapular_l,-19.636340,54.966265,-6.392578
1,24,chest_l,-19.046848,32.424931,10.818763
1,25,zero_joint_hand_r,0.245701,28.852338,2.172731
1,26,clavicle_r,-4.682629,52.893271,6.780308
1,27,arm_r,11.371614,52.376303,15.895611
1,28,forearm_r,29.292361,31.601302,25.143835
1,29,forearm_twist_r,18.754495,27.251631,28.658263
1,30,hand_r,7.569710,22.637881,32.398906
1,31,weapon_r,-1.204834,19.343311,31.653643
