frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-1.111488,10.645768,2.668462
0,2,chest,-5.786585,27.027354,7.708755
0,3,neck,-16.853121,45.016373,27.808852
0,4,head,-23.372721,53.423850,36.445100
0,5,hair,-23.050221,68.699810,38.536814
0,7,zero_joint_hand_l,-5.786591,27.027349,7.708756
0,8,clavicle_l,-16.864206,40.771209,25.369388
0,9,arm_l,-31.218148,29.371664,27.629795
0,10,forearm_l,-24.845745,5.381560,42.534520
0,11,forearm_twist_l,-20.942004,-2.574359,50.532526
0,12,hand_l,-16.808461,-11.017663,59.029638
0,13,weapon_l,5.009684,-2.237887,40.083302
0,14,f_big1_l,-14.716711,-12.741720,64.606883
0,15,f_big2_l,-13.343867,-14.867405,67.755032
0,16,f_big3_l,-12.773566,-19.246547,68.697832
0,17,f_main1_l,-20.601849,-20.537751,63.995314
0,18,f_main2_l,-19.226854,-22.991113,67.924555
0,19,f_main3_l,-17.760904,-24.831216,71.851926
0,20,f_pointer1_l,-18.841640,-18.164189,68.406888
0,21,f_pointer2_l,-20.909770,-21.311098,70.969110
0,22,f_pointer3_l,-22.044328,-24.013651,72.845983
0,23,scapular_l,-31.532979,36.883726,30.385528
0,24,chest_l,-13.032623,17.265632,25.353616
0,25,zero_joint_hand_r,-5.786537,27.027264,7.708642
0,26,clavicle_r,-13.098884,42.584204,25.819298
0,27,arm_r,0.690693,54.799662,27.132644
0,28,forearm_r,19.362340,50.972230,5.338062
0,29,forearm_twist_r,27.905834,44.731949,-0.191091
0,30,hand_r,36.983506,38.115172,-6.055440
0,31,weapon_r,4.989493,-2.246726,40.097186
0,32,f_big1_r,35.191221,32.751528,-3.492384
0,33,f_big2_r,35.301848,28.776500,-2.587937
0,34,f_big3_r,37.137332,24.649908,-3.177367
0,35,f_main1_r,45.120974,31.407938,-1.756623
0,36,f_main2_r,43.823688,27.965865,-4.889945
0,37,f_main3_r,39.895933,28.690714,-7.127484
0,38,f_pointer1_r,40.745717,29.918165,0.856611
0,39,f_pointer2_r,41.687919,25.856230,-0.966179
0,40,f_pointer3_r,39.383008,25.251684,-3.492296
0,41,scapular_r,-4.582887,53.980944,33.101978
0,42,chest_r,2.761398,24.857889,27.251097
0,43,zero_joint_pelvis_l,0.000000,-0.000006,-0.000005
0,44,thigh_l,-8.929822,-1.105049,1.963632
0,45,calf_l,-47.722603,-19.372300,25.808055
0,46,foot_l,-50.577136,-55.212615,5.843358
0,47,toe_l,-63.406851,-65.244283,18.568521
