frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.311906,10.874952,1.823898
0,2,chest,1.376092,28.606970,2.069862
0,3,neck,-5.272802,56.843506,4.998540
0,4,head,-8.759602,69.819451,7.609040
0,5,hair,-6.342434,85.036228,8.273300
0,7,zero_joint_hand_l,1.375634,28.608902,2.070054
0,8,clavicle_l,-6.485791,52.224491,3.866852
0,9,arm_l,-18.470451,47.207481,-9.259162
0,10,forearm_l,-21.242772,22.875358,-24.704080
0,11,forearm_twist_l,-31.610957,22.665172,-18.807130
0,12,hand_l,-42.622093,22.449882,-12.555166
0,13,weapon_l,-49.807555,26.356892,-8.032406
0,14,f_big1_l,-46.985871,26.501095,-14.314522
0,15,f_big2_l,-49.832022,29.383286,-13.914689
0,16,f_big3_l,-50.969575,31.602577,-10.103401
0,17,f_main1_l,-51.935090,23.244397,-6.049840
0,18,f_main2_l,-50.161761,27.731074,-5.860520
0,19,f_main3_l,-46.685784,28.092122,-8.811913
0,20,f_pointer1_l,-54.201624,25.088693,-10.481203
0,21,f_pointer2_l,-55.340029,28.582557,-7.796698
0,22,f_pointer3_l,-52.482022,29.923742,-9.271137
0,23,scapular_l,-17.502467,54.933830,-7.390969
0,24,chest_l,-18.420211,32.369064,9.395804
0,25,zero_joint_hand_r,1.376132,28.606809,2.069832
0,26,clavicle_r,-3.470024,52.648054,6.761075
0,27,arm_r,11.457582,51.357903,17.559075
0,28,forearm_r,25.256593,27.822361,27.251806
0,29,forearm_twist_r,16.565710,20.409432,30.718933
0,30,hand_r,7.354399,12.552389,34.406661
0,31,weapon_r,-49.670795,26.408101,-8.116723
0,32,f_big1_r,2.894037,12.218501,30.107235
0,33,f_big2_r,0.243900,10.476624,27.549518
0,34,f_big3_r,-1.431584,6.743375,25.549321
0,35,f_main1_r,-0.711015,4.669067,35.864824
0,36,f_main2_r,0.702789,2.735981,31.672553
0,37,f_main3_r,3.112244,5.484899,28.929244
0,38,f_pointer1_r,-3.618069,7.866381,32.786182
