frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.054008,10.944996,1.311608
0,2,chest,-0.258048,28.615735,-0.334638
0,3,neck,0.433264,57.451481,-4.481666
0,4,head,-2.379705,70.846870,-4.942480
0,5,hair,0.078671,85.977074,-6.635864
0,7,zero_joint_hand_l,-0.256555,28.618022,-0.332514
0,8,clavicle_l,-1.952906,53.296367,-3.373187
0,9,arm_l,-19.958733,51.590224,-7.033388
0,10,forearm_l,-27.621608,24.765719,-14.779983
0,11,forearm_twist_l,-30.917591,13.508231,-12.564264
0,12,hand_l,-34.423834,1.576851,-10.212855
0,13,weapon_l,45.255199,-9.046804,16.169407
0,14,f_big1_l,-33.498721,-2.571434,-5.688997
0,15,f_big2_l,-33.117029,-6.132960,-3.747571
0,16,f_big3_l,-31.802395,-10.382813,-2.751942
0,17,f_main1_l,-35.558135,-9.427718,-12.912211
0,18,f_main2_l,-32.801899,-13.365374,-12.415655
0,19,f_main3_l,-29.306059,-15.575443,-10.425331
0,20,f_pointer1_l,-36.478622,-10.023263,-7.718248
0,21,f_pointer2_l,-35.139478,-14.372487,-7.741818
0,22,f_pointer3_l,-33.448523,-17.421060,-7.536037
0,23,scapular_l,-16.806136,58.783889,-5.492281
0,24,chest_l,-12.845168,39.810224,12.911302
0,25,zero_joint_hand_r,-0.256114,28.615591,-0.334135
0,26,clavicle_r,2.117454,53.359226,-2.350326
0,27,arm_r,20.291183,53.820585,-5.515847
0,28,forearm_r,33.256218,27.934358,-5.823367
0,29,forearm_twist_r,40.158749,19.889375,-0.350636
0,30,hand_r,47.503953,11.342747,5.461217
0,31,weapon_r,46.238393,-9.850898,16.030674
0,32,f_big1_r,47.736288,14.120729,11.005351
0,33,f_big2_r,46.104287,13.932012,14.626839
0,34,f_big3_r,45.872193,12.394574,18.899908
0,35,f_main1_r,53.913649,6.426887,13.473213
0,36,f_main2_r,53.402432,5.157902,17.708908
0,37,f_main3_r,50.189592,4.635882,19.953287
0,38,f_pointer1_r,54.045763,11.300802,15.579335
0,39,f_pointer2_r,52.544805,10.811803,19.843382
0,40,f_pointer3_r,49.294362,9.597670,19.702488
0,41,scapular_r,16.316863,60.534935,-3.763950
0,42,chest_r,4.239826,40.011146,17.242162
0,43,zero_joint_pelvis_l,0.001742,0.001723,0.002465
0,44,thigh_l,-9.200117,0.340256,0.152346
0,45,calf_l,-17.214770,-47.586545,-6.623791
0,46,foot_l,-21.661724,-87.461761,-15.649165
0,47,toe_l,-34.396155,-97.487778,-2.846245
0,48,back_l,-8.290093,-4.223356,-10.036471
0,51,zero_joint_pelvis_r,0.001977,-0.000321,0.000292
0,52,thigh_r,8.852774,-0.036065,2.517429
0,53,calf_r,18.120149,-48.201863,1.376990
0,54,foot_r,25.518190,-88.314405,-3.868826
0,55,toe_r,32.724265,-98.373002,12.668968
0,56,back_r,10.412924,-4.610633,-7.588901
0,57,biceps_twist_l,-23.641834,38.699068,-10.755484
0,58,biceps_twist_r,26.513724,41.393807,-5.663235
0,59,thigh_twist_l,-11.861765,-17.416379,-2.908385
0,60,thigh_twist_r,12.328408,-17.884415,1.464466
1,0,pelvis,0.000000,-0.062500,-0.005554
1,1,stomach,0.052931,10.890491,1.305043
1,2,chest,-0.262976,28.552099,-0.268442
1,3,neck,0.421103,57.412213,-4.356569
1,4,head,-2.328561,70.821698,-4.788575
1,5,hair,0.160189,85.951126,-6.444099
1,7,zero_joint_hand_l,-0.261478,28.554383,-0.266312
1,8,clavicle_l,-1.962653,53.254946,-3.250905
1,9,arm_l,-19.967148,51.522469,-6.905283
1,10,forearm_l,-27.642901,24.750327,-14.818478
1,11,forearm_twist_l,-30.900132,13.479154,-12.615063
1,12,hand_l,-34.365169,1.533203,-10.276583
1,13,weapon_l,45.287153,-9.426872,16.136800
1,14,f_big1_l,-33.464928,-2.657127,-5.790327
1,15,f_big2_l,-33.103402,-6.239594,-3.875553
1,16,f_big3_l,-31.813936,-10.505069,-2.914409
1,17,f_main1_l,-35.565130,-9.435454,-13.061582
