frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,2.114484,10.825261,0.176484
0,2,chest,6.690686,27.972360,0.984457
0,3,neck,10.633006,56.498082,5.548252
0,4,head,7.947371,69.550207,8.742783
0,5,hair,13.901938,83.670697,10.471693
0,7,zero_joint_hand_l,6.690356,27.974198,0.987558
0,8,clavicle_l,8.080238,52.757983,3.694803
0,9,arm_l,1.697977,59.694461,-12.187475
0,10,forearm_l,-26.956202,62.981636,-9.654508
0,11,forearm_twist_l,-20.946641,70.902246,-3.047462
0,12,hand_l,-14.572543,79.306946,3.946292
0,13,weapon_l,-9.433015,74.070069,16.950500
0,14,f_big1_l,-12.377554,84.460854,1.649667
0,15,f_big2_l,-9.480689,86.899771,0.666188
0,16,f_big3_l,-6.070242,87.771026,3.075650
0,17,f_main1_l,-12.348694,88.262860,10.689137
0,18,f_main2_l,-7.933304,86.807792,8.921873
0,19,f_main3_l,-7.942785,83.597583,5.399091
0,20,f_pointer1_l,-12.738308,90.900292,6.096368
0,21,f_pointer2_l,-8.369094,91.311481,6.853135
0,22,f_pointer3_l,-7.390079,88.743585,4.797368
0,23,scapular_l,3.671068,64.553054,-6.125108
0,24,chest_l,-11.355080,39.004638,4.386435
0,25,zero_joint_hand_r,6.691730,27.971797,0.986106
0,26,clavicle_r,10.260133,51.896556,7.179083
0,27,arm_r,16.597185,46.717656,23.735516
0,28,forearm_r,18.665684,24.225489,41.849245
0,29,forearm_twist_r,9.995185,24.285164,50.042923
0,30,hand_r,0.787501,24.352015,58.760068
0,31,weapon_r,-9.450052,74.090501,16.958735
0,32,f_big1_r,-3.281341,28.265895,56.199163
0,33,f_big2_r,-6.879027,28.887848,54.391099
0,34,f_big3_r,-10.983926,27.995955,56.151642
0,35,f_main1_r,-6.397555,30.257349,65.204888
0,36,f_main2_r,-9.579146,27.580050,62.957664
0,37,f_main3_r,-9.063475,24.433553,59.864928
0,38,f_pointer1_r,-6.799497,33.502429,61.033602
0,39,f_pointer2_r,-10.725374,31.232998,60.432484
0,40,f_pointer3_r,-10.207950,28.693343,58.112354
0,41,scapular_r,14.454612,54.318037,22.401089
0,42,chest_r,-2.218794,35.404865,19.014777
0,43,zero_joint_pelvis_l,0.000051,-0.000071,0.002823
0,44,thigh_l,-7.282318,1.822519,-5.332286
0,45,calf_l,-45.726848,-24.652287,9.775052
0,46,foot_l,-58.461516,-61.158434,-4.239050
0,47,toe_l,-71.066452,-71.195479,8.704544
0,48,back_l,-2.064373,-4.920363,-12.606785
0,51,zero_joint_pelvis_r,0.001309,-0.000588,0.001423
0,52,thigh_r,5.599621,-0.896463,7.249654
0,53,calf_r,5.515853,-42.425769,33.373181
0,54,foot_r,26.521480,-61.192732,3.409364
0,55,toe_r,25.338900,-71.139712,21.472050
0,56,back_r,11.281650,-7.740021,0.426897
0,57,biceps_twist_l,-12.064615,61.273542,-10.970368
0,58,biceps_twist_r,17.591230,35.909423,32.441555
0,59,thigh_twist_l,-21.448891,-8.428349,-0.179798
0,60,thigh_twist_r,5.921367,-16.570105,16.491729
1,0,pelvis,8.359375,-0.437500,-0.093750
1,1,stomach,13.050918,9.539450,-0.465729
1,2,chest,21.688645,25.063049,-0.307696
1,3,neck,32.931191,51.823604,2.442714
1,4,head,33.018737,65.299611,4.925697
1,5,hair,40.816705,78.522588,6.401778
1,7,zero_joint_hand_l,21.688830,25.065106,-0.304722
1,8,clavicle_l,29.479659,48.762145,0.813423
1,9,arm_l,24.047228,57.743664,-14.382489
1,10,forearm_l,-0.753771,72.456823,-11.790803
1,11,forearm_twist_l,8.128630,76.480374,-4.904734
1,12,hand_l,17.551690,80.752138,2.384894
1,13,weapon_l,24.124950,74.359761,15.508740
1,14,f_big1_l,20.545942,85.485287,0.074759
1,15,f_big2_l,23.762956,87.297981,-1.218428
1,16,f_big3_l,27.594118,87.148004,0.651147
1,17,f_main1_l,22.778472,88.297231,9.207276
1,18,f_main2_l,26.418546,86.070215,6.660209
1,19,f_main3_l,25.142216,83.298503,2.999052
1,20,f_pointer1_l,22.362284,91.385098,4.908023
1,21,f_pointer2_l,26.763598,90.735444,4.966495
1,22,f_pointer3_l,26.802361,88.224409,2.627279
1,23,scapular_l,27.304263,61.730811,-8.243185
1,24,chest_l,7.150666,40.591218,2.233457
1,25,zero_joint_hand_r,21.689522,25.062342,-0.306005
1,26,clavicle_r,31.393006,47.590584,4.363176
1,27,arm_r,41.302175,43.729103,19.462582
1,28,forearm_r,44.672315,19.654309,35.189308
1,29,forearm_twist_r,37.205933,20.234369,44.485576
1,30,hand_r,29.289279,20.852082,54.360873
1,31,weapon_r,24.114253,74.377712,15.544867
1,32,f_big1_r,25.507955,25.237655,52.158649
1,33,f_big2_r,21.978906,26.255725,50.386515
1,34,f_big3_r,17.801734,25.456674,52.016833
1,35,f_main1_r,22.382139,26.551058,61.290770
1,36,f_main2_r,19.073777,24.304864,58.763567
1,37,f_main3_r,19.441842,21.445378,55.384328
1,38,f_pointer1_r,22.245749,30.197311,57.445831
1,39,f_pointer2_r,18.193532,28.245173,56.592237
1,40,f_pointer3_r,18.587589,25.915039,54.042297
1,41,scapular_r,38.619200,51.156639,18.153639
1,42,chest_r,15.172785,35.692854,17.135475
1,43,zero_joint_pelvis_l,8.359309,-0.437380,-0.090929
1,44,thigh_l,1.933967,2.707321,-5.891257
1,45,calf_l,-35.901361,-27.279651,2.849359
1,46,foot_l,-59.401301,-60.523660,-2.969088
1,47,toe_l,-72.952700,-70.674037,8.883874
1,48,back_l,5.592886,-5.597218,-12.468179
1,51,zero_joint_pelvis_r,8.360450,-0.438285,-0.092229
1,52,thigh_r,13.318430,-2.144756,7.479546
1,53,calf_r,6.351857,-42.673494,34.238043
1,54,foot_r,26.746025,-61.215005,3.716643
1,55,toe_r,25.620946,-71.124614,21.803527
1,56,back_r,17.382371,-10.625247,1.376338
1,57,biceps_twist_l,12.135437,64.810593,-13.136884
1,58,biceps_twist_r,42.921074,32.166696,27.017296
1,59,thigh_twist_l,-11.947419,-8.783974,-3.138424
1,60,thigh_twist_r,11.069770,-17.514609,16.990712
2,0,pelvis,18.562500,1.437500,-0.820312
2,1,stomach,24.615237,10.649501,-1.258373
2,2,chest,34.412892,25.469131,-1.302250
2,3,neck,49.449019,50.396886,0.312949
2,4,head,51.873347,63.795724,1.852230
2,5,hair,59.645634,77.051137,3.163655
2,7,zero_joint_hand_l,34.413374,25.471273,-1.299371
2,8,clavicle_l,45.590681,47.799447,-1.203151
2,9,arm_l,42.620184,58.568054,-15.910564
2,10,forearm_l,17.772128,73.273528,-18.056866
2,11,forearm_twist_l,24.884877,77.158323,-9.302744
2,12,hand_l,32.442930,81.289456,-0.018988
2,13,weapon_l,38.768619,74.947733,13.243066
2,14,f_big1_l,35.951604,85.567960,-2.486491
2,15,f_big2_l,39.336978,86.935660,-3.892199
2,16,f_big3_l,43.167101,86.322254,-2.117511
2,17,f_main1_l,38.774283,88.198767,6.536005
2,18,f_main2_l,42.033479,85.487226,3.935750
2,19,f_main3_l,40.315016,82.849670,0.357244
2,20,f_pointer1_l,38.637280,91.254042,2.195702
2,21,f_pointer2_l,42.923259,90.045569,2.153294
2,22,f_pointer3_l,42.576323,87.519175,-0.140677
2,23,scapular_l,46.700707,61.340915,-9.593071
2,24,chest_l,22.302318,43.055873,0.422516
2,25,zero_joint_hand_r,34.413655,25.468382,-1.300523
2,26,clavicle_r,47.308705,46.525880,2.410797
2,27,arm_r,57.728225,41.716119,16.861321
2,28,forearm_r,56.689930,20.095930,36.090799
2,29,forearm_twist_r,47.640375,20.631329,43.857577
2,30,hand_r,38.041602,21.203301,52.110628
2,31,weapon_r,38.748009,74.958220,13.263321
2,32,f_big1_r,35.026776,26.090226,49.772976
2,33,f_big2_r,31.673504,27.642052,48.056389
2,34,f_big3_r,27.494639,27.706017,49.857113
2,35,f_main1_r,32.568996,28.418577,58.907957
2,36,f_main2_r,28.809855,26.690244,56.622746
2,37,f_main3_r,28.514420,23.643641,53.409081
2,38,f_pointer1_r,32.937129,31.826434,54.861993
2,39,f_pointer2_r,28.570932,30.607351,54.250163
2,40,f_pointer3_r,28.432152,28.114489,51.827982
2,41,scapular_r,55.906136,49.400264,15.554760
2,42,chest_r,29.510570,37.728811,15.590971
2,43,zero_joint_pelvis_l,18.562437,1.437657,-0.817493
2,44,thigh_l,12.673363,5.395889,-6.688551
2,45,calf_l,-21.256438,-29.927256,-3.829725
2,46,foot_l,-49.634990,-59.547801,-1.384858
2,47,toe_l,-64.181145,-69.933454,8.993529
2,48,back_l,15.157580,-3.409562,-13.161916
2,51,zero_joint_pelvis_r,18.563446,1.436588,-0.818777
2,52,thigh_r,23.189998,-0.870180,6.794000
2,53,calf_r,8.448346,-39.018615,33.895836
2,54,foot_r,27.374757,-60.927893,4.688985
2,55,toe_r,25.523823,-71.180391,22.523274
2,56,back_r,26.052101,-9.904016,0.805016
2,57,biceps_twist_l,30.678877,65.635101,-16.941666
2,58,biceps_twist_r,57.229463,31.332833,26.098333
2,59,thigh_twist_l,0.319912,-7.977671,-6.148298
2,60,thigh_twist_r,18.025850,-15.405250,16.450389
3,0,pelvis,28.906250,4.312500,-1.335938
3,1,stomach,34.907248,13.556355,-1.813051
3,2,chest,44.772094,28.324897,-2.251707
3,3,neck,61.578833,52.131866,-1.330474
3,4,head,65.076936,65.345118,-0.356366
3,5,hair,72.491287,78.832254,0.622814
3,7,zero_joint_hand_l,44.772815,28.327020,-2.248865
3,8,clavicle_l,57.501220,49.804200,-2.704140
3,9,arm_l,55.735763,60.686449,-17.521513
3,10,forearm_l,28.945565,70.729749,-21.960080
3,11,forearm_twist_l,34.233088,76.024924,-12.659157
3,12,hand_l,39.845222,81.647819,-2.806862
3,13,weapon_l,46.156427,75.751736,11.417974
3,14,f_big1_l,43.495504,85.847325,-5.202919
3,15,f_big2_l,46.954186,87.159013,-6.477467
3,16,f_big3_l,50.693119,86.560409,-4.504882
3,17,f_main1_l,45.910575,88.667352,3.881174
3,18,f_main2_l,49.279530,85.884086,1.506360
3,19,f_main3_l,47.723322,83.172053,-2.090699
3,20,f_pointer1_l,45.996444,91.617120,-0.533864
3,21,f_pointer2_l,50.266035,90.378630,-0.350078
3,22,f_pointer3_l,50.004273,87.801537,-2.601482
3,23,scapular_l,60.162368,63.013674,-11.256564
3,24,chest_l,33.996725,46.740304,-0.328558
3,25,zero_joint_hand_r,44.772855,28.324108,-2.249997
3,26,clavicle_r,59.236239,48.437878,0.867564
3,27,arm_r,68.519226,42.605522,15.711001
3,28,forearm_r,62.287631,22.959668,36.045481
3,29,forearm_twist_r,52.874071,22.714252,43.369560
3,30,hand_r,42.875614,22.457317,51.163105
3,31,weapon_r,46.130427,75.773143,11.425232
3,32,f_big1_r,40.141197,27.347021,48.518258
3,33,f_big2_r,36.920621,28.944696,46.593048
3,34,f_big3_r,32.665453,29.216811,48.194508
3,35,f_main1_r,37.362075,30.093470,57.434205
3,36,f_main2_r,33.643637,28.408686,55.044199
3,37,f_main3_r,33.379080,25.256226,51.931528
3,38,f_pointer1_r,38.027700,33.332656,53.290265
3,39,f_pointer2_r,33.649705,32.235571,52.522486
3,40,f_pointer3_r,33.532662,29.659546,50.187754
3,41,scapular_r,67.699282,50.432023,14.267793
3,42,chest_r,41.274726,41.026028,14.664648
3,43,zero_joint_pelvis_l,28.906192,4.312665,-1.333119
3,44,thigh_l,22.983371,8.221450,-7.203357
3,45,calf_l,-10.105132,-21.844467,13.003584
3,46,foot_l,-17.606336,-59.502436,-1.723091
3,47,toe_l,-31.670269,-70.191970,9.005513
3,48,back_l,25.502735,-0.588890,-13.656453
3,51,zero_joint_pelvis_r,28.907205,4.311597,-1.334402
3,52,thigh_r,33.566546,2.049690,6.281182
3,53,calf_r,12.527451,-33.003525,33.406033
3,54,foot_r,28.633322,-59.462408,6.354341
3,55,toe_r,24.578232,-71.098352,22.930305
3,56,back_r,36.461504,-6.982904,0.306557
3,57,biceps_twist_l,42.875760,65.507872,-19.652424
3,58,biceps_twist_r,65.524326,33.165369,25.484190
3,59,thigh_twist_l,10.804880,-3.351622,-0.167770
3,60,thigh_twist_r,26.018483,-11.396532,15.975356
4,0,pelvis,39.031250,7.062500,-1.445312
4,1,stomach,43.739223,17.035858,-1.681093
4,2,chest,53.250890,31.973607,-2.887066
4,3,neck,70.458241,55.484888,-2.336865
4,4,head,74.094379,68.671645,-1.522259
4,5,hair,81.183677,82.354370,-0.922981
4,7,zero_joint_hand_l,53.251781,31.975663,-2.884223
4,8,clavicle_l,66.283189,53.246189,-3.551288
4,9,arm_l,64.566413,63.081119,-19.089034
4,10,forearm_l,36.566319,68.891230,-23.619023
4,11,forearm_twist_l,40.580544,75.234768,-14.337350
4,12,hand_l,44.840906,81.969985,-4.505418
4,13,weapon_l,50.099548,76.467547,10.196309
4,14,f_big1_l,48.376910,86.401632,-6.643726
4,15,f_big2_l,51.832590,87.951027,-7.626147
4,16,f_big3_l,55.401555,87.658706,-5.315372
4,17,f_main1_l,49.738742,89.510223,2.562013
4,18,f_main2_l,53.511318,86.961512,0.560038
4,19,f_main3_l,52.500146,84.095614,-3.106407
4,20,f_pointer1_l,50.012908,92.406629,-1.879467
4,21,f_pointer2_l,54.323266,91.492466,-1.290047
4,22,f_pointer3_l,54.455562,88.876108,-3.504213
4,23,scapular_l,69.065995,65.789556,-13.033598
4,24,chest_l,42.881125,50.511684,-0.104630
4,25,zero_joint_hand_r,53.251719,31.972773,-2.885410
4,26,clavicle_r,68.163134,51.786047,-0.091807
4,27,arm_r,75.556585,45.321231,15.549093
4,28,forearm_r,65.993413,26.738023,35.586398
4,29,forearm_twist_r,56.785639,25.272527,43.028622
4,30,hand_r,47.005764,23.718505,50.947812
4,31,weapon_r,50.089629,76.474344,10.212921
4,32,f_big1_r,44.134201,28.353157,47.999534
4,33,f_big2_r,40.989874,29.665567,45.765691
