frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.308242,10.874295,1.828435
0,2,chest,1.483115,28.583973,2.051408
0,3,neck,-5.206130,56.815168,4.939410
0,4,head,-8.341465,69.898606,7.541131
0,5,hair,-6.965960,85.239214,8.320855
0,7,zero_joint_hand_l,1.483119,28.583958,2.051407
0,8,clavicle_l,-6.459117,52.176204,4.005815
0,9,arm_l,-19.770560,47.213863,-7.795686
0,10,forearm_l,-28.049020,21.435378,-18.053377
0,11,forearm_twist_l,-36.865396,17.308725,-11.157022
0,12,hand_l,-46.231220,12.939385,-3.837955
0,13,weapon_l,-54.227859,11.252989,0.658343
0,14,f_big1_l,-50.020334,16.245582,-0.456329
0,15,f_big2_l,-52.223064,16.713227,2.740721
0,16,f_big3_l,-54.179176,13.569880,4.867035
0,17,f_main1_l,-57.017953,9.555865,-2.055876
0,18,f_main2_l,-54.828414,9.394726,2.406861
0,19,f_main3_l,-50.547433,11.324689,1.592049
0,20,f_pointer1_l,-57.685314,14.709483,-0.966722
0,21,f_pointer2_l,-57.530340,13.186677,3.211092
0,22,f_pointer3_l,-54.241075,14.154916,3.303481
0,23,scapular_l,-18.369666,54.954690,-6.261274
0,24,chest_l,-17.692824,32.319409,10.883763
0,25,zero_joint_hand_r,1.483177,28.583799,2.051402
0,26,clavicle_r,-3.219915,52.674035,6.637724
0,27,arm_r,12.703501,52.306748,15.986770
0,28,forearm_r,30.028193,31.097362,25.383599
0,29,forearm_twist_r,19.380267,26.946098,28.805028
0,30,hand_r,8.082040,22.535307,32.448309
0,31,weapon_r,-0.766643,19.386222,31.730916
0,32,f_big1_r,2.573173,25.043661,30.805311
0,33,f_big2_r,-1.021451,24.699259,28.785974
0,34,f_big3_r,-3.113239,20.592172,27.941344
0,35,f_main1_r,-1.643609,17.590513,35.418280
0,36,f_main2_r,-1.566141,17.327558,30.695754
0,37,f_main3_r,1.921122,19.757140,29.404415
0,38,f_pointer1_r,-3.806002,22.366750,34.631364
