frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.320099,10.877169,1.809200
0,2,chest,1.378631,28.593751,2.064087
0,3,neck,-5.273215,56.830481,4.984189
0,4,head,-8.767563,69.820994,7.594118
0,5,hair,-6.362037,85.039392,8.263475
0,7,zero_joint_hand_l,1.378630,28.593767,2.064091
0,8,clavicle_l,-6.532313,52.194638,4.043730
0,9,arm_l,-19.742007,47.051981,-7.794842
0,10,forearm_l,-28.020549,21.276320,-18.059564
0,11,forearm_twist_l,-36.839613,17.126525,-11.180555
0,12,hand_l,-46.209060,12.730028,-3.882417
0,13,weapon_l,-54.214006,11.194639,0.653109
0,14,f_big1_l,-49.996900,16.148396,-0.609321
0,15,f_big2_l,-52.204713,16.718061,2.570017
0,16,f_big3_l,-54.167703,13.644591,4.790080
0,17,f_main1_l,-57.002602,9.417128,-2.011123
0,18,f_main2_l,-54.820953,9.391927,2.453964
0,19,f_main3_l,-50.536513,11.290587,1.585546
0,20,f_pointer1_l,-57.664904,14.604775,-1.082856
0,21,f_pointer2_l,-57.517008,13.212326,3.140448
0,22,f_pointer3_l,-54.226714,14.179219,3.206551
0,23,scapular_l,-18.391384,54.812352,-6.311263
0,24,chest_l,-17.789820,32.341182,10.868961
0,25,zero_joint_hand_r,1.378679,28.593600,2.064063
0,26,clavicle_r,-3.296740,52.683652,6.678438
0,27,arm_r,12.673992,52.114855,15.936241
0,28,forearm_r,30.012809,30.921022,25.342108
0,29,forearm_twist_r,19.376648,26.743548,28.768222
0,30,hand_r,8.087367,22.312868,32.415100
0,31,weapon_r,-0.740200,19.098097,31.729620
0,32,f_big1_r,2.570204,24.754139,30.711296
0,33,f_big2_r,-1.016138,24.351046,28.688102
0,34,f_big3_r,-3.082961,20.213326,27.912714
0,35,f_main1_r,-1.624252,17.361927,35.449759
0,36,f_main2_r,-1.530753,17.012771,30.733113
0,37,f_main3_r,1.945889,19.439154,29.407578
0,38,f_pointer1_r,-3.806045,22.112940,34.566020
0,39,f_pointer2_r,-5.119114,20.095697,30.676192
0,40,f_pointer3_r,-2.387120,21.593174,29.128824
0,41,scapular_r,9.499478,59.125621,13.724371
0,42,chest_r,-4.208704,34.393172,21.917135
0,43,zero_joint_pelvis_l,0.000002,-0.000000,0.000002
0,44,thigh_l,-8.347103,1.175343,-3.709866
0,45,calf_l,-42.450668,-31.188350,10.313943
0,46,foot_l,-47.122186,-68.568899,-6.182633
0,47,toe_l,-59.566332,-78.641859,6.888114
0,48,back_l,-3.554487,-3.266845,-12.807691
0,51,zero_joint_pelvis_r,-0.000046,-0.000302,0.000008
0,52,thigh_r,6.928804,-0.890785,6.001458
0,53,calf_r,25.861456,-38.471504,31.227896
0,54,foot_r,27.563338,-68.569988,3.301543
0,55,toe_r,34.780341,-78.626408,19.852874
0,56,back_r,12.270413,-5.406370,-2.748430
0,57,biceps_twist_l,-23.715758,34.678866,-12.722509
0,58,biceps_twist_r,20.996822,41.941444,20.452742
0,59,thigh_twist_l,-20.830592,-11.233124,1.034951
0,60,thigh_twist_r,13.969361,-15.180569,14.832334
1,0,pelvis,0.000000,0.000000,0.000000
1,1,stomach,0.320098,10.877169,1.809199
1,2,chest,1.378633,28.593751,2.064095
