frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.319598,10.877556,1.806961
0,2,chest,1.341116,28.596709,2.032404
0,3,neck,-5.281206,56.837843,4.976916
0,4,head,-8.768344,69.824484,7.574725
0,5,hair,-6.400612,85.057278,8.010652
0,7,zero_joint_hand_l,1.339465,28.598204,2.034145
0,8,clavicle_l,-6.547701,52.205019,4.036107
0,9,arm_l,-19.735882,47.060897,-7.825792
0,10,forearm_l,-27.958543,21.261974,-18.076980
0,11,forearm_twist_l,-36.739713,17.123651,-11.196488
0,12,hand_l,-46.185526,12.760837,-3.922111
0,13,weapon_l,-54.169393,11.197596,0.660019
0,14,f_big1_l,-50.071157,16.231601,-0.433496
0,15,f_big2_l,-52.505031,16.630758,2.815059
0,16,f_big3_l,-54.612801,13.040634,4.875888
0,17,f_main1_l,-56.854056,9.448891,-2.120923
0,18,f_main2_l,-54.832967,9.335396,2.154558
0,19,f_main3_l,-50.818202,11.176220,1.645506
0,20,f_pointer1_l,-57.795479,14.546579,-1.007539
0,21,f_pointer2_l,-57.612984,12.997355,3.296706
0,22,f_pointer3_l,-54.307628,14.069810,3.404048
0,23,scapular_l,-18.411941,54.819199,-6.327256
0,24,chest_l,-17.835781,32.360814,10.856481
0,25,zero_joint_hand_r,1.342706,28.596795,2.033641
0,26,clavicle_r,-3.304330,52.688487,6.668750
0,27,arm_r,12.654613,52.114989,15.946571
0,28,forearm_r,30.108167,30.982593,25.278171
0,29,forearm_twist_r,19.477016,26.806041,28.747900
0,30,hand_r,8.207190,22.388698,32.443696
0,31,weapon_r,-0.604147,19.138254,31.726399
0,32,f_big1_r,2.878391,24.794327,30.868173
0,33,f_big2_r,-0.477246,24.647500,28.861809
0,34,f_big3_r,-2.564190,21.074422,27.810057
0,35,f_main1_r,-1.634959,17.335185,35.368296
0,36,f_main2_r,-1.428067,17.123794,30.410582
0,37,f_main3_r,2.421448,19.759738,29.370599
0,38,f_pointer1_r,-3.554754,22.164145,34.505840
0,39,f_pointer2_r,-4.903406,20.321139,30.714686
0,40,f_pointer3_r,-2.170367,21.758742,29.306286
0,41,scapular_r,9.491016,59.135590,13.719097
0,42,chest_r,-4.249395,34.389891,21.904457
0,43,zero_joint_pelvis_l,0.001687,-0.000242,0.001066
0,44,thigh_l,-8.345128,1.174404,-3.709696
0,45,calf_l,-42.449001,-31.175087,10.346091
0,46,foot_l,-47.128133,-68.547751,-6.166187
0,47,toe_l,-59.559847,-78.644270,6.898212
0,48,back_l,-3.547486,-3.272540,-12.813425
0,51,zero_joint_pelvis_r,0.001828,-0.000569,0.001193
0,52,thigh_r,6.929694,-0.888662,6.004146
0,53,calf_r,25.857856,-38.454342,31.256339
0,54,foot_r,27.576583,-68.574758,3.308671
