frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.332666,10.877548,1.804648
0,2,chest,1.413018,28.592237,2.096773
0,3,neck,-5.173451,56.854754,4.913768
0,4,head,-8.341402,69.938193,7.475672
0,5,hair,-7.027947,85.280984,8.316997
0,7,zero_joint_hand_l,1.413019,28.592239,2.096772
0,8,clavicle_l,-6.442272,52.218304,3.992078
0,9,arm_l,-19.757540,47.265488,-7.809107
0,10,forearm_l,-28.047495,21.474830,-18.026839
0,11,forearm_twist_l,-36.873012,17.321502,-11.131134
0,12,hand_l,-46.233552,12.931753,-3.844606
0,13,weapon_l,-54.204415,11.261342,0.635207
0,14,f_big1_l,-50.022085,16.243793,-0.462711
0,15,f_big2_l,-52.227178,16.712845,2.734898
0,16,f_big3_l,-54.186508,13.570328,4.859478
0,17,f_main1_l,-57.023900,9.556501,-2.068747
0,18,f_main2_l,-54.836873,9.392692,2.395123
0,19,f_main3_l,-50.554274,11.319977,1.582478
0,20,f_pointer1_l,-57.687838,14.712204,-0.977920
0,21,f_pointer2_l,-57.535624,13.187217,3.203359
0,22,f_pointer3_l,-54.243879,14.153782,3.297428
0,23,scapular_l,-18.359560,55.001062,-6.277035
0,24,chest_l,-17.760838,32.419195,10.894416
0,25,zero_joint_hand_r,1.413065,28.592078,2.096747
0,26,clavicle_r,-3.204618,52.709971,6.623897
0,27,arm_r,12.722745,52.350173,15.966508
0,28,forearm_r,30.032007,31.133357,25.374994
0,29,forearm_twist_r,19.370790,26.960287,28.810274
0,30,hand_r,8.099923,22.547591,32.454602
0,31,weapon_r,-0.636036,19.437115,31.725188
0,32,f_big1_r,2.589249,25.055461,30.812626
0,33,f_big2_r,-1.005950,24.710686,28.794379
0,34,f_big3_r,-3.100386,20.600164,27.951350
0,35,f_main1_r,-1.632249,17.602422,35.432294
0,36,f_main2_r,-1.556050,17.337394,30.709863
0,37,f_main3_r,1.931221,19.765915,29.416555
0,38,f_pointer1_r,-3.794776,22.379141,34.642717
0,39,f_pointer2_r,-5.133453,20.438643,30.718134
0,40,f_pointer3_r,-2.397443,21.947221,29.188750
0,41,scapular_r,9.484145,59.327597,13.724777
0,42,chest_r,-4.179484,34.480543,21.939385
0,43,zero_joint_pelvis_l,0.000002,-0.000001,0.000000
0,44,thigh_l,-8.347683,1.183335,-3.705714
0,45,calf_l,-42.529393,-31.088287,10.339997
0,46,foot_l,-47.138735,-68.456225,-6.202578
0,47,toe_l,-59.593402,-78.471341,6.902552
0,48,back_l,-3.562000,-3.270929,-12.811280
0,51,zero_joint_pelvis_r,-0.000045,-0.000291,0.000007
0,52,thigh_r,6.931187,-0.895214,5.998033
0,53,calf_r,25.955128,-38.394553,31.276842
0,54,foot_r,27.627557,-68.459042,3.266216
0,55,toe_r,34.837091,-78.465483,19.851133
0,56,back_r,12.267362,-5.423486,-2.759601
0,57,biceps_twist_l,-23.742184,34.871092,-12.718558
0,58,biceps_twist_r,21.040690,42.154277,20.489409
0,59,thigh_twist_l,-20.867414,-11.187679,1.041473
0,60,thigh_twist_r,14.018223,-15.165416,14.855612
1,0,pelvis,0.000000,0.000000,0.000000
1,1,stomach,0.332661,10.877548,1.804648
1,2,chest,1.413007,28.592238,2.096769
1,3,neck,-5.173477,56.854753,4.913752
1,4,head,-8.341453,69.938187,7.475650
1,5,hair,-7.027999,85.280978,8.316971
1,7,zero_joint_hand_l,1.413006,28.592238,2.096770
1,8,clavicle_l,-6.442284,52.218303,3.992075
1,9,arm_l,-19.757556,47.265470,-7.809098
1,10,forearm_l,-28.047454,21.474790,-18.026821
1,11,forearm_twist_l,-36.872912,17.321442,-11.131055
1,12,hand_l,-46.233511,12.931707,-3.844593
1,13,weapon_l,-54.204374,11.261297,0.635220
1,14,f_big1_l,-50.022044,16.243747,-0.462698
1,15,f_big2_l,-52.227125,16.712799,2.734920
1,16,f_big3_l,-54.186428,13.570276,4.859514
1,17,f_main1_l,-57.023859,9.556455,-2.068734
1,18,f_main2_l,-54.836840,9.392676,2.395141
1,19,f_main3_l,-50.554241,11.319961,1.582496
1,20,f_pointer1_l,-57.687797,14.712159,-0.977907
1,21,f_pointer2_l,-57.535550,13.187167,3.203369
1,22,f_pointer3_l,-54.243811,14.153754,3.297444
1,23,scapular_l,-18.359572,55.001061,-6.277037
1,24,chest_l,-17.760850,32.419194,10.894414
1,25,zero_joint_hand_r,1.413052,28.592077,2.096745
1,26,clavicle_r,-3.204630,52.709970,6.623895
1,27,arm_r,12.722734,52.350218,15.966506
1,28,forearm_r,30.031985,31.133398,25.375003
1,29,forearm_twist_r,19.370783,26.960286,28.810281
1,30,hand_r,8.099937,22.547559,32.454635
