frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.319486,10.877415,1.807831
0,2,chest,1.362786,28.594754,2.072634
0,3,neck,-5.331192,56.818765,5.019294
0,4,head,-8.780888,69.827878,7.595765
0,5,hair,-6.390745,85.049098,8.256010
0,7,zero_joint_hand_l,1.362788,28.594747,2.072636
0,8,clavicle_l,-6.581220,52.182438,4.072714
0,9,arm_l,-19.772537,47.077401,-7.802576
0,10,forearm_l,-28.052885,21.269308,-17.984011
0,11,forearm_twist_l,-36.899354,17.094855,-11.114420
0,12,hand_l,-46.267285,12.701501,-3.853164
0,13,weapon_l,-54.188148,11.175698,0.656420
0,14,f_big1_l,-50.054217,16.117424,-0.574381
0,15,f_big2_l,-52.260469,16.684878,2.606436
0,16,f_big3_l,-54.224528,13.609860,4.823405
0,17,f_main1_l,-57.062149,9.392182,-1.983156
0,18,f_main2_l,-54.877775,9.360141,2.484902
0,19,f_main3_l,-50.592707,11.257758,1.617306
0,20,f_pointer1_l,-57.721286,14.578974,-1.047895
0,21,f_pointer2_l,-57.572991,13.179977,3.177346
0,22,f_pointer3_l,-54.280289,14.145541,3.244303
0,23,scapular_l,-18.426718,54.830658,-6.314359
0,24,chest_l,-17.835814,32.308131,10.864984
0,25,zero_joint_hand_r,1.362835,28.594588,2.072610
0,26,clavicle_r,-3.349211,52.672928,6.711683
0,27,arm_r,12.645888,52.124075,15.928531
0,28,forearm_r,29.995019,30.945450,25.349624
0,29,forearm_twist_r,19.343370,26.749473,28.786683
0,30,hand_r,8.080006,22.318390,32.431897
0,31,weapon_r,-0.616530,19.137290,31.728709
0,32,f_big1_r,2.556566,24.758403,30.731610
0,33,f_big2_r,-1.030259,24.353810,28.709572
0,34,f_big3_r,-3.093720,20.214859,27.931784
0,35,f_main1_r,-1.632593,17.354120,35.470292
0,36,f_main2_r,-1.540826,17.008240,30.753371
0,37,f_main3_r,1.932976,19.438787,29.428019
0,38,f_pointer1_r,-3.819495,22.103253,34.589600
0,39,f_pointer2_r,-5.133100,20.085929,30.695401
0,40,f_pointer3_r,-2.403364,21.587321,29.147844
0,41,scapular_r,9.462995,59.140415,13.728745
0,42,chest_r,-4.275703,34.365426,21.936780
0,43,zero_joint_pelvis_l,0.000002,-0.000005,-0.000002
0,44,thigh_l,-8.346625,1.175051,-3.710729
0,45,calf_l,-42.438615,-31.206278,10.300506
0,46,foot_l,-47.132755,-68.594993,-6.171125
0,47,toe_l,-59.580747,-78.671718,6.893056
0,48,back_l,-3.550152,-3.271334,-12.814469
0,51,zero_joint_pelvis_r,-0.000044,-0.000295,0.000005
0,52,thigh_r,6.928343,-0.889156,6.002216
0,53,calf_r,25.861718,-38.474599,31.221074
0,54,foot_r,27.579985,-68.612023,3.291719
0,55,toe_r,34.793632,-78.661656,19.848709
0,56,back_r,12.275169,-5.409031,-2.753259
0,57,biceps_twist_l,-23.752580,34.674639,-12.694598
0,58,biceps_twist_r,20.982971,41.946506,20.457470
0,59,thigh_twist_l,-20.832514,-11.235195,1.023109
0,60,thigh_twist_r,13.981502,-15.190404,14.836735
1,0,pelvis,0.125000,0.125000,0.101562
1,1,stomach,0.350008,11.024395,1.787103
1,2,chest,1.225392,28.750637,2.064145
1,3,neck,-5.524692,56.972168,4.904643
1,4,head,-8.828716,70.044773,7.347200
1,5,hair,-6.202994,85.231923,7.885967
1,7,zero_joint_hand_l,1.225394,28.750630,2.064148
1,8,clavicle_l,-6.758116,52.335427,3.937560
1,9,arm_l,-19.858145,47.208215,-8.028880
1,10,forearm_l,-27.927564,21.171121,-17.787860
1,11,forearm_twist_l,-36.879849,17.022908,-11.040544
1,12,hand_l,-46.371503,12.651678,-3.900400
1,13,weapon_l,-54.417464,11.058780,0.706644
1,14,f_big1_l,-50.173889,15.984748,-0.551314
1,15,f_big2_l,-52.373853,16.482364,2.652504
1,16,f_big3_l,-54.300823,13.347099,4.831413
1,17,f_main1_l,-57.126261,9.218152,-2.025768
1,18,f_main2_l,-54.921747,9.140918,2.427431
1,19,f_main3_l,-50.661789,11.089831,1.572746
1,20,f_pointer1_l,-57.834765,14.380774,-1.009863
1,21,f_pointer2_l,-57.651880,12.919517,3.197026
1,22,f_pointer3_l,-54.366503,13.916529,3.262596
1,23,scapular_l,-18.520357,54.964849,-6.548431
1,24,chest_l,-18.116591,32.456896,10.539532
1,25,zero_joint_hand_r,1.225442,28.750470,2.064123
1,26,clavicle_r,-3.569584,52.826654,6.628764
1,27,arm_r,12.307020,52.324686,16.050876
1,28,forearm_r,29.569123,31.228030,25.809686
1,29,forearm_twist_r,18.908858,27.095422,29.296453
1,30,hand_r,7.636382,22.731537,32.994186
1,31,weapon_r,-1.214690,19.620560,32.290808
1,32,f_big1_r,2.119509,25.218311,31.360000
1,33,f_big2_r,-1.472401,24.866947,29.345187
1,34,f_big3_r,-3.554869,20.760330,28.498259
1,35,f_main1_r,-2.083523,17.749424,35.981017
1,36,f_main2_r,-2.009170,17.486410,31.250622
1,37,f_main3_r,1.476776,19.931490,29.958391
1,38,f_pointer1_r,-4.255199,22.522550,35.194806
1,39,f_pointer2_r,-5.591569,20.579745,31.270577
1,40,f_pointer3_r,-2.860964,22.096313,29.739428
1,41,scapular_r,9.163303,59.328754,13.757330
1,42,chest_r,-4.741380,34.516373,21.833602
1,43,zero_joint_pelvis_l,0.125002,0.124995,0.101561
1,44,thigh_l,-8.189958,1.198874,-3.709583
1,45,calf_l,-42.259479,-31.192018,10.334163
1,46,foot_l,-47.146312,-68.541596,-6.170184
1,47,toe_l,-59.593899,-78.621733,6.891751
1,48,back_l,-3.267073,-3.317848,-12.710793
1,51,zero_joint_pelvis_r,0.124958,0.124705,0.101570
1,52,thigh_r,6.995648,-0.646505,6.185814
1,53,calf_r,25.441147,-38.529563,31.320778
1,54,foot_r,28.071611,-68.468595,3.249429
1,55,toe_r,34.637477,-78.656700,19.990326
1,56,back_r,12.465682,-5.228603,-2.460530
1,57,biceps_twist_l,-23.736800,34.695420,-12.717924
1,58,biceps_twist_r,20.602284,42.186518,20.742067
1,59,thigh_twist_l,-20.669836,-11.213562,1.034353
1,60,thigh_twist_r,13.881935,-15.050498,14.984991
2,0,pelvis,0.500000,0.312500,0.375000
2,1,stomach,0.476799,11.258783,1.741317
2,2,chest,0.902019,29.000947,2.053599
2,3,neck,-6.049827,57.197452,4.645104
2,4,head,-9.045700,70.397215,6.782071
2,5,hair,-5.926312,85.498255,7.031510
2,7,zero_joint_hand_l,0.902021,29.000940,2.053601
2,8,clavicle_l,-7.226881,52.558411,3.620535
2,9,arm_l,-20.064855,47.403872,-8.615145
2,10,forearm_l,-27.670718,20.836624,-17.253178
2,11,forearm_twist_l,-36.881147,16.803375,-10.789569
2,12,hand_l,-46.634218,12.558632,-3.959832
2,13,weapon_l,-54.968960,10.853854,0.859847
2,14,f_big1_l,-50.447679,15.725261,-0.443869
2,15,f_big2_l,-52.622425,16.072397,2.810498
2,16,f_big3_l,-54.476492,12.806592,4.902744
2,17,f_main1_l,-57.298938,8.895012,-2.057688
2,18,f_main2_l,-55.041687,8.708162,2.352459
2,19,f_main3_l,-50.841756,10.748280,1.525981
2,20,f_pointer1_l,-58.089479,14.006198,-0.858922
2,21,f_pointer2_l,-57.824394,12.407216,3.301518
2,22,f_pointer3_l,-54.554222,13.459830,3.358700
2,23,scapular_l,-18.746625,55.165558,-7.136716
2,24,chest_l,-18.791633,32.635474,9.710695
2,25,zero_joint_hand_r,0.902070,29.000781,2.053578
2,26,clavicle_r,-4.156223,53.055395,6.444484
2,27,arm_r,11.375172,52.668476,16.430514
2,28,forearm_r,28.331691,31.739328,27.047985
2,29,forearm_twist_r,17.626618,27.821775,30.644012
2,30,hand_r,6.306720,23.685818,34.457047
2,31,weapon_r,-2.903435,20.796486,33.761878
2,32,f_big1_r,0.822778,26.323195,32.992787
2,33,f_big2_r,-2.781244,26.126156,31.003121
2,34,f_big3_r,-4.936878,22.123369,29.990888
2,35,f_main1_r,-3.469109,18.724898,37.326425
2,36,f_main2_r,-3.440042,18.667428,32.576862
2,37,f_main3_r,0.092851,21.121873,31.365751
2,38,f_pointer1_r,-5.558195,23.567501,36.767135
2,39,f_pointer2_r,-6.962045,21.821930,32.783330
2,40,f_pointer3_r,-4.222652,23.354654,31.293364
2,41,scapular_r,8.343131,59.640908,13.902188
2,42,chest_r,-5.911088,34.719092,21.561595
2,43,zero_joint_pelvis_l,0.500002,0.312495,0.374998
2,44,thigh_l,-7.716065,1.116157,-3.707520
2,45,calf_l,-41.768095,-31.278340,10.370291
2,46,foot_l,-47.169476,-68.544674,-6.161832
2,47,toe_l,-59.616342,-78.631085,6.895945
2,48,back_l,-2.446434,-3.567046,-12.422791
2,51,zero_joint_pelvis_r,0.499963,0.312205,0.375015
2,52,thigh_r,7.199537,-0.150065,6.677490
2,53,calf_r,24.343353,-38.827967,31.521772
2,54,foot_r,29.441138,-68.215827,3.208667
2,55,toe_r,34.231148,-78.767663,20.322413
2,56,back_r,13.006618,-4.877826,-1.665306
2,57,biceps_twist_l,-23.720769,34.636341,-12.765517
2,58,biceps_twist_r,19.523615,42.610845,21.534246
2,59,thigh_twist_l,-20.194595,-11.294477,1.044668
2,60,thigh_twist_r,13.641429,-14.827906,15.359913
3,0,pelvis,1.125000,0.625000,0.785156
3,1,stomach,0.758625,11.611155,1.711790
3,2,chest,0.518822,29.355941,2.069224
3,3,neck,-6.840606,57.474354,4.367186
3,4,head,-9.562821,70.783310,6.166311
3,5,hair,-5.994794,85.786438,6.068489
3,7,zero_joint_hand_l,0.518823,29.355934,2.069227
3,8,clavicle_l,-7.912406,52.829070,3.258774
3,9,arm_l,-20.314463,47.716705,-9.435611
3,10,forearm_l,-27.430163,20.549716,-16.478694
3,11,forearm_twist_l,-36.972505,16.766161,-10.354501
3,12,hand_l,-47.076522,12.784783,-3.885881
3,13,weapon_l,-55.730739,10.950467,1.231104
3,14,f_big1_l,-50.860821,15.804677,-0.181679
3,15,f_big2_l,-52.998270,16.004461,3.132266
3,16,f_big3_l,-54.801203,12.603692,5.129023
3,17,f_main1_l,-57.669672,8.972340,-1.930724
3,18,f_main2_l,-55.350376,8.651753,2.412586
3,19,f_main3_l,-51.203765,10.746678,1.615787
3,20,f_pointer1_l,-58.500241,14.024605,-0.532889
3,21,f_pointer2_l,-58.146875,12.276924,3.573412
3,22,f_pointer3_l,-54.883310,13.362939,3.613874
3,23,scapular_l,-19.024678,55.475608,-7.909638
3,24,chest_l,-19.615301,32.771937,8.598306
3,25,zero_joint_hand_r,0.518876,29.355776,2.069206
3,26,clavicle_r,-5.012208,53.342533,6.257482
3,27,arm_r,9.938366,53.124539,17.098493
3,28,forearm_r,26.303460,32.359344,28.899927
3,29,forearm_twist_r,15.496971,28.837305,32.600230
3,30,hand_r,4.069853,25.120267,36.523247
3,31,weapon_r,-5.523430,22.635030,35.804943
3,32,f_big1_r,-1.325518,27.998290,35.281114
3,33,f_big2_r,-4.935132,28.042819,33.333555
