frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-4.478091,10.046131,0.842875
0,2,chest,-11.024622,26.536499,0.319986
0,3,neck,-29.722804,47.669333,-7.019514
0,4,head,-42.030508,51.836256,-11.370697
0,5,hair,-54.067133,60.105951,-16.327111
0,7,zero_joint_hand_l,-11.027323,26.536579,0.319154
0,8,clavicle_l,-27.101547,43.683701,-8.112484
0,9,arm_l,-21.759677,41.818118,-25.693120
0,10,forearm_l,-50.420335,42.164430,-29.892558
0,11,forearm_twist_l,-57.339609,49.049515,-23.034228
0,12,hand_l,-64.690008,56.370233,-15.743603
0,13,weapon_l,-70.867086,52.139353,-6.773763
0,14,f_big1_l,-65.417244,60.652742,-11.326284
0,15,f_big2_l,-66.886959,62.233140,-7.870630
0,16,f_big3_l,-69.431007,61.871743,-4.109993
0,17,f_main1_l,-74.994309,58.667247,-11.495087
0,18,f_main2_l,-74.897733,57.964680,-6.715380
0,19,f_main3_l,-72.433959,56.594184,-3.118255
0,20,f_pointer1_l,-72.770658,63.256651,-10.032436
0,21,f_pointer2_l,-74.147447,62.316805,-5.802162
0,22,f_pointer3_l,-72.008195,60.854939,-3.481253
0,23,scapular_l,-26.997480,47.522085,-23.612436
0,24,chest_l,-26.553618,20.395311,-13.130749
0,25,zero_joint_hand_r,-11.025098,26.536547,0.321945
0,26,clavicle_r,-28.316357,43.998708,-4.100927
0,27,arm_r,-34.302067,43.384372,13.360132
0,28,forearm_r,-55.352387,23.511877,12.858703
0,29,forearm_twist_r,-61.653783,32.511949,8.190191
0,30,hand_r,-68.332670,42.055717,3.241490
0,31,weapon_r,-70.840107,52.135137,-6.777507
0,32,f_big1_r,-68.091965,47.125656,-0.312830
0,33,f_big2_r,-67.774834,49.218556,-3.798559
0,34,f_big3_r,-68.490378,49.539673,-8.281247
0,35,f_main1_r,-76.591365,44.316921,-4.254023
0,36,f_main2_r,-75.910702,44.940496,-8.993078
0,37,f_main3_r,-71.485367,43.855060,-9.348042
0,38,f_pointer1_r,-74.781465,49.293212,-3.925512
0,39,f_pointer2_r,-74.288284,49.605868,-8.434735
0,40,f_pointer3_r,-71.225770,48.520913,-9.671814
0,41,scapular_r,-36.984439,49.016254,8.325031
0,42,chest_r,-31.645087,21.727469,3.693850
0,43,zero_joint_pelvis_l,-0.000824,0.001647,0.002156
0,44,thigh_l,-1.266640,0.537983,-9.104302
0,45,calf_l,-48.518125,-8.858442,-18.385103
0,46,foot_l,-37.849125,-48.327774,-13.956789
0,47,toe_l,-56.166996,-57.575834,-16.425537
0,48,back_l,9.860097,-0.769228,-9.467994
0,51,zero_joint_pelvis_r,0.000046,-0.000491,0.002200
0,52,thigh_r,-1.396213,-1.043130,9.045586
0,53,calf_r,-7.070168,-49.613207,13.030906
0,54,foot_r,32.027942,-39.940742,4.721461
0,55,toe_r,44.918457,-54.342048,-2.599926
0,56,back_r,9.727281,-2.409177,9.334663
0,57,biceps_twist_l,-35.526201,41.985707,-27.707039
0,58,biceps_twist_r,-44.412177,33.839125,13.119860
0,59,thigh_twist_l,-18.813182,-2.951938,-12.548451
