frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.365255,10.865557,1.869425
0,2,chest,1.411651,28.583960,2.030575
0,3,neck,-5.422793,56.778855,4.933197
0,4,head,-8.775573,69.789605,7.626686
0,5,hair,-6.377816,85.009733,8.284479
0,7,zero_joint_hand_l,1.411651,28.583960,2.030575
0,8,clavicle_l,-6.694001,52.085893,4.365191
0,9,arm_l,-20.708407,46.613874,-6.346866
0,10,forearm_l,-32.879179,20.344250,-6.096647
0,11,forearm_twist_l,-39.367392,11.602734,-1.198390
0,12,hand_l,-46.256511,2.340454,3.991111
0,13,weapon_l,-48.098520,-4.030539,10.421099
0,14,f_big1_l,-43.344502,0.209323,8.853611
0,15,f_big2_l,-42.107915,-2.776095,11.059394
0,16,f_big3_l,-44.103767,-6.527968,11.469715
0,17,f_main1_l,-51.883572,-3.219290,12.239876
0,18,f_main2_l,-48.829752,-6.585470,10.220211
0,19,f_main3_l,-46.206348,-4.003193,7.198989
0,20,f_pointer1_l,-47.629369,-1.828802,15.094503
0,21,f_pointer2_l,-46.517885,-6.070166,14.315209
0,22,f_pointer3_l,-44.511654,-4.940870,11.772570
0,23,scapular_l,-19.291357,54.409099,-5.178140
0,24,chest_l,-16.269027,32.304002,13.573356
0,25,zero_joint_hand_r,1.411697,28.583799,2.030547
0,26,clavicle_r,-3.102769,52.741489,6.448522
0,27,arm_r,14.166103,52.720414,12.996831
0,28,forearm_r,28.231275,27.419731,12.422553
0,29,forearm_twist_r,29.333416,31.250303,23.666640
0,30,hand_r,30.515108,35.331300,35.613339
0,31,weapon_r,34.225558,38.549241,44.016058
0,32,f_big1_r,34.464080,39.679555,37.820260
0,33,f_big2_r,35.162219,42.878029,40.350192
0,34,f_big3_r,32.854273,43.529787,44.375797
0,35,f_main1_r,33.219335,35.651872,46.596094
0,36,f_main2_r,30.890584,39.692019,45.824985
0,37,f_main3_r,30.300626,39.929184,41.428726
0,38,f_pointer1_r,37.484157,38.375529,45.018023
0,39,f_pointer2_r,35.008698,41.917087,46.519242
0,40,f_pointer3_r,34.028059,42.460635,43.228364
0,41,scapular_r,10.224070,59.616555,11.957514
0,42,chest_r,-1.204986,35.054377,22.302831
0,43,zero_joint_pelvis_l,0.000000,0.000000,0.000000
0,44,thigh_l,-8.333575,1.234132,-3.720892
0,45,calf_l,-42.374668,-31.213138,10.261509
0,46,foot_l,-47.139437,-68.617504,-6.154215
0,47,toe_l,-59.575207,-78.698043,6.918661
0,48,back_l,-3.538796,-3.183327,-12.839747
0,51,zero_joint_pelvis_r,-0.000046,-0.000294,0.000005
0,52,thigh_r,6.912457,-0.954468,6.010271
0,53,calf_r,25.866877,-38.509692,31.258322
0,54,foot_r,27.594811,-68.623449,3.304046
0,55,toe_r,34.768169,-78.712969,19.854279
0,56,back_r,12.256017,-5.449517,-2.758735
0,57,biceps_twist_l,-26.553641,33.996322,-6.226835
0,58,biceps_twist_r,20.922979,40.569179,12.721355
0,59,thigh_twist_l,-20.793389,-11.203926,1.008521
0,60,thigh_twist_r,13.954989,-15.251036,14.860724
1,0,pelvis,2.859375,-2.500000,-0.726562
1,1,stomach,1.782722,8.334678,1.045177
1,2,chest,0.310263,26.001400,1.929228
1,3,neck,-11.433568,52.474438,5.297846
1,4,head,-16.875484,64.628650,8.528376
1,5,hair,-15.554136,79.909189,10.138780
1,7,zero_joint_hand_l,0.310263,26.001400,1.929228
1,8,clavicle_l,-11.835724,47.675388,4.420434
1,9,arm_l,-23.278246,41.053904,-8.476053
1,10,forearm_l,-31.629690,13.740447,-13.220727
1,11,forearm_twist_l,-38.045830,7.200069,-5.568242
1,12,hand_l,-44.858533,0.271233,2.540952
1,13,weapon_l,-48.783965,-4.906329,9.106858
1,14,f_big1_l,-43.059240,-1.943925,7.880183
1,15,f_big2_l,-42.775279,-4.890904,10.434934
1,16,f_big3_l,-45.584869,-8.073714,10.848443
1,17,f_main1_l,-52.473943,-3.137681,10.351300
1,18,f_main2_l,-50.046521,-7.258742,9.001611
1,19,f_main3_l,-46.582174,-5.618622,6.175573
1,20,f_pointer1_l,-48.366452,-2.409105,13.634330
1,21,f_pointer2_l,-48.152334,-6.845871,13.316337
1,22,f_pointer3_l,-45.668546,-6.436113,10.983616
1,23,scapular_l,-22.998925,48.906626,-6.948734
1,24,chest_l,-18.694156,26.100007,11.854108
1,25,zero_joint_hand_r,0.310337,26.001250,1.929198
1,26,clavicle_r,-8.605747,48.796689,6.865214
1,27,arm_r,8.025502,48.984118,14.893985
1,28,forearm_r,29.601346,30.108667,10.833967
1,29,forearm_twist_r,32.714248,31.394394,22.278364
1,30,hand_r,36.029634,32.774536,34.438874
1,31,weapon_r,41.814969,33.342715,42.244983
