frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,1.343168,10.906131,1.406087
0,2,chest,1.617669,28.559817,1.282869
0,3,neck,0.851184,57.535018,-1.721510
0,4,head,2.553180,71.087031,-0.523193
0,5,hair,2.880356,85.885566,-4.851071
0,7,zero_joint_hand_l,1.617669,28.559817,1.282869
0,8,clavicle_l,0.066120,53.462580,0.878634
0,9,arm_l,-15.396350,49.283563,9.978817
0,10,forearm_l,-23.896554,21.649611,11.526287
0,11,forearm_twist_l,-24.788011,10.343556,14.999649
0,12,hand_l,-25.381334,-1.755348,18.932764
0,13,weapon_l,-24.485401,-9.560136,20.187614
0,14,f_big1_l,-21.371007,-6.221746,21.512346
0,15,f_big2_l,-20.020842,-10.123167,20.994212
0,16,f_big3_l,-18.898490,-13.835843,21.821494
0,17,f_main1_l,-26.515916,-13.163131,21.129846
0,18,f_main2_l,-24.947680,-16.804617,20.033755
0,19,f_main3_l,-22.461600,-19.828985,18.214681
0,20,f_pointer1_l,-21.900098,-12.299504,23.073628
0,21,f_pointer2_l,-21.192893,-16.789058,22.522520
0,22,f_pointer3_l,-19.689436,-19.505335,20.953435
0,23,scapular_l,-13.461529,56.932815,8.602601
0,24,chest_l,6.174797,39.476935,19.163865
0,25,zero_joint_hand_r,1.617665,28.559648,1.282877
0,26,clavicle_r,3.235022,53.260423,-1.875311
0,27,arm_r,18.246072,49.634232,-12.005159
0,28,forearm_r,23.785365,21.771362,-17.596235
0,29,forearm_twist_r,27.134973,10.859318,-14.293055
0,30,hand_r,30.799189,-0.774009,-10.714006
0,31,weapon_r,30.583901,-9.471757,-8.345991
0,32,f_big1_r,27.695903,-4.098040,-6.828088
0,33,f_big2_r,26.933166,-7.333223,-4.764296
0,34,f_big3_r,26.607517,-11.243780,-3.082013
0,35,f_main1_r,33.949340,-12.414904,-8.124032
0,36,f_main2_r,31.769583,-16.531283,-7.571206
0,37,f_main3_r,28.166335,-19.648608,-7.451460
0,38,f_pointer1_r,31.067840,-10.626520,-4.103070
0,39,f_pointer2_r,30.458322,-14.991784,-3.466818
0,40,f_pointer3_r,28.996102,-18.074443,-3.095585
0,41,scapular_r,15.812794,57.192841,-10.909624
0,42,chest_r,19.458465,38.627815,7.608918
0,43,zero_joint_pelvis_l,0.000000,0.000000,0.000000
0,44,thigh_l,-5.676050,-0.006672,7.249459
0,45,calf_l,-10.493968,-47.737101,16.596086
0,46,foot_l,-17.661466,-87.967841,11.972220
0,47,toe_l,-15.086145,-98.122906,29.788170
0,48,back_l,-13.132037,-3.879937,-0.107014
0,51,zero_joint_pelvis_r,0.000009,-0.000297,0.000010
0,52,thigh_r,7.539515,0.174595,-5.291635
0,53,calf_r,17.562092,-47.995902,-8.083178
0,54,foot_r,16.132981,-87.659624,-18.854086
0,55,toe_r,32.292160,-97.896865,-11.028134
0,56,back_r,0.539563,-3.886426,-13.119541
0,57,biceps_twist_l,-19.622635,36.021749,10.565148
0,58,biceps_twist_r,20.931840,36.243698,-14.706932
0,59,thigh_twist_l,-7.513286,-17.722863,10.119403
0,60,thigh_twist_r,10.721980,-17.929693,-6.675813
1,0,pelvis,-0.007812,0.000000,-0.015625
1,1,stomach,1.335221,10.906132,1.390586
1,2,chest,1.609963,28.559813,1.267218
1,3,neck,0.842639,57.535112,-1.736002
1,4,head,2.542538,71.087239,-0.535999
1,5,hair,2.866380,85.886414,-4.861938
1,7,zero_joint_hand_l,1.609963,28.559813,1.267218
1,8,clavicle_l,0.057107,53.462507,0.863739
1,9,arm_l,-15.407559,49.282184,9.959589
1,10,forearm_l,-23.899023,21.645498,11.506226
1,11,forearm_twist_l,-24.786464,10.339368,14.980366
1,12,hand_l,-25.375664,-1.759516,18.914154
1,13,weapon_l,-24.475468,-9.563740,20.170221
1,14,f_big1_l,-21.363959,-6.224143,21.494661
1,15,f_big2_l,-20.012172,-10.125066,20.977010
1,16,f_big3_l,-18.888474,-13.837237,21.804727
1,17,f_main1_l,-26.506062,-13.167591,21.111880
1,18,f_main2_l,-24.933740,-16.806261,20.012296
1,19,f_main3_l,-22.443406,-19.822967,18.186331
1,20,f_pointer1_l,-21.890880,-12.301998,23.056297
1,21,f_pointer2_l,-21.179220,-16.790279,22.500581
1,22,f_pointer3_l,-19.671225,-19.500773,20.925859
1,23,scapular_l,-13.472804,56.931610,8.584250
1,24,chest_l,6.161687,39.476348,19.149947
1,25,zero_joint_hand_r,1.609959,28.559644,1.267226
1,26,clavicle_r,3.226758,53.260659,-1.889367
1,27,arm_r,18.240313,49.633815,-12.015270
1,28,forearm_r,23.778407,21.773361,-17.619558
1,29,forearm_twist_r,27.126111,10.859867,-14.319240
1,30,hand_r,30.788345,-0.775019,-10.743232
1,31,weapon_r,30.571636,-9.473572,-8.378304
1,32,f_big1_r,27.683688,-4.100130,-6.859333
1,33,f_big2_r,26.920107,-7.335962,-4.796871
1,34,f_big3_r,26.593649,-11.247076,-3.116039
1,35,f_main1_r,33.936755,-12.417092,-8.156436
1,36,f_main2_r,31.756483,-16.533471,-7.605647
1,37,f_main3_r,28.152929,-19.650521,-7.487986
1,38,f_pointer1_r,31.054296,-10.629854,-4.135651
1,39,f_pointer2_r,30.444218,-14.995286,-3.501087
1,40,f_pointer3_r,28.981600,-18.077935,-3.131349
1,41,scapular_r,15.807472,57.192575,-10.919802
1,42,chest_r,19.448494,38.628526,7.598513
1,43,zero_joint_pelvis_l,-0.007812,0.000000,-0.015625
1,44,thigh_l,-5.685220,-0.006642,7.232767
1,45,calf_l,-10.491948,-47.737747,16.581705
1,46,foot_l,-17.652051,-87.969666,11.956635
1,47,toe_l,-15.075713,-98.124722,29.772444
1,48,back_l,-13.139875,-3.879782,-0.125027
1,51,zero_joint_pelvis_r,-0.007803,-0.000297,-0.015615
1,52,thigh_r,7.532714,0.174686,-5.305834
1,53,calf_r,17.558578,-47.995024,-8.099170
1,54,foot_r,16.132315,-87.658399,-18.871731
1,55,toe_r,32.292051,-97.894874,-11.045927
1,56,back_r,0.534134,-3.886581,-13.135022
1,57,biceps_twist_l,-19.629642,36.019015,10.545547
1,58,biceps_twist_r,20.925528,36.244454,-14.723398
1,59,thigh_twist_l,-7.518356,-17.723119,10.103571
1,60,thigh_twist_r,10.716420,-17.929331,-6.690700
2,0,pelvis,-0.023438,0.000000,-0.015625
2,1,stomach,1.320973,10.906006,1.390251
2,2,chest,1.599378,28.559632,1.267306
2,3,neck,0.840088,57.535839,-1.729181
2,4,head,2.534159,71.089702,-0.540593
2,5,hair,2.848349,85.885988,-4.877117
2,7,zero_joint_hand_l,1.599378,28.559632,1.267306
2,8,clavicle_l,0.051307,53.462703,0.868744
2,9,arm_l,-15.421332,49.282677,9.951162
2,10,forearm_l,-23.896196,21.640635,11.493128
2,11,forearm_twist_l,-24.778844,10.334152,14.967332
2,12,hand_l,-25.363295,-1.764894,18.901323
2,13,weapon_l,-24.454215,-9.567774,20.158044
2,14,f_big1_l,-21.349423,-6.224593,21.486977
2,15,f_big2_l,-19.991492,-10.123540,20.970527
2,16,f_big3_l,-18.863969,-13.834353,21.799136
2,17,f_main1_l,-26.481399,-13.175004,21.094768
2,18,f_main2_l,-24.895514,-16.804984,19.985979
2,19,f_main3_l,-22.390666,-19.798751,18.142200
2,20,f_pointer1_l,-21.870393,-12.303517,23.046448
2,21,f_pointer2_l,-21.144869,-16.787760,22.476249
2,22,f_pointer3_l,-19.621783,-19.480839,20.886245
2,23,scapular_l,-13.484010,56.932124,8.579632
2,24,chest_l,6.135569,39.470747,19.157288
2,25,zero_joint_hand_r,1.599374,28.559463,1.267314
2,26,clavicle_r,3.223607,53.261007,-1.881319
2,27,arm_r,18.246152,49.632007,-11.993107
2,28,forearm_r,23.786755,21.779126,-17.632451
2,29,forearm_twist_r,27.131254,10.862344,-14.339770
2,30,hand_r,30.790013,-0.776105,-10.771805
2,31,weapon_r,30.570004,-9.477579,-8.417957
2,32,f_big1_r,27.680859,-4.105788,-6.895428
2,33,f_big2_r,26.914753,-7.344124,-4.837839
2,34,f_big3_r,26.586139,-11.257302,-3.162238
2,35,f_main1_r,33.934632,-12.421661,-8.196101
2,36,f_main2_r,31.753417,-16.538537,-7.652812
2,37,f_main3_r,28.149475,-19.655423,-7.542950
2,38,f_pointer1_r,31.047956,-10.639189,-4.176226
2,39,f_pointer2_r,30.436822,-15.005356,-3.547766
2,40,f_pointer3_r,28.973544,-18.088339,-3.183460
2,41,scapular_r,15.813790,57.191149,-10.899321
2,42,chest_r,19.433495,38.623562,7.618609
2,43,zero_joint_pelvis_l,-0.023438,0.000000,-0.015625
2,44,thigh_l,-5.704798,-0.005187,7.229660
2,45,calf_l,-10.503104,-47.735257,16.588199
2,46,foot_l,-17.657013,-87.968392,11.964124
2,47,toe_l,-15.080931,-98.122205,29.780678
2,48,back_l,-13.156198,-3.877226,-0.131729
2,51,zero_joint_pelvis_r,-0.023428,-0.000297,-0.015615
2,52,thigh_r,7.520004,0.172937,-5.301754
2,53,calf_r,17.553223,-47.995613,-8.088668
2,54,foot_r,16.133714,-87.659002,-18.862070
2,55,toe_r,32.292459,-97.895697,-11.034507
2,56,back_r,0.524821,-3.887965,-13.134350
2,57,biceps_twist_l,-19.635257,36.016818,10.534879
2,58,biceps_twist_r,20.932604,36.246311,-14.718074
2,59,thigh_twist_l,-7.534650,-17.721433,10.103984
2,60,thigh_twist_r,10.706521,-17.930760,-6.684352
3,0,pelvis,-0.050781,0.000000,-0.015625
3,1,stomach,1.295759,10.905816,1.389687
3,2,chest,1.579521,28.559369,1.268535
3,3,neck,0.831846,57.537126,-1.715860
3,4,head,2.518540,71.091756,-0.525529
3,5,hair,2.829495,85.888542,-4.860578
3,7,zero_joint_hand_l,1.579521,28.559369,1.268535
3,8,clavicle_l,0.038340,53.463012,0.879089
3,9,arm_l,-15.447058,49.282587,9.939550
3,10,forearm_l,-23.896793,21.632660,11.478028
3,11,forearm_twist_l,-24.772246,10.326091,14.953765
3,12,hand_l,-25.349561,-1.772646,18.889753
3,13,weapon_l,-24.427841,-9.573776,20.146844
3,14,f_big1_l,-21.333034,-6.225278,21.483451
3,15,f_big2_l,-19.966082,-10.121318,20.968858
3,16,f_big3_l,-18.833153,-13.830178,21.798833
3,17,f_main1_l,-26.450165,-13.185771,21.076354
3,18,f_main2_l,-24.843372,-16.802085,19.953104
3,19,f_main3_l,-22.316108,-19.759556,18.081545
3,20,f_pointer1_l,-21.845622,-12.305803,23.039454
3,21,f_pointer2_l,-21.098816,-16.783710,22.447357
3,22,f_pointer3_l,-19.552311,-19.449403,20.833982
3,23,scapular_l,-13.506139,56.932202,8.573976
3,24,chest_l,6.093093,39.461208,19.169889
3,25,zero_joint_hand_r,1.579517,28.559200,1.268543
3,26,clavicle_r,3.214489,53.261756,-1.866562
3,27,arm_r,18.250194,49.631356,-11.958266
3,28,forearm_r,23.799181,21.791062,-17.651263
3,29,forearm_twist_r,27.140540,10.869875,-14.370018
3,30,hand_r,30.795918,-0.773353,-10.814201
3,31,weapon_r,30.571480,-9.479359,-8.477391
3,32,f_big1_r,27.680501,-4.110472,-6.949265
3,33,f_big2_r,26.911006,-7.352796,-4.899234
3,34,f_big3_r,26.579567,-11.269234,-3.231828
3,35,f_main1_r,33.935924,-12.424094,-8.256379
3,36,f_main2_r,31.753661,-16.541917,-7.724600
3,37,f_main3_r,28.149403,-19.658832,-7.626529
3,38,f_pointer1_r,31.042999,-10.649360,-4.237572
3,39,f_pointer2_r,30.430669,-15.016720,-3.618637
3,40,f_pointer3_r,28.966698,-18.100347,-3.262666
3,41,scapular_r,15.818421,57.190904,-10.865771
3,42,chest_r,19.407162,38.615874,7.649707
3,43,zero_joint_pelvis_l,-0.050781,0.000000,-0.015625
3,44,thigh_l,-5.737388,-0.003018,7.225528
3,45,calf_l,-10.516176,-47.732099,16.599089
3,46,foot_l,-17.653441,-87.968378,11.976658
3,47,toe_l,-15.077279,-98.128894,29.793814
3,48,back_l,-13.184569,-3.873469,-0.140588
3,51,zero_joint_pelvis_r,-0.050772,-0.000297,-0.015615
3,52,thigh_r,7.496552,0.170508,-5.296314
3,53,calf_r,17.544134,-47.994976,-8.084486
3,54,foot_r,16.129299,-87.659022,-18.856084
3,55,toe_r,32.288266,-97.897086,-11.030771
3,56,back_r,0.505752,-3.889965,-13.133409
3,57,biceps_twist_l,-19.648663,36.012747,10.521536
3,58,biceps_twist_r,20.940735,36.251752,-14.708996
3,59,thigh_twist_l,-7.559853,-17.719122,10.105418
3,60,thigh_twist_r,10.688290,-17.932258,-6.679068
4,0,pelvis,-0.085938,0.000000,-0.031250
4,1,stomach,1.263420,10.905561,1.373333
4,2,chest,1.554131,28.559024,1.255429
4,3,neck,0.818767,57.539110,-1.709339
4,4,head,2.500322,71.093428,-0.508234
4,5,hair,2.804780,85.894087,-4.830506
4,7,zero_joint_hand_l,1.554131,28.559024,1.255429
4,8,clavicle_l,0.020603,53.463379,0.881636
4,9,arm_l,-15.476913,49.282808,9.921288
4,10,forearm_l,-23.901392,21.624886,11.454569
4,11,forearm_twist_l,-24.769050,10.317819,14.930631
4,12,hand_l,-25.338537,-1.781079,18.867257
4,13,weapon_l,-24.404239,-9.580008,20.124846
4,14,f_big1_l,-21.320377,-6.227259,21.469479
4,15,f_big2_l,-19.944017,-10.120160,20.956209
4,16,f_big3_l,-18.805907,-13.827261,21.786955
4,17,f_main1_l,-26.422119,-13.197887,21.043103
4,18,f_main2_l,-24.790549,-16.796987,19.900446
4,19,f_main3_l,-22.236820,-19.708104,17.992490
4,20,f_pointer1_l,-21.825016,-12.309859,23.019961
4,21,f_pointer2_l,-21.053330,-16.779501,22.398067
4,22,f_pointer3_l,-19.478597,-19.409521,20.753747
4,23,scapular_l,-13.531423,56.932571,8.563222
4,24,chest_l,6.046690,39.446826,19.170607
4,25,zero_joint_hand_r,1.554127,28.558854,1.255437
4,26,clavicle_r,3.200392,53.263164,-1.859875
4,27,arm_r,18.248066,49.631436,-11.933244
4,28,forearm_r,23.802972,21.805093,-17.688335
4,29,forearm_twist_r,27.139986,10.876649,-14.426889
4,30,hand_r,30.790783,-0.774389,-10.892009
4,31,weapon_r,30.559797,-9.486995,-8.577863
4,32,f_big1_r,27.668401,-4.120789,-7.040741
4,33,f_big2_r,26.895073,-7.368117,-5.000096
4,34,f_big3_r,26.560395,-11.288651,-3.342993
4,35,f_main1_r,33.925286,-12.431753,-8.357722
4,36,f_main2_r,31.741724,-16.550670,-7.839928
4,37,f_main3_r,28.137010,-19.667465,-7.755803
4,38,f_pointer1_r,31.025611,-10.666720,-4.339508
4,39,f_pointer2_r,30.411810,-15.035544,-3.732481
4,40,f_pointer3_r,28.946910,-18.119890,-3.386699
4,41,scapular_r,15.817892,57.191452,-10.840428
4,42,chest_r,19.376032,38.605867,7.667779
4,43,zero_joint_pelvis_l,-0.085938,0.000000,-0.031250
4,44,thigh_l,-5.779736,0.000061,7.204235
4,45,calf_l,-10.542021,-47.727946,16.591657
4,46,foot_l,-17.661980,-87.967696,11.972752
4,47,toe_l,-15.087105,-98.127340,29.790591
4,48,back_l,-13.221087,-3.868435,-0.168423
4,51,zero_joint_pelvis_r,-0.085928,-0.000297,-0.031240
4,52,thigh_r,7.466719,0.167084,-5.304470
4,53,calf_r,17.527451,-47.995792,-8.090274
4,54,foot_r,16.128022,-87.662397,-18.854459
4,55,toe_r,32.286886,-97.899176,-11.027252
4,56,back_r,0.482021,-3.892660,-13.147745
4,57,biceps_twist_l,-19.666277,36.008986,10.500697
4,58,biceps_twist_r,20.941503,36.258577,-14.713779
4,59,thigh_twist_l,-7.595826,-17.715864,10.089249
4,60,thigh_twist_r,10.663289,-17.934909,-6.686203
5,0,pelvis,-0.128906,0.000000,-0.031250
5,1,stomach,1.222671,10.905214,1.373897
5,2,chest,1.519487,28.558609,1.261250
5,3,neck,0.795177,57.541300,-1.680689
5,4,head,2.473797,71.093673,-0.453808
5,5,hair,2.779447,85.902458,-4.748072
5,7,zero_joint_hand_l,1.519487,28.558609,1.261250
5,8,clavicle_l,-0.007689,53.463622,0.905767
5,9,arm_l,-15.516817,49.280824,9.924450
5,10,forearm_l,-23.911737,21.613606,11.452133
5,11,forearm_twist_l,-24.770618,10.305720,14.927704
5,12,hand_l,-25.331266,-1.793652,18.864135
5,13,weapon_l,-24.384868,-9.591097,20.119298
5,14,f_big1_l,-21.312166,-6.234149,21.474595
5,15,f_big2_l,-19.926328,-10.123765,20.961921
5,16,f_big3_l,-18.783276,-13.829339,21.792694
5,17,f_main1_l,-26.398410,-13.214691,21.025855
5,18,f_main2_l,-24.738888,-16.793147,19.858874
5,19,f_main3_l,-22.155512,-19.648227,17.906666
5,20,f_pointer1_l,-21.809259,-12.319227,23.017774
5,21,f_pointer2_l,-21.009592,-16.778777,22.359826
5,22,f_pointer3_l,-19.403009,-19.365879,20.678645
5,23,scapular_l,-13.567326,56.931067,8.574702
5,24,chest_l,5.988621,39.430591,19.191888
5,25,zero_joint_hand_r,1.519484,28.558439,1.261258
5,26,clavicle_r,3.176022,53.264922,-1.831298
5,27,arm_r,18.236932,49.633732,-11.885062
5,28,forearm_r,23.804566,21.822444,-17.700314
5,29,forearm_twist_r,27.138470,10.886217,-14.461857
5,30,hand_r,30.785926,-0.773216,-10.951292
5,31,weapon_r,30.549907,-9.491632,-8.659228
5,32,f_big1_r,27.656171,-4.129489,-7.114629
5,33,f_big2_r,26.878941,-7.382046,-5.083816
5,34,f_big3_r,26.541096,-11.306822,-3.437432
5,35,f_main1_r,33.915594,-12.437057,-8.440942
5,36,f_main2_r,31.731055,-16.557286,-7.937919
5,37,f_main3_r,28.126195,-19.674279,-7.868715
5,38,f_pointer1_r,31.008211,-10.682343,-4.423780
5,39,f_pointer2_r,30.393255,-15.052709,-3.829147
5,40,f_pointer3_r,28.927728,-18.137940,-3.494082
5,41,scapular_r,15.807376,57.193890,-10.792056
5,42,chest_r,19.334421,38.595987,7.707695
5,43,zero_joint_pelvis_l,-0.128906,0.000000,-0.031250
5,44,thigh_l,-5.830633,0.002012,7.197971
5,45,calf_l,-10.562185,-47.728356,16.588923
5,46,foot_l,-17.658695,-87.973079,11.977253
5,47,toe_l,-15.081978,-98.126058,29.794191
5,48,back_l,-13.265226,-3.863939,-0.182368
5,51,zero_joint_pelvis_r,-0.128897,-0.000297,-0.031240
5,52,thigh_r,7.429619,0.164777,-5.296186
5,53,calf_r,17.494706,-47.996888,-8.087193
5,54,foot_r,16.129604,-87.664149,-18.853366
5,55,toe_r,32.288527,-97.900962,-11.026323
5,56,back_r,0.451959,-3.893939,-13.146800
5,57,biceps_twist_l,-19.691764,36.002344,10.501141
5,58,biceps_twist_r,20.936511,36.268149,-14.694477
5,59,thigh_twist_l,-7.635364,-17.714866,10.084265
5,60,thigh_twist_r,10.628220,-17.936650,-6.680634
6,0,pelvis,-0.171875,0.000000,-0.046875
6,1,stomach,1.181504,10.905022,1.358028
6,2,chest,1.482754,28.558373,1.250257
6,3,neck,0.768313,57.543748,-1.667549
6,4,head,2.450099,71.091791,-0.397929
6,5,hair,2.784577,85.911184,-4.653271
6,7,zero_joint_hand_l,1.482754,28.558373,1.250257
6,8,clavicle_l,-0.038944,53.463991,0.914256
6,9,arm_l,-15.560064,49.278336,9.910955
6,10,forearm_l,-23.928276,21.602978,11.437735
6,11,forearm_twist_l,-24.782447,10.294646,14.913007
6,12,hand_l,-25.338627,-1.804908,18.849504
6,13,weapon_l,-24.383340,-9.600945,20.102564
6,14,f_big1_l,-21.320558,-6.241325,21.468476
6,15,f_big2_l,-19.926477,-10.128061,20.956307
6,16,f_big3_l,-18.779874,-13.832561,21.786975
6,17,f_main1_l,-26.393495,-13.229974,20.995917
6,18,f_main2_l,-24.705116,-16.785941,19.801797
6,19,f_main3_l,-22.091671,-19.578929,17.800411
6,20,f_pointer1_l,-21.812388,-12.328835,23.003732
6,21,f_pointer2_l,-20.983438,-16.776894,22.305478
6,22,f_pointer3_l,-19.343409,-19.315481,20.583139
6,23,scapular_l,-13.606643,56.929105,8.569973
6,24,chest_l,5.929314,39.413912,19.196462
6,25,zero_joint_hand_r,1.482750,28.558203,1.250265
6,26,clavicle_r,3.148502,53.267022,-1.818584
6,27,arm_r,18.221370,49.637219,-11.854914
6,28,forearm_r,23.806972,21.841755,-17.728300
6,29,forearm_twist_r,27.138756,10.897152,-14.516062
6,30,hand_r,30.783951,-0.771320,-11.033287
6,31,weapon_r,30.544354,-9.496054,-8.765354
6,32,f_big1_r,27.647021,-4.138913,-7.212436
6,33,f_big2_r,26.866274,-7.397289,-5.192327
6,34,f_big3_r,26.525841,-11.326719,-3.557621
6,35,f_main1_r,33.910792,-12.441533,-8.549169
6,36,f_main2_r,31.726046,-16.563574,-8.062140
6,37,f_main3_r,28.121670,-19.681442,-8.009029
6,38,f_pointer1_r,30.994850,-10.698622,-4.533071
6,39,f_pointer2_r,30.379549,-15.070754,-3.951929
6,40,f_pointer3_r,28.913928,-18.157182,-3.628509
6,41,scapular_r,15.792613,57.197457,-10.760688
6,42,chest_r,19.290784,38.586572,7.729977
6,43,zero_joint_pelvis_l,-0.171875,0.000000,-0.046875
6,44,thigh_l,-5.882187,0.004440,7.175545
6,45,calf_l,-10.593086,-47.727130,16.570776
6,46,foot_l,-17.658357,-87.978626,11.970279
6,47,toe_l,-15.081997,-98.141495,29.786064
6,48,back_l,-13.309232,-3.859799,-0.212817
6,51,zero_joint_pelvis_r,-0.171866,-0.000297,-0.046865
6,52,thigh_r,7.392959,0.161972,-5.302868
6,53,calf_r,17.462659,-47.998405,-8.099447
6,54,foot_r,16.134439,-87.669987,-18.854307
6,55,toe_r,32.293833,-97.906862,-11.028319
6,56,back_r,0.423205,-3.896338,-13.161075
6,57,biceps_twist_l,-19.722031,35.995758,10.487097
