frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,1.836602,10.738796,1.730212
0,2,chest,1.586373,28.479943,1.228644
0,3,neck,0.801851,57.459445,-1.879393
0,4,head,2.546862,70.995348,-0.741038
0,5,hair,2.870838,85.778237,-5.122304
0,7,zero_joint_hand_l,1.586373,28.479943,1.228644
0,8,clavicle_l,0.019183,53.395705,0.735038
0,9,arm_l,-15.479689,49.205172,9.862971
0,10,forearm_l,-24.086050,21.598547,11.308040
0,11,forearm_twist_l,-24.768183,10.258979,14.975849
0,12,hand_l,-25.498415,-1.759589,18.874760
0,13,weapon_l,-24.476461,-9.640781,20.186471
0,14,f_big1_l,-21.469648,-6.201604,21.467678
0,15,f_big2_l,-20.114430,-10.103924,20.969903
0,16,f_big3_l,-18.981990,-13.809021,21.817172
0,17,f_main1_l,-26.603338,-13.154630,21.151634
0,18,f_main2_l,-25.032708,-16.800368,20.073137
0,19,f_main3_l,-22.548388,-19.832205,18.264119
0,20,f_pointer1_l,-21.981377,-12.269855,23.071157
0,21,f_pointer2_l,-21.268156,-16.761667,22.546858
0,22,f_pointer3_l,-19.766024,-19.485541,20.989718
0,23,scapular_l,-13.454382,56.851665,8.592491
0,24,chest_l,6.136155,39.462716,19.071264
0,25,zero_joint_hand_r,1.586370,28.479773,1.228653
0,26,clavicle_r,3.188312,53.185795,-2.018066
0,27,arm_r,18.198759,49.546664,-12.144166
0,28,forearm_r,23.746735,21.702076,-17.817113
0,29,forearm_twist_r,27.184452,10.782525,-14.433410
0,30,hand_r,30.841101,-0.791563,-10.848702
0,31,weapon_r,30.591272,-9.553917,-8.351155
0,32,f_big1_r,27.771196,-4.095481,-6.919359
0,33,f_big2_r,27.028086,-7.318835,-4.830056
0,34,f_big3_r,26.720091,-11.219352,-3.121347
0,35,f_main1_r,34.025672,-12.412284,-8.210671
0,36,f_main2_r,31.855477,-16.527921,-7.616273
0,37,f_main3_r,28.257299,-19.648990,-7.450470
0,38,f_pointer1_r,31.171870,-10.602775,-4.179420
0,39,f_pointer2_r,30.572818,-14.964800,-3.511783
0,40,f_pointer3_r,29.117435,-18.046952,-3.110685
0,41,scapular_r,15.813207,57.106268,-10.916094
0,42,chest_r,19.420770,38.581061,7.519843
0,43,zero_joint_pelvis_l,0.000000,0.000000,0.000000
0,44,thigh_l,-5.665029,0.033530,7.258058
0,45,calf_l,-10.489409,-47.825143,16.600049
0,46,foot_l,-17.655789,-88.056008,11.975540
0,47,toe_l,-15.080511,-98.211236,29.791403
0,48,back_l,-13.295559,-3.271843,-0.197266
0,51,zero_joint_pelvis_r,-0.000004,-0.000298,0.000001
0,52,thigh_r,7.535614,-0.010289,-5.299921
0,53,calf_r,17.559058,-48.053223,-8.082723
0,54,foot_r,16.127515,-87.717235,-18.852241
0,55,toe_r,32.286462,-97.954565,-11.025926
0,56,back_r,0.352328,-3.506152,-13.232557
0,57,biceps_twist_l,-19.616776,35.938603,10.558519
0,58,biceps_twist_r,20.864530,36.165220,-14.870294
0,59,thigh_twist_l,-7.508207,-17.795548,10.118520
0,60,thigh_twist_r,10.724370,-18.002134,-6.676415
1,0,pelvis,-0.003906,0.000000,0.000000
1,1,stomach,1.834525,10.738107,1.732541
1,2,chest,1.587608,28.479402,1.234551
1,3,neck,0.807998,57.460047,-1.864056
1,4,head,2.568989,70.992464,-0.708998
1,5,hair,2.913914,85.778510,-5.077994
