frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-2.939813,10.257613,2.797741
0,2,chest,-8.866025,26.969881,3.892056
0,3,neck,-30.181547,46.834995,2.837221
0,4,head,-39.879698,56.370904,4.506932
0,5,hair,-35.996755,71.292733,4.197079
0,7,zero_joint_hand_l,-8.866025,26.969881,3.892056
0,8,clavicle_l,-28.428872,42.359921,1.907974
0,9,arm_l,-44.555229,38.669809,-6.302898
0,10,forearm_l,-63.907476,18.781977,1.958345
0,11,forearm_twist_l,-69.792106,26.439677,8.961790
0,12,hand_l,-76.053558,34.586605,16.391217
0,13,weapon_l,-80.640220,42.514126,17.923347
0,14,f_big1_l,-77.013048,37.845797,22.027678
0,15,f_big2_l,-77.453804,40.347546,23.445904
0,16,f_big3_l,-78.251955,43.086075,25.044468
0,17,f_main1_l,-78.754890,46.281431,14.386820
0,18,f_main2_l,-79.378677,50.566571,14.178823
0,19,f_main3_l,-79.403132,54.360208,12.663655
0,20,f_pointer1_l,-77.819959,47.286309,18.891658
0,21,f_pointer2_l,-78.206317,49.658234,18.767401
0,22,f_pointer3_l,-78.045615,52.432042,18.607932
0,23,scapular_l,-41.439457,46.040699,-6.597458
0,24,chest_l,-28.579905,19.015124,6.678753
0,25,zero_joint_hand_r,-8.865894,26.969773,3.892055
0,26,clavicle_r,-26.834190,44.250839,5.306274
0,27,arm_r,-21.820864,55.028130,19.441736
0,28,forearm_r,-43.558094,37.891388,27.933400
0,29,forearm_twist_r,-54.861320,38.054778,24.121861
0,30,hand_r,-66.878427,38.236979,20.080756
0,31,weapon_r,-73.812031,41.175552,14.647489
0,32,f_big1_r,-69.850105,37.521826,14.064149
0,33,f_big2_r,-70.433924,35.733008,12.856835
0,34,f_big3_r,-72.906651,34.159059,10.021262
0,35,f_main1_r,-74.459431,45.448953,12.740053
0,36,f_main2_r,-79.014383,46.976727,11.666498
0,37,f_main3_r,-81.585963,47.071354,10.300767
0,38,f_pointer1_r,-72.747724,41.973657,8.295607
0,39,f_pointer2_r,-75.976960,43.377609,5.676810
0,40,f_pointer3_r,-78.076322,44.083961,4.006337
0,41,scapular_r,-28.670847,56.391998,15.523161
0,42,chest_r,-21.887407,26.949165,20.924984
0,43,zero_joint_pelvis_l,0.000000,0.000000,0.000000
0,44,thigh_l,-8.209488,-0.909721,-4.073469
0,45,calf_l,-51.033912,-16.053712,14.469918
0,46,foot_l,-50.423952,-46.706672,-12.939745
0,47,toe_l,-66.630448,-56.478695,-4.631753
0,48,back_l,-2.050227,-2.814624,-13.243497
0,51,zero_joint_pelvis_r,0.000044,-0.000294,-0.000022
0,52,thigh_r,6.702422,0.535734,6.293431
0,53,calf_r,18.316991,-30.998887,42.039737
0,54,foot_r,37.236960,-44.198804,7.994728
0,55,toe_r,45.015806,-55.572284,23.399248
0,56,back_r,13.398298,-1.316674,-2.503955
0,57,biceps_twist_l,-53.844874,29.123238,-2.336536
0,58,biceps_twist_r,-32.267987,46.793888,23.522915
0,59,thigh_twist_l,-24.118839,-6.969615,2.357096
0,60,thigh_twist_r,11.401989,-11.478553,19.173307
1,0,pelvis,1.234375,-0.531250,0.820312
1,1,stomach,-0.330370,10.172942,2.979090
1,2,chest,-2.328095,27.815834,3.574817
