frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,1.626042,10.513539,2.917184
0,2,chest,3.206617,28.032423,5.408750
0,3,neck,-5.823989,55.750859,4.936089
0,4,head,-8.436461,69.015379,7.172856
0,5,hair,-5.072143,83.727823,4.001173
0,7,zero_joint_hand_l,3.206617,28.032423,5.408750
0,8,clavicle_l,-6.663339,50.968358,5.556428
0,9,arm_l,-23.701073,44.010077,4.009602
0,10,forearm_l,-46.230241,29.361984,-6.767848
0,11,forearm_twist_l,-58.144857,29.688859,-6.510554
0,12,hand_l,-70.808793,30.050594,-6.245178
0,13,weapon_l,-78.810146,33.825365,-3.423844
0,14,f_big1_l,-74.035422,35.274268,-8.612143
0,15,f_big2_l,-76.599127,36.212008,-9.813012
0,16,f_big3_l,-79.708697,37.205543,-9.964185
0,17,f_main1_l,-82.570533,29.822819,-3.132223
0,18,f_main2_l,-86.370265,30.895054,-1.868744
0,19,f_main3_l,-89.941041,30.273251,-2.003752
0,20,f_pointer1_l,-83.518340,33.066353,-6.410821
0,21,f_pointer2_l,-85.767073,34.042717,-6.206110
0,22,f_pointer3_l,-88.458767,33.899517,-6.251441
0,23,scapular_l,-21.951717,51.192302,0.938233
0,24,chest_l,-11.465127,32.858959,20.279036
0,25,zero_joint_hand_r,3.206672,28.032263,5.408741
0,26,clavicle_r,-2.771488,52.251787,6.490949
0,27,arm_r,13.890326,59.285267,10.233786
0,28,forearm_r,30.481489,77.052670,25.960712
0,29,forearm_twist_r,24.537430,85.301012,32.201744
0,30,hand_r,18.220607,94.074490,38.827326
0,31,weapon_r,9.343654,96.617748,39.808149
0,32,f_big1_r,12.596209,95.826382,35.541275
0,33,f_big2_r,11.910459,94.947053,33.399296
0,34,f_big3_r,8.547465,94.984887,31.092600
0,35,f_main1_r,7.604318,100.549478,41.750613
0,36,f_main2_r,3.064322,100.718569,43.622778
0,37,f_main3_r,0.429776,100.902008,44.432114
0,38,f_pointer1_r,6.919769,101.216615,35.932792
0,39,f_pointer2_r,2.966323,103.081315,36.319008
0,40,f_pointer3_r,0.438328,104.219220,36.301585
0,41,scapular_r,8.059709,63.960883,7.355869
0,42,chest_r,4.857598,38.241003,24.190035
0,43,zero_joint_pelvis_l,0.000000,0.000000,0.000000
0,44,thigh_l,-9.055903,1.544336,0.649679
0,45,calf_l,-47.685449,-28.680359,1.813708
0,46,foot_l,-69.925270,-59.428086,-14.036631
0,47,toe_l,-86.131669,-69.126700,-5.642872
0,48,back_l,-9.078313,-1.478113,-10.144711
0,51,zero_joint_pelvis_r,-0.000051,-0.000293,-0.000013
0,52,thigh_r,8.832880,-1.611480,2.049413
0,53,calf_r,20.273199,-33.677000,37.377171
0,54,foot_r,10.656092,-59.715690,7.033086
0,55,toe_r,16.749980,-69.724071,24.058437
0,56,back_r,9.454124,-4.747010,-8.695012
0,57,biceps_twist_l,-34.522440,36.975708,-1.167219
0,58,biceps_twist_r,21.849594,67.809526,17.779417
0,59,thigh_twist_l,-23.194441,-9.888026,0.523095
0,60,thigh_twist_r,13.005262,-13.993663,14.761312
1,0,pelvis,-1.593750,-3.000000,-0.398438
1,1,stomach,0.061721,7.503253,2.539174
1,2,chest,1.676452,25.019640,5.026398
1,3,neck,-6.830283,52.904165,4.607331
1,4,head,-9.142152,66.210974,6.922439
1,5,hair,-5.496435,80.895492,3.937824
1,7,zero_joint_hand_l,1.676452,25.019640,5.026398
1,8,clavicle_l,-7.766759,48.134467,5.185828
1,9,arm_l,-25.088319,42.815630,1.612561
