frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,2.188864,10.616263,2.047512
0,2,chest,4.874865,28.025418,4.354926
0,3,neck,0.440672,56.049066,11.070581
0,4,head,0.158624,69.231953,14.771055
0,5,hair,3.339573,84.204348,12.888717
0,7,zero_joint_hand_l,4.874865,28.025418,4.354926
0,8,clavicle_l,-0.920914,51.346608,11.139925
0,9,arm_l,-17.315640,43.695267,14.850002
0,10,forearm_l,-33.618073,30.239489,34.635254
0,11,forearm_twist_l,-28.890373,38.814180,41.436332
0,12,hand_l,-23.872931,47.939178,48.656871
0,13,weapon_l,-20.461961,56.545512,47.931078
0,14,f_big1_l,-25.735746,52.861220,44.710450
0,15,f_big2_l,-24.841790,56.398870,46.111424
0,16,f_big3_l,-21.627121,57.879659,48.492218
0,17,f_main1_l,-20.282696,58.735514,52.973481
0,18,f_main2_l,-17.114871,62.478572,51.786261
0,19,f_main3_l,-13.680930,65.238948,50.290699
0,20,f_pointer1_l,-23.288396,60.911658,50.077025
0,21,f_pointer2_l,-22.048181,63.692086,48.609280
0,22,f_pointer3_l,-20.398049,65.998337,46.266179
0,23,scapular_l,-16.874754,51.021530,11.645667
0,24,chest_l,-4.180916,31.251067,23.519188
0,25,zero_joint_hand_r,4.874890,28.025258,4.354876
0,26,clavicle_r,3.226568,52.023251,11.052938
0,27,arm_r,20.002557,59.740612,10.731633
0,28,forearm_r,36.158551,79.747614,24.035286
0,29,forearm_twist_r,36.297364,88.945854,31.618441
0,30,hand_r,36.443005,98.729744,39.670197
0,31,weapon_r,29.731644,103.402005,44.069977
0,32,f_big1_r,32.029546,103.803871,39.176786
0,33,f_big2_r,30.078984,104.960580,36.872060
0,34,f_big3_r,26.097586,107.822087,35.573735
0,35,f_main1_r,30.061958,106.093885,47.930241
0,36,f_main2_r,25.464529,107.217507,51.477732
0,37,f_main3_r,22.167164,108.574221,52.983101
0,38,f_pointer1_r,29.417118,109.844997,43.432357
0,39,f_pointer2_r,26.015782,113.079203,46.075420
0,40,f_pointer3_r,23.546881,115.445876,47.671348
0,41,scapular_r,13.434705,64.307627,11.032531
0,42,chest_r,13.211954,34.088062,23.154256
0,43,zero_joint_pelvis_l,0.000000,0.000000,0.000000
0,44,thigh_l,-8.866891,1.821094,1.695619
0,45,calf_l,-49.161673,-26.150938,2.707977
0,46,foot_l,-77.103303,-53.393353,-10.268222
0,47,toe_l,-95.288949,-61.261858,-4.439802
0,48,back_l,-10.329099,-1.814489,-8.805288
0,51,zero_joint_pelvis_r,-0.000058,-0.000292,0.000011
0,52,thigh_r,8.989379,-1.729572,1.007566
0,53,calf_r,18.637356,-31.090083,39.112761
0,54,foot_r,6.002524,-55.829427,8.787994
0,55,toe_r,11.812614,-65.924231,25.844937
0,56,back_r,8.169813,-5.491302,-9.519326
0,57,biceps_twist_l,-25.202453,36.754855,23.969918
