frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.318665,10.877595,1.806890
0,2,chest,1.364302,28.594775,2.073225
0,3,neck,-5.325861,56.819899,5.017884
0,4,head,-8.779919,69.827655,7.595360
0,5,hair,-6.385320,85.048153,8.256094
0,7,zero_joint_hand_l,1.364305,28.594774,2.073227
0,8,clavicle_l,-6.578591,52.183324,4.070139
0,9,arm_l,-19.762641,47.056590,-7.803872
0,10,forearm_l,-28.038378,21.245043,-17.980298
0,11,forearm_twist_l,-36.867450,17.084268,-11.120785
0,12,hand_l,-46.247906,12.675399,-3.844286
0,13,weapon_l,-54.162589,11.175098,0.650897
0,14,f_big1_l,-50.022030,16.103731,-0.574670
0,15,f_big2_l,-52.229588,16.677186,2.604201
0,16,f_big3_l,-54.202478,13.610379,4.817250
0,17,f_main1_l,-57.038234,9.398170,-1.988773
0,18,f_main2_l,-54.858021,9.361194,2.481274
0,19,f_main3_l,-50.567371,11.247857,1.617443
0,20,f_pointer1_l,-57.692243,14.583024,-1.055174
0,21,f_pointer2_l,-57.551783,13.183821,3.170268
0,22,f_pointer3_l,-54.258411,14.139918,3.240036
0,23,scapular_l,-18.422467,54.810855,-6.321462
0,24,chest_l,-17.834528,32.311647,10.863597
0,25,zero_joint_hand_r,1.364351,28.594614,2.073201
0,26,clavicle_r,-3.343737,52.674032,6.711801
0,27,arm_r,12.657660,52.099652,15.916153
0,28,forearm_r,29.993383,30.919139,25.357659
0,29,forearm_twist_r,19.353462,26.736351,28.792819
0,30,hand_r,8.074419,22.306225,32.444923
0,31,weapon_r,-0.622884,19.132925,31.717438
0,32,f_big1_r,2.559534,24.753672,30.732860
0,33,f_big2_r,-1.022044,24.349618,28.701302
0,34,f_big3_r,-3.087782,20.213279,27.915857
0,35,f_main1_r,-1.643468,17.350722,35.451943
0,36,f_main2_r,-1.540819,17.008104,30.735006
0,37,f_main3_r,1.939734,19.434738,29.420246
0,38,f_pointer1_r,-3.829702,22.099042,34.573782
0,39,f_pointer2_r,-5.134944,20.085806,30.674657
0,40,f_pointer3_r,-2.401454,21.585238,29.136243
0,41,scapular_r,9.482831,59.119321,13.723048
0,42,chest_r,-4.275084,34.367945,21.936392
0,43,zero_joint_pelvis_l,-0.000004,-0.000002,0.000001
0,44,thigh_l,-8.340473,1.175083,-3.706249
0,45,calf_l,-42.445518,-31.188496,10.314222
0,46,foot_l,-47.121608,-68.570486,-6.177795
0,47,toe_l,-59.561333,-78.646129,6.873495
0,48,back_l,-3.547712,-3.272898,-12.814743
0,51,zero_joint_pelvis_r,-0.000051,-0.000291,0.000008
0,52,thigh_r,6.927821,-0.888310,6.002712
0,53,calf_r,25.859044,-38.470168,31.228526
0,54,foot_r,27.577743,-68.575946,3.311068
0,55,toe_r,34.783731,-78.621689,19.856712
0,56,back_r,12.275893,-5.408794,-2.750454
0,57,biceps_twist_l,-23.737256,34.659261,-12.691863
0,58,biceps_twist_r,20.983626,41.926847,20.452244
0,59,thigh_twist_l,-20.813724,-11.222750,1.033252
0,60,thigh_twist_r,13.973964,-15.190167,14.841772
1,0,pelvis,0.000000,0.000000,0.000000
1,1,stomach,0.318662,10.877595,1.806890
1,2,chest,1.364298,28.594775,2.073225
1,3,neck,-5.325859,56.819901,5.017874
1,4,head,-8.779110,69.827703,7.596204
1,5,hair,-6.384881,85.048201,8.258280
1,7,zero_joint_hand_l,1.364301,28.594774,2.073227
1,8,clavicle_l,-6.578594,52.183324,4.070139
1,9,arm_l,-19.762651,47.056612,-7.803875
1,10,forearm_l,-28.038383,21.245068,-17.980312
1,11,forearm_twist_l,-36.867456,17.084273,-11.120812
1,12,hand_l,-46.247916,12.675434,-3.844299
1,13,weapon_l,-54.162599,11.175132,0.650883
1,14,f_big1_l,-50.021620,16.100055,-0.575829
1,15,f_big2_l,-52.229609,16.673615,2.602724
1,16,f_big3_l,-54.204165,13.603601,4.817358
1,17,f_main1_l,-57.038237,9.397553,-1.990005
1,18,f_main2_l,-54.857891,9.360235,2.479975
1,19,f_main3_l,-50.567142,11.246691,1.616213
1,20,f_pointer1_l,-57.692302,14.583196,-1.055653
1,21,f_pointer2_l,-57.551967,13.185236,3.166088
1,22,f_pointer3_l,-54.256694,14.141754,3.236353
1,23,scapular_l,-18.422470,54.810855,-6.321462
1,24,chest_l,-17.834531,32.311647,10.863597
1,25,zero_joint_hand_r,1.364348,28.594614,2.073201
1,26,clavicle_r,-3.343741,52.674032,6.711801
1,27,arm_r,12.657654,52.099667,15.916159
1,28,forearm_r,29.993358,30.919140,25.357668
