frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.320229,10.877337,1.808170
0,2,chest,1.368410,28.594406,2.071792
0,3,neck,-5.327865,56.818219,5.015126
0,4,head,-8.773072,69.827178,7.598372
0,5,hair,-6.372449,85.047041,8.251848
0,7,zero_joint_hand_l,1.368294,28.596129,2.074792
0,8,clavicle_l,-6.579600,52.183620,4.067420
0,9,arm_l,-19.770324,47.070603,-7.805095
0,10,forearm_l,-28.001398,21.258657,-18.016672
0,11,forearm_twist_l,-36.836757,17.131837,-11.171913
0,12,hand_l,-46.259739,12.743661,-3.883407
0,13,weapon_l,-54.180531,11.194774,0.662908
0,14,f_big1_l,-50.040742,16.149525,-0.602762
0,15,f_big2_l,-52.237157,16.710882,2.578773
0,16,f_big3_l,-54.188107,13.636694,4.793399
0,17,f_main1_l,-57.036061,9.414325,-1.994812
0,18,f_main2_l,-54.840086,9.385253,2.467564
0,19,f_main3_l,-50.568127,11.288857,1.591353
0,20,f_pointer1_l,-57.711342,14.595154,-1.055378
0,21,f_pointer2_l,-57.550514,13.196835,3.161395
0,22,f_pointer3_l,-54.261569,14.168733,3.220686
0,23,scapular_l,-18.416496,54.821782,-6.315997
0,24,chest_l,-17.815039,32.307192,10.854795
0,25,zero_joint_hand_r,1.369989,28.594479,2.073024
0,26,clavicle_r,-3.346176,52.672492,6.708063
0,27,arm_r,12.645697,52.106222,15.929454
0,28,forearm_r,30.057477,30.959000,25.305402
0,29,forearm_twist_r,19.429098,26.791670,28.767825
0,30,hand_r,8.148180,22.371546,32.453190
0,31,weapon_r,-0.625547,19.147973,31.722036
0,32,f_big1_r,2.629037,24.800301,30.737951
0,33,f_big2_r,-0.943673,24.385373,28.708778
0,34,f_big3_r,-2.994128,20.250541,27.921937
0,35,f_main1_r,-1.557774,17.387021,35.450281
0,36,f_main2_r,-1.449253,17.048025,30.741051
0,37,f_main3_r,2.020026,19.486353,29.431317
0,38,f_pointer1_r,-3.756092,22.127809,34.573320
0,39,f_pointer2_r,-5.050942,20.114305,30.675445
0,40,f_pointer3_r,-2.321852,21.621127,29.140855
0,41,scapular_r,9.463118,59.117104,13.727770
0,42,chest_r,-4.283015,34.357114,21.925039
0,43,zero_joint_pelvis_l,0.000654,0.001506,0.003052
0,44,thigh_l,-8.345436,1.175055,-3.708812
0,45,calf_l,-42.409140,-31.214831,10.351354
0,46,foot_l,-47.050617,-68.602596,-6.137349
0,47,toe_l,-59.558299,-78.631738,6.906419
0,48,back_l,-3.547543,-3.271054,-12.800827
0,51,zero_joint_pelvis_r,0.001619,-0.000488,0.001068
0,52,thigh_r,6.930504,-0.889505,6.002707
0,53,calf_r,25.847798,-38.467170,31.245210
0,54,foot_r,27.546944,-68.585541,3.294140
0,55,toe_r,34.773521,-78.627406,19.850203
0,56,back_r,12.267710,-5.411899,-2.740486
0,57,biceps_twist_l,-23.720746,34.680565,-12.708939
0,58,biceps_twist_r,21.008432,41.949461,20.433747
0,59,thigh_twist_l,-20.814567,-11.242498,1.049904
0,60,thigh_twist_r,13.965451,-15.177758,14.840494
1,0,pelvis,-0.625000,-2.312500,0.023438
1,1,stomach,-0.944999,8.592647,1.655564
1,2,chest,-0.958639,26.342203,1.781345
1,3,neck,-10.536121,53.652611,5.316937
1,4,head,-14.295277,66.545642,8.039826
1,5,hair,-12.061901,81.782473,8.867616
1,7,zero_joint_hand_l,-0.959092,26.343781,1.784400
1,8,clavicle_l,-11.273388,48.963508,4.123750
1,9,arm_l,-23.360491,42.765686,-8.389590
1,10,forearm_l,-32.766222,16.917529,-17.427757
1,11,forearm_twist_l,-41.610214,11.478238,-11.584571
1,12,hand_l,-51.042655,5.691186,-5.362826
1,13,weapon_l,-58.662179,2.748302,-0.764329
1,14,f_big1_l,-54.725503,8.402754,-1.396424
1,15,f_big2_l,-56.592399,8.465888,2.036873
1,16,f_big3_l,-57.988153,5.034318,4.143422
1,17,f_main1_l,-61.179988,1.126184,-2.683506
1,18,f_main2_l,-58.502619,0.945184,1.503961
1,19,f_main3_l,-54.546803,3.345265,0.377318
1,20,f_pointer1_l,-62.222167,6.111147,-1.192336
1,21,f_pointer2_l,-61.458352,4.383776,2.836294
1,22,f_pointer3_l,-58.288995,5.676734,2.648415
1,23,scapular_l,-23.240294,50.504106,-6.331250
1,24,chest_l,-20.910940,27.843185,9.479775
1,25,zero_joint_hand_r,-0.957140,26.342359,1.782697
1,26,clavicle_r,-8.263433,49.646463,6.980125
1,27,arm_r,6.265478,47.535446,18.184994
1,28,forearm_r,19.107623,24.110222,29.348401
1,29,forearm_twist_r,8.375926,20.049537,32.613209
1,30,hand_r,-3.014738,15.742484,36.088924
1,31,weapon_r,-11.790387,12.202348,35.279494
1,32,f_big1_r,-8.503518,17.935898,33.997420
