frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.319928,10.876180,1.815165
0,2,chest,1.373609,28.608493,2.084036
0,3,neck,-5.325472,56.831304,5.030582
0,4,head,-8.771919,69.840344,7.611770
0,5,hair,-6.367791,85.059751,8.262952
0,7,zero_joint_hand_l,1.373602,28.608491,2.084032
0,8,clavicle_l,-6.602599,52.172794,4.230898
0,9,arm_l,-20.318336,46.937812,-6.974826
0,10,forearm_l,-26.476451,18.856555,-3.539116
0,11,forearm_twist_l,-23.289502,20.102076,7.897490
0,12,hand_l,-19.923232,21.416749,20.043125
0,13,weapon_l,2.189159,13.419827,27.716080
0,14,f_big1_l,-15.749046,18.615142,23.422250
0,15,f_big2_l,-13.322259,16.044383,25.093749
0,16,f_big3_l,-11.531228,13.412895,27.933202
0,17,f_main1_l,-16.666302,25.728247,30.113880
0,18,f_main2_l,-16.253961,25.101094,35.030463
0,19,f_main3_l,-14.593621,26.510959,39.265294
0,20,f_pointer1_l,-12.404546,22.685096,29.231571
0,21,f_pointer2_l,-10.659146,24.060140,33.086423
0,22,f_pointer3_l,-9.479940,24.805467,36.222131
0,23,scapular_l,-18.859864,54.710291,-5.695827
0,24,chest_l,-17.257718,32.334819,12.017276
0,25,zero_joint_hand_r,1.373656,28.608348,2.084017
0,26,clavicle_r,-3.212416,52.724128,6.653674
0,27,arm_r,13.298430,52.232688,14.914738
0,28,forearm_r,30.835508,30.092639,21.282826
0,29,forearm_twist_r,20.434532,24.908683,23.977960
0,30,hand_r,9.391098,19.410172,26.839329
0,31,weapon_r,2.191103,13.442309,27.708621
0,32,f_big1_r,3.131700,19.110078,26.564876
0,33,f_big2_r,-0.711012,20.201549,27.627087
0,34,f_big3_r,-4.753340,22.174788,28.953531
0,35,f_main1_r,3.767248,10.950898,31.841097
0,36,f_main2_r,2.500220,9.848743,27.418732
0,37,f_main3_r,3.838482,13.352932,25.039420
0,38,f_pointer1_r,-0.406496,14.216472,31.687756
0,39,f_pointer2_r,-1.777426,11.094302,28.638692
0,40,f_pointer3_r,-0.654919,12.980061,25.939718
0,41,scapular_r,9.955740,59.232966,12.930727
0,42,chest_r,-3.032106,34.649602,22.164598
0,43,zero_joint_pelvis_l,0.000008,-0.000015,-0.000001
0,44,thigh_l,-8.346307,1.177539,-3.710944
0,45,calf_l,-42.455981,-31.198013,10.270568
0,46,foot_l,-47.160418,-68.576362,-6.221640
0,47,toe_l,-59.573892,-78.621807,6.899351
0,48,back_l,-3.548052,-3.263630,-12.817015
0,51,zero_joint_pelvis_r,-0.000032,-0.000317,0.000010
0,52,thigh_r,6.927648,-0.892333,6.002405
0,53,calf_r,25.868622,-38.467175,31.231351
0,54,foot_r,27.588542,-68.584910,3.280868
0,55,toe_r,34.768117,-78.626004,19.857836
0,56,back_r,12.275187,-5.405088,-2.753314
0,57,biceps_twist_l,-23.276992,33.442544,-5.323994
0,58,biceps_twist_r,21.721085,41.598716,17.974364
0,59,thigh_twist_l,-20.832268,-11.234285,1.018564
0,60,thigh_twist_r,13.977612,-15.190837,14.843842
1,0,pelvis,-2.312500,-4.187500,0.039062
1,1,stomach,-2.626866,6.683041,1.888652
1,2,chest,-3.314521,24.434962,2.006429
1,3,neck,-12.264070,52.141100,3.543447
1,4,head,-17.556745,64.417345,6.552937
1,5,hair,-15.826541,79.727640,7.212832
1,7,zero_joint_hand_l,-3.315131,24.436861,2.006533
1,8,clavicle_l,-13.042708,47.429547,2.471034
1,9,arm_l,-24.840627,41.456316,-10.421768
1,10,forearm_l,-33.491098,14.195121,-5.918427
