frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-0.825885,10.712039,2.501722
0,2,chest,-4.771421,26.716608,9.127728
0,3,neck,-20.255948,46.938829,23.318503
0,4,head,-26.597580,55.749885,31.680598
0,5,hair,-26.162973,70.935740,34.332982
0,7,zero_joint_hand_l,-4.771427,26.716605,9.127725
0,8,clavicle_l,-19.902753,42.639840,21.002013
0,9,arm_l,-34.648548,33.166203,15.179091
0,10,forearm_l,-39.546725,4.728640,17.544752
0,11,forearm_twist_l,-29.653391,7.200905,23.735657
0,12,hand_l,-19.160088,9.830756,30.319964
0,13,weapon_l,9.526004,6.618368,34.921653
0,14,f_big1_l,-13.660807,7.459591,31.229248
0,15,f_big2_l,-10.313763,5.443942,31.392040
0,16,f_big3_l,-7.450728,3.158556,33.979191
0,17,f_main1_l,-13.451278,11.887952,39.968096
0,18,f_main2_l,-10.864706,9.964546,43.609821
0,19,f_main3_l,-7.573292,9.192713,46.760639
0,20,f_pointer1_l,-9.227764,10.488331,37.071237
0,21,f_pointer2_l,-6.733564,10.747189,40.840702
0,22,f_pointer3_l,-4.846975,10.641579,43.749656
0,23,scapular_l,-35.519344,40.373736,18.567339
0,24,chest_l,-19.924027,18.838133,22.089566
0,25,zero_joint_hand_r,-4.771331,26.716510,9.127650
0,26,clavicle_r,-16.422413,43.911980,22.985961
0,27,arm_r,0.921309,49.669522,25.658175
0,28,forearm_r,22.866583,32.048207,18.862761
0,29,forearm_twist_r,18.556239,23.734630,26.253487
0,30,hand_r,13.988754,14.912196,34.107229
0,31,weapon_r,9.534062,6.637897,34.926325
0,32,f_big1_r,8.316347,12.253099,33.793454
0,33,f_big2_r,4.342198,11.795248,34.833908
0,34,f_big3_r,-0.153538,12.075579,36.139031
0,35,f_main1_r,11.985984,4.934704,39.053882
0,36,f_main2_r,11.256330,3.451285,34.621672
0,37,f_main3_r,11.171418,7.210565,32.256929
0,38,f_pointer1_r,6.881854,6.360074,38.885074
0,39,f_pointer2_r,6.817853,2.960393,35.819456
0,40,f_pointer3_r,7.151629,5.143484,33.129312
0,41,scapular_r,-5.272415,54.293341,27.765674
0,42,chest_r,-5.325846,24.182713,30.397572
0,43,zero_joint_pelvis_l,0.000010,-0.000014,-0.000003
0,44,thigh_l,-8.571306,0.436868,-3.340721
0,45,calf_l,-46.782792,-17.652401,21.554852
0,46,foot_l,-51.538354,-56.028437,7.557347
0,47,toe_l,-64.056267,-66.037590,20.606654
0,48,back_l,-3.684706,-2.869265,-12.872687
0,51,zero_joint_pelvis_r,0.000004,-0.000319,-0.000009
0,52,thigh_r,7.225156,-0.454454,5.692806
0,53,calf_r,21.489795,-25.977254,45.091228
0,54,foot_r,22.993464,-55.976548,17.001248
0,55,toe_r,30.289471,-66.030288,33.519611
0,56,back_r,12.679553,-3.789877,-3.513076
0,57,biceps_twist_l,-37.002195,19.499790,16.315153
0,58,biceps_twist_r,11.456232,41.210800,22.397501
0,59,thigh_twist_l,-22.722558,-6.802416,5.552306
0,60,thigh_twist_r,12.617977,-10.429027,19.946806
1,0,pelvis,-0.148438,0.187500,-0.046875
1,1,stomach,-0.975525,10.962347,2.168317
1,2,chest,-4.867384,27.134174,8.408740
1,3,neck,-20.828627,46.245947,23.576659
1,4,head,-27.444914,54.031830,32.707946
1,5,hair,-27.394157,68.964585,36.560799
1,7,zero_joint_hand_l,-4.867390,27.134171,8.408736
1,8,clavicle_l,-20.387091,42.111486,20.991428
1,9,arm_l,-35.247214,33.046491,14.819123
1,10,forearm_l,-40.071014,4.563544,16.752035
1,11,forearm_twist_l,-30.112745,7.317665,22.715687
1,12,hand_l,-19.550321,10.246499,29.058854
1,13,weapon_l,9.732467,5.860740,34.482877
1,14,f_big1_l,-14.070038,7.768428,29.986125
1,15,f_big2_l,-10.738506,5.637449,30.205553
1,16,f_big3_l,-7.878235,3.217373,32.688652
1,17,f_main1_l,-13.841996,11.457502,38.487100
1,18,f_main2_l,-11.189616,9.328736,41.871300
1,19,f_main3_l,-7.819612,8.364928,44.678151
1,20,f_pointer1_l,-9.696475,10.175957,35.808507
1,21,f_pointer2_l,-7.172594,10.141873,39.427226
1,22,f_pointer3_l,-5.245567,9.827257,42.169134
1,23,scapular_l,-35.989831,40.066485,18.452354
1,24,chest_l,-20.191368,18.290434,20.518440
1,25,zero_joint_hand_r,-4.867292,27.134083,8.408657
1,26,clavicle_r,-16.959196,43.280938,23.124281
1,27,arm_r,0.379644,49.054105,25.794472
1,28,forearm_r,22.479736,31.821698,18.520301
1,29,forearm_twist_r,18.420805,23.080874,25.551697
1,30,hand_r,14.120274,13.804689,33.024071
1,31,weapon_r,9.741969,5.881990,34.485094
1,32,f_big1_r,8.516386,11.000493,32.770598
1,33,f_big2_r,4.541382,10.548466,33.810333
1,34,f_big3_r,0.039258,10.912041,35.072182
1,35,f_main1_r,12.318698,4.261648,37.946453
1,36,f_main2_r,11.624325,2.681919,33.635353
1,37,f_main3_r,11.636728,6.530088,31.385432
1,38,f_pointer1_r,7.437660,5.586598,37.696645
1,39,f_pointer2_r,7.285455,2.168085,34.650730
1,40,f_pointer3_r,7.674976,4.429533,32.127745
1,41,scapular_r,-5.776790,53.535446,28.363245
1,42,chest_r,-5.812983,23.205172,29.451626
1,43,zero_joint_pelvis_l,-0.148428,0.187486,-0.046877
1,44,thigh_l,-8.717449,0.535549,-3.403877
1,45,calf_l,-46.720626,-17.733842,21.678324
1,46,foot_l,-51.568207,-56.041831,7.526838
1,47,toe_l,-64.065276,-66.014452,20.624007
1,48,back_l,-3.824519,-3.023217,-12.841153
1,51,zero_joint_pelvis_r,-0.148433,0.187180,-0.046876
1,52,thigh_r,7.072823,-0.115497,5.660929
1,53,calf_r,21.605027,-25.754533,44.885714
1,54,foot_r,22.989198,-55.937950,16.987487
1,55,toe_r,30.256800,-66.003248,33.511332
1,56,back_r,12.533327,-3.694880,-3.449212
1,57,biceps_twist_l,-37.563834,19.365969,15.746684
1,58,biceps_twist_r,10.994835,40.777373,22.302020
1,59,thigh_twist_l,-22.793421,-6.773376,5.551856
1,60,thigh_twist_r,12.562780,-10.127862,19.850993
2,0,pelvis,-0.687500,0.437500,-0.406250
2,1,stomach,-1.607117,11.264538,1.495861
2,2,chest,-5.361100,27.576824,7.448538
2,3,neck,-21.979459,43.770940,25.102649
2,4,head,-28.491237,48.903486,36.012707
2,5,hair,-29.480872,62.787271,42.653143
2,7,zero_joint_hand_l,-5.361107,27.576822,7.448534
2,8,clavicle_l,-21.398217,40.077184,21.941884
2,9,arm_l,-36.630015,32.056748,15.251618
2,10,forearm_l,-41.644173,3.542321,14.988749
2,11,forearm_twist_l,-31.769239,6.762688,20.856659
2,12,hand_l,-21.295354,10.185699,27.098401
2,13,weapon_l,11.080322,4.153653,32.869129
2,14,f_big1_l,-15.806786,7.612110,28.046741
2,15,f_big2_l,-12.486436,5.301113,28.382146
2,16,f_big3_l,-9.514617,2.764322,30.711392
2,17,f_main1_l,-15.403500,10.319263,35.892522
2,18,f_main2_l,-12.522931,8.008656,38.834419
2,19,f_main3_l,-8.942474,6.931882,40.974357
2,20,f_pointer1_l,-11.452101,9.176378,33.588944
2,21,f_pointer2_l,-8.773382,8.809501,36.841961
2,22,f_pointer3_l,-6.695621,8.277953,39.222723
2,23,scapular_l,-37.000525,38.495427,19.612197
2,24,chest_l,-20.476938,16.601775,17.971884
2,25,zero_joint_hand_r,-5.361005,27.576749,7.448444
2,26,clavicle_r,-18.019351,41.019216,24.257698
2,27,arm_r,-0.692101,46.828168,26.925510
2,28,forearm_r,21.628662,31.152922,17.211929
2,29,forearm_twist_r,18.391535,21.604557,23.589014
2,30,hand_r,14.963781,11.470762,30.366568
2,31,weapon_r,11.076240,4.176840,32.857813
2,32,f_big1_r,9.440599,8.502329,30.534825
2,33,f_big2_r,5.521498,8.120759,31.792237
2,34,f_big3_r,1.090621,8.700655,33.215129
2,35,f_main1_r,13.620427,2.682161,35.170859
2,36,f_main2_r,12.720213,0.979891,31.107773
2,37,f_main3_r,12.854560,4.999438,29.121066
2,38,f_pointer1_r,9.166119,3.924988,35.059746
2,39,f_pointer2_r,8.620569,0.482196,32.006773
2,40,f_pointer3_r,8.988717,2.886185,29.802000
