frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.313961,10.874814,1.824370
0,2,chest,1.370396,28.607059,2.086806
0,3,neck,-5.336566,56.828054,5.032818
0,4,head,-8.784347,69.836965,7.612871
0,5,hair,-6.380394,85.056468,8.262469
0,7,zero_joint_hand_l,1.370390,28.607074,2.086797
0,8,clavicle_l,-6.612381,52.169203,4.233095
0,9,arm_l,-20.328580,46.932027,-6.971038
0,10,forearm_l,-26.484891,18.850697,-3.532693
0,11,forearm_twist_l,-23.299188,20.097254,7.904148
0,12,hand_l,-19.934060,21.413507,20.049928
0,13,weapon_l,2.166051,13.428983,27.728148
0,14,f_big1_l,-15.761372,18.616647,23.431005
0,15,f_big2_l,-13.332886,16.045432,25.103903
0,16,f_big3_l,-11.539740,13.412573,27.946608
0,17,f_main1_l,-16.675019,25.729248,30.126893
0,18,f_main2_l,-16.263212,25.102498,35.043574
0,19,f_main3_l,-14.602245,26.513720,39.282100
0,20,f_pointer1_l,-12.417564,22.685094,29.238846
0,21,f_pointer2_l,-10.671655,24.061753,33.097402
0,22,f_pointer3_l,-9.494118,24.807175,36.231578
0,23,scapular_l,-18.863100,54.707049,-5.690330
0,24,chest_l,-17.247671,32.332727,12.010853
0,25,zero_joint_hand_r,1.370461,28.606942,2.086796
0,26,clavicle_r,-3.222292,52.721542,6.655968
0,27,arm_r,13.288404,52.230548,14.917358
0,28,forearm_r,30.824631,30.090691,21.288456
0,29,forearm_twist_r,20.423203,24.907095,23.982538
0,30,hand_r,9.379274,19.409057,26.842903
0,31,weapon_r,2.183295,13.446530,27.709993
0,32,f_big1_r,3.123807,19.106912,26.567426
0,33,f_big2_r,-0.722500,20.199403,27.630780
0,34,f_big3_r,-4.761745,22.170510,28.955987
0,35,f_main1_r,3.760470,10.955923,31.843341
0,36,f_main2_r,2.493384,9.852352,27.421346
0,37,f_main3_r,3.831866,13.355578,25.040739
0,38,f_pointer1_r,-0.413675,14.220762,31.688296
0,39,f_pointer2_r,-1.784891,11.097690,28.640284
0,40,f_pointer3_r,-0.661733,12.983613,25.939178
0,41,scapular_r,9.945952,59.230626,12.932511
0,42,chest_r,-3.051218,34.643095,22.175521
0,43,zero_joint_pelvis_l,-0.000011,0.000002,-0.000007
0,44,thigh_l,-8.345257,1.177446,-3.713391
0,45,calf_l,-42.452737,-31.197907,10.273930
0,46,foot_l,-47.162909,-68.579679,-6.208880
0,47,toe_l,-59.577997,-78.629480,6.907248
0,48,back_l,-3.534864,-3.254656,-12.817197
0,51,zero_joint_pelvis_r,-0.000042,-0.000270,0.000005
0,52,thigh_r,6.926022,-0.894682,6.003909
0,53,calf_r,25.872257,-38.466246,31.233786
0,54,foot_r,27.590805,-68.589549,3.289220
0,55,toe_r,34.758716,-78.641867,19.864433
0,56,back_r,12.278240,-5.401319,-2.754661
0,57,biceps_twist_l,-23.286282,33.436702,-5.318964
0,58,biceps_twist_r,21.710638,41.596648,17.978394
0,59,thigh_twist_l,-20.830587,-11.234028,1.018632
0,60,thigh_twist_r,13.971855,-15.180050,14.837687
1,0,pelvis,-0.093750,0.187500,0.109375
1,1,stomach,0.124542,11.071293,1.893714
1,2,chest,1.182732,28.801030,2.286257
1,3,neck,-5.173688,57.114531,5.119720
1,4,head,-8.559550,70.174722,7.516176
1,5,hair,-6.348136,85.419593,8.249513
1,7,zero_joint_hand_l,1.182741,28.801025,2.286252
1,8,clavicle_l,-6.517293,52.457521,4.427480
1,9,arm_l,-20.538353,47.000842,-6.283695
