frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.699337,10.974793,0.867948
0,2,chest,0.654733,28.721342,0.520459
0,3,neck,-5.212155,57.279302,0.851298
0,4,head,-11.108994,69.638080,0.628829
0,5,hair,-8.982552,84.904551,1.126161
0,7,zero_joint_hand_l,0.652373,28.722898,0.520475
0,8,clavicle_l,-5.382065,52.868457,-1.287049
0,9,arm_l,-12.341451,49.273959,-18.029778
0,10,forearm_l,-26.431308,24.111601,-15.457781
0,11,forearm_twist_l,-34.597805,20.143381,-7.707591
0,12,hand_l,-43.255465,15.936202,0.509784
0,13,weapon_l,-62.608966,21.473992,12.463706
0,14,f_big1_l,-47.380287,17.997549,4.431278
0,15,f_big2_l,-49.017881,18.678834,7.918629
0,16,f_big3_l,-49.938923,17.758361,11.981108
0,17,f_main1_l,-48.599214,8.826175,7.698753
0,18,f_main2_l,-46.368741,10.887976,11.632027
0,19,f_main3_l,-43.501685,13.942910,9.368056
0,20,f_pointer1_l,-52.136598,12.780992,7.827303
0,21,f_pointer2_l,-52.462095,11.804183,12.155950
0,22,f_pointer3_l,-50.077426,14.227692,12.593813
0,23,scapular_l,-12.797423,56.660361,-14.919849
0,24,chest_l,-18.212812,34.024863,-8.178656
0,25,zero_joint_hand_r,0.654779,28.721172,0.522465
0,26,clavicle_r,-5.367648,52.836327,2.898528
0,27,arm_r,-11.848283,51.486589,20.140172
0,28,forearm_r,-30.966573,29.851176,22.304281
0,29,forearm_twist_r,-42.238117,27.054641,19.541024
0,30,hand_r,-54.189021,24.090657,16.613333
0,31,weapon_r,-62.588308,21.465595,12.503051
0,32,f_big1_r,-59.619632,27.042589,15.523631
0,33,f_big2_r,-62.825830,27.747551,13.011799
0,34,f_big3_r,-64.368182,24.634681,9.861522
0,35,f_main1_r,-63.734775,18.236861,14.935970
0,36,f_main2_r,-62.941058,20.428795,10.819802
0,37,f_main3_r,-59.550039,23.200865,11.559944
0,38,f_pointer1_r,-66.209938,22.723020,16.294376
0,39,f_pointer2_r,-67.654626,22.491165,11.960397
0,40,f_pointer3_r,-65.060436,24.652806,11.116744
0,41,scapular_r,-10.684484,58.669241,16.788400
0,42,chest_r,-18.158366,33.826986,9.448670
0,43,zero_joint_pelvis_l,0.000870,-0.000213,0.001798
0,44,thigh_l,-5.101002,1.233321,-7.565765
0,45,calf_l,-42.380635,-30.050648,-13.784379
0,46,foot_l,-30.000122,-69.244650,-12.435796
0,47,toe_l,-47.732123,-79.449930,-15.367370
0,48,back_l,3.053803,-4.661883,-12.506767
0,51,zero_joint_pelvis_r,0.000886,-0.000530,0.002006
0,52,thigh_r,2.766694,-0.560240,8.768790
0,53,calf_r,11.759894,-44.765612,28.059626
0,54,foot_r,39.684895,-68.409214,9.286240
0,55,toe_r,37.832476,-78.378952,27.295643
0,56,back_r,11.204956,-6.520393,4.415162
0,57,biceps_twist_l,-19.112910,37.181785,-16.793725
0,58,biceps_twist_r,-21.035925,41.089137,21.180066
0,59,thigh_twist_l,-18.955519,-10.394405,-9.876779
0,60,thigh_twist_r,6.110003,-16.989697,15.937309
1,0,pelvis,-0.125000,-0.187500,0.031250
1,1,stomach,0.571717,10.787412,0.899798
1,2,chest,0.518820,28.533592,0.535019
1,3,neck,-5.341154,57.092990,0.864286
1,4,head,-11.216392,69.462030,0.640664
1,5,hair,-9.026015,84.719542,1.135452
1,7,zero_joint_hand_l,0.516460,28.535148,0.535035
1,8,clavicle_l,-5.515499,52.697325,-1.273530
1,9,arm_l,-12.546054,49.192056,-18.005440
1,10,forearm_l,-26.665884,24.042983,-15.468122
1,11,forearm_twist_l,-34.839717,20.119957,-7.702671
1,12,hand_l,-43.505166,15.960671,0.530858
1,13,weapon_l,-62.852327,21.546161,12.472693
1,14,f_big1_l,-47.627141,18.032132,4.450015
1,15,f_big2_l,-49.265360,18.716624,7.936444
1,16,f_big3_l,-50.191225,17.797010,11.998022
1,17,f_main1_l,-48.871181,8.863623,7.716065
1,18,f_main2_l,-46.636275,10.920517,11.649392
1,19,f_main3_l,-43.758823,13.968081,9.388679
1,20,f_pointer1_l,-52.398651,12.827345,7.842776
1,21,f_pointer2_l,-52.728387,11.851342,12.171284
1,22,f_pointer3_l,-50.338139,14.269517,12.608215
1,23,scapular_l,-12.966672,56.567634,-14.864705
1,24,chest_l,-18.348380,33.840983,-8.162484
1,25,zero_joint_hand_r,0.518867,28.533422,0.537025
1,26,clavicle_r,-5.497500,52.650210,2.911870
1,27,arm_r,-12.070650,51.403284,20.126213
1,28,forearm_r,-31.193140,29.780702,22.379606
1,29,forearm_twist_r,-42.469584,27.034341,19.586183
1,30,hand_r,-54.425687,24.123553,16.626522
1,31,weapon_r,-62.829357,21.520461,12.511166
1,32,f_big1_r,-59.848054,27.089385,15.533517
1,33,f_big2_r,-63.050642,27.804033,13.019817
1,34,f_big3_r,-64.598784,24.701090,9.868397
1,35,f_main1_r,-63.985370,18.294226,14.943278
1,36,f_main2_r,-63.183323,20.485362,10.828301
1,37,f_main3_r,-59.782184,23.251619,11.567210
1,38,f_pointer1_r,-66.449869,22.786701,16.300199
1,39,f_pointer2_r,-67.892462,22.558555,11.965325
1,40,f_pointer3_r,-65.292627,24.713550,11.122046
1,41,scapular_r,-10.861894,58.566222,16.748208
1,42,chest_r,-18.292092,33.644454,9.464851
1,43,zero_joint_pelvis_l,-0.124130,-0.187713,0.033048
1,44,thigh_l,-5.226237,1.045018,-7.534488
1,45,calf_l,-42.563127,-30.160388,-13.804111
1,46,foot_l,-30.002474,-69.296388,-12.436952
1,47,toe_l,-47.731060,-79.504836,-15.378130
1,48,back_l,2.930009,-4.847977,-12.475746
1,51,zero_joint_pelvis_r,-0.124114,-0.188030,0.033256
1,52,thigh_r,2.641760,-0.747558,8.800031
1,53,calf_r,11.716600,-44.920653,28.126538
1,54,foot_r,39.687663,-68.460346,9.291250
1,55,toe_r,37.835823,-78.425524,27.303235
1,56,back_r,11.081473,-6.705466,4.446145
1,57,biceps_twist_l,-19.331925,37.106273,-16.786046
1,58,biceps_twist_r,-21.260309,41.011997,21.209011
1,59,thigh_twist_l,-19.102029,-10.553519,-9.864458
1,60,thigh_twist_r,6.015413,-17.165018,15.981806
2,0,pelvis,-0.222656,-0.312500,0.062500
2,1,stomach,0.458556,10.663267,0.932533
2,2,chest,0.375347,28.409109,0.557120
2,3,neck,-5.467239,56.972115,0.882370
2,4,head,-11.326316,69.348795,0.657411
2,5,hair,-9.074335,84.597463,1.148270
2,7,zero_joint_hand_l,0.372988,28.410667,0.557136
2,8,clavicle_l,-5.642277,52.576915,-1.252636
2,9,arm_l,-12.732994,49.157551,-17.976933
2,10,forearm_l,-26.891230,24.028303,-15.457271
2,11,forearm_twist_l,-35.079015,20.151126,-7.683495
2,12,hand_l,-43.759256,16.040457,0.558864
2,13,weapon_l,-63.101440,21.662473,12.491617
2,14,f_big1_l,-47.879098,18.119182,4.476418
2,15,f_big2_l,-49.517877,18.805422,7.962241
2,16,f_big3_l,-50.447793,17.885486,12.022819
2,17,f_main1_l,-49.144464,8.952105,7.738294
2,18,f_main2_l,-46.906355,11.002957,11.672955
2,19,f_main3_l,-44.020439,14.045281,9.415977
2,20,f_pointer1_l,-52.663595,12.923250,7.864460
2,21,f_pointer2_l,-52.997346,11.946327,12.192452
2,22,f_pointer3_l,-50.602358,14.359731,12.629805
2,23,scapular_l,-13.111506,56.524986,-14.811494
2,24,chest_l,-18.488626,33.729059,-8.139709
2,25,zero_joint_hand_r,0.375394,28.408940,0.559126
2,26,clavicle_r,-5.625821,52.529626,2.930994
2,27,arm_r,-12.280686,51.363224,20.119566
2,28,forearm_r,-31.427654,29.773174,22.474735
2,29,forearm_twist_r,-42.708943,27.077101,19.652037
2,30,hand_r,-54.670193,24.219672,16.661343
2,31,weapon_r,-63.077323,21.635219,12.541243
2,32,f_big1_r,-60.085979,27.196821,15.566475
2,33,f_big2_r,-63.285654,27.919543,13.051375
2,34,f_big3_r,-64.840630,24.820110,9.894063
2,35,f_main1_r,-64.240885,18.410254,14.971836
2,36,f_main2_r,-63.432153,20.600604,10.857748
2,37,f_main3_r,-60.025418,23.360229,11.595677
2,38,f_pointer1_r,-66.696908,22.907369,16.328758
2,39,f_pointer2_r,-68.137847,22.683339,11.993119
2,40,f_pointer3_r,-65.533593,24.833241,11.150476
2,41,scapular_r,-11.029088,58.510589,16.724216
2,42,chest_r,-18.430481,33.532254,9.490623
2,43,zero_joint_pelvis_l,-0.221786,-0.312712,0.064298
2,44,thigh_l,-5.324608,0.914725,-7.503617
2,45,calf_l,-42.738829,-30.187913,-13.822704
2,46,foot_l,-30.006612,-69.267723,-12.435360
2,47,toe_l,-47.735371,-79.475263,-15.378649
2,48,back_l,2.839788,-4.966926,-12.444931
2,51,zero_joint_pelvis_r,-0.221769,-0.313029,0.064506
2,52,thigh_r,2.545299,-0.870643,8.831026
2,53,calf_r,11.674273,-45.013274,28.201593
2,54,foot_r,39.691688,-68.434790,9.288036
2,55,toe_r,37.839409,-78.401958,27.298876
2,56,back_r,10.993008,-6.815964,4.475440
2,57,biceps_twist_l,-19.537320,37.081294,-16.766018
2,58,biceps_twist_r,-21.482102,40.987564,21.251275
2,59,thigh_twist_l,-19.229144,-10.645617,-9.851975
2,60,thigh_twist_r,5.939069,-17.276783,16.029172
3,0,pelvis,-0.296875,-0.500000,0.078125
3,1,stomach,0.359414,10.477106,0.950421
3,2,chest,0.231331,28.222614,0.571839
3,3,neck,-5.581243,56.791786,0.893245
3,4,head,-11.427515,69.174517,0.668154
3,5,hair,-9.115020,84.406327,1.155635
3,7,zero_joint_hand_l,0.228973,28.224174,0.571855
3,8,clavicle_l,-5.761225,52.396416,-1.241006
