frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-1.462426,10.898336,0.880948
0,2,chest,0.707164,28.529292,1.125243
0,3,neck,0.878070,57.205242,6.392840
0,4,head,-1.093702,70.251261,10.092723
0,5,hair,2.935462,85.127175,10.647043
0,7,zero_joint_hand_l,0.707348,28.529144,1.125409
0,8,clavicle_l,-1.370356,53.126666,4.885724
0,9,arm_l,-15.520337,51.522741,-6.874387
0,10,forearm_l,-27.320826,25.101263,-7.842584
0,11,forearm_twist_l,-29.757244,24.889063,3.833730
0,12,hand_l,-32.356008,24.673438,16.242375
0,13,weapon_l,-35.631801,27.280961,24.519872
0,14,f_big1_l,-34.646846,29.801294,18.513644
0,15,f_big2_l,-34.840805,32.496834,21.340041
0,16,f_big3_l,-34.192025,31.761583,25.491388
0,17,f_main1_l,-38.697606,24.566768,25.759101
0,18,f_main2_l,-34.584417,27.101727,26.938802
0,19,f_main3_l,-31.777101,28.114326,23.227763
0,20,f_pointer1_l,-40.385396,29.215043,23.823247
0,21,f_pointer2_l,-37.549333,30.785034,26.876725
0,22,f_pointer3_l,-35.257591,31.184195,24.353378
0,23,scapular_l,-12.992264,58.747559,-4.509893
0,24,chest_l,-17.773033,36.280017,8.746459
0,25,zero_joint_hand_r,0.707330,28.529021,1.125351
0,26,clavicle_r,1.603973,52.572566,7.803436
0,27,arm_r,13.580992,46.927236,20.678839
0,28,forearm_r,3.313488,21.377553,29.627330
0,29,forearm_twist_r,-7.595525,16.892297,31.414333
0,30,hand_r,-19.189408,12.127043,33.324502
0,31,weapon_r,-35.646029,27.266612,24.510860
0,32,f_big1_r,-23.402386,15.110059,29.757341
0,33,f_big2_r,-26.364447,14.936289,26.879511
0,34,f_big3_r,-29.062025,11.164351,26.180216
0,35,f_main1_r,-30.215644,9.727262,34.160965
0,36,f_main2_r,-29.034703,8.392598,29.779017
0,37,f_main3_r,-24.874291,9.830397,29.154656
0,38,f_pointer1_r,-30.980829,14.500470,31.980691
0,39,f_pointer2_r,-31.708559,11.984063,28.230717
0,40,f_pointer3_r,-28.410321,12.615769,27.323448
0,41,scapular_r,11.085560,54.512189,20.722526
0,42,chest_r,-5.296976,33.956157,20.979203
0,43,zero_joint_pelvis_l,-0.000054,-0.000007,-0.000075
0,44,thigh_l,-7.215083,-0.193207,-5.720431
0,45,calf_l,-23.522011,-45.036964,5.692301
0,46,foot_l,6.743532,-68.086910,-9.926999
0,47,toe_l,-4.166594,-78.234311,4.396587
0,48,back_l,0.228280,-4.417679,-12.959542
0,51,zero_joint_pelvis_r,0.000009,-0.000247,0.000047
0,52,thigh_r,5.240073,0.403729,7.562803
0,53,calf_r,-18.401923,-37.523599,27.803918
0,54,foot_r,-14.623209,-68.419581,0.925949
0,55,toe_r,-18.233699,-78.417079,18.651075
0,56,back_r,13.131818,-3.798859,0.801236
0,57,biceps_twist_l,-21.192525,38.825859,-7.339808
0,58,biceps_twist_r,8.648733,34.656363,24.977943
0,59,thigh_twist_l,-12.781599,-17.086693,-1.799315
0,60,thigh_twist_r,-3.337689,-14.026025,14.590416
1,0,pelvis,3.625000,0.000000,-0.320312
1,1,stomach,2.115673,10.890723,0.575546
1,2,chest,4.175922,28.535484,0.763167
1,3,neck,4.039669,57.217513,5.998582
1,4,head,2.060983,70.283456,9.623714
1,5,hair,6.031393,85.174422,10.197477
1,7,zero_joint_hand_l,4.176165,28.535318,0.763346
1,8,clavicle_l,1.838314,53.115118,4.486626
1,9,arm_l,-12.185832,51.455665,-7.415654
1,10,forearm_l,-23.810142,24.941219,-7.793811
1,11,forearm_twist_l,-26.543226,24.541117,3.811689
1,12,hand_l,-29.457300,24.125689,16.144983
1,13,weapon_l,-32.408273,26.893469,24.510003
1,14,f_big1_l,-31.616260,29.311560,18.413714
1,15,f_big2_l,-31.681803,32.053864,21.200741
1,16,f_big3_l,-30.888432,31.379086,25.337217
1,17,f_main1_l,-35.447269,24.234035,25.886844
1,18,f_main2_l,-31.270543,26.747236,26.874176
1,19,f_main3_l,-28.326638,27.986371,23.342016
1,20,f_pointer1_l,-37.162254,28.866728,23.937425
1,21,f_pointer2_l,-34.202049,30.457768,26.859350
1,22,f_pointer3_l,-32.000551,30.793849,24.248000
1,23,scapular_l,-9.761370,58.687418,-4.965230
1,24,chest_l,-14.412492,36.110590,8.297138
1,25,zero_joint_hand_r,4.176121,28.535223,0.763284
1,26,clavicle_r,4.805551,52.593850,7.417542
1,27,arm_r,16.755173,47.146418,20.403179
1,28,forearm_r,6.331402,21.618775,29.233121
1,29,forearm_twist_r,-4.432065,16.847302,31.156217
1,30,hand_r,-15.871142,11.777820,33.211057
1,31,weapon_r,-32.420851,26.870587,24.493613
1,32,f_big1_r,-20.127325,14.740079,29.676053
1,33,f_big2_r,-23.137385,14.547298,26.849699
1,34,f_big3_r,-25.867485,10.782740,26.242976
1,35,f_main1_r,-26.903240,9.453435,34.260083
1,36,f_main2_r,-25.803203,8.057639,29.880340
1,37,f_main3_r,-21.645568,9.462958,29.169533
1,38,f_pointer1_r,-27.669478,14.203301,32.030828
1,39,f_pointer2_r,-28.473218,11.643948,28.325708
1,40,f_pointer3_r,-25.186849,12.244687,27.356449
1,41,scapular_r,14.160288,54.702051,20.393734
1,42,chest_r,-1.966076,33.924348,20.585283
