frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-4.203551,9.785567,2.874251
0,2,chest,-11.683100,25.885872,3.548008
0,3,neck,-28.341669,49.709281,1.306541
0,4,head,-37.521037,59.870447,1.821860
0,5,hair,-43.922329,73.890163,1.269357
0,7,zero_joint_hand_l,-11.683116,25.885785,3.547986
0,8,clavicle_l,-26.749579,45.403923,-0.393954
0,9,arm_l,-37.774608,43.771810,-15.120788
0,10,forearm_l,-66.154803,41.431364,-9.889125
0,11,forearm_twist_l,-76.544731,41.303385,-4.012309
0,12,hand_l,-87.561411,41.180516,2.216525
0,13,weapon_l,-91.764755,33.647186,5.653284
0,14,f_big1_l,-93.302520,39.638774,3.367473
0,15,f_big2_l,-96.020780,38.104030,5.729186
0,16,f_big3_l,-95.343845,34.993170,8.574046
0,17,f_main1_l,-90.570785,30.212723,3.427566
0,18,f_main2_l,-91.324996,32.292335,7.882091
0,19,f_main3_l,-90.540914,36.924544,7.070724
0,20,f_pointer1_l,-95.386457,32.160201,2.282411
0,21,f_pointer2_l,-95.878949,31.785390,6.692481
0,22,f_pointer3_l,-95.308366,35.180591,6.879610
0,23,scapular_l,-38.252283,50.209401,-10.381910
0,24,chest_l,-31.077601,22.410935,-4.905432
0,25,zero_joint_hand_r,-11.683021,25.885703,3.548000
0,26,clavicle_r,-26.737011,45.805887,3.789986
0,27,arm_r,-21.889356,49.258855,21.273463
0,28,forearm_r,-49.399283,40.766473,24.333987
0,29,forearm_twist_r,-58.944435,40.660641,17.165807
0,30,hand_r,-69.069453,40.557283,9.572781
0,31,weapon_r,-91.760625,33.632486,5.684903
0,32,f_big1_r,-74.556243,38.870906,7.021686
0,33,f_big2_r,-76.615219,37.009397,3.953532
0,34,f_big3_r,-74.824298,33.507340,1.399819
0,35,f_main1_r,-71.531801,29.643087,7.832757
0,36,f_main2_r,-71.300013,31.527430,3.495721
0,37,f_main3_r,-70.926537,35.907684,4.089009
0,38,f_pointer1_r,-76.589360,31.250555,7.740976
0,39,f_pointer2_r,-75.984436,30.833578,3.222105
0,40,f_pointer3_r,-75.322610,34.248647,3.108046
0,41,scapular_r,-26.037675,54.672056,17.062908
0,42,chest_r,-31.017796,24.100627,12.639803
0,43,zero_joint_pelvis_l,-0.000003,-0.000007,0.000020
0,44,thigh_l,-6.233188,-0.340575,-6.771084
0,45,calf_l,-54.189714,-5.783274,2.042402
0,46,foot_l,-50.444239,-44.997131,-9.769055
0,47,toe_l,-66.561857,-55.133897,-1.729523
0,48,back_l,2.807810,-0.988706,-13.366146
0,51,zero_joint_pelvis_r,0.000097,-0.000305,-0.000048
0,52,thigh_r,4.068509,-0.329940,8.255623
0,53,calf_r,39.065244,-31.199881,23.401717
0,54,foot_r,71.290842,-45.035577,1.922657
0,55,toe_r,68.065200,-55.084329,19.692956
0,56,back_r,13.480341,-0.977156,2.200982
0,57,biceps_twist_l,-51.413394,42.643850,-12.608341
0,58,biceps_twist_r,-35.111102,45.180915,22.742130
0,59,thigh_twist_l,-24.015661,-2.951176,-3.723154
0,60,thigh_twist_r,17.375065,-11.707142,13.336655
1,0,pelvis,36.500000,0.000000,0.000000
1,1,stomach,32.296483,9.785588,2.874228
1,2,chest,24.816935,25.885894,3.547993
1,3,neck,8.158291,49.709252,1.306546
1,4,head,-1.021020,59.870469,1.821860
1,5,hair,-7.421043,73.882184,1.269702
1,7,zero_joint_hand_l,24.817251,25.886202,3.548124
1,8,clavicle_l,9.750788,45.404340,-0.393815
1,9,arm_l,-1.274236,43.772194,-15.120650
1,10,forearm_l,-29.654427,41.431709,-9.888988
1,11,forearm_twist_l,-40.051234,41.304384,-4.008450
1,12,hand_l,-51.061022,41.180882,2.216685
1,13,weapon_l,-55.264366,33.647552,5.653444
1,14,f_big1_l,-56.805841,39.640586,3.368231
1,15,f_big2_l,-59.523089,38.102911,5.732255
1,16,f_big3_l,-58.846325,34.991696,8.576778
1,17,f_main1_l,-54.076812,30.215625,3.428043
1,18,f_main2_l,-54.825109,32.295419,7.887837
1,19,f_main3_l,-54.036842,36.924285,7.081167
1,20,f_pointer1_l,-58.887871,32.161294,2.282384
1,21,f_pointer2_l,-59.379057,31.785590,6.692522
1,22,f_pointer3_l,-58.809273,35.182837,6.880538
1,23,scapular_l,-1.752829,50.208977,-10.380994
1,24,chest_l,5.422766,22.411353,-4.905293
1,25,zero_joint_hand_r,24.817065,25.885768,3.548069
1,26,clavicle_r,9.763075,45.805952,3.790054
1,27,arm_r,14.610776,49.258877,21.273527
1,28,forearm_r,-12.899172,40.766551,24.334024
1,29,forearm_twist_r,-22.445655,40.661231,17.167611
1,30,hand_r,-32.569342,40.557361,9.572818
1,31,weapon_r,-55.260514,33.632564,5.684941
1,32,f_big1_r,-38.052984,38.867759,7.020119
1,33,f_big2_r,-40.103864,37.003469,3.953295
1,34,f_big3_r,-38.317151,33.505906,1.397871
1,35,f_main1_r,-35.028702,29.650456,7.831136
1,36,f_main2_r,-34.798387,31.535362,3.494268
1,37,f_main3_r,-34.426210,35.918914,4.091184
1,38,f_pointer1_r,-40.082634,31.256531,7.739761
1,39,f_pointer2_r,-39.477902,30.839161,3.220904
1,40,f_pointer3_r,-38.813929,34.255836,3.107822
1,41,scapular_r,10.465726,54.669625,17.062550
1,42,chest_r,5.482290,24.100692,12.639871
1,43,zero_joint_pelvis_l,36.499992,0.000005,-0.002196
1,44,thigh_l,30.265192,-0.341031,-6.772193
1,45,calf_l,-17.691335,-5.783746,2.041279
1,46,foot_l,-13.945829,-44.997599,-9.770177
1,47,toe_l,-30.063447,-55.134365,-1.730646
1,48,back_l,39.312222,-0.988689,-13.361919
1,51,zero_joint_pelvis_r,36.499958,-0.000246,-0.000804
1,52,thigh_r,40.567563,-0.330115,8.255421
1,53,calf_r,75.564313,-31.200043,23.401508
1,54,foot_r,107.789891,-45.035728,1.922413
1,55,toe_r,104.564250,-55.084480,19.692712
1,56,back_r,49.978714,-0.973632,2.201244
1,57,biceps_twist_l,-14.913152,42.645159,-12.608501
1,58,biceps_twist_r,1.389146,45.180502,22.742035
1,59,thigh_twist_l,12.482687,-2.951579,-3.724403
1,60,thigh_twist_r,53.873448,-11.708348,13.335905
