frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.323901,10.877153,1.808622
0,2,chest,1.430784,28.606822,2.034617
0,3,neck,-5.257225,56.816659,4.975983
0,4,head,-8.748332,69.808454,7.583871
0,5,hair,-6.339400,85.025860,8.263458
0,7,zero_joint_hand_l,1.430385,28.608476,2.037628
0,8,clavicle_l,-6.463209,52.233106,3.799449
0,9,arm_l,-19.600385,46.444418,-7.819520
0,10,forearm_l,-27.725277,20.966202,3.276882
0,11,forearm_twist_l,-30.004389,19.560203,14.902126
0,12,hand_l,-32.438573,18.073311,27.256819
0,13,weapon_l,-38.318983,13.811838,32.980840
0,14,f_big1_l,-37.332702,19.762099,30.386374
0,15,f_big2_l,-39.416777,19.825883,33.692379
0,16,f_big3_l,-39.451006,16.743900,36.641313
0,17,f_main1_l,-39.903783,10.334598,31.106335
0,18,f_main2_l,-37.879041,12.358330,35.173407
0,19,f_main3_l,-35.219732,15.889346,33.422897
0,20,f_pointer1_l,-43.121427,14.562357,31.232927
0,21,f_pointer2_l,-42.144910,14.368479,35.561499
0,22,f_pointer3_l,-39.820798,16.828647,35.015777
0,23,scapular_l,-18.872883,54.231266,-6.051988
0,24,chest_l,-18.521322,32.343590,8.941193
0,25,zero_joint_hand_r,1.432235,28.606846,2.035999
0,26,clavicle_r,-3.503996,52.607532,6.758131
0,27,arm_r,9.157934,50.959704,20.080218
0,28,forearm_r,3.167268,22.909487,24.027463
0,29,forearm_twist_r,-5.911744,15.467604,26.150518
0,30,hand_r,-15.547212,7.567595,28.414612
0,31,weapon_r,-38.275601,13.803281,33.040303
0,32,f_big1_r,-21.615528,9.109387,28.023794
0,33,f_big2_r,-25.246764,8.705702,26.107184
0,34,f_big3_r,-26.498410,4.866585,23.729963
0,35,f_main1_r,-23.593932,-0.332602,29.343136
0,36,f_main2_r,-23.994574,1.270277,24.910572
0,37,f_main3_r,-21.282991,4.767969,24.635668
0,38,f_pointer1_r,-26.802536,3.703046,30.577722
0,39,f_pointer2_r,-28.128843,3.163427,26.233306
