frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-1.108792,10.942865,-0.844249
0,2,chest,-2.184472,28.654042,-1.313188
0,3,neck,-6.049102,57.523483,-2.619664
0,4,head,-9.270564,70.830858,-3.177874
0,5,hair,-8.112774,86.207854,-3.382172
0,7,zero_joint_hand_l,-2.186349,28.655987,-1.314481
0,8,clavicle_l,-5.055807,53.223476,-4.734669
0,9,arm_l,9.484362,49.019470,-15.345144
0,10,forearm_l,22.304910,25.745144,-26.843958
0,11,forearm_twist_l,22.537128,16.358470,-34.215547
0,12,hand_l,22.784607,6.407397,-42.031913
0,13,weapon_l,-69.536395,12.435626,22.721442
0,14,f_big1_l,18.223219,3.165012,-44.338882
0,15,f_big2_l,15.281191,0.721487,-45.164189
0,16,f_big3_l,13.149306,-2.781936,-46.339104
0,17,f_main1_l,24.803928,-2.658329,-48.704572
0,18,f_main2_l,24.104565,-7.489089,-49.638022
0,19,f_main3_l,23.105057,-12.113660,-50.178928
0,20,f_pointer1_l,19.817506,-1.708053,-50.261486
0,21,f_pointer2_l,19.585871,-5.415771,-52.710236
0,22,f_pointer3_l,19.154107,-8.434113,-54.272786
0,23,scapular_l,7.762314,56.651687,-13.631997
0,24,chest_l,-11.944638,35.523385,-19.127273
0,25,zero_joint_hand_r,-2.185639,28.653821,-1.311561
0,26,clavicle_r,-7.556584,53.038789,-1.363731
0,27,arm_r,-22.266841,49.338207,9.172338
0,28,forearm_r,-43.837756,32.068611,17.817576
0,29,forearm_twist_r,-54.033081,26.253568,19.995771
0,30,hand_r,-64.841736,20.088125,22.306822
0,31,weapon_r,-69.545014,12.466095,22.721448
0,32,f_big1_r,-69.537129,17.147714,19.363514
0,33,f_big2_r,-71.142752,13.639983,17.879004
0,34,f_big3_r,-70.145691,9.407178,19.624192
0,35,f_main1_r,-70.626642,11.816026,27.436337
0,36,f_main2_r,-68.440228,9.681043,23.825403
0,37,f_main3_r,-66.617422,12.942115,21.415280
0,38,f_pointer1_r,-74.417665,12.869305,23.883622
0,39,f_pointer2_r,-73.725952,8.455360,22.884304
0,40,f_pointer3_r,-71.713378,9.503138,20.244990
0,41,scapular_r,-20.458185,56.897631,7.231511
0,42,chest_r,-22.411144,34.759442,-4.962759
0,43,zero_joint_pelvis_l,-0.001492,-0.000071,0.001346
0,44,thigh_l,5.871535,0.359834,-7.083641
0,45,calf_l,3.786443,-47.644558,-17.001284
0,46,foot_l,11.433300,-86.850527,-7.219506
0,47,toe_l,6.736729,-97.708236,-24.167016
0,48,back_l,13.052055,-4.129563,0.262025
0,51,zero_joint_pelvis_r,-0.001672,-0.000379,0.001468
0,52,thigh_r,-7.680967,-0.076093,5.084957
0,53,calf_r,-22.154435,-46.936718,6.400070
0,54,foot_r,-30.823020,-87.118274,7.650580
0,55,toe_r,-48.464350,-97.198760,11.436472
0,56,back_r,-0.987719,-4.580522,12.868703
0,57,biceps_twist_l,15.645979,37.834674,-20.871078
0,58,biceps_twist_r,-32.633252,41.038870,13.326813
0,59,thigh_twist_l,5.097029,-17.481499,-10.768665
0,60,thigh_twist_r,-13.058775,-17.492542,5.573771
1,0,pelvis,0.000000,0.000000,0.000000
1,1,stomach,-1.108792,10.942865,-0.844249
1,2,chest,-2.184472,28.654042,-1.313188
1,3,neck,-6.049102,57.523483,-2.619664
1,4,head,-9.270564,70.830858,-3.177874
1,5,hair,-8.112774,86.207854,-3.382172
1,7,zero_joint_hand_l,-2.186349,28.655987,-1.314481
1,8,clavicle_l,-5.055807,53.223476,-4.734669
1,9,arm_l,9.484362,49.019470,-15.345144
1,10,forearm_l,22.304910,25.745144,-26.843958
1,11,forearm_twist_l,22.537128,16.358470,-34.215547
1,12,hand_l,22.784607,6.407397,-42.031913
1,13,weapon_l,-69.536395,12.435626,22.721442
1,14,f_big1_l,18.223219,3.165012,-44.338882
1,15,f_big2_l,15.281191,0.721487,-45.164189
1,16,f_big3_l,13.149306,-2.781936,-46.339104
1,17,f_main1_l,24.803928,-2.658329,-48.704572
1,18,f_main2_l,24.104565,-7.489089,-49.638022
1,19,f_main3_l,23.105057,-12.113660,-50.178928
1,20,f_pointer1_l,19.817506,-1.708053,-50.261486
1,21,f_pointer2_l,19.585871,-5.415771,-52.710236
1,22,f_pointer3_l,19.154107,-8.434113,-54.272786
1,23,scapular_l,7.762314,56.651687,-13.631997
1,24,chest_l,-11.944638,35.523385,-19.127273
1,25,zero_joint_hand_r,-2.185639,28.653821,-1.311561
1,26,clavicle_r,-7.556584,53.038789,-1.363731
1,27,arm_r,-22.266841,49.338207,9.172338
1,28,forearm_r,-43.837756,32.068611,17.817576
1,29,forearm_twist_r,-54.033081,26.253568,19.995771
1,30,hand_r,-64.841736,20.088125,22.306822
1,31,weapon_r,-69.545014,12.466095,22.721448
1,32,f_big1_r,-69.537129,17.147714,19.363514
1,33,f_big2_r,-71.142752,13.639983,17.879004
1,34,f_big3_r,-70.145691,9.407178,19.624192
1,35,f_main1_r,-70.626642,11.816026,27.436337
1,36,f_main2_r,-68.440228,9.681043,23.825403
1,37,f_main3_r,-66.617422,12.942115,21.415280
1,38,f_pointer1_r,-74.417665,12.869305,23.883622
1,39,f_pointer2_r,-73.725952,8.455360,22.884304
1,40,f_pointer3_r,-71.713378,9.503138,20.244990
1,41,scapular_r,-20.458185,56.897631,7.231511
1,42,chest_r,-22.411144,34.759442,-4.962759
1,43,zero_joint_pelvis_l,-0.001492,-0.000071,0.001346
1,44,thigh_l,5.871535,0.359834,-7.083641
1,45,calf_l,3.786443,-47.644558,-17.001284
1,46,foot_l,11.433300,-86.850527,-7.219506
1,47,toe_l,6.736729,-97.708236,-24.167016
1,48,back_l,13.052055,-4.129563,0.262025
1,51,zero_joint_pelvis_r,-0.001672,-0.000379,0.001468
1,52,thigh_r,-7.680967,-0.076093,5.084957
1,53,calf_r,-22.154435,-46.936718,6.400070
1,54,foot_r,-30.823020,-87.118274,7.650580
1,55,toe_r,-48.464350,-97.198760,11.436472
1,56,back_r,-0.987719,-4.580522,12.868703
1,57,biceps_twist_l,15.645979,37.834674,-20.871078
1,58,biceps_twist_r,-32.633252,41.038870,13.326813
1,59,thigh_twist_l,5.097029,-17.481499,-10.768665
1,60,thigh_twist_r,-13.058775,-17.492542,5.573771
2,0,pelvis,0.000000,0.000000,0.000000
2,1,stomach,-1.108792,10.942865,-0.844249
2,2,chest,-2.184472,28.654042,-1.313188
2,3,neck,-6.049102,57.523483,-2.619664
2,4,head,-9.270564,70.830858,-3.177874
2,5,hair,-8.112774,86.207854,-3.382172
2,7,zero_joint_hand_l,-2.186349,28.655987,-1.314481
2,8,clavicle_l,-5.055807,53.223476,-4.734669
2,9,arm_l,9.484362,49.019470,-15.345144
2,10,forearm_l,22.304910,25.745144,-26.843958
2,11,forearm_twist_l,22.537128,16.358470,-34.215547
2,12,hand_l,22.784607,6.407397,-42.031913
2,13,weapon_l,-69.536395,12.435626,22.721442
2,14,f_big1_l,18.223219,3.165012,-44.338882
2,15,f_big2_l,15.281191,0.721487,-45.164189
2,16,f_big3_l,13.149306,-2.781936,-46.339104
2,17,f_main1_l,24.803928,-2.658329,-48.704572
2,18,f_main2_l,24.104565,-7.489089,-49.638022
2,19,f_main3_l,23.105057,-12.113660,-50.178928
2,20,f_pointer1_l,19.817506,-1.708053,-50.261486
2,21,f_pointer2_l,19.585871,-5.415771,-52.710236
2,22,f_pointer3_l,19.154107,-8.434113,-54.272786
2,23,scapular_l,7.762314,56.651687,-13.631997
2,24,chest_l,-11.944638,35.523385,-19.127273
2,25,zero_joint_hand_r,-2.185639,28.653821,-1.311561
2,26,clavicle_r,-7.556584,53.038789,-1.363731
2,27,arm_r,-22.266841,49.338207,9.172338
2,28,forearm_r,-43.837756,32.068611,17.817576
2,29,forearm_twist_r,-54.033081,26.253568,19.995771
2,30,hand_r,-64.841736,20.088125,22.306822
2,31,weapon_r,-69.545014,12.466095,22.721448
2,32,f_big1_r,-69.537129,17.147714,19.363514
2,33,f_big2_r,-71.142752,13.639983,17.879004
2,34,f_big3_r,-70.145691,9.407178,19.624192
2,35,f_main1_r,-70.626642,11.816026,27.436337
2,36,f_main2_r,-68.440228,9.681043,23.825403
2,37,f_main3_r,-66.617422,12.942115,21.415280
2,38,f_pointer1_r,-74.417665,12.869305,23.883622
2,39,f_pointer2_r,-73.725952,8.455360,22.884304
2,40,f_pointer3_r,-71.713378,9.503138,20.244990
2,41,scapular_r,-20.458185,56.897631,7.231511
2,42,chest_r,-22.411144,34.759442,-4.962759
2,43,zero_joint_pelvis_l,-0.001492,-0.000071,0.001346
2,44,thigh_l,5.871535,0.359834,-7.083641
2,45,calf_l,3.786443,-47.644558,-17.001284
2,46,foot_l,11.433300,-86.850527,-7.219506
2,47,toe_l,6.736729,-97.708236,-24.167016
2,48,back_l,13.052055,-4.129563,0.262025
2,51,zero_joint_pelvis_r,-0.001672,-0.000379,0.001468
2,52,thigh_r,-7.680967,-0.076093,5.084957
2,53,calf_r,-22.154435,-46.936718,6.400070
2,54,foot_r,-30.823020,-87.118274,7.650580
2,55,toe_r,-48.464350,-97.198760,11.436472
2,56,back_r,-0.987719,-4.580522,12.868703
2,57,biceps_twist_l,15.645979,37.834674,-20.871078
2,58,biceps_twist_r,-32.633252,41.038870,13.326813
2,59,thigh_twist_l,5.097029,-17.481499,-10.768665
2,60,thigh_twist_r,-13.058775,-17.492542,5.573771
3,0,pelvis,0.000000,0.000000,0.000000
3,1,stomach,-1.108792,10.942865,-0.844249
3,2,chest,-2.184472,28.654042,-1.313188
3,3,neck,-6.049102,57.523483,-2.619664
3,4,head,-9.270564,70.830858,-3.177874
3,5,hair,-8.112774,86.207854,-3.382172
3,7,zero_joint_hand_l,-2.186349,28.655987,-1.314481
3,8,clavicle_l,-5.055807,53.223476,-4.734669
3,9,arm_l,9.484362,49.019470,-15.345144
3,10,forearm_l,22.304910,25.745144,-26.843958
3,11,forearm_twist_l,22.537128,16.358470,-34.215547
3,12,hand_l,22.784607,6.407397,-42.031913
3,13,weapon_l,-69.536395,12.435626,22.721442
3,14,f_big1_l,18.223219,3.165012,-44.338882
3,15,f_big2_l,15.281191,0.721487,-45.164189
3,16,f_big3_l,13.149306,-2.781936,-46.339104
3,17,f_main1_l,24.803928,-2.658329,-48.704572
3,18,f_main2_l,24.104565,-7.489089,-49.638022
3,19,f_main3_l,23.105057,-12.113660,-50.178928
3,20,f_pointer1_l,19.817506,-1.708053,-50.261486
3,21,f_pointer2_l,19.585871,-5.415771,-52.710236
3,22,f_pointer3_l,19.154107,-8.434113,-54.272786
3,23,scapular_l,7.762314,56.651687,-13.631997
3,24,chest_l,-11.944638,35.523385,-19.127273
3,25,zero_joint_hand_r,-2.185639,28.653821,-1.311561
3,26,clavicle_r,-7.556584,53.038789,-1.363731
3,27,arm_r,-22.266841,49.338207,9.172338
3,28,forearm_r,-43.837756,32.068611,17.817576
3,29,forearm_twist_r,-54.033081,26.253568,19.995771
3,30,hand_r,-64.841736,20.088125,22.306822
3,31,weapon_r,-69.545014,12.466095,22.721448
3,32,f_big1_r,-69.537129,17.147714,19.363514
3,33,f_big2_r,-71.142752,13.639983,17.879004
3,34,f_big3_r,-70.145691,9.407178,19.624192
3,35,f_main1_r,-70.626642,11.816026,27.436337
3,36,f_main2_r,-68.440228,9.681043,23.825403
3,37,f_main3_r,-66.617422,12.942115,21.415280
3,38,f_pointer1_r,-74.417665,12.869305,23.883622
3,39,f_pointer2_r,-73.725952,8.455360,22.884304
3,40,f_pointer3_r,-71.713378,9.503138,20.244990
3,41,scapular_r,-20.458185,56.897631,7.231511
3,42,chest_r,-22.411144,34.759442,-4.962759
3,43,zero_joint_pelvis_l,-0.001492,-0.000071,0.001346
3,44,thigh_l,5.871535,0.359834,-7.083641
3,45,calf_l,3.786443,-47.644558,-17.001284
3,46,foot_l,11.433300,-86.850527,-7.219506
3,47,toe_l,6.736729,-97.708236,-24.167016
3,48,back_l,13.052055,-4.129563,0.262025
3,51,zero_joint_pelvis_r,-0.001672,-0.000379,0.001468
3,52,thigh_r,-7.680967,-0.076093,5.084957
3,53,calf_r,-22.154435,-46.936718,6.400070
3,54,foot_r,-30.823020,-87.118274,7.650580
3,55,toe_r,-48.464350,-97.198760,11.436472
3,56,back_r,-0.987719,-4.580522,12.868703
3,57,biceps_twist_l,15.645979,37.834674,-20.871078
3,58,biceps_twist_r,-32.633252,41.038870,13.326813
3,59,thigh_twist_l,5.097029,-17.481499,-10.768665
3,60,thigh_twist_r,-13.058775,-17.492542,5.573771
4,0,pelvis,0.000000,0.000000,0.000000
4,1,stomach,-1.108792,10.942865,-0.844249
4,2,chest,-2.184472,28.654042,-1.313188
4,3,neck,-6.049102,57.523483,-2.619664
4,4,head,-9.270564,70.830858,-3.177874
4,5,hair,-8.112774,86.207854,-3.382172
4,7,zero_joint_hand_l,-2.186349,28.655987,-1.314481
4,8,clavicle_l,-5.055807,53.223476,-4.734669
4,9,arm_l,9.484362,49.019470,-15.345144
4,10,forearm_l,22.304910,25.745144,-26.843958
4,11,forearm_twist_l,22.537128,16.358470,-34.215547
4,12,hand_l,22.784607,6.407397,-42.031913
4,13,weapon_l,-69.536395,12.435626,22.721442
4,14,f_big1_l,18.223219,3.165012,-44.338882
4,15,f_big2_l,15.281191,0.721487,-45.164189
4,16,f_big3_l,13.149306,-2.781936,-46.339104
4,17,f_main1_l,24.803928,-2.658329,-48.704572
4,18,f_main2_l,24.104565,-7.489089,-49.638022
4,19,f_main3_l,23.105057,-12.113660,-50.178928
4,20,f_pointer1_l,19.817506,-1.708053,-50.261486
4,21,f_pointer2_l,19.585871,-5.415771,-52.710236
4,22,f_pointer3_l,19.154107,-8.434113,-54.272786
4,23,scapular_l,7.762314,56.651687,-13.631997
4,24,chest_l,-11.944638,35.523385,-19.127273
4,25,zero_joint_hand_r,-2.185639,28.653821,-1.311561
4,26,clavicle_r,-7.556584,53.038789,-1.363731
4,27,arm_r,-22.266841,49.338207,9.172338
4,28,forearm_r,-43.837756,32.068611,17.817576
4,29,forearm_twist_r,-54.033081,26.253568,19.995771
4,30,hand_r,-64.841736,20.088125,22.306822
4,31,weapon_r,-69.545014,12.466095,22.721448
4,32,f_big1_r,-69.537129,17.147714,19.363514
4,33,f_big2_r,-71.142752,13.639983,17.879004
4,34,f_big3_r,-70.145691,9.407178,19.624192
4,35,f_main1_r,-70.626642,11.816026,27.436337
4,36,f_main2_r,-68.440228,9.681043,23.825403
4,37,f_main3_r,-66.617422,12.942115,21.415280
4,38,f_pointer1_r,-74.417665,12.869305,23.883622
4,39,f_pointer2_r,-73.725952,8.455360,22.884304
4,40,f_pointer3_r,-71.713378,9.503138,20.244990
4,41,scapular_r,-20.458185,56.897631,7.231511
4,42,chest_r,-22.411144,34.759442,-4.962759
4,43,zero_joint_pelvis_l,-0.001492,-0.000071,0.001346
4,44,thigh_l,5.871535,0.359834,-7.083641
4,45,calf_l,3.786443,-47.644558,-17.001284
4,46,foot_l,11.433300,-86.850527,-7.219506
4,47,toe_l,6.736729,-97.708236,-24.167016
4,48,back_l,13.052055,-4.129563,0.262025
