frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,4.717678,9.684166,2.376744
0,2,chest,8.727225,26.902906,4.124880
0,3,neck,8.894226,54.652967,13.068766
0,4,head,9.659004,64.412586,22.657332
0,5,hair,9.214952,78.979003,27.702781
0,7,zero_joint_hand_l,8.727226,26.902883,4.124877
0,8,clavicle_l,7.594468,49.966641,13.626183
0,9,arm_l,-5.417565,46.887977,26.366024
0,10,forearm_l,3.919405,38.021066,52.298288
0,11,forearm_twist_l,4.155671,49.422972,48.770593
0,12,hand_l,4.407209,61.525752,45.024144
0,13,weapon_l,-1.755152,71.177658,39.722626
0,14,f_big1_l,-0.436747,61.925109,40.945224
0,15,f_big2_l,-2.440176,63.877204,37.947226
0,16,f_big3_l,-1.988882,68.207070,37.164481
0,17,f_main1_l,-1.094153,71.438960,45.189801
0,18,f_main2_l,-1.162429,73.736452,41.343153
0,19,f_main3_l,0.602848,72.528264,36.865146
0,20,f_pointer1_l,-4.798096,68.162422,42.449683
0,21,f_pointer2_l,-5.384778,70.850671,39.390884
0,22,f_pointer3_l,-2.800191,70.176255,37.199530
0,23,scapular_l,-3.208373,54.369354,24.541076
0,24,chest_l,10.072728,29.387191,25.378082
0,25,zero_joint_hand_r,8.727216,26.902750,4.124814
0,26,clavicle_r,11.211167,50.603461,11.581436
0,27,arm_r,29.611028,50.630167,9.987965
0,28,forearm_r,22.617559,33.617187,32.347155
0,29,forearm_twist_r,11.892077,31.977199,37.343651
0,30,hand_r,0.521299,30.242609,42.642246
0,31,weapon_r,-1.721126,71.146181,39.765767
0,32,f_big1_r,-4.845642,32.270041,40.291726
0,33,f_big2_r,-7.408716,34.350955,37.897660
0,34,f_big3_r,-9.629587,37.843868,39.798310
0,35,f_main1_r,-4.494998,39.590478,46.781538
0,36,f_main2_r,-7.692836,41.686314,49.736167
0,37,f_main3_r,-8.992389,37.346286,49.104666
0,38,f_pointer1_r,-6.976339,39.668277,42.088638
0,39,f_pointer2_r,-9.337845,43.043715,44.022370
0,40,f_pointer3_r,-11.138398,45.638910,45.479436
0,41,scapular_r,25.646631,57.445172,11.412445
0,42,chest_r,25.235454,32.059292,16.796398
0,43,zero_joint_pelvis_l,0.000005,0.000012,-0.000006
0,44,thigh_l,-6.824899,2.264356,5.754112
0,45,calf_l,-43.274208,-29.026960,15.725588
0,46,foot_l,-76.882680,-51.108295,7.114496
0,47,toe_l,-79.575749,-60.308310,25.424952
0,48,back_l,-13.227630,1.086387,-3.371237
0,51,zero_joint_pelvis_r,-0.000099,-0.000280,-0.000008
0,52,thigh_r,8.097460,-2.755995,-3.413557
0,53,calf_r,44.474677,-17.200987,26.169702
0,54,foot_r,30.758714,-50.354005,6.069568
0,55,toe_r,45.977575,-60.378927,15.819077
0,56,back_r,2.231511,-4.114076,-12.869054
0,57,biceps_twist_l,-0.930788,42.625603,38.828052
0,58,biceps_twist_r,26.254274,42.459017,20.727998
0,59,thigh_twist_l,-20.371398,-9.365332,9.460209
0,60,thigh_twist_r,21.617341,-8.124208,7.581330
1,0,pelvis,0.351562,0.468750,-0.093750
1,1,stomach,4.941955,10.210930,2.295120
1,2,chest,8.985029,27.425562,4.006096
1,3,neck,9.758694,55.202643,12.833448
1,4,head,10.694017,65.065914,22.300057
1,5,hair,10.763736,79.664810,27.270126
1,7,zero_joint_hand_l,8.985029,27.425544,4.006094
1,8,clavicle_l,8.294382,50.562681,13.370432
1,9,arm_l,-5.201015,47.691768,25.647517
1,10,forearm_l,3.537494,38.448486,51.656816
1,11,forearm_twist_l,3.966402,49.883964,48.258319
1,12,hand_l,4.421849,62.022438,44.649103
1,13,weapon_l,-1.840856,71.515450,39.470676
