frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.321257,10.877283,1.808307
0,2,chest,1.376893,28.593988,2.066640
0,3,neck,-5.273165,56.831137,4.986754
0,4,head,-8.766060,69.822368,7.595054
0,5,hair,-6.369438,85.041866,8.271306
0,7,zero_joint_hand_l,1.376499,28.595647,2.069653
0,8,clavicle_l,-6.475166,52.234411,3.817529
0,9,arm_l,-19.625371,46.461479,-7.819386
0,10,forearm_l,-27.721396,20.976886,3.283467
0,11,forearm_twist_l,-30.012537,19.566842,14.905856
0,12,hand_l,-32.456036,18.073850,27.241933
0,13,weapon_l,-38.331217,13.789437,33.021111
0,14,f_big1_l,-37.470862,19.794925,30.592236
0,15,f_big2_l,-39.620764,19.585968,34.121019
0,16,f_big3_l,-39.480615,15.897764,37.014055
0,17,f_main1_l,-39.845511,10.364382,30.982720
0,18,f_main2_l,-37.929985,12.179390,34.904069
0,19,f_main3_l,-35.456073,15.611827,33.564355
0,20,f_pointer1_l,-43.228949,14.429905,31.338967
0,21,f_pointer2_l,-42.150582,14.129950,35.778230
0,22,f_pointer3_l,-39.863949,16.700530,35.264477
0,23,scapular_l,-18.888590,54.251217,-6.034308
0,24,chest_l,-18.566320,32.364615,8.980498
0,25,zero_joint_hand_r,1.378347,28.594012,2.068023
0,26,clavicle_r,-3.519516,52.622328,6.772435
0,27,arm_r,9.154906,50.994911,20.106799
0,28,forearm_r,3.114573,22.954995,24.051536
0,29,forearm_twist_r,-5.951805,15.486556,26.179241
0,30,hand_r,-15.559980,7.566859,28.446860
0,31,weapon_r,-38.299635,13.779215,33.051424
0,32,f_big1_r,-21.419718,9.072452,28.171633
0,33,f_big2_r,-24.893641,8.955751,26.384157
0,34,f_big3_r,-26.329679,5.722406,23.993906
0,35,f_main1_r,-23.720230,-0.391672,29.271818
0,36,f_main2_r,-24.101339,1.421185,24.656137
0,37,f_main3_r,-21.021014,5.058112,24.655094
0,38,f_pointer1_r,-26.683069,3.804457,30.615541
0,39,f_pointer2_r,-28.037144,3.389101,26.393448
0,40,f_pointer3_r,-25.830197,5.887105,25.576042
0,41,scapular_r,4.856115,57.716816,19.386521
0,42,chest_r,-6.162657,33.996852,21.397366
0,43,zero_joint_pelvis_l,0.000646,0.001500,0.003053
0,44,thigh_l,-8.346366,1.177758,-3.706755
0,45,calf_l,-42.453275,-31.168922,10.348136
0,46,foot_l,-47.136118,-68.537969,-6.171274
0,47,toe_l,-59.570510,-78.634453,6.890604
0,48,back_l,-3.550190,-3.268612,-12.811536
0,51,zero_joint_pelvis_r,0.001632,-0.000522,0.001073
0,52,thigh_r,6.929952,-0.890342,6.003244
0,53,calf_r,25.866046,-38.456799,31.248334
0,54,foot_r,27.585425,-68.569933,3.292860
0,55,toe_r,34.793759,-78.634473,19.843107
0,56,back_r,12.275920,-5.411152,-2.752593
0,57,biceps_twist_l,-23.516425,34.222599,-2.485222
0,58,biceps_twist_r,6.255624,37.526756,22.000674
0,59,thigh_twist_l,-20.821635,-11.213895,1.043716
0,60,thigh_twist_r,13.979762,-15.186696,14.848350
1,0,pelvis,1.015625,-2.625000,-0.835938
1,1,stomach,1.544100,8.205289,1.149439
1,2,chest,3.225356,25.814237,2.416969
1,3,neck,-3.135263,53.736278,7.809386
1,4,head,-6.159458,66.484092,11.717018
1,5,hair,-4.301135,81.756090,12.787976
1,7,zero_joint_hand_l,3.225080,25.815652,2.420116
1,8,clavicle_l,-4.405715,49.250932,6.327105
1,9,arm_l,-18.629303,42.782350,-3.548083
1,10,forearm_l,-25.379515,15.579912,3.714521
1,11,forearm_twist_l,-25.780496,15.296726,15.634106
1,12,hand_l,-26.219457,15.000305,28.287089
1,13,weapon_l,-31.157133,10.710809,34.372029
1,14,f_big1_l,-31.026549,16.457108,32.068987
1,15,f_big2_l,-32.821547,16.213879,35.762376
1,16,f_big3_l,-32.128008,12.650506,38.718552
1,17,f_main1_l,-32.635210,6.886288,32.914070
1,18,f_main2_l,-30.510887,8.966781,36.593228
1,19,f_main3_l,-28.421950,12.514823,34.936600
1,20,f_pointer1_l,-36.269725,10.700352,33.480558
1,21,f_pointer2_l,-34.760729,10.615242,37.797949
1,22,f_pointer3_l,-32.742095,13.334155,37.010830
1,23,scapular_l,-18.103410,50.585906,-1.781901
1,24,chest_l,-16.432288,29.089185,10.329147
1,25,zero_joint_hand_r,3.226858,25.814145,2.418295
1,26,clavicle_r,-1.344899,49.392664,9.190034
1,27,arm_r,12.688251,47.968225,21.112132
1,28,forearm_r,12.234344,19.103456,23.326298
1,29,forearm_twist_r,2.489000,12.755603,25.981576
1,30,hand_r,-7.851503,6.014467,28.811701
1,31,weapon_r,-31.122470,10.701226,34.413401
1,32,f_big1_r,-13.820831,7.142073,28.810200
1,33,f_big2_r,-17.370151,6.766699,27.207612
1,34,f_big3_r,-18.688529,3.364940,24.926456
1,35,f_main1_r,-15.422161,-2.426504,30.166893
1,36,f_main2_r,-16.149749,-0.719951,25.548085
1,37,f_main3_r,-13.332334,3.118621,25.343383
1,38,f_pointer1_r,-18.591913,1.582602,31.596217
1,39,f_pointer2_r,-20.121813,1.004023,27.449946
1,40,f_pointer3_r,-18.134804,3.632130,26.488892
1,41,scapular_r,8.068919,54.513418,21.038123
1,42,chest_r,-3.580039,29.685192,22.377305
1,43,zero_joint_pelvis_l,1.016443,-2.623563,-0.832896
1,44,thigh_l,-7.494930,-1.292915,-4.088601
1,45,calf_l,-42.682102,-31.384944,12.142901
1,46,foot_l,-47.368865,-68.241250,-5.489813
1,47,toe_l,-59.603890,-78.540632,7.601886
1,48,back_l,-3.220763,-5.620081,-13.505019
1,51,zero_joint_pelvis_r,1.017304,-2.625557,-0.834960
1,52,thigh_r,8.235294,-3.688908,4.785309
1,53,calf_r,28.351595,-38.976242,32.303800
1,54,foot_r,27.715044,-68.395236,3.574316
1,55,toe_r,34.724095,-78.415427,20.236690
1,56,back_r,13.076022,-8.103166,-4.313302
1,57,biceps_twist_l,-21.873809,29.718164,-0.057524
1,58,biceps_twist_r,12.472230,34.096515,22.175211
1,59,thigh_twist_l,-20.422869,-12.877565,1.477882
1,60,thigh_twist_r,15.712299,-17.179069,14.502891
2,0,pelvis,3.250000,-8.937500,-2.769531
2,1,stomach,4.222275,1.793388,-0.478958
2,2,chest,6.742008,18.910986,3.341131
2,3,neck,1.178097,45.202268,14.569535
2,4,head,-0.576445,56.806443,21.552652
2,5,hair,0.591482,72.061953,23.486462
2,7,zero_joint_hand_l,6.742062,18.911772,3.344503
2,8,clavicle_l,-0.263179,41.079367,12.409558
2,9,arm_l,-16.434005,33.618186,7.517721
2,10,forearm_l,-23.174868,5.474542,8.815624
2,11,forearm_twist_l,-17.863905,6.313598,19.473654
2,12,hand_l,-12.243236,7.207075,30.778099
2,13,weapon_l,-14.461085,3.124471,37.923769
2,14,f_big1_l,-16.276741,8.135080,35.571724
2,15,f_big2_l,-17.075439,8.117732,39.554907
2,16,f_big3_l,-14.788756,5.385782,42.567384
2,17,f_main1_l,-15.032821,-1.283667,37.787255
2,18,f_main2_l,-12.764885,1.825663,40.537875
2,19,f_main3_l,-12.085141,5.409188,38.009455
2,20,f_pointer1_l,-19.324897,1.612568,38.885424
2,21,f_pointer2_l,-16.877893,2.587215,42.625274
2,22,f_pointer3_l,-15.913696,5.542817,41.069102
2,23,scapular_l,-16.082235,41.154149,10.192164
2,24,chest_l,-11.988963,20.386008,13.671952
2,25,zero_joint_hand_r,6.743635,18.910661,3.342258
2,26,clavicle_r,3.065689,40.696625,14.908168
2,27,arm_r,19.824113,40.630756,22.632722
2,28,forearm_r,28.972367,13.419304,18.873758
2,29,forearm_twist_r,19.784750,7.980385,24.213213
2,30,hand_r,10.051527,2.210346,29.883463
2,31,weapon_r,-14.431862,3.116421,37.941974
2,32,f_big1_r,3.965401,2.350766,30.559502
2,33,f_big2_r,0.360249,1.294502,29.426297
2,34,f_big3_r,-0.541079,-2.504430,27.405319
2,35,f_main1_r,4.233594,-7.243187,32.450246
2,36,f_main2_r,2.707081,-5.932176,27.897642
2,37,f_main3_r,4.738927,-1.690357,27.234189
2,38,f_pointer1_r,0.572675,-3.780290,34.115057
2,39,f_pointer2_r,-1.285354,-4.837313,30.203879
2,40,f_pointer3_r,0.076362,-1.959939,28.926463
2,41,scapular_r,14.591196,46.428504,24.367242
2,42,chest_r,2.019904,18.825332,24.255411
2,43,zero_joint_pelvis_l,3.251202,-8.936191,-2.766560
2,44,thigh_l,-5.558149,-7.350348,-4.932540
2,45,calf_l,-42.411017,-32.039907,16.029824
2,46,foot_l,-47.873528,-67.650283,-3.802668
2,47,toe_l,-59.653435,-78.455586,9.298666
2,48,back_l,-2.521357,-11.388968,-14.939365
2,51,zero_joint_pelvis_r,3.251772,-8.938119,-2.768782
2,52,thigh_r,11.058180,-10.319637,1.902907
2,53,calf_r,34.045776,-39.825521,33.653533
2,54,foot_r,28.102655,-68.035360,4.325220
2,55,toe_r,34.551261,-78.056515,21.211831
2,56,back_r,14.701275,-14.464131,-7.856790
2,57,biceps_twist_l,-19.672698,20.100837,8.144851
2,58,biceps_twist_r,24.219725,27.561815,20.825739
2,59,thigh_twist_l,-19.188149,-16.955149,2.397075
2,60,thigh_twist_r,19.582829,-21.743957,13.266742
3,0,pelvis,5.671875,-16.437500,-4.894531
3,1,stomach,6.945929,-5.871059,-2.023419
3,2,chest,9.185115,10.230615,5.063922
3,3,neck,4.609607,33.101160,22.533293
3,4,head,4.046980,42.846706,32.105649
3,5,hair,5.554607,57.898852,35.104679
3,7,zero_joint_hand_l,9.185691,10.230670,5.067336
3,8,clavicle_l,2.986824,29.428381,19.752446
3,9,arm_l,-13.819656,21.890889,21.102822
3,10,forearm_l,-19.183386,-6.309296,24.997491
3,11,forearm_twist_l,-8.400721,-4.761384,29.880321
3,12,hand_l,3.039695,-3.113651,35.074387
3,13,weapon_l,4.396671,-6.147231,43.026173
3,14,f_big1_l,0.104892,-2.787172,40.745240
3,15,f_big2_l,0.186909,-2.277808,44.694613
3,16,f_big3_l,3.983603,-3.167251,47.197570
3,17,f_main1_l,5.700538,-10.319213,43.499397
3,18,f_main2_l,6.930545,-6.063386,45.158422
3,19,f_main3_l,5.535379,-3.132311,42.132066
3,20,f_pointer1_l,0.922939,-9.153425,45.432191
3,21,f_pointer2_l,3.481175,-6.550211,48.189557
3,22,f_pointer3_l,2.709000,-3.847705,46.146625
3,23,scapular_l,-12.085033,28.667804,24.989392
3,24,chest_l,-7.652659,8.174073,18.179212
3,25,zero_joint_hand_r,9.186915,10.230172,5.064690
3,26,clavicle_r,6.685355,28.769021,21.580116
3,27,arm_r,24.831549,31.401801,23.654226
3,28,forearm_r,42.315123,10.304361,14.299755
3,29,forearm_twist_r,36.545157,4.063867,22.671207
3,30,hand_r,30.430456,-2.561630,31.564561
3,31,weapon_r,4.413979,-6.137756,43.044393
3,32,f_big1_r,24.504587,-3.516170,33.108482
3,33,f_big2_r,21.049469,-5.347899,32.589006
3,34,f_big3_r,20.781808,-9.538844,30.866353
3,35,f_main1_r,26.989955,-12.653309,35.456724
3,36,f_main2_r,24.648531,-12.018781,31.110406
3,37,f_main3_r,25.623216,-7.535361,29.962203
3,38,f_pointer1_r,22.924477,-9.893550,37.463046
3,39,f_pointer2_r,20.833004,-11.600755,33.916492
3,40,f_pointer3_r,21.377095,-8.615919,32.320687
3,41,scapular_r,19.600530,35.894447,27.711381
3,42,chest_r,7.938882,5.380592,25.911869
3,43,zero_joint_pelvis_l,5.673419,-16.436387,-4.891639
3,44,thigh_l,-3.322657,-14.748690,-5.909487
3,45,calf_l,-40.857570,-32.919881,19.937505
3,46,foot_l,-48.291600,-67.082118,-1.717572
3,47,toe_l,-59.603089,-78.435909,11.332615
3,48,back_l,-1.482470,-18.097645,-16.447989
3,51,zero_joint_pelvis_r,5.673719,-16.438161,-4.894035
3,52,thigh_r,13.970987,-18.101433,-1.260186
3,53,calf_r,39.951560,-40.367179,33.901943
3,54,foot_r,28.789315,-67.686093,5.260246
3,55,toe_r,34.389379,-77.734739,22.430851
3,56,back_r,16.433894,-21.569325,-11.632399
3,57,biceps_twist_l,-16.392860,8.353774,22.976035
3,58,biceps_twist_r,33.229546,21.269999,19.159337
3,59,thigh_twist_l,-17.314990,-21.955842,3.256970
3,60,thigh_twist_r,23.601397,-26.909762,11.467344
4,0,pelvis,7.125000,-23.218750,-6.542969
4,1,stomach,8.138981,-12.994435,-2.527534
4,2,chest,8.873248,1.757308,7.316735
4,3,neck,4.335577,21.010027,28.737036
4,4,head,3.562080,29.444745,39.508891
4,5,hair,5.915757,44.184616,43.385826
4,7,zero_joint_hand_l,8.874300,1.756936,7.320012
4,8,clavicle_l,2.744861,17.600847,25.618374
4,9,arm_l,-13.194029,10.350564,31.539337
4,10,forearm_l,-9.555204,-17.377769,39.034801
4,11,forearm_twist_l,2.118348,-15.073893,39.996193
4,12,hand_l,14.507824,-12.622268,41.029099
4,13,weapon_l,18.613743,-14.685872,48.876289
4,14,f_big1_l,12.591999,-12.889513,47.193989
4,15,f_big2_l,13.056136,-12.177515,50.989569
4,16,f_big3_l,17.227734,-11.567170,52.784599
4,17,f_main1_l,20.781669,-17.994556,48.973908
4,18,f_main2_l,20.742865,-13.475611,50.372108
4,19,f_main3_l,18.050811,-11.354503,47.552506
4,20,f_pointer1_l,16.271154,-18.362363,51.679208
4,21,f_pointer2_l,18.253440,-14.892082,53.904573
4,22,f_pointer3_l,16.272427,-12.731708,52.045906
4,23,scapular_l,-10.060782,16.792193,35.132872
4,24,chest_l,-5.561468,-4.423658,21.917607
4,25,zero_joint_hand_r,8.875177,1.757000,7.317189
4,26,clavicle_r,6.728040,17.182633,26.834580
4,27,arm_r,24.392586,22.276630,25.071133
4,28,forearm_r,49.372135,10.286955,16.671533
4,29,forearm_twist_r,47.432309,1.975029,25.006185
4,30,hand_r,45.382336,-6.844096,33.860516
4,31,weapon_r,18.635828,-14.684670,48.884783
4,32,f_big1_r,39.785498,-8.505067,36.194436
4,33,f_big2_r,36.577229,-10.852963,36.218764
4,34,f_big3_r,36.859463,-15.289874,34.638906
4,35,f_main1_r,43.880588,-17.007533,38.581556
4,36,f_main2_r,40.971013,-16.940414,34.543546
4,37,f_main3_r,41.077148,-12.466446,33.141892
4,38,f_pointer1_r,39.699291,-14.797643,40.998497
4,39,f_pointer2_r,37.481464,-16.981998,37.802959
