frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.530822,11.018449,0.022290
0,2,chest,1.585121,28.732858,-0.366168
0,3,neck,-7.775156,55.613341,5.951407
0,4,head,-15.278765,65.153302,12.312274
0,5,hair,-13.365155,80.408680,13.514675
0,7,zero_joint_hand_l,1.583820,28.734064,-0.363960
0,8,clavicle_l,-8.606759,50.866990,5.093767
0,9,arm_l,-22.219827,43.691826,-5.118781
0,10,forearm_l,-31.905116,21.162292,-20.510295
0,11,forearm_twist_l,-42.067491,14.899269,-20.442330
0,12,hand_l,-52.861047,8.260656,-20.375688
0,13,weapon_l,-60.588633,3.860758,-17.721939
0,14,f_big1_l,-57.368918,9.486033,-16.520119
0,15,f_big2_l,-59.786765,8.410528,-13.640968
0,16,f_big3_l,-61.232259,4.446324,-12.989533
0,17,f_main1_l,-62.892341,2.840916,-21.160955
0,18,f_main2_l,-60.950601,1.405966,-16.812787
0,19,f_main3_l,-57.068162,4.139062,-16.397670
0,20,f_pointer1_l,-64.572824,7.069397,-18.428365
0,21,f_pointer2_l,-64.359195,4.169986,-15.055005
0,22,f_pointer3_l,-61.315811,5.534178,-14.245486
0,23,scapular_l,-22.017176,51.547869,-3.561762
0,24,chest_l,-14.801388,29.420881,13.436679
0,25,zero_joint_hand_r,1.586949,28.733148,-0.365401
0,26,clavicle_r,-4.871618,51.763897,6.800352
0,27,arm_r,12.877920,52.984395,11.756057
0,28,forearm_r,40.360441,44.250563,14.347333
0,29,forearm_twist_r,35.264545,39.905064,24.229256
0,30,hand_r,29.860173,35.300580,34.725348
0,31,weapon_r,24.554103,31.132847,41.092693
0,32,f_big1_r,23.731395,34.102779,35.338179
0,33,f_big2_r,20.722263,31.483828,36.435542
0,34,f_big3_r,21.276755,28.130555,39.672602
0,35,f_main1_r,25.408764,32.944098,44.857611
0,36,f_main2_r,24.846243,28.965938,42.353173
0,37,f_main3_r,26.024302,29.978972,38.191767
0,38,f_pointer1_r,20.791677,34.389041,42.688267
0,39,f_pointer2_r,20.193828,29.852312,42.450825
0,40,f_pointer3_r,21.263977,30.016019,39.142925
0,41,scapular_r,8.514655,59.601502,10.614317
0,42,chest_r,0.849682,33.185327,20.587856
0,43,zero_joint_pelvis_l,0.001372,0.001928,0.002523
0,44,thigh_l,-9.041568,0.747601,-1.573596
0,45,calf_l,-46.412305,-26.024603,15.567175
0,46,foot_l,-47.794150,-60.521601,-6.778143
0,47,toe_l,-60.186596,-70.620580,6.321614
0,48,back_l,-6.643636,-5.090978,-10.827631
0,51,zero_joint_pelvis_r,0.001861,-0.000381,0.000683
0,52,thigh_r,8.255535,-0.097641,4.085641
0,53,calf_r,29.548624,-34.308970,32.073465
0,54,foot_r,45.083866,-60.544887,4.476390
0,55,toe_r,48.205817,-70.616491,22.252271
0,56,back_r,11.277691,-5.969075,-4.973862
0,57,biceps_twist_l,-26.871933,32.863674,-12.515414
0,58,biceps_twist_r,26.085476,48.788329,13.002913
0,59,thigh_twist_l,-22.825233,-9.617982,4.332848
0,60,thigh_twist_r,16.386385,-13.086200,13.960258
1,0,pelvis,-0.738281,0.500000,-0.019531
1,1,stomach,-0.459396,11.527484,0.053200
1,2,chest,0.199612,29.261398,-0.316597
1,3,neck,-9.688426,55.974118,5.907888
1,4,head,-17.237713,65.532667,12.186266
1,5,hair,-15.408892,80.799051,13.380909
1,7,zero_joint_hand_l,0.198273,29.262583,-0.314401
1,8,clavicle_l,-10.428351,51.213101,5.047565
1,9,arm_l,-23.856496,43.768208,-5.216607
1,10,forearm_l,-31.659730,20.978031,-21.279011
1,11,forearm_twist_l,-41.888890,14.859045,-20.626142
1,12,hand_l,-52.753437,8.373260,-19.938626
1,13,weapon_l,-60.384666,3.917338,-17.167199
1,14,f_big1_l,-57.211776,9.563938,-16.019791
1,15,f_big2_l,-59.575833,8.472852,-13.102096
1,16,f_big3_l,-60.975411,4.497272,-12.420519
1,17,f_main1_l,-62.746301,2.862318,-20.560016
1,18,f_main2_l,-60.727264,1.455894,-16.242308
1,19,f_main3_l,-56.866982,4.222555,-15.892834
1,20,f_pointer1_l,-64.423023,7.081404,-17.810759
1,21,f_pointer2_l,-64.131215,4.191705,-14.434923
1,22,f_pointer3_l,-61.088452,5.585517,-13.675049
1,23,scapular_l,-23.804533,51.631608,-3.664366
1,24,chest_l,-16.302449,29.664920,13.359250
1,25,zero_joint_hand_r,0.201428,29.261722,-0.315817
1,26,clavicle_r,-6.723112,52.177792,6.782134
1,27,arm_r,10.966386,53.710411,11.864205
1,28,forearm_r,38.473386,45.004592,14.284359
1,29,forearm_twist_r,33.849116,40.146145,24.159356
1,30,hand_r,28.945354,34.997087,34.648244
1,31,weapon_r,23.591100,30.778411,40.813573
1,32,f_big1_r,22.806148,33.811873,35.138688
1,33,f_big2_r,19.772678,31.187577,36.137097
1,34,f_big3_r,20.260743,27.776747,39.318583
1,35,f_main1_r,24.312383,32.473345,44.666777
1,36,f_main2_r,23.777737,28.547044,42.083032
1,37,f_main3_r,25.029260,29.630983,37.961122
1,38,f_pointer1_r,19.745501,33.977035,42.434147
1,39,f_pointer2_r,19.135652,29.451664,42.103948
1,40,f_pointer3_r,20.260797,29.671352,38.819681
1,41,scapular_r,6.494649,60.249571,10.694037
1,42,chest_r,-0.776789,33.713398,20.627681
1,43,zero_joint_pelvis_l,-0.736970,0.501948,-0.016991
1,44,thigh_l,-9.784312,1.048100,-1.648631
1,45,calf_l,-46.893158,-26.035972,15.570993
1,46,foot_l,-47.778317,-60.541791,-6.785899
1,47,toe_l,-60.169571,-70.641984,6.314049
1,48,back_l,-7.194508,-4.693375,-10.911709
1,51,zero_joint_pelvis_r,-0.736416,0.499659,-0.018838
1,52,thigh_r,7.491023,0.572671,4.119203
1,53,calf_r,28.848860,-33.860225,31.784116
1,54,foot_r,45.148055,-59.885636,4.429412
1,55,toe_r,48.772289,-70.467022,21.809427
1,56,back_r,10.704381,-5.188271,-4.945434
1,57,biceps_twist_l,-27.602023,32.821125,-12.931281
1,58,biceps_twist_r,24.178267,49.530090,13.028218
1,59,thigh_twist_l,-23.466681,-9.433376,4.288680
1,60,thigh_twist_r,15.647018,-12.476865,13.863007
2,0,pelvis,-2.302734,1.875000,-0.066406
2,1,stomach,-2.514572,12.902192,0.144851
2,2,chest,-2.617062,30.649022,-0.174962
2,3,neck,-13.454479,57.049233,5.797151
2,4,head,-21.011544,66.753813,11.837642
2,5,hair,-19.433027,82.050814,12.997083
2,7,zero_joint_hand_l,-2.618482,30.650167,-0.172796
2,8,clavicle_l,-14.028583,52.266510,4.930572
2,9,arm_l,-27.102217,44.384977,-5.464440
2,10,forearm_l,-31.391308,21.288012,-22.388310
