frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-0.569288,11.003085,-0.544531
0,2,chest,-0.332774,28.679370,1.054140
0,3,neck,1.471699,57.481183,5.211830
0,4,head,-1.907841,70.423871,2.132215
0,5,hair,-1.342093,85.640488,4.575317
0,7,zero_joint_hand_l,-0.332761,28.679343,1.054162
0,8,clavicle_l,2.531632,53.462002,2.681599
0,9,arm_l,17.609877,51.971414,-7.878675
0,10,forearm_l,10.485948,32.088220,-27.682506
0,11,forearm_twist_l,5.282734,25.394630,-36.086454
0,12,hand_l,-0.238257,18.290221,-44.987395
0,13,weapon_l,-0.546245,10.002028,-48.727193
0,14,f_big1_l,-4.129522,14.083898,-42.444077
0,15,f_big2_l,-5.387850,10.189982,-41.838575
0,16,f_big3_l,-6.350128,6.271862,-44.225138
0,17,f_main1_l,-4.593849,9.914176,-51.227534
0,18,f_main2_l,-3.466838,5.950508,-48.910483
0,19,f_main3_l,-3.963122,9.552088,-46.364431
0,20,f_pointer1_l,-8.333436,9.661963,-47.480404
0,21,f_pointer2_l,-8.370774,5.273776,-48.785776
0,22,f_pointer3_l,-6.122567,4.522613,-46.242030
0,23,scapular_l,16.423583,56.264720,-7.828339
0,24,chest_l,-0.635599,40.299729,-16.961271
0,25,zero_joint_hand_r,-0.332770,28.679193,1.054141
0,26,clavicle_r,-1.124612,53.407251,4.754310
0,27,arm_r,-16.648455,48.613983,13.569468
0,28,forearm_r,-28.500705,33.538255,-8.122236
0,29,forearm_twist_r,-21.566747,36.328295,-17.430288
0,30,hand_r,-14.222652,39.297746,-27.300818
0,31,weapon_r,-8.921154,36.674358,-30.075911
0,32,f_big1_r,-8.875782,41.774084,-25.922330
0,33,f_big2_r,-4.995389,41.670231,-25.445130
0,34,f_big3_r,-1.468637,40.280510,-27.401745
0,35,f_main1_r,-5.813697,39.790017,-35.022129
0,36,f_main2_r,-3.128855,36.176543,-32.923065
0,37,f_main3_r,-4.677376,37.605303,-28.651426
0,38,f_pointer1_r,-4.077310,43.648356,-31.821074
0,39,f_pointer2_r,-1.050755,41.632734,-34.385607
0,40,f_pointer3_r,1.137671,39.521279,-32.802174
0,41,scapular_r,-13.445123,55.880700,14.627319
0,42,chest_r,-15.968395,40.003487,-8.271550
0,43,zero_joint_pelvis_l,-0.000013,0.000002,0.000041
0,44,thigh_l,7.419605,0.423806,-5.439479
0,45,calf_l,20.824597,-47.062513,-5.037701
0,46,foot_l,32.053943,-86.850631,-4.701410
0,47,toe_l,30.415055,-96.557461,-22.854513
0,48,back_l,12.483955,-4.638929,3.185417
0,51,zero_joint_pelvis_r,-0.000052,-0.000306,0.000017
0,52,thigh_r,-8.679339,0.012187,3.080069
0,53,calf_r,-20.701778,-47.552308,3.536840
0,54,foot_r,-23.560060,-87.275903,13.790224
0,55,toe_r,-39.715728,-96.668592,4.994013
0,56,back_r,-4.194360,-5.065807,12.011021
0,57,biceps_twist_l,14.188081,42.413003,-17.393361
0,58,biceps_twist_r,-22.342764,41.372329,3.141887
0,59,thigh_twist_l,12.373409,-17.124244,-5.303763
0,60,thigh_twist_r,-13.136595,-17.668112,3.260359
1,0,pelvis,0.000000,0.000000,0.000000
1,1,stomach,-0.569288,11.003085,-0.544531
1,2,chest,-0.332774,28.679370,1.054140
1,3,neck,1.471699,57.481183,5.211830
1,4,head,-1.907841,70.423871,2.132215
1,5,hair,-1.342093,85.640488,4.575317
1,7,zero_joint_hand_l,-0.332761,28.679343,1.054162
1,8,clavicle_l,2.531632,53.462002,2.681599
1,9,arm_l,17.609877,51.971414,-7.878675
1,10,forearm_l,10.485948,32.088220,-27.682506
1,11,forearm_twist_l,5.282734,25.394630,-36.086454
1,12,hand_l,-0.238257,18.290221,-44.987395
1,13,weapon_l,-0.546245,10.002028,-48.727193
1,14,f_big1_l,-4.129522,14.083898,-42.444077
1,15,f_big2_l,-5.387850,10.189982,-41.838575
1,16,f_big3_l,-6.350128,6.271862,-44.225138
1,17,f_main1_l,-4.593849,9.914176,-51.227534
1,18,f_main2_l,-3.466838,5.950508,-48.910483
1,19,f_main3_l,-3.963122,9.552088,-46.364431
1,20,f_pointer1_l,-8.333436,9.661963,-47.480404
1,21,f_pointer2_l,-8.370774,5.273776,-48.785776
1,22,f_pointer3_l,-6.122567,4.522613,-46.242030
1,23,scapular_l,16.423583,56.264720,-7.828339
1,24,chest_l,-0.635599,40.299729,-16.961271
1,25,zero_joint_hand_r,-0.332770,28.679193,1.054141
1,26,clavicle_r,-1.124612,53.407251,4.754310
1,27,arm_r,-16.648455,48.613983,13.569468
1,28,forearm_r,-28.500705,33.538255,-8.122236
1,29,forearm_twist_r,-21.566747,36.328295,-17.430288
1,30,hand_r,-14.222652,39.297746,-27.300818
1,31,weapon_r,-8.921154,36.674358,-30.075911
1,32,f_big1_r,-8.875782,41.774084,-25.922330
1,33,f_big2_r,-4.995389,41.670231,-25.445130
1,34,f_big3_r,-1.468637,40.280510,-27.401745
