frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-0.408445,10.997920,-0.753261
0,2,chest,2.163580,28.387923,1.813820
0,3,neck,9.759526,56.498042,0.327307
0,4,head,6.467241,69.643659,-1.704750
0,5,hair,6.319443,85.050839,-2.361416
0,7,zero_joint_hand_l,2.161547,28.390480,1.812716
0,8,clavicle_l,10.061813,51.878286,-1.256834
0,9,arm_l,27.127730,45.088837,-3.193994
0,10,forearm_l,47.733625,24.977046,-0.161434
0,11,forearm_twist_l,39.666192,17.440284,-4.660864
0,12,hand_l,31.086196,9.419690,-9.459450
0,13,weapon_l,11.462048,85.548757,11.668546
0,14,f_big1_l,25.837589,10.968940,-6.546699
0,15,f_big2_l,24.194346,9.935016,-2.960354
0,16,f_big3_l,22.796981,6.720721,-0.051599
0,17,f_main1_l,20.954447,8.358450,-14.752123
0,18,f_main2_l,16.957345,5.736642,-15.457690
0,19,f_main3_l,12.991975,3.358725,-16.297642
0,20,f_pointer1_l,19.407859,11.603224,-10.845441
0,21,f_pointer2_l,15.543513,10.911182,-13.147076
0,22,f_pointer3_l,12.655166,10.036221,-14.872873
0,23,scapular_l,25.858292,52.997266,-3.296423
0,24,chest_l,5.191003,35.744701,-18.083892
0,25,zero_joint_hand_r,2.161795,28.388272,1.814658
0,26,clavicle_r,6.375907,52.961147,0.443785
0,27,arm_r,-8.718693,52.392473,11.070373
0,28,forearm_r,-24.770169,30.199882,20.457730
0,29,forearm_twist_r,-29.970574,38.444013,13.579681
0,30,hand_r,-35.497271,47.215602,6.279724
0,31,weapon_r,11.472360,85.557786,11.637507
0,32,f_big1_r,-30.900411,50.935421,4.988790
0,33,f_big2_r,-28.119094,51.564640,2.315751
0,34,f_big3_r,-28.015322,54.843523,-0.398431
0,35,f_main1_r,-37.477203,58.917459,3.321922
0,36,f_main2_r,-35.105361,58.150333,-1.480464
0,37,f_main3_r,-34.093730,53.575019,-2.284803
0,38,f_pointer1_r,-32.273415,58.629643,4.824581
0,39,f_pointer2_r,-31.305904,58.570767,0.494062
0,40,f_pointer3_r,-30.641083,55.884534,-1.529317
0,41,scapular_r,-5.734466,59.405587,8.610456
0,42,chest_r,-10.277927,40.292118,-10.961597
0,43,zero_joint_pelvis_l,-0.002496,0.001789,-0.001575
0,44,thigh_l,8.495315,0.383602,-3.530611
0,45,calf_l,23.121959,-46.394993,-5.756175
0,46,foot_l,35.256093,-85.525296,-2.171788
0,47,toe_l,41.228747,-96.838439,-18.404654
0,48,back_l,11.365067,-4.601970,6.085893
0,51,zero_joint_pelvis_r,-0.001946,-0.000340,0.000449
0,52,thigh_r,-9.163973,0.032757,0.936446
0,53,calf_r,-21.672230,-47.016719,7.020787
0,54,foot_r,-32.155921,-86.454908,12.118544
0,55,toe_r,-44.138239,-96.829125,-1.146650
0,56,back_r,-6.920348,-4.968993,10.715697
0,57,biceps_twist_l,37.024771,35.428883,-1.738773
0,58,biceps_twist_r,-16.427625,41.732972,15.579388
0,59,thigh_twist_l,13.972811,-17.002543,-3.728562
0,60,thigh_twist_r,-13.620264,-17.394761,3.795401
1,0,pelvis,0.000000,0.000000,0.000000
1,1,stomach,-0.408445,10.997920,-0.753261
1,2,chest,2.163580,28.387923,1.813820
1,3,neck,9.759526,56.498042,0.327307
1,4,head,6.467241,69.643659,-1.704750
1,5,hair,6.319443,85.050839,-2.361416
1,7,zero_joint_hand_l,2.161547,28.390480,1.812716
1,8,clavicle_l,10.061813,51.878286,-1.256834
1,9,arm_l,27.127730,45.088837,-3.193994
1,10,forearm_l,47.733625,24.977046,-0.161434
1,11,forearm_twist_l,39.666192,17.440284,-4.660864
1,12,hand_l,31.086196,9.419690,-9.459450
1,13,weapon_l,11.462048,85.548757,11.668546
1,14,f_big1_l,25.837589,10.968940,-6.546699
1,15,f_big2_l,24.194346,9.935016,-2.960354
1,16,f_big3_l,22.796981,6.720721,-0.051599
1,17,f_main1_l,20.954447,8.358450,-14.752123
1,18,f_main2_l,16.957345,5.736642,-15.457690
1,19,f_main3_l,12.991975,3.358725,-16.297642
1,20,f_pointer1_l,19.407859,11.603224,-10.845441
1,21,f_pointer2_l,15.543513,10.911182,-13.147076
1,22,f_pointer3_l,12.655166,10.036221,-14.872873
1,23,scapular_l,25.858292,52.997266,-3.296423
1,24,chest_l,5.191003,35.744701,-18.083892
1,25,zero_joint_hand_r,2.161795,28.388272,1.814658
1,26,clavicle_r,6.375907,52.961147,0.443785
1,27,arm_r,-8.718693,52.392473,11.070373
1,28,forearm_r,-24.770169,30.199882,20.457730
1,29,forearm_twist_r,-29.970574,38.444013,13.579681
1,30,hand_r,-35.497271,47.215602,6.279724
1,31,weapon_r,11.472360,85.557786,11.637507
1,32,f_big1_r,-30.900411,50.935421,4.988790
1,33,f_big2_r,-28.119094,51.564640,2.315751
1,34,f_big3_r,-28.015322,54.843523,-0.398431
1,35,f_main1_r,-37.477203,58.917459,3.321922
1,36,f_main2_r,-35.105361,58.150333,-1.480464
1,37,f_main3_r,-34.093730,53.575019,-2.284803
1,38,f_pointer1_r,-32.273415,58.629643,4.824581
1,39,f_pointer2_r,-31.305904,58.570767,0.494062
1,40,f_pointer3_r,-30.641083,55.884534,-1.529317
1,41,scapular_r,-5.734466,59.405587,8.610456
1,42,chest_r,-10.277927,40.292118,-10.961597
1,43,zero_joint_pelvis_l,-0.002496,0.001789,-0.001575
1,44,thigh_l,8.495315,0.383602,-3.530611
1,45,calf_l,23.121959,-46.394993,-5.756175
1,46,foot_l,35.256093,-85.525296,-2.171788
1,47,toe_l,41.228747,-96.838439,-18.404654
1,48,back_l,11.365067,-4.601970,6.085893
1,51,zero_joint_pelvis_r,-0.001946,-0.000340,0.000449
1,52,thigh_r,-9.163973,0.032757,0.936446
1,53,calf_r,-21.672230,-47.016719,7.020787
1,54,foot_r,-32.155921,-86.454908,12.118544
1,55,toe_r,-44.138239,-96.829125,-1.146650
1,56,back_r,-6.920348,-4.968993,10.715697
1,57,biceps_twist_l,37.024771,35.428883,-1.738773
1,58,biceps_twist_r,-16.427625,41.732972,15.579388
1,59,thigh_twist_l,13.972811,-17.002543,-3.728562
1,60,thigh_twist_r,-13.620264,-17.394761,3.795401
2,0,pelvis,0.000000,0.000000,0.000000
2,1,stomach,-0.408445,10.997920,-0.753261
2,2,chest,2.163580,28.387923,1.813820
2,3,neck,9.759526,56.498042,0.327307
2,4,head,6.467241,69.643659,-1.704750
2,5,hair,6.319443,85.050839,-2.361416
2,7,zero_joint_hand_l,2.161547,28.390480,1.812716
2,8,clavicle_l,10.061813,51.878286,-1.256834
2,9,arm_l,27.127730,45.088837,-3.193994
2,10,forearm_l,47.733625,24.977046,-0.161434
2,11,forearm_twist_l,39.666192,17.440284,-4.660864
2,12,hand_l,31.086196,9.419690,-9.459450
2,13,weapon_l,11.462048,85.548757,11.668546
2,14,f_big1_l,25.837589,10.968940,-6.546699
2,15,f_big2_l,24.194346,9.935016,-2.960354
2,16,f_big3_l,22.796981,6.720721,-0.051599
2,17,f_main1_l,20.954447,8.358450,-14.752123
2,18,f_main2_l,16.957345,5.736642,-15.457690
2,19,f_main3_l,12.991975,3.358725,-16.297642
2,20,f_pointer1_l,19.407859,11.603224,-10.845441
2,21,f_pointer2_l,15.543513,10.911182,-13.147076
2,22,f_pointer3_l,12.655166,10.036221,-14.872873
2,23,scapular_l,25.858292,52.997266,-3.296423
2,24,chest_l,5.191003,35.744701,-18.083892
2,25,zero_joint_hand_r,2.161795,28.388272,1.814658
2,26,clavicle_r,6.375907,52.961147,0.443785
2,27,arm_r,-8.718693,52.392473,11.070373
2,28,forearm_r,-24.770169,30.199882,20.457730
2,29,forearm_twist_r,-29.970574,38.444013,13.579681
2,30,hand_r,-35.497271,47.215602,6.279724
2,31,weapon_r,11.472360,85.557786,11.637507
2,32,f_big1_r,-30.900411,50.935421,4.988790
2,33,f_big2_r,-28.119094,51.564640,2.315751
2,34,f_big3_r,-28.015322,54.843523,-0.398431
2,35,f_main1_r,-37.477203,58.917459,3.321922
2,36,f_main2_r,-35.105361,58.150333,-1.480464
2,37,f_main3_r,-34.093730,53.575019,-2.284803
2,38,f_pointer1_r,-32.273415,58.629643,4.824581
2,39,f_pointer2_r,-31.305904,58.570767,0.494062
2,40,f_pointer3_r,-30.641083,55.884534,-1.529317
2,41,scapular_r,-5.734466,59.405587,8.610456
2,42,chest_r,-10.277927,40.292118,-10.961597
2,43,zero_joint_pelvis_l,-0.002496,0.001789,-0.001575
2,44,thigh_l,8.495315,0.383602,-3.530611
2,45,calf_l,23.121959,-46.394993,-5.756175
2,46,foot_l,35.256093,-85.525296,-2.171788
2,47,toe_l,41.228747,-96.838439,-18.404654
2,48,back_l,11.365067,-4.601970,6.085893
2,51,zero_joint_pelvis_r,-0.001946,-0.000340,0.000449
2,52,thigh_r,-9.163973,0.032757,0.936446
2,53,calf_r,-21.672230,-47.016719,7.020787
2,54,foot_r,-32.155921,-86.454908,12.118544
2,55,toe_r,-44.138239,-96.829125,-1.146650
2,56,back_r,-6.920348,-4.968993,10.715697
2,57,biceps_twist_l,37.024771,35.428883,-1.738773
2,58,biceps_twist_r,-16.427625,41.732972,15.579388
2,59,thigh_twist_l,13.972811,-17.002543,-3.728562
2,60,thigh_twist_r,-13.620264,-17.394761,3.795401
3,0,pelvis,0.000000,0.000000,0.000000
3,1,stomach,-0.408445,10.997920,-0.753261
3,2,chest,2.163580,28.387923,1.813820
3,3,neck,9.759526,56.498042,0.327307
3,4,head,6.467241,69.643659,-1.704750
3,5,hair,6.319443,85.050839,-2.361416
3,7,zero_joint_hand_l,2.161547,28.390480,1.812716
3,8,clavicle_l,10.061813,51.878286,-1.256834
3,9,arm_l,27.127730,45.088837,-3.193994
3,10,forearm_l,47.733625,24.977046,-0.161434
3,11,forearm_twist_l,39.666192,17.440284,-4.660864
3,12,hand_l,31.086196,9.419690,-9.459450
3,13,weapon_l,11.462048,85.548757,11.668546
3,14,f_big1_l,25.837589,10.968940,-6.546699
3,15,f_big2_l,24.194346,9.935016,-2.960354
3,16,f_big3_l,22.796981,6.720721,-0.051599
3,17,f_main1_l,20.954447,8.358450,-14.752123
3,18,f_main2_l,16.957345,5.736642,-15.457690
3,19,f_main3_l,12.991975,3.358725,-16.297642
3,20,f_pointer1_l,19.407859,11.603224,-10.845441
3,21,f_pointer2_l,15.543513,10.911182,-13.147076
3,22,f_pointer3_l,12.655166,10.036221,-14.872873
3,23,scapular_l,25.858292,52.997266,-3.296423
3,24,chest_l,5.191003,35.744701,-18.083892
3,25,zero_joint_hand_r,2.161795,28.388272,1.814658
3,26,clavicle_r,6.375907,52.961147,0.443785
3,27,arm_r,-8.718693,52.392473,11.070373
3,28,forearm_r,-24.770169,30.199882,20.457730
3,29,forearm_twist_r,-29.970574,38.444013,13.579681
3,30,hand_r,-35.497271,47.215602,6.279724
3,31,weapon_r,11.472360,85.557786,11.637507
3,32,f_big1_r,-30.900411,50.935421,4.988790
3,33,f_big2_r,-28.119094,51.564640,2.315751
3,34,f_big3_r,-28.015322,54.843523,-0.398431
3,35,f_main1_r,-37.477203,58.917459,3.321922
3,36,f_main2_r,-35.105361,58.150333,-1.480464
3,37,f_main3_r,-34.093730,53.575019,-2.284803
3,38,f_pointer1_r,-32.273415,58.629643,4.824581
3,39,f_pointer2_r,-31.305904,58.570767,0.494062
3,40,f_pointer3_r,-30.641083,55.884534,-1.529317
3,41,scapular_r,-5.734466,59.405587,8.610456
3,42,chest_r,-10.277927,40.292118,-10.961597
3,43,zero_joint_pelvis_l,-0.002496,0.001789,-0.001575
3,44,thigh_l,8.495315,0.383602,-3.530611
3,45,calf_l,23.121959,-46.394993,-5.756175
3,46,foot_l,35.256093,-85.525296,-2.171788
3,47,toe_l,41.228747,-96.838439,-18.404654
3,48,back_l,11.365067,-4.601970,6.085893
3,51,zero_joint_pelvis_r,-0.001946,-0.000340,0.000449
3,52,thigh_r,-9.163973,0.032757,0.936446
3,53,calf_r,-21.672230,-47.016719,7.020787
3,54,foot_r,-32.155921,-86.454908,12.118544
3,55,toe_r,-44.138239,-96.829125,-1.146650
3,56,back_r,-6.920348,-4.968993,10.715697
3,57,biceps_twist_l,37.024771,35.428883,-1.738773
3,58,biceps_twist_r,-16.427625,41.732972,15.579388
3,59,thigh_twist_l,13.972811,-17.002543,-3.728562
3,60,thigh_twist_r,-13.620264,-17.394761,3.795401
4,0,pelvis,0.000000,0.000000,0.000000
4,1,stomach,-0.408445,10.997920,-0.753261
4,2,chest,2.163580,28.387923,1.813820
4,3,neck,9.759526,56.498042,0.327307
4,4,head,6.467241,69.643659,-1.704750
4,5,hair,6.319443,85.050839,-2.361416
4,7,zero_joint_hand_l,2.161547,28.390480,1.812716
4,8,clavicle_l,10.061813,51.878286,-1.256834
4,9,arm_l,27.127730,45.088837,-3.193994
4,10,forearm_l,47.733625,24.977046,-0.161434
4,11,forearm_twist_l,39.666192,17.440284,-4.660864
4,12,hand_l,31.086196,9.419690,-9.459450
4,13,weapon_l,11.462048,85.548757,11.668546
4,14,f_big1_l,25.837589,10.968940,-6.546699
4,15,f_big2_l,24.194346,9.935016,-2.960354
4,16,f_big3_l,22.796981,6.720721,-0.051599
4,17,f_main1_l,20.954447,8.358450,-14.752123
4,18,f_main2_l,16.957345,5.736642,-15.457690
4,19,f_main3_l,12.991975,3.358725,-16.297642
4,20,f_pointer1_l,19.407859,11.603224,-10.845441
4,21,f_pointer2_l,15.543513,10.911182,-13.147076
4,22,f_pointer3_l,12.655166,10.036221,-14.872873
4,23,scapular_l,25.858292,52.997266,-3.296423
4,24,chest_l,5.191003,35.744701,-18.083892
4,25,zero_joint_hand_r,2.161795,28.388272,1.814658
4,26,clavicle_r,6.375907,52.961147,0.443785
4,27,arm_r,-8.718693,52.392473,11.070373
4,28,forearm_r,-24.770169,30.199882,20.457730
4,29,forearm_twist_r,-29.970574,38.444013,13.579681
4,30,hand_r,-35.497271,47.215602,6.279724
4,31,weapon_r,11.472360,85.557786,11.637507
4,32,f_big1_r,-30.900411,50.935421,4.988790
4,33,f_big2_r,-28.119094,51.564640,2.315751
4,34,f_big3_r,-28.015322,54.843523,-0.398431
4,35,f_main1_r,-37.477203,58.917459,3.321922
4,36,f_main2_r,-35.105361,58.150333,-1.480464
4,37,f_main3_r,-34.093730,53.575019,-2.284803
4,38,f_pointer1_r,-32.273415,58.629643,4.824581
4,39,f_pointer2_r,-31.305904,58.570767,0.494062
4,40,f_pointer3_r,-30.641083,55.884534,-1.529317
4,41,scapular_r,-5.734466,59.405587,8.610456
4,42,chest_r,-10.277927,40.292118,-10.961597
4,43,zero_joint_pelvis_l,-0.002496,0.001789,-0.001575
4,44,thigh_l,8.495315,0.383602,-3.530611
4,45,calf_l,23.121959,-46.394993,-5.756175
4,46,foot_l,35.256093,-85.525296,-2.171788
4,47,toe_l,41.228747,-96.838439,-18.404654
4,48,back_l,11.365067,-4.601970,6.085893
4,51,zero_joint_pelvis_r,-0.001946,-0.000340,0.000449
4,52,thigh_r,-9.163973,0.032757,0.936446
4,53,calf_r,-21.672230,-47.016719,7.020787
4,54,foot_r,-32.155921,-86.454908,12.118544
4,55,toe_r,-44.138239,-96.829125,-1.146650
4,56,back_r,-6.920348,-4.968993,10.715697
4,57,biceps_twist_l,37.024771,35.428883,-1.738773
4,58,biceps_twist_r,-16.427625,41.732972,15.579388
4,59,thigh_twist_l,13.972811,-17.002543,-3.728562
4,60,thigh_twist_r,-13.620264,-17.394761,3.795401
5,0,pelvis,0.000000,0.000000,0.000000
5,1,stomach,-0.408445,10.997920,-0.753261
5,2,chest,2.163580,28.387923,1.813820
5,3,neck,9.759526,56.498042,0.327307
5,4,head,6.467241,69.643659,-1.704750
5,5,hair,6.319443,85.050839,-2.361416
5,7,zero_joint_hand_l,2.161547,28.390480,1.812716
5,8,clavicle_l,10.061813,51.878286,-1.256834
5,9,arm_l,27.127730,45.088837,-3.193994
5,10,forearm_l,47.733625,24.977046,-0.161434
5,11,forearm_twist_l,39.666192,17.440284,-4.660864
5,12,hand_l,31.086196,9.419690,-9.459450
5,13,weapon_l,11.462048,85.548757,11.668546
5,14,f_big1_l,25.837589,10.968940,-6.546699
5,15,f_big2_l,24.194346,9.935016,-2.960354
5,16,f_big3_l,22.796981,6.720721,-0.051599
5,17,f_main1_l,20.954447,8.358450,-14.752123
5,18,f_main2_l,16.957345,5.736642,-15.457690
5,19,f_main3_l,12.991975,3.358725,-16.297642
5,20,f_pointer1_l,19.407859,11.603224,-10.845441
5,21,f_pointer2_l,15.543513,10.911182,-13.147076
5,22,f_pointer3_l,12.655166,10.036221,-14.872873
5,23,scapular_l,25.858292,52.997266,-3.296423
5,24,chest_l,5.191003,35.744701,-18.083892
5,25,zero_joint_hand_r,2.161795,28.388272,1.814658
5,26,clavicle_r,6.375907,52.961147,0.443785
5,27,arm_r,-8.718693,52.392473,11.070373
5,28,forearm_r,-24.770169,30.199882,20.457730
5,29,forearm_twist_r,-29.970574,38.444013,13.579681
5,30,hand_r,-35.497271,47.215602,6.279724
5,31,weapon_r,11.472360,85.557786,11.637507
5,32,f_big1_r,-30.900411,50.935421,4.988790
5,33,f_big2_r,-28.119094,51.564640,2.315751
5,34,f_big3_r,-28.015322,54.843523,-0.398431
5,35,f_main1_r,-37.477203,58.917459,3.321922
5,36,f_main2_r,-35.105361,58.150333,-1.480464
5,37,f_main3_r,-34.093730,53.575019,-2.284803
5,38,f_pointer1_r,-32.273415,58.629643,4.824581
5,39,f_pointer2_r,-31.305904,58.570767,0.494062
5,40,f_pointer3_r,-30.641083,55.884534,-1.529317
5,41,scapular_r,-5.734466,59.405587,8.610456
5,42,chest_r,-10.277927,40.292118,-10.961597
5,43,zero_joint_pelvis_l,-0.002496,0.001789,-0.001575
5,44,thigh_l,8.495315,0.383602,-3.530611
5,45,calf_l,23.121959,-46.394993,-5.756175
5,46,foot_l,35.256093,-85.525296,-2.171788
5,47,toe_l,41.228747,-96.838439,-18.404654
5,48,back_l,11.365067,-4.601970,6.085893
5,51,zero_joint_pelvis_r,-0.001946,-0.000340,0.000449
5,52,thigh_r,-9.163973,0.032757,0.936446
5,53,calf_r,-21.672230,-47.016719,7.020787
5,54,foot_r,-32.155921,-86.454908,12.118544
5,55,toe_r,-44.138239,-96.829125,-1.146650
5,56,back_r,-6.920348,-4.968993,10.715697
5,57,biceps_twist_l,37.024771,35.428883,-1.738773
5,58,biceps_twist_r,-16.427625,41.732972,15.579388
5,59,thigh_twist_l,13.972811,-17.002543,-3.728562
5,60,thigh_twist_r,-13.620264,-17.394761,3.795401
6,0,pelvis,0.000000,0.000000,0.000000
6,1,stomach,-0.408445,10.997920,-0.753261
6,2,chest,2.163580,28.387923,1.813820
6,3,neck,9.759526,56.498042,0.327307
6,4,head,6.467241,69.643659,-1.704750
6,5,hair,6.319443,85.050839,-2.361416
6,7,zero_joint_hand_l,2.161547,28.390480,1.812716
6,8,clavicle_l,10.061813,51.878286,-1.256834
6,9,arm_l,27.127730,45.088837,-3.193994
6,10,forearm_l,47.733625,24.977046,-0.161434
6,11,forearm_twist_l,39.666192,17.440284,-4.660864
6,12,hand_l,31.086196,9.419690,-9.459450
6,13,weapon_l,11.462048,85.548757,11.668546
6,14,f_big1_l,25.837589,10.968940,-6.546699
6,15,f_big2_l,24.194346,9.935016,-2.960354
6,16,f_big3_l,22.796981,6.720721,-0.051599
6,17,f_main1_l,20.954447,8.358450,-14.752123
6,18,f_main2_l,16.957345,5.736642,-15.457690
6,19,f_main3_l,12.991975,3.358725,-16.297642
6,20,f_pointer1_l,19.407859,11.603224,-10.845441
6,21,f_pointer2_l,15.543513,10.911182,-13.147076
6,22,f_pointer3_l,12.655166,10.036221,-14.872873
6,23,scapular_l,25.858292,52.997266,-3.296423
6,24,chest_l,5.191003,35.744701,-18.083892
6,25,zero_joint_hand_r,2.161795,28.388272,1.814658
6,26,clavicle_r,6.375907,52.961147,0.443785
6,27,arm_r,-8.718693,52.392473,11.070373
6,28,forearm_r,-24.770169,30.199882,20.457730
6,29,forearm_twist_r,-29.970574,38.444013,13.579681
6,30,hand_r,-35.497271,47.215602,6.279724
6,31,weapon_r,11.472360,85.557786,11.637507
6,32,f_big1_r,-30.900411,50.935421,4.988790
6,33,f_big2_r,-28.119094,51.564640,2.315751
6,34,f_big3_r,-28.015322,54.843523,-0.398431
6,35,f_main1_r,-37.477203,58.917459,3.321922
6,36,f_main2_r,-35.105361,58.150333,-1.480464
