frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.371789,10.747022,-2.460034
0,2,chest,1.168654,28.467363,-3.105995
0,3,neck,2.456236,57.509271,-0.870685
0,4,head,3.290474,71.173885,-0.272341
0,5,hair,9.855356,84.612475,3.488091
0,7,zero_joint_hand_l,1.168666,28.467392,-3.105987
0,8,clavicle_l,3.906196,53.285692,-2.876134
0,9,arm_l,21.725796,48.484245,-2.167134
0,10,forearm_l,38.653321,28.290937,9.831728
0,11,forearm_twist_l,28.110121,24.775160,14.188809
0,12,hand_l,16.935317,21.038604,18.808614
0,13,weapon_l,23.548510,9.132910,18.743951
0,14,f_big1_l,11.886199,24.335242,20.527299
0,15,f_big2_l,8.643551,24.797873,23.053860
0,16,f_big3_l,6.508458,21.211268,25.187070
0,17,f_main1_l,6.621419,16.389939,18.571127
0,18,f_main2_l,7.430268,17.262167,23.146548
0,19,f_main3_l,11.191444,19.614755,23.284221
0,20,f_pointer1_l,4.847605,21.382652,18.431423
0,21,f_pointer2_l,4.053062,20.567888,22.862067
0,22,f_pointer3_l,7.066648,22.154719,23.561763
0,23,scapular_l,19.451513,55.958389,-0.388040
0,24,chest_l,4.171003,38.691472,-21.696075
0,25,zero_joint_hand_r,1.168652,28.467270,-3.105987
0,26,clavicle_r,-0.058943,53.354228,-1.488892
0,27,arm_r,-18.020125,51.606884,2.440163
0,28,forearm_r,-37.521604,30.885926,-2.909384
0,29,forearm_twist_r,-31.433141,28.524593,-12.892984
0,30,hand_r,-24.974102,26.038679,-23.498628
0,31,weapon_r,-22.694673,17.895711,-24.225647
0,32,f_big1_r,-19.890933,29.331328,-23.583371
0,33,f_big2_r,-16.152016,29.867696,-22.569208
0,34,f_big3_r,-13.305094,26.756615,-21.925985
0,35,f_main1_r,-15.558231,22.176950,-28.713985
0,36,f_main2_r,-14.396233,22.406511,-23.886194
0,37,f_main3_r,-18.200371,24.518568,-21.948661
0,38,f_pointer1_r,-14.322666,27.338565,-28.726547
0,39,f_pointer2_r,-11.781757,26.080745,-25.297062
0,40,f_pointer3_r,-14.250542,27.234830,-23.213461
0,41,scapular_r,-14.781256,58.252257,5.001173
0,42,chest_r,-12.463233,38.976463,-15.867875
0,43,zero_joint_pelvis_l,0.000017,-0.000025,-0.000004
0,44,thigh_l,8.405916,-0.814534,-3.673715
0,45,calf_l,18.211961,-48.873295,-4.825201
0,46,foot_l,26.027963,-89.227950,-3.529997
0,47,toe_l,30.439495,-100.220310,-20.467297
0,48,back_l,11.151825,-4.452133,6.558362
0,51,zero_joint_pelvis_r,-0.000020,-0.000333,0.000010
0,52,thigh_r,-9.107381,0.871829,1.055767
0,53,calf_r,-14.506672,-47.861363,2.802915
0,54,foot_r,-16.012940,-88.576315,8.162032
0,55,toe_r,-27.480907,-99.608459,-5.026722
0,56,back_r,-6.983704,-2.704970,11.456744
0,57,biceps_twist_l,29.855530,38.787045,3.599629
0,58,biceps_twist_r,-27.389851,41.658060,-0.131403
0,59,thigh_twist_l,11.994079,-18.686097,-3.486930
0,60,thigh_twist_r,-10.756593,-17.228868,2.245715
1,0,pelvis,0.000000,0.000000,0.000000
1,1,stomach,0.371789,10.747022,-2.460034
1,2,chest,1.168654,28.467363,-3.105995
1,3,neck,2.456236,57.509271,-0.870685
1,4,head,3.290474,71.173885,-0.272341
1,5,hair,9.855356,84.612475,3.488091
1,7,zero_joint_hand_l,1.168666,28.467392,-3.105987
1,8,clavicle_l,3.906196,53.285692,-2.876134
1,9,arm_l,21.725796,48.484245,-2.167134
1,10,forearm_l,38.653321,28.290937,9.831728
1,11,forearm_twist_l,28.110121,24.775160,14.188809
1,12,hand_l,16.935317,21.038604,18.808614
1,13,weapon_l,23.548510,9.132910,18.743951
1,14,f_big1_l,11.886199,24.335242,20.527299
1,15,f_big2_l,8.643551,24.797873,23.053860
1,16,f_big3_l,6.508458,21.211268,25.187070
1,17,f_main1_l,6.621419,16.389939,18.571127
1,18,f_main2_l,7.430268,17.262167,23.146548
1,19,f_main3_l,11.191444,19.614755,23.284221
1,20,f_pointer1_l,4.847605,21.382652,18.431423
1,21,f_pointer2_l,4.053062,20.567888,22.862067
1,22,f_pointer3_l,7.066648,22.154719,23.561763
1,23,scapular_l,19.451513,55.958389,-0.388040
1,24,chest_l,4.171003,38.691472,-21.696075
1,25,zero_joint_hand_r,1.168652,28.467270,-3.105987
1,26,clavicle_r,-0.058943,53.354228,-1.488892
1,27,arm_r,-18.020125,51.606884,2.440163
1,28,forearm_r,-37.521604,30.885926,-2.909384
1,29,forearm_twist_r,-31.433141,28.524593,-12.892984
1,30,hand_r,-24.974102,26.038679,-23.498628
1,31,weapon_r,-22.694673,17.895711,-24.225647
1,32,f_big1_r,-19.890933,29.331328,-23.583371
1,33,f_big2_r,-16.152016,29.867696,-22.569208
1,34,f_big3_r,-13.305094,26.756615,-21.925985
1,35,f_main1_r,-15.558231,22.176950,-28.713985
1,36,f_main2_r,-14.396233,22.406511,-23.886194
1,37,f_main3_r,-18.200371,24.518568,-21.948661
1,38,f_pointer1_r,-14.322666,27.338565,-28.726547
1,39,f_pointer2_r,-11.781757,26.080745,-25.297062
1,40,f_pointer3_r,-14.250542,27.234830,-23.213461
1,41,scapular_r,-14.781256,58.252257,5.001173
1,42,chest_r,-12.463233,38.976463,-15.867875
1,43,zero_joint_pelvis_l,0.000017,-0.000025,-0.000004
1,44,thigh_l,8.405916,-0.814534,-3.673715
1,45,calf_l,18.211961,-48.873295,-4.825201
1,46,foot_l,26.027963,-89.227950,-3.529997
1,47,toe_l,30.439495,-100.220310,-20.467297
1,48,back_l,11.151825,-4.452133,6.558362
1,51,zero_joint_pelvis_r,-0.000020,-0.000333,0.000010
1,52,thigh_r,-9.107381,0.871829,1.055767
1,53,calf_r,-14.506672,-47.861363,2.802915
1,54,foot_r,-16.012940,-88.576315,8.162032
1,55,toe_r,-27.480907,-99.608459,-5.026722
1,56,back_r,-6.983704,-2.704970,11.456744
1,57,biceps_twist_l,29.855530,38.787045,3.599629
1,58,biceps_twist_r,-27.389851,41.658060,-0.131403
1,59,thigh_twist_l,11.994079,-18.686097,-3.486930
1,60,thigh_twist_r,-10.756593,-17.228868,2.245715
2,0,pelvis,0.000000,0.000000,0.000000
2,1,stomach,0.371789,10.747022,-2.460034
2,2,chest,1.168654,28.467363,-3.105995
2,3,neck,2.456236,57.509271,-0.870685
2,4,head,3.290474,71.173885,-0.272341
2,5,hair,9.855356,84.612475,3.488091
2,7,zero_joint_hand_l,1.168666,28.467392,-3.105987
2,8,clavicle_l,3.906196,53.285692,-2.876134
2,9,arm_l,21.725796,48.484245,-2.167134
2,10,forearm_l,38.653321,28.290937,9.831728
2,11,forearm_twist_l,28.110121,24.775160,14.188809
2,12,hand_l,16.935317,21.038604,18.808614
2,13,weapon_l,23.548510,9.132910,18.743951
2,14,f_big1_l,11.886199,24.335242,20.527299
2,15,f_big2_l,8.643551,24.797873,23.053860
2,16,f_big3_l,6.508458,21.211268,25.187070
2,17,f_main1_l,6.621419,16.389939,18.571127
2,18,f_main2_l,7.430268,17.262167,23.146548
2,19,f_main3_l,11.191444,19.614755,23.284221
2,20,f_pointer1_l,4.847605,21.382652,18.431423
2,21,f_pointer2_l,4.053062,20.567888,22.862067
2,22,f_pointer3_l,7.066648,22.154719,23.561763
2,23,scapular_l,19.451513,55.958389,-0.388040
2,24,chest_l,4.171003,38.691472,-21.696075
2,25,zero_joint_hand_r,1.168652,28.467270,-3.105987
2,26,clavicle_r,-0.058943,53.354228,-1.488892
2,27,arm_r,-18.020125,51.606884,2.440163
2,28,forearm_r,-37.521604,30.885926,-2.909384
2,29,forearm_twist_r,-31.433141,28.524593,-12.892984
2,30,hand_r,-24.974102,26.038679,-23.498628
2,31,weapon_r,-22.694673,17.895711,-24.225647
2,32,f_big1_r,-19.890933,29.331328,-23.583371
2,33,f_big2_r,-16.152016,29.867696,-22.569208
2,34,f_big3_r,-13.305094,26.756615,-21.925985
2,35,f_main1_r,-15.558231,22.176950,-28.713985
2,36,f_main2_r,-14.396233,22.406511,-23.886194
2,37,f_main3_r,-18.200371,24.518568,-21.948661
2,38,f_pointer1_r,-14.322666,27.338565,-28.726547
2,39,f_pointer2_r,-11.781757,26.080745,-25.297062
2,40,f_pointer3_r,-14.250542,27.234830,-23.213461
2,41,scapular_r,-14.781256,58.252257,5.001173
2,42,chest_r,-12.463233,38.976463,-15.867875
2,43,zero_joint_pelvis_l,0.000017,-0.000025,-0.000004
2,44,thigh_l,8.405916,-0.814534,-3.673715
2,45,calf_l,18.211961,-48.873295,-4.825201
2,46,foot_l,26.027963,-89.227950,-3.529997
2,47,toe_l,30.439495,-100.220310,-20.467297
2,48,back_l,11.151825,-4.452133,6.558362
2,51,zero_joint_pelvis_r,-0.000020,-0.000333,0.000010
2,52,thigh_r,-9.107381,0.871829,1.055767
2,53,calf_r,-14.506672,-47.861363,2.802915
2,54,foot_r,-16.012940,-88.576315,8.162032
2,55,toe_r,-27.480907,-99.608459,-5.026722
2,56,back_r,-6.983704,-2.704970,11.456744
2,57,biceps_twist_l,29.855530,38.787045,3.599629
2,58,biceps_twist_r,-27.389851,41.658060,-0.131403
2,59,thigh_twist_l,11.994079,-18.686097,-3.486930
2,60,thigh_twist_r,-10.756593,-17.228868,2.245715
3,0,pelvis,0.000000,0.000000,0.000000
3,1,stomach,0.371789,10.747022,-2.460034
3,2,chest,1.168654,28.467363,-3.105995
3,3,neck,2.456236,57.509271,-0.870685
3,4,head,3.290474,71.173885,-0.272341
3,5,hair,9.855356,84.612475,3.488091
3,7,zero_joint_hand_l,1.168666,28.467392,-3.105987
3,8,clavicle_l,3.906196,53.285692,-2.876134
3,9,arm_l,21.725796,48.484245,-2.167134
3,10,forearm_l,38.653321,28.290937,9.831728
3,11,forearm_twist_l,28.110121,24.775160,14.188809
3,12,hand_l,16.935317,21.038604,18.808614
3,13,weapon_l,23.548510,9.132910,18.743951
3,14,f_big1_l,11.886199,24.335242,20.527299
3,15,f_big2_l,8.643551,24.797873,23.053860
3,16,f_big3_l,6.508458,21.211268,25.187070
3,17,f_main1_l,6.621419,16.389939,18.571127
3,18,f_main2_l,7.430268,17.262167,23.146548
3,19,f_main3_l,11.191444,19.614755,23.284221
3,20,f_pointer1_l,4.847605,21.382652,18.431423
3,21,f_pointer2_l,4.053062,20.567888,22.862067
3,22,f_pointer3_l,7.066648,22.154719,23.561763
3,23,scapular_l,19.451513,55.958389,-0.388040
3,24,chest_l,4.171003,38.691472,-21.696075
3,25,zero_joint_hand_r,1.168652,28.467270,-3.105987
3,26,clavicle_r,-0.058943,53.354228,-1.488892
3,27,arm_r,-18.020125,51.606884,2.440163
3,28,forearm_r,-37.521604,30.885926,-2.909384
3,29,forearm_twist_r,-31.433141,28.524593,-12.892984
3,30,hand_r,-24.974102,26.038679,-23.498628
3,31,weapon_r,-22.694673,17.895711,-24.225647
3,32,f_big1_r,-19.890933,29.331328,-23.583371
3,33,f_big2_r,-16.152016,29.867696,-22.569208
3,34,f_big3_r,-13.305094,26.756615,-21.925985
3,35,f_main1_r,-15.558231,22.176950,-28.713985
3,36,f_main2_r,-14.396233,22.406511,-23.886194
3,37,f_main3_r,-18.200371,24.518568,-21.948661
3,38,f_pointer1_r,-14.322666,27.338565,-28.726547
3,39,f_pointer2_r,-11.781757,26.080745,-25.297062
3,40,f_pointer3_r,-14.250542,27.234830,-23.213461
3,41,scapular_r,-14.781256,58.252257,5.001173
3,42,chest_r,-12.463233,38.976463,-15.867875
3,43,zero_joint_pelvis_l,0.000017,-0.000025,-0.000004
3,44,thigh_l,8.405916,-0.814534,-3.673715
3,45,calf_l,18.211961,-48.873295,-4.825201
3,46,foot_l,26.027963,-89.227950,-3.529997
3,47,toe_l,30.439495,-100.220310,-20.467297
3,48,back_l,11.151825,-4.452133,6.558362
3,51,zero_joint_pelvis_r,-0.000020,-0.000333,0.000010
3,52,thigh_r,-9.107381,0.871829,1.055767
3,53,calf_r,-14.506672,-47.861363,2.802915
3,54,foot_r,-16.012940,-88.576315,8.162032
3,55,toe_r,-27.480907,-99.608459,-5.026722
3,56,back_r,-6.983704,-2.704970,11.456744
3,57,biceps_twist_l,29.855530,38.787045,3.599629
3,58,biceps_twist_r,-27.389851,41.658060,-0.131403
3,59,thigh_twist_l,11.994079,-18.686097,-3.486930
3,60,thigh_twist_r,-10.756593,-17.228868,2.245715
4,0,pelvis,0.000000,0.000000,0.000000
4,1,stomach,0.371789,10.747022,-2.460034
4,2,chest,1.168654,28.467363,-3.105995
4,3,neck,2.456236,57.509271,-0.870685
4,4,head,3.290474,71.173885,-0.272341
