frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.962406,10.965951,0.714255
0,2,chest,1.942989,28.646617,-0.717511
0,3,neck,4.645884,57.441322,-4.411591
0,4,head,2.265886,70.877904,-5.664393
0,5,hair,4.063828,86.067101,-7.636677
0,7,zero_joint_hand_l,1.942982,28.646617,-0.717516
0,8,clavicle_l,2.042163,53.303475,-4.657621
0,9,arm_l,-8.813189,46.305800,-17.859462
0,10,forearm_l,-20.545359,19.893155,-19.594920
0,11,forearm_twist_l,-27.668151,10.315632,-19.392963
0,12,hand_l,-35.218869,0.160744,-19.179473
0,13,weapon_l,-38.624144,-8.257849,-17.239919
0,14,f_big1_l,-38.754645,-2.280630,-14.610350
0,15,f_big2_l,-39.519919,-5.394288,-12.001669
0,16,f_big3_l,-38.316894,-9.838233,-12.874215
0,17,f_main1_l,-40.712386,-9.622235,-20.701472
0,18,f_main2_l,-37.564266,-10.539986,-17.297425
0,19,f_main3_l,-35.768380,-6.626516,-16.222088
0,20,f_pointer1_l,-43.804918,-7.985016,-16.721013
0,21,f_pointer2_l,-41.226520,-10.921716,-14.336144
0,22,f_pointer3_l,-39.304808,-8.208543,-13.319924
0,23,scapular_l,-8.704788,54.190665,-16.444737
0,24,chest_l,-15.752797,39.887437,3.775172
0,25,zero_joint_hand_r,1.942987,28.646466,-0.717493
0,26,clavicle_r,4.969606,53.414933,-1.643519
0,27,arm_r,20.044604,53.550383,9.025164
0,28,forearm_r,37.711399,31.198661,14.179615
0,29,forearm_twist_r,41.811046,20.189275,16.298627
0,30,hand_r,46.157851,8.517502,18.547109
0,31,weapon_r,47.739590,-0.235639,21.213772
0,32,f_big1_r,42.672784,3.714906,19.733932
0,33,f_big2_r,41.864090,-0.093234,19.364928
0,34,f_big3_r,44.757883,-3.187297,18.867145
0,35,f_main1_r,50.119429,-0.231367,24.742292
0,36,f_main2_r,49.328883,-2.078808,20.201325
0,37,f_main3_r,47.198622,1.516357,17.917683
0,38,f_pointer1_r,44.939830,-1.136618,25.451838
0,39,f_pointer2_r,45.711889,-4.229994,22.348287
0,40,f_pointer3_r,44.456622,-2.033090,20.032432
0,41,scapular_r,16.369460,60.404024,7.098112
0,42,chest_r,-3.470601,40.352941,16.409457
0,43,zero_joint_pelvis_l,-0.000001,-0.000023,-0.000003
0,44,thigh_l,-8.914844,1.220834,-1.962533
0,45,calf_l,-22.135782,-45.938053,-4.856512
0,46,foot_l,-24.757820,-84.707761,-18.321291
0,47,toe_l,-36.735885,-95.326566,-5.247170
0,48,back_l,-6.280203,-4.166136,-11.433214
0,51,zero_joint_pelvis_r,-0.000050,-0.000296,0.000043
0,52,thigh_r,8.025717,-0.685004,4.464921
0,53,calf_r,21.918729,-47.313740,10.779518
0,54,foot_r,36.035628,-84.765636,1.327838
0,55,toe_r,35.351933,-95.266904,19.116083
0,56,back_r,11.269976,-6.140435,-4.774994
0,57,biceps_twist_l,-14.451347,33.612622,-18.693453
0,58,biceps_twist_r,28.534834,42.808787,11.502107
0,59,thigh_twist_l,-13.828456,-16.306062,-3.038070
0,60,thigh_twist_r,13.189158,-18.014847,6.811802
1,0,pelvis,0.000000,0.000000,0.000000
1,1,stomach,0.962406,10.965951,0.714255
1,2,chest,1.942989,28.646617,-0.717511
1,3,neck,4.645884,57.441322,-4.411591
1,4,head,2.265886,70.877904,-5.664393
1,5,hair,4.063828,86.067101,-7.636677
1,7,zero_joint_hand_l,1.942982,28.646617,-0.717516
1,8,clavicle_l,2.042163,53.303475,-4.657621
1,9,arm_l,-8.813189,46.305800,-17.859462
1,10,forearm_l,-20.545359,19.893155,-19.594920
1,11,forearm_twist_l,-27.668151,10.315632,-19.392963
1,12,hand_l,-35.218869,0.160744,-19.179473
1,13,weapon_l,-38.624144,-8.257849,-17.239919
1,14,f_big1_l,-38.754645,-2.280630,-14.610350
1,15,f_big2_l,-39.519919,-5.394288,-12.001669
1,16,f_big3_l,-38.316894,-9.838233,-12.874215
1,17,f_main1_l,-40.712386,-9.622235,-20.701472
1,18,f_main2_l,-37.564266,-10.539986,-17.297425
1,19,f_main3_l,-35.768380,-6.626516,-16.222088
1,20,f_pointer1_l,-43.804918,-7.985016,-16.721013
1,21,f_pointer2_l,-41.226520,-10.921716,-14.336144
1,22,f_pointer3_l,-39.304808,-8.208543,-13.319924
1,23,scapular_l,-8.704788,54.190665,-16.444737
1,24,chest_l,-15.752797,39.887437,3.775172
1,25,zero_joint_hand_r,1.942987,28.646466,-0.717493
1,26,clavicle_r,4.969606,53.414933,-1.643519
1,27,arm_r,20.044604,53.550383,9.025164
1,28,forearm_r,37.711399,31.198661,14.179615
1,29,forearm_twist_r,41.811046,20.189275,16.298627
1,30,hand_r,46.157851,8.517502,18.547109
1,31,weapon_r,47.739590,-0.235639,21.213772
1,32,f_big1_r,42.672784,3.714906,19.733932
1,33,f_big2_r,41.864090,-0.093234,19.364928
1,34,f_big3_r,44.757883,-3.187297,18.867145
1,35,f_main1_r,50.119429,-0.231367,24.742292
1,36,f_main2_r,49.328883,-2.078808,20.201325
1,37,f_main3_r,47.198622,1.516357,17.917683
1,38,f_pointer1_r,44.939830,-1.136618,25.451838
1,39,f_pointer2_r,45.711889,-4.229994,22.348287
1,40,f_pointer3_r,44.456622,-2.033090,20.032432
1,41,scapular_r,16.369460,60.404024,7.098112
1,42,chest_r,-3.470601,40.352941,16.409457
1,43,zero_joint_pelvis_l,-0.000001,-0.000023,-0.000003
1,44,thigh_l,-8.914844,1.220834,-1.962533
1,45,calf_l,-22.135782,-45.938053,-4.856512
1,46,foot_l,-24.757820,-84.707761,-18.321291
1,47,toe_l,-36.735885,-95.326566,-5.247170
1,48,back_l,-6.280203,-4.166136,-11.433214
1,51,zero_joint_pelvis_r,-0.000050,-0.000296,0.000043
1,52,thigh_r,8.025717,-0.685004,4.464921
1,53,calf_r,21.918729,-47.313740,10.779518
1,54,foot_r,36.035628,-84.765636,1.327838
1,55,toe_r,35.351933,-95.266904,19.116083
1,56,back_r,11.269976,-6.140435,-4.774994
1,57,biceps_twist_l,-14.451347,33.612622,-18.693453
1,58,biceps_twist_r,28.534834,42.808787,11.502107
1,59,thigh_twist_l,-13.828456,-16.306062,-3.038070
1,60,thigh_twist_r,13.189158,-18.014847,6.811802
2,0,pelvis,0.000000,0.000000,0.000000
2,1,stomach,0.962406,10.965951,0.714255
2,2,chest,1.942989,28.646617,-0.717511
2,3,neck,4.645884,57.441322,-4.411591
2,4,head,2.265886,70.877904,-5.664393
2,5,hair,4.063828,86.067101,-7.636677
2,7,zero_joint_hand_l,1.942982,28.646617,-0.717516
2,8,clavicle_l,2.042163,53.303475,-4.657621
2,9,arm_l,-8.813189,46.305800,-17.859462
2,10,forearm_l,-20.545359,19.893155,-19.594920
2,11,forearm_twist_l,-27.668151,10.315632,-19.392963
2,12,hand_l,-35.218869,0.160744,-19.179473
2,13,weapon_l,-38.624144,-8.257849,-17.239919
2,14,f_big1_l,-38.754645,-2.280630,-14.610350
2,15,f_big2_l,-39.519919,-5.394288,-12.001669
