frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-1.449402,10.868591,1.208898
0,2,chest,0.043635,28.536184,0.093357
0,3,neck,3.676997,57.041316,-4.840512
0,4,head,2.467461,70.690955,-4.842010
0,5,hair,4.433213,85.977855,-4.312168
0,7,zero_joint_hand_l,0.043628,28.536200,0.093354
0,8,clavicle_l,1.274491,52.832908,-5.532467
0,9,arm_l,-6.888731,55.019312,-21.954287
0,10,forearm_l,-3.272221,28.646251,-33.341383
0,11,forearm_twist_l,-8.009076,17.829565,-35.092220
0,12,hand_l,-13.030992,6.361811,-36.950072
0,13,weapon_l,-4.207429,74.152046,32.046027
0,14,f_big1_l,-16.143448,3.062091,-32.723927
0,15,f_big2_l,-16.870525,-0.672307,-30.900834
0,16,f_big3_l,-15.153059,-5.038009,-30.708652
0,17,f_main1_l,-16.147386,-4.381612,-39.081654
0,18,f_main2_l,-13.060984,-5.001671,-35.446286
0,19,f_main3_l,-11.134071,-0.867851,-35.218576
0,20,f_pointer1_l,-19.712266,-3.527834,-35.241335
0,21,f_pointer2_l,-16.958483,-6.461089,-32.926418
0,22,f_pointer3_l,-15.346368,-3.676014,-31.476067
0,23,scapular_l,-5.629569,59.062988,-16.831465
0,24,chest_l,-18.205619,39.631001,-1.791127
0,25,zero_joint_hand_r,0.043623,28.536035,0.093389
0,26,clavicle_r,3.163186,53.237871,-1.799376
0,27,arm_r,9.853761,52.177962,15.382229
0,28,forearm_r,-2.230618,41.402518,39.385167
0,29,forearm_twist_r,-7.560672,51.763503,41.982174
0,30,hand_r,-13.218484,62.762161,44.738092
0,31,weapon_r,-12.136100,71.234240,35.518268
0,32,f_big1_r,-12.386754,66.769664,40.081487
0,33,f_big2_r,-14.333865,67.382497,36.551004
0,34,f_big3_r,-18.708943,68.460261,37.216062
0,35,f_main1_r,-16.590916,73.596617,45.699176
0,36,f_main2_r,-19.867088,71.767356,42.654668
0,37,f_main3_r,-20.200510,67.307859,41.692799
0,38,f_pointer1_r,-13.091948,74.454361,41.798258
0,39,f_pointer2_r,-16.331261,72.131323,39.594733
0,40,f_pointer3_r,-17.672988,69.171815,38.353300
0,41,scapular_r,7.874416,57.476109,13.078632
0,42,chest_r,-10.278072,41.327130,13.860430
0,43,zero_joint_pelvis_l,0.000006,-0.000015,0.000002
0,44,thigh_l,-7.250952,-0.022048,-5.677987
0,45,calf_l,-12.981923,-46.544933,-20.166121
0,46,foot_l,-15.585064,-85.684483,-32.518649
0,47,toe_l,-33.403743,-95.955404,-34.560350
0,48,back_l,0.143913,-4.036387,-13.084444
