frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-1.680910,10.873696,-0.791042
0,2,chest,-1.127198,28.630125,-0.932760
0,3,neck,1.577758,57.660185,-1.093192
0,4,head,-2.548533,70.675179,-2.259072
0,5,hair,-4.352196,85.974032,-2.984428
0,7,zero_joint_hand_l,-1.127196,28.630124,-0.932767
0,8,clavicle_l,0.952123,53.390299,-3.403618
0,9,arm_l,10.995682,48.527285,-18.120030
0,10,forearm_l,19.843577,21.214751,-21.864847
0,11,forearm_twist_l,20.304077,9.477741,-23.994270
0,12,hand_l,20.792368,-2.965806,-26.252670
0,13,weapon_l,17.157353,-17.347584,-26.531619
0,14,f_big1_l,16.429776,-7.123469,-25.704211
0,15,f_big2_l,14.567944,-9.867745,-23.631869
0,16,f_big3_l,16.371441,-12.378986,-20.687484
0,17,f_main1_l,23.341863,-14.059024,-25.224232
0,18,f_main2_l,21.235160,-12.780823,-20.908541
0,19,f_main3_l,19.762075,-8.316702,-21.694051
0,20,f_pointer1_l,18.341899,-14.624674,-26.906775
0,21,f_pointer2_l,17.647826,-15.364758,-22.574614
0,22,f_pointer3_l,16.617984,-12.103209,-22.315780
0,23,scapular_l,10.409835,56.219631,-15.964141
0,24,chest_l,-13.381792,38.622411,-15.412408
0,25,zero_joint_hand_r,-1.127205,28.629972,-0.932748
0,26,clavicle_r,-0.537526,53.550374,0.523528
0,27,arm_r,-6.299765,49.252398,17.535839
0,28,forearm_r,-0.176379,22.877575,27.790412
0,29,forearm_twist_r,-2.410758,11.452979,30.434286
0,30,hand_r,-4.779042,-0.659365,33.238393
0,31,weapon_r,-7.152209,-12.217216,31.301370
0,32,f_big1_r,-7.511179,-5.017801,29.649750
0,33,f_big2_r,-7.170104,-8.425258,27.334879
0,34,f_big3_r,-3.820681,-11.646070,27.968504
0,35,f_main1_r,-4.435030,-11.600297,36.133644
0,36,f_main2_r,-1.972247,-11.355414,32.102250
0,37,f_main3_r,-2.543756,-7.224695,30.583252
0,38,f_pointer1_r,-8.646502,-12.108424,32.956456
0,39,f_pointer2_r,-5.525854,-15.284267,34.005151
0,40,f_pointer3_r,-2.144116,-15.552364,33.244243
0,41,scapular_r,-5.096845,56.896722,15.464570
0,42,chest_r,-19.621155,39.292367,1.059255
0,43,zero_joint_pelvis_l,0.000006,-0.000014,0.000002
0,44,thigh_l,1.757347,-0.072730,-9.040070
0,45,calf_l,2.914619,-49.095461,-10.640544
0,46,foot_l,7.691242,-89.940306,-10.255707
0,47,toe_l,-10.094566,-99.903960,-13.655172
0,48,back_l,11.696780,-4.122541,-5.805682
0,51,zero_joint_pelvis_r,-0.000018,-0.000295,-0.000001
0,52,thigh_r,-4.306261,0.239105,8.137311
0,53,calf_r,-3.786977,-48.813008,7.271626
0,54,foot_r,-0.274652,-89.764597,5.894472
0,55,toe_r,-18.295028,-99.882015,6.158346
0,56,back_r,5.415487,-3.799319,11.989806
0,57,biceps_twist_l,15.247271,35.401435,-19.919250
0,58,biceps_twist_r,-3.357961,36.576961,22.463336
0,59,thigh_twist_l,2.187440,-18.292325,-9.634898
0,60,thigh_twist_r,-4.113277,-17.991409,7.815543
1,0,pelvis,0.003906,0.000000,0.001953
1,1,stomach,-1.675461,10.873854,-0.790193
1,2,chest,-1.128356,28.630419,-0.940252
1,3,neck,1.584416,57.659756,-1.099580
1,4,head,-2.533677,70.677401,-2.264854
1,5,hair,-4.355049,85.974383,-2.985384
1,7,zero_joint_hand_l,-1.128354,28.630419,-0.940260
1,8,clavicle_l,0.957562,53.390133,-3.410164
1,9,arm_l,10.999361,48.525013,-18.127080
1,10,forearm_l,19.884872,21.222371,-21.854932
1,11,forearm_twist_l,20.357228,9.484542,-23.977232
1,12,hand_l,20.858078,-2.959877,-26.228068
1,13,weapon_l,17.237559,-17.345173,-26.514003
1,14,f_big1_l,16.498104,-7.121475,-25.691930
1,15,f_big2_l,14.632168,-9.868439,-23.623157
1,16,f_big3_l,16.428002,-12.375058,-20.675814
1,17,f_main1_l,23.413420,-14.042725,-25.190500
1,18,f_main2_l,21.293645,-12.765439,-20.880943
1,19,f_main3_l,19.820101,-8.306459,-21.671140
1,20,f_pointer1_l,18.417721,-14.613676,-26.886737
1,21,f_pointer2_l,17.711517,-15.354132,-22.552588
1,22,f_pointer3_l,16.677828,-12.093515,-22.297375
1,23,scapular_l,10.415653,56.217429,-15.970861
1,24,chest_l,-13.380698,38.626598,-15.419119
1,25,zero_joint_hand_r,-1.128364,28.630266,-0.940241
1,26,clavicle_r,-0.531924,53.550449,0.517034
1,27,arm_r,-6.294789,49.253273,17.529335
1,28,forearm_r,-0.164957,22.880333,27.784902
1,29,forearm_twist_r,-2.402840,11.456198,30.427801
1,30,hand_r,-4.774824,-0.655664,33.230865
1,31,weapon_r,-7.157830,-12.211794,31.295650
1,32,f_big1_r,-7.510147,-5.010497,29.642240
1,33,f_big2_r,-7.171507,-8.421661,27.325493
1,34,f_big3_r,-3.824802,-11.645215,27.959534
1,35,f_main1_r,-4.439306,-11.588952,36.125959
1,36,f_main2_r,-1.978105,-11.346634,32.098028
1,37,f_main3_r,-2.546203,-7.215596,30.578618
1,38,f_pointer1_r,-8.652160,-12.101423,32.950599
1,39,f_pointer2_r,-5.534352,-15.279790,34.000098
1,40,f_pointer3_r,-2.152785,-15.550939,33.239510
1,41,scapular_r,-5.089885,56.897416,15.458351
1,42,chest_r,-19.619378,39.297563,1.052762
1,43,zero_joint_pelvis_l,0.003912,-0.000014,0.001955
1,44,thigh_l,1.761404,-0.073871,-9.038078
1,45,calf_l,2.927738,-49.096303,-10.641109
1,46,foot_l,7.688461,-89.943011,-10.256881
1,47,toe_l,-10.097136,-99.907648,-13.654563
1,48,back_l,11.700210,-4.124761,-5.803114
1,51,zero_joint_pelvis_r,0.003888,-0.000295,0.001952
1,52,thigh_r,-4.302466,0.240515,8.139164
1,53,calf_r,-3.737875,-48.810988,7.267273
1,54,foot_r,-0.276820,-89.766894,5.888704
1,55,toe_r,-18.295672,-99.886905,6.152659
1,56,back_r,5.418646,-3.798896,11.992231
1,57,biceps_twist_l,15.269027,35.403917,-19.918150
1,58,biceps_twist_r,-3.349893,36.578742,22.457315
1,59,thigh_twist_l,2.194865,-18.293355,-9.633858
1,60,thigh_twist_r,-4.092646,-17.989772,7.815090
2,0,pelvis,0.015625,0.000000,0.001953
2,1,stomach,-1.661929,10.873951,-0.792706
2,2,chest,-1.121578,28.630644,-0.951739
2,3,neck,1.601994,57.658962,-1.112445
2,4,head,-2.507933,70.679210,-2.277468
2,5,hair,-4.345936,85.974481,-2.992084
2,7,zero_joint_hand_l,-1.121576,28.630644,-0.951747
2,8,clavicle_l,0.973518,53.389465,-3.422832
2,9,arm_l,11.013325,48.519909,-18.139640
2,10,forearm_l,19.925576,21.223254,-21.847451
2,11,forearm_twist_l,20.413856,9.484621,-23.961683
2,12,hand_l,20.931582,-2.960650,-26.203969
2,13,weapon_l,17.325182,-17.349414,-26.493855
2,14,f_big1_l,16.573904,-7.126192,-25.676645
2,15,f_big2_l,14.705145,-9.874116,-23.611699
2,16,f_big3_l,16.497361,-12.380188,-20.656043
2,17,f_main1_l,23.495365,-14.048541,-25.155148
2,18,f_main2_l,21.362882,-12.771780,-20.851711
2,19,f_main3_l,19.885752,-8.310906,-21.648029
2,20,f_pointer1_l,18.506624,-14.624503,-26.864242
2,21,f_pointer2_l,17.790578,-15.363764,-22.535519
2,22,f_pointer3_l,16.753128,-12.104067,-22.283846
2,23,scapular_l,10.432512,56.212657,-15.983771
2,24,chest_l,-13.370372,38.630702,-15.430930
2,25,zero_joint_hand_r,-1.121586,28.630491,-0.951727
2,26,clavicle_r,-0.515863,53.550519,0.504376
2,27,arm_r,-6.280915,49.254420,17.516208
2,28,forearm_r,-0.144460,22.882743,27.771060
2,29,forearm_twist_r,-2.385648,11.458787,30.411934
2,30,hand_r,-4.761131,-0.652881,33.212871
2,31,weapon_r,-7.150602,-12.207839,31.278634
2,32,f_big1_r,-7.498792,-5.006270,29.624804
2,33,f_big2_r,-7.161677,-8.418154,27.308897
2,34,f_big3_r,-3.817053,-11.643583,27.944351
2,35,f_main1_r,-4.432965,-11.585968,36.109567
2,36,f_main2_r,-1.968530,-11.345479,32.078919
2,37,f_main3_r,-2.534015,-7.214391,30.558673
2,38,f_pointer1_r,-8.645297,-12.096338,32.933178
2,39,f_pointer2_r,-5.529681,-15.276439,33.983931
2,40,f_pointer3_r,-2.148082,-15.549737,33.224258
2,41,scapular_r,-5.073717,56.898289,15.445546
2,42,chest_r,-19.608609,39.304757,1.040993
2,43,zero_joint_pelvis_l,0.015631,-0.000014,0.001955
2,44,thigh_l,1.774296,-0.076054,-9.037832
2,45,calf_l,2.945090,-49.098432,-10.639247
2,46,foot_l,7.689165,-89.947033,-10.250364
2,47,toe_l,-10.096633,-99.911292,-13.648102
2,48,back_l,11.712041,-4.127824,-5.800710
2,51,zero_joint_pelvis_r,0.015607,-0.000295,0.001952
2,52,thigh_r,-4.291776,0.242908,8.138548
2,53,calf_r,-3.682593,-48.808050,7.266019
2,54,foot_r,-0.276201,-89.768800,5.895243
2,55,toe_r,-18.293610,-99.891329,6.161072
2,56,back_r,5.428195,-3.797218,11.993742
2,57,biceps_twist_l,15.295850,35.401693,-19.921075
2,58,biceps_twist_r,-3.332838,36.580492,22.443837
2,59,thigh_twist_l,2.209408,-18.295518,-9.633007
2,60,thigh_twist_r,-4.065380,-17.987177,7.814233
3,0,pelvis,0.027344,0.000000,0.000977
3,1,stomach,-1.647037,10.874265,-0.796068
3,2,chest,-1.115226,28.631155,-0.961775
3,3,neck,1.619433,57.658436,-1.121589
3,4,head,-2.482169,70.681417,-2.285405
3,5,hair,-4.335498,85.975236,-2.991440
3,7,zero_joint_hand_l,-1.115224,28.631155,-0.961782
3,8,clavicle_l,0.989335,53.389250,-3.432101
3,9,arm_l,11.026163,48.514476,-18.149213
3,10,forearm_l,19.955193,21.220523,-21.836491
3,11,forearm_twist_l,20.461719,9.481428,-23.943854
3,12,hand_l,20.998801,-2.964335,-26.178847
3,13,weapon_l,17.404874,-17.356131,-26.473069
3,14,f_big1_l,16.643156,-7.133241,-25.661401
3,15,f_big2_l,14.772142,-9.880577,-23.601418
3,16,f_big3_l,16.556868,-12.381993,-20.642918
3,17,f_main1_l,23.570005,-14.049558,-25.120222
3,18,f_main2_l,21.425656,-12.773395,-20.822508
3,19,f_main3_l,19.946785,-8.313967,-21.623648
3,20,f_pointer1_l,18.585154,-14.630340,-26.841813
3,21,f_pointer2_l,17.857828,-15.369385,-22.510917
3,22,f_pointer3_l,16.817084,-12.110442,-22.263116
3,23,scapular_l,10.448497,56.207604,-15.994001
3,24,chest_l,-13.360201,38.636344,-15.440651
3,25,zero_joint_hand_r,-1.115234,28.631003,-0.961763
3,26,clavicle_r,-0.499982,53.550752,0.495112
3,27,arm_r,-6.267735,49.254323,17.505946
3,28,forearm_r,-0.130563,22.879604,27.752543
3,29,forearm_twist_r,-2.377688,11.455653,30.388387
3,30,hand_r,-4.759467,-0.656016,33.183968
3,31,weapon_r,-7.155269,-12.209457,31.248499
3,32,f_big1_r,-7.498635,-5.009725,29.594946
3,33,f_big2_r,-7.163012,-8.421657,27.278891
3,34,f_big3_r,-3.820270,-11.648852,27.915312
3,35,f_main1_r,-4.439371,-11.596924,36.082051
3,36,f_main2_r,-1.974047,-11.357587,32.051877
