frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.321533,10.877053,1.809647
0,2,chest,1.381831,28.593675,2.054208
0,3,neck,-5.278507,56.827087,4.987001
0,4,head,-8.653867,69.862722,7.527631
0,5,hair,-6.121350,85.064101,8.109573
0,7,zero_joint_hand_l,1.381665,28.595386,2.057210
0,8,clavicle_l,-6.528321,52.200228,3.994440
0,9,arm_l,-19.773219,47.045722,-7.799561
0,10,forearm_l,-28.740193,21.606876,-18.322961
0,11,forearm_twist_l,-37.790043,17.495753,-11.712150
0,12,hand_l,-47.404455,13.141153,-4.699517
0,13,weapon_l,-55.392745,11.398767,-0.269870
0,14,f_big1_l,-51.313249,16.456036,-1.471400
0,15,f_big2_l,-53.573709,16.962001,1.681636
0,16,f_big3_l,-55.482531,13.840467,3.866638
0,17,f_main1_l,-58.117501,9.555073,-2.974418
0,18,f_main2_l,-55.989787,9.574826,1.516641
0,19,f_main3_l,-51.752218,11.580974,0.704597
0,20,f_pointer1_l,-58.922573,14.715884,-2.043691
0,21,f_pointer2_l,-58.790845,13.318499,2.174400
0,22,f_pointer3_l,-55.525582,14.369612,2.283415
0,23,scapular_l,-18.419975,54.805623,-6.337168
0,24,chest_l,-17.972840,32.335982,10.488817
0,25,zero_joint_hand_r,1.383389,28.593737,2.055468
0,26,clavicle_r,-3.344896,52.667749,6.698928
0,27,arm_r,12.756075,51.977180,15.719824
0,28,forearm_r,30.097008,30.830571,25.227527
0,29,forearm_twist_r,19.449032,26.735645,28.716031
0,30,hand_r,8.147330,22.392484,32.429117
0,31,weapon_r,-0.468412,18.691369,31.706468
0,32,f_big1_r,2.502986,24.523243,30.711424
0,33,f_big2_r,-1.044775,23.919028,28.678185
0,34,f_big3_r,-2.872041,19.672301,27.890714
0,35,f_main1_r,-1.277883,16.896490,35.426999
0,36,f_main2_r,-1.149505,16.560741,30.710200
0,37,f_main3_r,2.188985,19.181305,29.399236
0,38,f_pointer1_r,-3.727943,21.512629,34.546380
0,39,f_pointer2_r,-4.913445,19.428692,30.646158
0,40,f_pointer3_r,-2.267342,21.079760,29.110223
0,41,scapular_r,9.605074,59.016434,13.566118
0,42,chest_r,-4.623110,34.302582,21.829490
0,43,zero_joint_pelvis_l,0.000645,0.001499,0.003050
0,44,thigh_l,-8.344276,1.176887,-3.710859
0,45,calf_l,-42.387790,-31.236245,10.344636
0,46,foot_l,-47.017237,-68.615348,-6.167071
0,47,toe_l,-59.553191,-78.592244,6.889617
0,48,back_l,-3.547012,-3.266999,-12.812831
0,51,zero_joint_pelvis_r,0.001630,-0.000520,0.001072
0,52,thigh_r,6.928266,-0.891522,6.005012
0,53,calf_r,25.841930,-38.476737,31.238994
0,54,foot_r,27.527575,-68.572220,3.262466
0,55,toe_r,34.776544,-78.594356,19.820695
0,56,back_r,12.276221,-5.411856,-2.749857
0,57,biceps_twist_l,-24.079646,34.827316,-12.854165
0,58,biceps_twist_r,21.084669,41.820744,20.287659
0,59,thigh_twist_l,-20.805805,-11.249238,1.045460
0,60,thigh_twist_r,13.967867,-15.194698,14.847184
1,0,pelvis,0.007812,0.000000,0.000000
1,1,stomach,0.328353,10.877123,1.809399
1,2,chest,1.388043,28.593804,2.052308
1,3,neck,-5.259515,56.830499,4.982490
1,4,head,-8.633460,69.865682,7.527316
1,5,hair,-6.083623,85.064434,8.102198
1,7,zero_joint_hand_l,1.387846,28.595513,2.055283
1,8,clavicle_l,-6.511233,52.204262,3.989406
1,9,arm_l,-19.761385,47.040612,-7.794690
1,10,forearm_l,-28.778218,21.612492,-18.301395
1,11,forearm_twist_l,-37.830040,17.542271,-11.668013
1,12,hand_l,-47.446523,13.231112,-4.631421
1,13,weapon_l,-55.440744,11.515123,-0.202335
1,14,f_big1_l,-51.347328,16.557229,-1.410793
1,15,f_big2_l,-53.606346,17.073496,1.739183
1,16,f_big3_l,-55.525350,13.957105,3.930207
1,17,f_main1_l,-58.169215,9.674190,-2.904177
1,18,f_main2_l,-56.042911,9.694791,1.587547
1,19,f_main3_l,-51.796491,11.690649,0.773497
1,20,f_pointer1_l,-58.969167,14.838418,-1.981666
1,21,f_pointer2_l,-58.842379,13.445501,2.242169
1,22,f_pointer3_l,-55.576363,14.487918,2.350688
1,23,scapular_l,-18.411549,54.801406,-6.334262
1,24,chest_l,-17.960440,32.338977,10.483492
1,25,zero_joint_hand_r,1.389601,28.593866,2.053568
1,26,clavicle_r,-3.328436,52.670261,6.695098
1,27,arm_r,12.769639,51.974732,15.720780
1,28,forearm_r,30.077443,30.817722,25.265638
1,29,forearm_twist_r,19.433091,26.734692,28.779057
1,30,hand_r,8.135258,22.404182,32.518595
1,31,weapon_r,-0.488852,18.717688,31.809969
1,32,f_big1_r,2.493948,24.543272,30.816253
1,33,f_big2_r,-1.059361,23.946414,28.790547
1,34,f_big3_r,-2.893401,19.706750,28.004028
1,35,f_main1_r,-1.292389,16.920340,35.531527
1,36,f_main2_r,-1.175223,16.588961,30.814127
1,37,f_main3_r,2.161326,19.203439,29.499306
1,38,f_pointer1_r,-3.736817,21.541405,34.661146
1,39,f_pointer2_r,-4.933277,19.464716,30.764989
1,40,f_pointer3_r,-2.287736,21.112988,29.225085
1,41,scapular_r,9.608822,59.015828,13.572736
1,42,chest_r,-4.624416,34.297571,21.819796
1,43,zero_joint_pelvis_l,0.008457,0.001499,0.003050
1,44,thigh_l,-8.335866,1.176272,-3.712397
1,45,calf_l,-42.386129,-31.224381,10.355518
1,46,foot_l,-47.006228,-68.603768,-6.158165
1,47,toe_l,-59.537388,-78.580919,6.902928
1,48,back_l,-3.540945,-3.268533,-12.806895
1,51,zero_joint_pelvis_r,0.009442,-0.000520,0.001072
1,52,thigh_r,6.935574,-0.890845,6.005694
1,53,calf_r,25.848414,-38.468142,31.252084
1,54,foot_r,27.522436,-68.556159,3.266829
1,55,toe_r,34.763693,-78.579309,19.827819
1,56,back_r,12.284702,-5.411004,-2.748548
1,57,biceps_twist_l,-24.091743,34.827348,-12.841269
1,58,biceps_twist_r,21.082311,41.813296,20.306464
1,59,thigh_twist_l,-20.789153,-11.235108,1.044180
1,60,thigh_twist_r,13.968865,-15.179276,14.844547
2,0,pelvis,0.015625,0.000000,0.000000
2,1,stomach,0.336001,10.877123,1.809429
