frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-1.836071,9.741555,4.839362
0,2,chest,-4.872628,26.782867,8.768194
0,3,neck,-21.502412,44.597318,24.773899
0,4,head,-28.552885,51.289155,34.421268
0,5,hair,-27.309515,65.043087,41.285495
0,7,zero_joint_hand_l,-4.872627,26.782869,8.768199
0,8,clavicle_l,-20.977050,40.938200,21.565349
0,9,arm_l,-33.838090,43.943941,8.655880
0,10,forearm_l,-36.006997,22.451160,-10.622077
0,11,forearm_twist_l,-41.814317,12.035167,-11.156920
0,12,hand_l,-47.980879,0.997651,-11.729178
0,13,weapon_l,-49.057554,-8.193024,-12.495128
0,14,f_big1_l,-50.768401,-3.263918,-8.453111
0,15,f_big2_l,-50.796951,-6.791348,-6.747695
0,16,f_big3_l,-48.680144,-10.221266,-8.143853
0,17,f_main1_l,-50.668372,-9.123081,-16.326481
0,18,f_main2_l,-47.270283,-10.118629,-12.828383
0,19,f_main3_l,-46.666728,-5.908310,-10.668994
0,20,f_pointer1_l,-54.112514,-9.225497,-12.283891
0,21,f_pointer2_l,-51.006633,-11.923343,-10.558763
0,22,f_pointer3_l,-49.846925,-9.222948,-8.778770
0,23,scapular_l,-35.457651,45.285893,16.404931
0,24,chest_l,-22.541858,17.649392,16.771874
0,25,zero_joint_hand_r,-4.872522,26.782775,8.768100
0,26,clavicle_r,-17.834626,41.360696,24.330640
0,27,arm_r,-1.457553,49.039872,28.061118
0,28,forearm_r,24.339478,37.209532,22.330529
0,29,forearm_twist_r,23.005464,26.398423,27.213586
0,30,hand_r,21.598176,14.940176,32.400959
0,31,weapon_r,17.778147,6.808581,34.749366
0,32,f_big1_r,16.168669,13.136298,34.978797
0,33,f_big2_r,12.994534,10.477624,35.065816
0,34,f_big3_r,13.315971,6.026008,33.638879
0,35,f_main1_r,20.577281,4.745454,37.221617
0,36,f_main2_r,17.634723,4.612570,33.520115
0,37,f_main3_r,17.523644,8.752803,31.914706
0,38,f_pointer1_r,16.457893,6.860987,39.801216
0,39,f_pointer2_r,14.084373,4.533701,36.647498
0,40,f_pointer3_r,13.856065,7.488183,34.821843
0,41,scapular_r,-7.697764,50.202177,32.949945
0,42,chest_r,-9.415953,19.452733,28.397380
0,43,zero_joint_pelvis_l,-0.000002,-0.000002,0.000001
0,44,thigh_l,-8.400416,0.616551,-3.724156
0,45,calf_l,-51.984027,-17.266337,9.979862
0,46,foot_l,-57.160186,-55.260251,-4.884039
0,47,toe_l,-69.628633,-65.262508,8.217808
0,48,back_l,-2.787621,-0.012508,-13.406892
0,51,zero_joint_pelvis_r,0.000018,-0.000294,-0.000079
0,52,thigh_r,6.944910,-1.279677,5.911843
0,53,calf_r,17.553894,-35.642895,39.284700
0,54,foot_r,21.372572,-55.320957,3.375687
0,55,toe_r,24.804614,-65.237367,21.181630
0,56,back_r,13.110424,-1.975737,-3.425078
0,57,biceps_twist_l,-34.880492,33.614893,-0.608315
0,58,biceps_twist_r,10.940006,43.354356,25.308562
0,59,thigh_twist_l,-24.486255,-6.536520,1.008730
0,60,thigh_twist_r,11.025929,-14.446135,17.841240
1,0,pelvis,0.062500,-0.062500,0.007812
1,1,stomach,-1.773288,9.679520,4.846346
1,2,chest,-4.809154,26.720804,8.775834
1,3,neck,-21.436797,44.537362,24.781417
1,4,head,-28.489603,51.226564,34.428909
1,5,hair,-27.246836,64.979909,41.294419
1,7,zero_joint_hand_l,-4.809153,26.720806,8.775839
1,8,clavicle_l,-20.911872,40.878101,21.572961
1,9,arm_l,-33.773001,43.884652,8.663770
1,10,forearm_l,-35.941989,22.390810,-10.612996
1,11,forearm_twist_l,-41.749244,11.974872,-11.149619
1,12,hand_l,-47.915735,0.937418,-11.723804
1,13,weapon_l,-48.992589,-8.253177,-12.490469
1,14,f_big1_l,-50.703360,-3.324348,-8.448081
1,15,f_big2_l,-50.732001,-6.851914,-6.742947
1,16,f_big3_l,-48.615229,-10.281757,-8.139345
1,17,f_main1_l,-50.603405,-9.182907,-16.321903
1,18,f_main2_l,-47.205356,-10.178734,-12.823844
1,19,f_main3_l,-46.601728,-5.968593,-10.664128
1,20,f_pointer1_l,-54.047571,-9.285565,-12.279340
1,21,f_pointer2_l,-50.941753,-11.983597,-10.554388
1,22,f_pointer3_l,-49.782003,-9.283341,-8.774212
1,23,scapular_l,-35.392202,45.227000,16.412798
1,24,chest_l,-22.479031,17.589280,16.780311
1,25,zero_joint_hand_r,-4.809047,26.720712,8.775740
1,26,clavicle_r,-17.769331,41.300390,24.338150
1,27,arm_r,-1.392470,48.979183,28.070344
1,28,forearm_r,24.404192,37.148474,22.338849
1,29,forearm_twist_r,23.071303,26.336934,27.221260
1,30,hand_r,21.665194,14.878227,32.407936
1,31,weapon_r,17.852947,6.741166,34.750204
1,32,f_big1_r,16.238451,13.067045,34.986470
1,33,f_big2_r,13.066679,10.405514,35.072304
1,34,f_big3_r,13.391348,5.955600,33.640795
1,35,f_main1_r,20.655420,4.677833,37.218926
1,36,f_main2_r,17.711262,4.546069,33.518656
1,37,f_main3_r,17.595855,8.687787,31.917388
1,38,f_pointer1_r,16.535373,6.787201,39.802517
1,39,f_pointer2_r,14.162445,4.460963,36.647580
1,40,f_pointer3_r,13.930730,7.417052,34.824961
1,41,scapular_r,-7.633443,50.142529,32.957924
1,42,chest_r,-9.352632,19.391761,28.405392
1,43,zero_joint_pelvis_l,0.062498,-0.062502,0.007813
1,44,thigh_l,-8.337919,0.553939,-3.716355
