frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-11.029554,0.193337,-0.005299
0,2,chest,-28.594795,2.747740,0.003517
0,3,neck,-51.657179,20.586276,-0.000184
0,4,head,-59.023561,32.141018,-0.001686
0,5,hair,-71.162400,41.652283,-0.126283
0,7,zero_joint_hand_l,-28.595797,2.748088,0.003588
0,8,clavicle_l,-47.619051,18.786338,2.099154
0,9,arm_l,-57.784506,16.397165,17.332344
0,10,forearm_l,-62.495162,-2.518226,38.740314
0,11,forearm_twist_l,-51.969325,-2.426441,44.354207
0,12,hand_l,-40.800359,-2.317877,50.322537
0,13,weapon_l,-44.254279,-10.864382,48.902515
0,14,f_big1_l,-34.707002,-3.524979,51.169310
0,15,f_big2_l,-31.743329,-5.512821,53.262945
0,16,f_big3_l,-32.204331,-6.856823,57.732286
0,17,f_main1_l,-35.729943,0.132135,60.128053
0,18,f_main2_l,-34.841988,-4.365511,61.278361
0,19,f_main3_l,-35.810473,-7.370477,58.153694
0,20,f_pointer1_l,-31.225017,0.021310,57.332182
0,21,f_pointer2_l,-29.785254,-3.043831,60.413078
0,22,f_pointer3_l,-30.523529,-6.206296,59.171797
0,23,scapular_l,-59.229277,22.542893,12.407288
0,24,chest_l,-24.979721,21.973118,8.786647
0,25,zero_joint_hand_r,-28.595261,2.747736,0.003610
0,26,clavicle_r,-47.621454,18.780254,-2.102274
0,27,arm_r,-57.651438,16.397229,-17.425959
0,28,forearm_r,-62.094565,-3.224645,-38.247202
0,29,forearm_twist_r,-52.010650,-3.494021,-44.630464
0,30,hand_r,-41.313922,-3.773186,-51.418586
0,31,weapon_r,-33.246799,-7.349919,-48.188509
0,32,f_big1_r,-35.385695,-4.219129,-52.551361
0,33,f_big2_r,-31.834167,-5.427421,-53.648264
0,34,f_big3_r,-28.837321,-7.099120,-56.181968
0,35,f_main1_r,-36.855775,0.348619,-61.092106
0,36,f_main2_r,-35.437303,-4.039588,-62.943798
0,37,f_main3_r,-35.367418,-8.104666,-60.471656
0,38,f_pointer1_r,-32.386897,0.266264,-58.227919
0,39,f_pointer2_r,-30.967813,-2.201877,-61.647199
0,40,f_pointer3_r,-30.803746,-5.609424,-61.310263
0,41,scapular_r,-59.144638,22.537323,-12.507392
0,42,chest_r,-24.988926,21.946551,-8.840582
0,43,zero_joint_pelvis_l,0.000182,-0.000041,0.001190
0,44,thigh_l,-0.290319,1.325216,9.110442
0,45,calf_l,46.548181,8.012946,22.093437
0,46,foot_l,86.955064,0.390718,22.765059
0,47,toe_l,105.433251,6.635170,29.600931
0,48,back_l,5.278778,-8.398560,9.441373
0,51,zero_joint_pelvis_r,0.000306,0.000060,0.000616
0,52,thigh_r,-0.280754,1.325109,-9.109021
0,53,calf_r,44.451580,20.256643,-16.018742
0,54,foot_r,81.120832,1.728472,-14.191615
0,55,toe_r,98.082206,13.538005,-14.080064
0,56,back_r,5.287920,-8.400150,-9.433013
0,57,biceps_twist_l,-60.047236,7.312075,27.614610
0,58,biceps_twist_r,-59.785961,6.972870,-27.426413
0,59,thigh_twist_l,17.234117,3.289717,13.606073
0,60,thigh_twist_r,16.569187,7.771669,-11.614001
1,0,pelvis,0.226562,-0.062500,-0.334736
1,1,stomach,-10.484429,1.984996,1.329863
1,2,chest,-27.880580,5.379648,2.285383
1,3,neck,-49.236935,25.208338,3.188751
1,4,head,-54.397701,37.823126,4.528601
1,5,hair,-65.024042,48.941332,5.667669
1,7,zero_joint_hand_l,-27.881546,5.380082,2.285479
1,8,clavicle_l,-45.361490,22.975463,5.176358
1,9,arm_l,-55.082148,19.133248,20.402682
1,10,forearm_l,-61.978582,-1.811517,39.165396
1,11,forearm_twist_l,-50.523478,-1.892405,42.495788
1,12,hand_l,-38.366135,-1.967884,46.041473
1,13,weapon_l,-41.674514,-10.200905,43.167317
1,14,f_big1_l,-32.619841,-3.512828,48.005020
1,15,f_big2_l,-30.209987,-5.800794,50.469970
1,16,f_big3_l,-31.625052,-7.492299,54.604419
1,17,f_main1_l,-35.379492,-0.579020,56.866523
1,18,f_main2_l,-34.963188,-5.258131,57.352518
1,19,f_main3_l,-35.408728,-7.449427,53.518934
1,20,f_pointer1_l,-30.402828,-0.657645,55.048752
1,21,f_pointer2_l,-29.943604,-4.324627,57.744403
1,22,f_pointer3_l,-30.620592,-6.944599,55.567867
1,23,scapular_l,-55.873534,26.222763,16.749873
1,24,chest_l,-22.477659,23.858138,11.728960
1,25,zero_joint_hand_r,-27.881044,5.379682,2.285482
1,26,clavicle_r,-45.396172,23.127492,0.977820
1,27,arm_r,-54.365670,21.183989,-15.049208
1,28,forearm_r,-56.405047,8.663987,-41.075617
1,29,forearm_twist_r,-45.034148,8.938737,-44.673482
1,30,hand_r,-32.965944,9.240077,-48.500514
1,31,weapon_r,-25.496833,7.294471,-43.140302
1,32,f_big1_r,-27.001286,8.250402,-48.640661
1,33,f_big2_r,-23.542128,6.453323,-48.925716
1,34,f_big3_r,-21.044500,3.578982,-50.839408
1,35,f_main1_r,-27.335801,8.674125,-58.421328
1,36,f_main2_r,-26.270231,3.889484,-57.603430
1,37,f_main3_r,-27.175057,2.029451,-53.318253
1,38,f_pointer1_r,-23.181442,9.773346,-55.307866
1,39,f_pointer2_r,-21.805145,5.818151,-56.799342
1,40,f_pointer3_r,-22.360801,3.357847,-54.483484
1,41,scapular_r,-55.355344,27.776000,-10.604367
1,42,chest_r,-22.622389,24.494864,-5.886193
1,43,zero_joint_pelvis_l,0.226903,-0.062636,-0.333588
1,44,thigh_l,1.483338,0.794700,8.749541
