frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-1.000392,10.688896,2.536769
0,2,chest,-4.985728,27.547313,6.406345
0,3,neck,-13.930024,44.388524,28.462185
0,4,head,-17.737619,54.547606,36.833022
0,5,hair,-17.576949,69.959501,37.363979
0,7,zero_joint_hand_l,-4.985739,27.547390,6.406392
0,8,clavicle_l,-14.488318,40.530588,25.501691
0,9,arm_l,-28.291477,30.398049,32.422613
0,10,forearm_l,-10.565988,25.545393,54.795414
0,11,forearm_twist_l,-2.474373,33.222021,59.005672
0,12,hand_l,6.119410,41.385017,63.487730
0,13,weapon_l,8.137871,53.896574,47.121201
0,14,f_big1_l,8.466965,46.312002,60.858032
0,15,f_big2_l,11.625656,48.290803,59.668784
0,16,f_big3_l,14.732661,49.727481,62.213903
0,17,f_main1_l,8.160432,50.870050,69.542071
0,18,f_main2_l,13.076634,51.591577,69.757562
0,19,f_main3_l,13.245313,47.575637,67.203703
0,20,f_pointer1_l,7.993370,53.097005,64.726219
0,21,f_pointer2_l,12.319564,54.082986,65.056131
0,22,f_pointer3_l,14.415999,51.635266,63.876181
0,23,scapular_l,-30.449794,38.750142,30.401127
0,24,chest_l,-14.205965,16.885874,22.561899
0,25,zero_joint_hand_r,-4.985690,27.547285,6.406256
0,26,clavicle_r,-10.512244,41.678033,26.237343
0,27,arm_r,5.068466,46.282122,17.454487
0,28,forearm_r,29.721654,35.540619,28.184067
0,29,forearm_twist_r,22.961740,42.800501,34.810918
0,30,hand_r,15.791881,50.516351,41.842084
0,31,weapon_r,8.145021,53.897270,47.110704
0,32,f_big1_r,10.672877,53.526690,39.816725
0,33,f_big2_r,6.573868,54.060643,39.639263
0,34,f_big3_r,3.697635,53.165534,43.233630
0,35,f_main1_r,9.362538,56.465101,49.004956
0,36,f_main2_r,5.101518,54.401709,49.027602
0,37,f_main3_r,7.432913,51.225230,46.976776
0,38,f_pointer1_r,7.635831,58.984706,44.676492
0,39,f_pointer2_r,3.450266,57.145297,44.916482
0,40,f_pointer3_r,4.749456,54.308569,43.373997
0,41,scapular_r,0.814278,52.005210,20.547472
0,42,chest_r,2.467318,21.703790,25.641306
0,43,zero_joint_pelvis_l,0.000045,0.000037,0.000028
