frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.321386,10.877291,1.808238
0,2,chest,1.368709,28.594515,2.064771
0,3,neck,-5.280515,56.831754,4.985912
0,4,head,-8.779622,69.821328,7.594142
0,5,hair,-6.381856,85.040755,8.267905
0,7,zero_joint_hand_l,1.368796,28.594046,2.064696
0,8,clavicle_l,-6.539521,52.195107,4.048935
0,9,arm_l,-21.434062,49.014632,-6.425307
0,10,forearm_l,-29.817516,21.307334,-5.871455
0,11,forearm_twist_l,-29.167910,16.696570,5.120487
0,12,hand_l,-28.478914,11.808078,16.774181
0,13,weapon_l,7.050887,-7.417701,37.564074
0,14,f_big1_l,-24.552377,7.824278,19.101543
0,15,f_big2_l,-23.731266,4.282739,20.547464
0,16,f_big3_l,-26.457801,1.814127,22.715538
0,17,f_main1_l,-29.570152,8.081006,27.531346
0,18,f_main2_l,-30.328004,4.088178,24.664456
0,19,f_main3_l,-29.316911,5.680263,20.287441
0,20,f_pointer1_l,-24.426804,6.925227,26.888870
0,21,f_pointer2_l,-26.080099,2.830013,26.316410
0,22,f_pointer3_l,-25.828439,3.342792,22.932268
0,23,scapular_l,-18.651464,56.467410,-5.452034
0,24,chest_l,-17.808212,32.345622,10.887903
0,25,zero_joint_hand_r,1.368645,28.593686,2.064948
0,26,clavicle_r,-3.301627,52.684525,6.680875
0,27,arm_r,11.898289,48.645907,16.363171
0,28,forearm_r,15.100872,20.201314,20.714271
0,29,forearm_twist_r,13.436889,9.644528,26.033042
0,30,hand_r,11.674987,-1.548038,31.672444
0,31,weapon_r,7.050783,-7.398829,37.573821
0,32,f_big1_r,14.337630,-5.041829,36.154640
0,33,f_big2_r,14.174470,-6.649000,39.963649
0,34,f_big3_r,10.158041,-7.600017,42.190172
0,35,f_main1_r,6.532375,-10.841841,35.595344
0,36,f_main2_r,6.665460,-7.900776,39.298025
0,37,f_main3_r,9.181353,-4.463547,38.024504
0,38,f_pointer1_r,11.367331,-12.307497,37.205615
0,39,f_pointer2_r,9.769416,-10.890899,41.255290
0,40,f_pointer3_r,11.391431,-7.863499,40.691299
0,41,scapular_r,9.882469,56.271809,14.959232
0,42,chest_r,-4.224932,34.397078,21.932344
0,43,zero_joint_pelvis_l,0.000000,0.000146,0.000008
0,44,thigh_l,-8.347702,1.176049,-3.708339
0,45,calf_l,-42.440596,-31.194189,10.326304
0,46,foot_l,-47.142144,-68.572452,-6.166924
0,47,toe_l,-59.575787,-78.677425,6.889100
0,48,back_l,-3.553085,-3.269986,-12.813952
0,51,zero_joint_pelvis_r,0.000219,-0.000438,0.000173
0,52,thigh_r,6.929619,-0.890046,6.001143
0,53,calf_r,25.858504,-38.462584,31.242590
0,54,foot_r,27.588026,-68.598525,3.312330
0,55,toe_r,34.796799,-78.664294,19.861638
0,56,back_r,12.274369,-5.410115,-2.755979
0,57,biceps_twist_l,-25.462498,35.699166,-6.158463
0,58,biceps_twist_r,13.437339,34.976442,18.455587
0,59,thigh_twist_l,-20.828418,-11.234059,1.039482
0,60,thigh_twist_r,13.976276,-15.188183,14.845810
1,0,pelvis,0.000000,0.000000,0.000000
1,1,stomach,0.321386,10.877291,1.808238
1,2,chest,1.368709,28.594515,2.064771
1,3,neck,-5.280515,56.831754,4.985912
1,4,head,-8.779622,69.821328,7.594142
1,5,hair,-6.381856,85.040755,8.267905
1,7,zero_joint_hand_l,1.368796,28.594046,2.064696
1,8,clavicle_l,-6.539521,52.195107,4.048935
1,9,arm_l,-21.434062,49.014632,-6.425307
1,10,forearm_l,-29.817516,21.307334,-5.871455
1,11,forearm_twist_l,-29.167910,16.696570,5.120487
1,12,hand_l,-28.478914,11.808078,16.774181
1,13,weapon_l,7.050887,-7.417701,37.564074
1,14,f_big1_l,-24.552030,7.825169,19.101741
1,15,f_big2_l,-23.731097,4.285506,20.547064
1,16,f_big3_l,-26.454668,1.818983,22.713566
1,17,f_main1_l,-29.569458,8.082789,27.531742
1,18,f_main2_l,-30.327635,4.090052,24.664809
1,19,f_main3_l,-29.318215,5.681256,20.291332
1,20,f_pointer1_l,-24.428277,6.926761,26.889363
1,21,f_pointer2_l,-26.080112,2.835060,26.317949
1,22,f_pointer3_l,-25.828825,3.347548,22.935718
1,23,scapular_l,-18.651464,56.467410,-5.452034
1,24,chest_l,-17.808212,32.345622,10.887903
1,25,zero_joint_hand_r,1.368645,28.593686,2.064948
1,26,clavicle_r,-3.301627,52.684525,6.680875
1,27,arm_r,11.898289,48.645907,16.363171
1,28,forearm_r,15.100872,20.201314,20.714271
1,29,forearm_twist_r,13.436889,9.644528,26.033042
1,30,hand_r,11.674987,-1.548038,31.672444
1,31,weapon_r,7.050783,-7.398829,37.573821
1,32,f_big1_r,14.338504,-5.040413,36.153226
1,33,f_big2_r,14.175138,-6.648034,39.962038
1,34,f_big3_r,10.161967,-7.598877,42.186282
1,35,f_main1_r,6.535941,-10.835288,35.592646
1,36,f_main2_r,6.668808,-7.894049,39.295196
1,37,f_main3_r,9.184489,-4.456532,38.022035
1,38,f_pointer1_r,11.367605,-12.307857,37.204749
1,39,f_pointer2_r,9.769754,-10.891241,41.254443
1,40,f_pointer3_r,11.391789,-7.863845,40.690494
1,41,scapular_r,9.882469,56.271809,14.959232
1,42,chest_r,-4.224932,34.397078,21.932344
1,43,zero_joint_pelvis_l,0.000000,0.000146,0.000008
1,44,thigh_l,-8.347702,1.176049,-3.708339
1,45,calf_l,-42.440596,-31.194189,10.326304
1,46,foot_l,-47.142144,-68.572452,-6.166924
1,47,toe_l,-59.575787,-78.677425,6.889100
1,48,back_l,-3.553085,-3.269986,-12.813952
1,51,zero_joint_pelvis_r,0.000219,-0.000438,0.000173
1,52,thigh_r,6.929619,-0.890046,6.001143
1,53,calf_r,25.858504,-38.462584,31.242590
1,54,foot_r,27.588026,-68.598525,3.312330
1,55,toe_r,34.796799,-78.664294,19.861638
1,56,back_r,12.274369,-5.410115,-2.755979
1,57,biceps_twist_l,-25.462498,35.699166,-6.158463
1,58,biceps_twist_r,13.437339,34.976442,18.455587
1,59,thigh_twist_l,-20.828418,-11.234059,1.039482
1,60,thigh_twist_r,13.976276,-15.188183,14.845810
2,0,pelvis,-0.017578,-0.062500,-0.039062
2,1,stomach,0.303728,10.814217,1.772643
2,2,chest,1.361745,28.530929,2.020474
2,3,neck,-5.279640,56.767603,4.964813
2,4,head,-8.807337,69.751810,7.561226
2,5,hair,-6.410215,84.973948,8.173231
2,7,zero_joint_hand_l,1.361857,28.530442,2.020400
