frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.268572,10.645864,2.877834
0,2,chest,0.071675,27.868517,7.232013
0,3,neck,-8.583295,49.897674,24.258307
0,4,head,-13.276597,60.596232,31.405009
0,5,hair,-14.539550,75.351805,35.707596
0,7,zero_joint_hand_l,0.070071,27.868750,7.234337
0,8,clavicle_l,-9.539747,46.240546,21.149567
0,9,arm_l,-23.387589,48.022943,9.060106
0,10,forearm_l,-37.590389,29.100451,-7.628309
0,11,forearm_twist_l,-43.259657,33.218381,2.026717
0,12,hand_l,-49.286764,37.606511,12.283072
0,13,weapon_l,-17.008654,73.336730,14.962089
0,14,f_big1_l,-45.954742,41.753324,15.170326
0,15,f_big2_l,-42.978544,42.093272,17.677956
0,16,f_big3_l,-43.297325,43.450529,21.705096
0,17,f_main1_l,-54.156926,44.676659,20.994741
0,18,f_main2_l,-50.607948,42.751545,24.602788
0,19,f_main3_l,-48.028791,39.163643,22.858752
0,20,f_pointer1_l,-49.638854,47.209742,19.385534
0,21,f_pointer2_l,-47.718093,45.512187,23.007953
0,22,f_pointer3_l,-45.774314,42.703695,23.301151
0,23,scapular_l,-22.791161,52.980184,15.325643
0,24,chest_l,-18.481254,24.469665,17.417607
0,25,zero_joint_hand_r,0.073346,27.868164,7.233059
0,26,clavicle_r,-6.129488,45.720156,23.551620
0,27,arm_r,11.805945,43.304554,27.236704
0,28,forearm_r,37.435883,30.093067,29.853258
0,29,forearm_twist_r,31.723359,25.890204,39.436270
0,30,hand_r,25.649214,21.424638,49.640984
0,31,weapon_r,-17.060826,73.347851,14.947793
0,32,f_big1_r,19.498728,21.505907,50.413698
0,33,f_big2_r,15.486193,22.179611,50.528302
0,34,f_big3_r,12.153289,19.955019,52.693510
0,35,f_main1_r,20.931670,17.591997,59.270601
0,36,f_main2_r,20.259896,14.318619,55.780294
0,37,f_main3_r,18.451210,13.994413,51.459294
0,38,f_pointer1_r,16.800370,20.575801,57.786084
0,39,f_pointer2_r,14.172305,17.091247,59.074793
0,40,f_pointer3_r,13.028519,13.987586,58.004500
0,41,scapular_r,7.576373,48.928736,31.069328
0,42,chest_r,-4.189568,22.292689,27.485122
0,43,zero_joint_pelvis_l,0.001387,0.001247,0.002913
0,44,thigh_l,-9.092262,0.864644,-1.168542
0,45,calf_l,-41.304886,-28.338401,21.561569
0,46,foot_l,-45.311374,-65.175597,3.722438
0,47,toe_l,-56.401887,-75.123143,18.047681
0,48,back_l,-6.783108,-2.301441,-11.661319
0,51,zero_joint_pelvis_r,0.001886,-0.000489,0.000529
0,52,thigh_r,8.353163,-0.910809,3.774842
0,53,calf_r,30.039025,-35.500100,30.985744
0,54,foot_r,55.459369,-65.123969,18.043636
0,55,toe_r,60.328623,-75.143099,35.431811
0,56,back_r,11.291514,-4.140775,-6.550661
0,57,biceps_twist_l,-30.204790,38.939379,1.048789
