frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.266686,10.645738,2.878475
0,2,chest,0.059467,27.867411,7.236050
0,3,neck,-8.598537,49.896517,24.260867
0,4,head,-13.296272,60.598586,31.414372
0,5,hair,-14.560660,75.352699,35.721540
0,7,zero_joint_hand_l,0.059467,27.867411,7.236050
0,8,clavicle_l,-9.553855,46.237628,21.151093
0,9,arm_l,-23.408319,48.030827,9.070820
0,10,forearm_l,-37.602030,29.109018,-7.626100
0,11,forearm_twist_l,-43.281893,33.221741,2.034572
0,12,hand_l,-49.312625,37.598782,12.283877
0,13,weapon_l,-17.042285,73.335774,14.966543
0,14,f_big1_l,-45.980105,41.743844,15.171309
0,15,f_big2_l,-43.002405,42.083916,17.680181
0,16,f_big3_l,-43.322106,43.439275,21.707894
0,17,f_main1_l,-54.187084,44.671150,21.002277
0,18,f_main2_l,-50.636879,42.746456,24.609342
0,19,f_main3_l,-48.052330,39.153919,22.861568
0,20,f_pointer1_l,-49.670534,47.205029,19.393288
0,21,f_pointer2_l,-47.747408,45.505124,23.018135
0,22,f_pointer3_l,-45.801910,42.695333,23.310328
0,23,scapular_l,-22.807051,52.984048,15.339088
0,24,chest_l,-18.500509,24.473692,17.418921
0,25,zero_joint_hand_r,0.059524,27.867291,7.235944
0,26,clavicle_r,-6.145588,45.717751,23.555691
0,27,arm_r,11.789505,43.316084,27.251519
0,28,forearm_r,37.420021,30.105158,29.865246
0,29,forearm_twist_r,31.717036,25.899362,39.442935
0,30,hand_r,25.645304,21.424987,49.654940
0,31,weapon_r,-17.078017,73.327282,14.970034
0,32,f_big1_r,19.494752,21.506383,50.427119
0,33,f_big2_r,15.478408,22.180952,50.542029
0,34,f_big3_r,12.145386,19.956097,52.706782
0,35,f_main1_r,20.930867,17.590692,59.276636
0,36,f_main2_r,20.259188,14.320937,55.788322
0,37,f_main3_r,18.448727,13.997767,51.463734
0,38,f_pointer1_r,16.800793,20.574911,57.792836
0,39,f_pointer2_r,14.169736,17.087663,59.081954
0,40,f_pointer3_r,13.024709,13.982681,58.010473
0,41,scapular_r,7.561051,48.936523,31.082577
0,42,chest_r,-4.202698,22.296743,27.496333
0,43,zero_joint_pelvis_l,0.000000,0.000000,0.000000
0,44,thigh_l,-9.094511,0.863158,-1.167707
0,45,calf_l,-41.304721,-28.352694,21.549363
0,46,foot_l,-45.334970,-65.196839,3.729944
0,47,toe_l,-56.426599,-75.140244,18.057197
0,48,back_l,-6.783435,-2.301503,-11.670640
0,51,zero_joint_pelvis_r,-0.000026,-0.000297,-0.000015
0,52,thigh_r,8.351644,-0.909710,3.773607
0,53,calf_r,30.043251,-35.508307,30.968095
0,54,foot_r,55.464639,-65.145582,18.058774
0,55,toe_r,60.333938,-75.164203,35.451839
0,56,back_r,11.290003,-4.137998,-6.552147
0,57,biceps_twist_l,-30.225006,38.942496,1.050919
0,58,biceps_twist_r,24.093219,36.975096,28.507335
0,59,thigh_twist_l,-20.980938,-10.418828,6.816607
0,60,thigh_twist_r,16.715105,-13.947140,13.356323
1,0,pelvis,0.000000,0.062500,0.109375
1,1,stomach,0.264849,10.709909,2.981834
1,2,chest,0.074272,27.941318,7.301513
1,3,neck,-8.568960,50.098436,24.166969
1,4,head,-13.253536,60.851481,31.252335
1,5,hair,-14.483468,75.637962,35.457269
1,7,zero_joint_hand_l,0.074272,27.941318,7.301513
1,8,clavicle_l,-9.526575,46.418960,21.082288
