frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-10.429563,2.302669,2.758696
0,2,chest,-28.107944,3.336195,4.181413
0,3,neck,-56.917295,4.378135,8.542896
0,4,head,-70.199625,1.296832,9.907052
0,5,hair,-84.284179,-4.852351,11.190451
0,7,zero_joint_hand_l,-28.108938,3.335893,4.181632
0,8,clavicle_l,-52.320518,5.250125,9.982010
0,9,arm_l,-51.685642,5.905457,28.428208
0,10,forearm_l,-42.620019,-6.250202,53.092715
0,11,forearm_twist_l,-31.519719,-5.869397,57.425090
0,12,hand_l,-19.724270,-5.452402,62.037028
0,13,weapon_l,-14.955675,-5.816602,69.972506
0,14,f_big1_l,-13.769623,-6.619708,63.618349
0,15,f_big2_l,-11.069240,-8.426871,66.179650
0,16,f_big3_l,-12.008381,-9.349937,70.680743
0,17,f_main1_l,-15.640779,-2.141859,72.056673
0,18,f_main2_l,-15.487075,-6.859568,72.208915
0,19,f_main3_l,-16.516569,-8.236263,68.113039
0,20,f_pointer1_l,-10.885523,-2.548260,69.753450
0,21,f_pointer2_l,-10.777568,-6.478418,72.099114
0,22,f_pointer3_l,-11.792377,-8.090565,69.193157
0,23,scapular_l,-58.717592,5.979844,24.593132
0,24,chest_l,-34.951356,20.975450,14.273571
0,25,zero_joint_hand_r,-28.108302,3.335918,4.181559
0,26,clavicle_r,-52.947197,5.284847,5.825747
0,27,arm_r,-53.154613,3.027621,-12.503373
0,28,forearm_r,-56.725546,-3.822957,-40.406804
0,29,forearm_twist_r,-48.690127,-3.629636,-49.232823
0,30,hand_r,-40.176098,-3.413958,-58.594740
0,31,weapon_r,-14.921121,-5.825181,69.981444
0,32,f_big1_r,-34.630031,-4.326875,-60.849371
0,33,f_big2_r,-32.133884,-6.383181,-63.044246
0,34,f_big3_r,-33.168048,-8.564143,-66.561220
0,35,f_main1_r,-38.172000,-2.532660,-69.819531
0,36,f_main2_r,-37.380550,-7.314421,-68.703984
0,37,f_main3_r,-37.730911,-7.397615,-63.955441
0,38,f_pointer1_r,-33.181265,-1.851153,-68.143555
0,39,f_pointer2_r,-32.862774,-6.109683,-69.392763
0,40,f_pointer3_r,-33.274322,-6.969847,-66.099957
