frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.267586,10.645773,2.878263
0,2,chest,0.062277,27.852648,7.230710
0,3,neck,-8.589636,49.872228,24.244190
0,4,head,-13.285903,60.576101,31.395960
0,5,hair,-14.547194,75.330210,35.704052
0,7,zero_joint_hand_l,0.062241,27.852635,7.234119
0,8,clavicle_l,-9.542057,46.214970,21.137666
0,9,arm_l,-23.395479,48.010827,9.056592
0,10,forearm_l,-37.598965,29.093587,-7.637193
0,11,forearm_twist_l,-43.270827,33.212781,2.025424
0,12,hand_l,-49.293036,37.596676,12.276810
0,13,weapon_l,-17.034698,73.301239,14.959038
0,14,f_big1_l,-45.957020,41.744571,15.164148
0,15,f_big2_l,-42.978831,42.083861,17.672538
0,16,f_big3_l,-43.296366,43.436650,21.693037
0,17,f_main1_l,-54.164475,44.671137,20.995035
0,18,f_main2_l,-50.614920,42.745307,24.602132
0,19,f_main3_l,-48.031782,39.151734,22.854390
0,20,f_pointer1_l,-49.647917,47.203048,19.386204
0,21,f_pointer2_l,-47.726599,45.504242,23.007740
0,22,f_pointer3_l,-45.784258,42.697038,23.299971
0,23,scapular_l,-22.793576,52.963899,15.324823
0,24,chest_l,-18.484225,24.471437,17.412315
0,25,zero_joint_hand_r,0.063902,27.852260,7.231738
0,26,clavicle_r,-6.136736,45.693537,23.538991
0,27,arm_r,11.783356,43.293147,27.230369
0,28,forearm_r,37.413006,30.080828,29.845540
0,29,forearm_twist_r,31.707662,25.882086,39.415202
0,30,hand_r,25.625657,21.409503,49.631592
0,31,weapon_r,-17.042788,73.301554,14.977583
0,32,f_big1_r,19.483031,21.488561,50.405751
0,33,f_big2_r,15.462837,22.163867,50.520282
0,34,f_big3_r,12.132467,19.941449,52.683405
0,35,f_main1_r,20.913473,17.576663,59.254809
0,36,f_main2_r,20.242002,14.304077,55.763701
0,37,f_main3_r,18.433316,13.981178,51.442584
0,38,f_pointer1_r,16.781728,20.559569,57.770077
0,39,f_pointer2_r,14.153509,17.074884,59.058116
0,40,f_pointer3_r,13.009296,13.969431,57.987129
0,41,scapular_r,7.562999,48.912710,31.063333
0,42,chest_r,-4.192436,22.292143,27.482809
0,43,zero_joint_pelvis_l,0.001517,0.001268,0.002977
0,44,thigh_l,-9.091985,0.864534,-1.168555
0,45,calf_l,-41.311688,-28.335475,21.555422
0,46,foot_l,-45.329184,-65.171949,3.717275
0,47,toe_l,-56.413705,-75.114066,18.031227
0,48,back_l,-6.774344,-2.300239,-11.665747
0,51,zero_joint_pelvis_r,0.001718,-0.000468,0.000517
0,52,thigh_r,8.353681,-0.910347,3.773378
0,53,calf_r,30.037574,-35.501109,30.983980
0,54,foot_r,55.456217,-65.127910,18.045245
0,55,toe_r,60.323761,-75.146221,35.434371
0,56,back_r,11.290948,-4.138668,-6.552676
0,57,biceps_twist_l,-30.213050,38.929857,1.042649
0,58,biceps_twist_r,24.093593,36.947966,28.487561
0,59,thigh_twist_l,-20.971852,-10.402379,6.811165
0,60,thigh_twist_r,16.707203,-13.933907,13.353924
1,0,pelvis,0.641602,-0.875000,0.625000
1,1,stomach,0.251703,9.794379,3.400034
1,2,chest,-0.756233,27.118606,7.204329
1,3,neck,-10.209673,49.873310,22.790952
1,4,head,-15.391969,60.972441,28.933325
1,5,hair,-17.218861,75.816608,32.694629
1,7,zero_joint_hand_l,-0.756704,27.118641,7.207709
1,8,clavicle_l,-10.970724,46.231722,19.612440
1,9,arm_l,-23.482529,48.920734,6.296335
1,10,forearm_l,-37.162866,29.187982,-9.882366
1,11,forearm_twist_l,-42.698330,33.850695,-0.398947
1,12,hand_l,-48.583254,38.817415,9.674478
1,13,weapon_l,-16.177059,74.262513,11.042732
1,14,f_big1_l,-45.273689,42.856084,12.741511
1,15,f_big2_l,-42.326824,43.241958,15.279982
1,16,f_big3_l,-42.757539,44.151028,19.417195
1,17,f_main1_l,-53.397015,45.227890,18.816280
1,18,f_main2_l,-49.781260,43.062453,22.146672
1,19,f_main3_l,-47.204852,39.706179,19.978400
1,20,f_pointer1_l,-48.991937,47.987074,17.322866
1,21,f_pointer2_l,-47.001461,46.111829,20.817776
1,22,f_pointer3_l,-45.014285,43.321435,20.688547
1,23,scapular_l,-22.855365,54.079468,12.393846
1,24,chest_l,-20.637655,24.985064,14.901551
1,25,zero_joint_hand_r,-0.754776,27.118140,7.205562
1,26,clavicle_r,-7.941758,45.547735,22.442343
1,27,arm_r,8.437475,43.938455,30.822418
